evaluations raw_y x0 x1 x2 x3 x4
1 -6154.1867064226 0.170883 0.332895 0.101247 2.419445 4.292529
2 -5968.8879583559 4.177972 0.523316 -3.443195 -3.635433 4.771318
3 844.9162014179 -1.842508 0.602223 4.537155 -4.938908 -0.034563
4 4373.6969298802 -3.274600 -1.122529 2.464825 -4.102515 -3.370919
5 1600.7183789859 -2.675419 4.724021 4.256321 4.213632 -1.669249
6 3707.8459600292 2.329679 -3.680596 1.991946 -4.811287 -2.670706
7 2196.9639251050 -3.805296 1.700553 -4.966070 0.348073 -1.133946
8 1344.7197971672 1.769710 -3.333150 0.683331 -0.859818 -0.965921
9 -6483.0942211269 2.794020 -3.505964 -4.491619 1.707838 3.969510
10 5374.3320599114 1.253613 -0.664086 1.239352 3.802855 -4.729383
11 -6934.7709484570 -0.318384 -1.680477 -1.001147 -2.611962 3.126909
12 2758.4891609026 -2.116925 2.164797 1.856221 -0.221238 -2.473685
13 2855.4177538069 -4.969929 -4.133976 -0.311179 4.804798 -2.269144
14 5331.8848983322 -3.795532 -3.970504 2.549563 -0.545228 -4.438227
15 -5645.5960137975 0.439378 4.443478 -4.610989 4.709772 1.466144
16 5915.2682255121 2.882030 3.252342 -1.812378 -4.581694 -4.566192
17 -5845.6170926097 1.922324 0.009312 -4.805724 2.731100 3.415833
18 -7014.6620483981 0.238648 -4.856506 3.623034 -0.891746 2.786978
19 -9632.0335487915 -4.228570 -1.895978 -1.243133 2.236808 0.911230
20 -6837.0879815965 -3.523990 -0.133699 0.776618 1.487186 3.164650
21 -7394.1236303645 -4.008754 2.528860 -0.796460 1.013302 1.616351
22 -9224.5739197725 -0.636557 -3.553297 -4.239529 -0.718726 1.328513
23 -5930.6426126331 2.408032 2.894399 4.749210 -0.391128 1.230352
24 4431.5006634447 -0.526719 3.628996 3.039733 4.960522 -4.053946
25 -7726.0803384480 -3.171539 -3.222483 0.558750 -1.023382 3.574656
26 -5625.3712700491 1.546203 2.421506 3.280119 -4.021974 4.100955
27 -6254.7127691482 3.097430 1.014463 -2.534111 -3.193000 1.731774
28 -6519.2460459443 -0.012740 -1.505862 -2.085170 1.598918 3.765184
29 -6383.9379498293 -1.303217 1.953334 3.865942 0.495204 4.938654
30 -6401.8552271757 -3.554137 0.774496 3.782790 3.366151 2.272283
31 2505.5234206252 -1.702817 -0.834961 -1.504955 -3.792798 -1.469713
32 1536.9568073441 3.365737 2.283979 -2.229616 0.999186 -1.303571
33 -5933.4568966137 -2.546310 4.882339 -0.197151 0.756289 3.801494
34 3037.2267786533 0.805023 -4.236337 4.897803 -2.030637 -2.416035
35 3830.7379721546 2.578389 -4.425751 4.073702 3.165775 -3.462005
36 5839.6418322461 0.691774 3.320307 -2.017564 0.001733 -4.898552
37 -8146.0286404074 -4.117472 0.069425 -1.663638 0.088138 1.890238
38 -7893.1363365846 1.943043 -2.171594 1.525352 -3.513023 0.851023
39 239.5160865263 3.460384 -2.440326 4.668808 -2.351773 0.197217
40 6627.4907682114 -0.422489 -4.642058 -3.258284 -4.245488 -4.818521
41 -6487.7635454096 -2.205649 4.597255 -0.521912 3.765844 1.118287
42 2416.7171343668 -1.619246 -0.308118 2.175648 -2.130652 -1.915482
43 4954.9697179217 -2.818123 -3.875313 1.005564 4.536845 -4.201160
44 3175.4062678500 -0.897779 4.184999 4.336634 2.135188 -3.095557
45 -7268.5692412460 1.379602 3.447874 -1.747060 1.854163 0.218826
46 252.0645493470 -4.348573 1.301590 -0.056913 -3.384846 0.602619
47 -6068.1472730031 -1.137787 4.764688 1.617248 -1.772251 4.398593
48 663.4458035702 4.248818 1.817470 -3.865063 1.339996 -0.264011
49 385.4280753289 -2.431306 0.964391 0.966580 -0.102520 -0.093976
50 -5742.1460478640 4.039234 2.648968 -3.936625 -3.018350 4.573497
51 -6546.3115260077 -0.182617 -1.599865 -2.762874 4.175662 2.563770
52 1642.1731906204 3.611431 -4.937218 -2.889461 -2.326346 -0.781931
53 1453.4178673008 -4.622315 -4.470897 2.831173 3.492263 -1.111862
54 1009.4672032988 3.823700 3.961456 -4.407273 0.682118 -0.529131
55 2605.3646430237 0.984324 -2.263505 -2.656470 4.397179 -2.126642
56 4837.3793760218 -2.949840 1.221014 0.233388 2.846698 -4.182327
57 -6234.5439512515 -1.082883 4.280515 -0.698798 -3.872431 2.020074
58 4825.9865383550 4.575205 -2.484086 -3.302287 -1.562932 -3.821250
59 -5841.2290492657 3.227517 0.339023 -4.189472 -2.760159 2.937717
60 796.3158915201 1.458689 -2.866581 0.449815 -1.350337 -0.341405
61 1417.0266782528 4.411877 2.836778 2.207418 0.322944 -1.548916
62 -6819.7145085370 0.555616 3.894657 2.890824 2.552095 0.379332
63 4975.2260713669 1.116586 1.632380 -3.059731 -4.373601 -3.578678
64 -6205.8846856603 4.737287 3.693385 -3.717666 2.943885 0.514826
65 -8805.6410896006 -4.512183 -1.938573 1.767648 -4.712974 2.084683
66 4651.4815131585 -2.041404 -2.967053 -0.402374 -1.810781 -3.711892
67 -5517.4548743437 4.614171 -0.874101 2.725515 3.004788 2.441840
68 2936.8978501844 4.990602 -1.272452 -0.990558 3.560378 -2.768556
69 582.0161437498 3.668485 -0.414340 3.532776 1.992791 -0.683160
70 3741.7623006323 -4.810664 3.106657 -1.282661 -2.572928 -2.880363
71 3681.5499945726 2.673397 -2.646451 3.230981 -1.231995 -3.176923
72 -6311.4731127359 -0.739826 -1.251630 3.964134 -2.882042 3.321105
73 2588.8023543573 -1.447843 1.532959 -3.600508 3.950906 -1.943859
74 -7861.9507715039 -3.072133 -3.045240 -2.398026 -1.424581 4.643320
75 -5988.5901997869 2.094137 -0.479015 1.353238 1.174093 2.629508
76 -9008.1151693547 -4.228570 -1.895978 -1.243133 4.798965 0.911230
77 -7430.8271448450 -2.506009 -3.068947 0.309197 -0.859060 3.984119
78 865.2504274961 -1.977500 -0.969880 -4.347830 2.415511 -0.034563
79 -5945.1429482141 1.154420 1.303369 -2.427644 -4.102515 3.909801
80 1278.9942667782 -1.592214 -4.906268 1.900773 -0.956875 -0.799339
81 -7688.5357828721 -3.341083 -3.680596 2.206178 -4.003070 4.235511
82 1436.1128263152 -4.425485 3.891547 -0.714291 4.902100 -1.133946
83 3911.7497935116 0.688577 -2.688580 -3.566865 1.757754 -3.122238
84 -7553.4568243218 -3.677301 -1.793738 -1.026334 3.721463 2.333034
85 -6147.4376896444 -1.973048 -0.386094 3.188623 2.563056 3.354424
86 -7275.4389084311 -4.802433 0.370119 -1.001147 2.122220 2.695340
87 3276.5060849458 -1.512446 -4.320430 -2.439170 -0.221238 -2.473685
88 -8641.9193903196 -4.969929 -4.362686 -0.645312 2.451645 2.896066
89 -6613.0341682375 -4.631571 2.457744 2.549563 -0.545228 2.985417
90 -6608.3526948832 -3.613916 1.884617 -4.610989 1.153174 4.563616
91 -8020.1314945720 -1.435594 -1.866748 -1.812378 -3.899884 2.169413
92 2631.7095158947 1.922324 -1.224921 -1.588851 2.731100 -2.298041
93 -8034.5731898275 -2.525010 -1.111415 -3.038704 1.985283 1.711653
94 -6201.5134495472 -4.490157 1.551561 -1.694177 4.563398 3.762227
95 -5659.4654157522 -0.369271 1.967007 1.494767 3.715941 3.205117
96 3663.5516393874 -4.356445 2.528860 -3.125162 3.427308 -2.875339
97 152.4359453494 -2.968813 -2.233091 -4.239529 -2.400129 1.328513
98 -5459.5400601554 2.408032 4.805792 1.219246 1.842296 2.819707
99 -8892.7972093682 -3.875789 -3.389234 -0.732357 4.960522 1.266115
100 5043.3011682283 -3.014428 -3.222483 1.049355 -1.002420 -4.161072
101 -6836.2457080114 -4.142112 2.133759 -0.871693 -4.258799 3.658200
102 -6661.1542871380 3.097430 -2.129493 1.111995 -4.947183 1.731774
103 -6304.9721464815 2.584310 -2.380795 -2.488515 2.979918 4.474619
104 -6898.3749371876 -2.624284 -1.554351 2.138235 1.434193 4.938654
105 -8295.7060276084 -1.534111 -0.635181 -2.218868 3.366151 0.777722
106 1689.3744524219 -1.702817 -2.826922 -1.917982 -3.792798 -0.544983
107 1810.9593271882 -1.763535 -2.072974 -2.229616 3.337505 -1.303571
108 -6091.3499511208 3.068215 -3.840057 2.299088 0.987640 3.801494
109 -6843.0898279832 -4.455382 -0.969363 0.845862 4.512657 2.820956
110 3767.9173147167 2.014523 1.087994 4.073702 0.193642 -3.462005
111 73.5581736094 0.691774 2.254800 -0.019833 -0.034714 0.121693
112 100.0882288095 -4.117472 -2.070952 -1.627870 4.134846 0.478872
113 -8747.9918601314 -3.783089 1.273469 1.661279 -3.513023 0.851023
114 4382.3125111583 -0.440191 0.539525 -2.457621 4.121840 -3.664359
115 6200.5468187091 -4.994493 -2.980335 3.678094 -4.245488 -4.818521
116 -7096.5336689943 -0.593618 -0.970789 2.745915 3.930819 1.118287
117 -7867.0478176390 -4.835922 -1.198680 -2.263857 -2.130652 4.132520
118 4723.2006858385 -0.312586 1.280707 2.471436 0.518353 -4.201160
119 -6745.0863150862 1.802439 1.021044 4.336634 -2.457938 0.825486
120 1977.3812911195 -1.636613 -0.712758 0.208830 -4.129774 -1.073516
121 41.3187030223 -0.538320 3.229087 -0.056913 -3.384846 0.602619
122 -6222.3312967648 -3.967648 4.764688 0.283532 1.104737 4.398593
123 -8078.0573090882 0.021741 -3.942242 -4.017794 1.339996 2.059409
124 2557.6693234094 2.452161 3.431080 0.966580 -0.102520 -2.454624
125 -8991.5982577281 -4.750512 -2.832293 -2.084980 1.332065 2.180933
126 -6222.5840133314 -4.356215 1.810668 -0.732321 4.175662 4.213730
127 1225.2012634091 -1.655697 -4.937218 1.082650 -0.230974 -0.781931
128 -6736.9680914420 -4.622315 0.467938 2.831173 0.270341 3.879695
129 -6566.4930874844 -4.461273 3.961456 -0.193324 0.139597 2.566701
130 -8509.4594905491 -2.553730 -2.263505 2.852098 4.397179 0.591936
131 635.2996698921 -4.557972 -1.391797 0.233388 2.040575 -0.247272
132 -8514.2470918538 -3.759509 -2.632534 -0.698798 1.562888 2.020074
133 1634.2314170172 -2.653576 -4.030256 -2.320722 -1.562932 -0.732229
134 -5706.0596336696 3.608482 -1.460317 -3.283727 4.968612 3.872962
135 -8455.2197557738 -3.788391 -2.866581 -2.068519 1.413486 2.404856
136 -6319.0166853080 -3.735947 2.836778 -3.942346 1.368315 3.838484
137 -7502.7579292405 -2.629970 3.790120 1.085191 3.405597 0.379332
138 2944.4869590516 -0.810685 1.215490 2.036001 3.976784 -2.735250
139 72.6802488117 -0.073971 0.815266 -3.717666 3.571378 0.514826
140 2078.4362945771 -4.512183 0.348102 2.022902 -0.638353 -1.694653
141 4602.6419883956 1.466776 -2.967053 0.286424 -2.540302 -3.711892
142 20.5587408293 -0.896972 -0.404051 2.725515 4.319614 0.059558
143 -8761.0618823301 -3.692325 -2.402374 -0.990558 3.560378 1.335866
144 427.5151519906 0.071210 -0.837201 0.144766 1.992791 -0.235557
