evaluations raw_y x0 x1 x2 x3 x4
1 -6445.2963867188 -0.611676 -0.065449 3.503843 4.996553 2.290795
2 3783.2656250000 1.054082 -3.919692 -3.655156 2.161153 -2.267418
3 3603.2104492188 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
4 -8960.6396484375 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
5 -6494.4082031250 3.644968 2.627505 2.332067 -2.606695 1.414534
6 -6553.0722656250 1.819174 -0.846976 -3.703254 1.112385 3.283452
7 -7820.5307617188 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 1533.4510498047 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
9 1826.6448974609 3.678345 1.779529 -0.285570 0.857664 -1.475784
10 -5488.5195312500 4.049697 -1.458714 3.594827 -1.333719 3.936445
11 -6246.5131835938 -3.420748 2.294169 4.923463 1.571053 3.231936
12 4194.9545898438 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
13 4709.6215820312 3.686591 1.507612 -4.994789 -4.128363 -3.334358
14 2199.2385253906 4.786593 3.860523 -0.834856 -3.860440 -1.208003
15 2552.3666992188 1.955925 -4.636282 3.905097 -3.138640 -1.274542
16 41.9193267822 -5.000000 -5.000000 -5.000000 -5.000000 1.381737
17 -6867.8803710938 -0.335661 5.000000 0.443271 -5.000000 1.899127
18 -7298.0361328125 0.190601 0.043777 0.899850 -3.006650 1.713339
19 -6567.0986328125 1.243067 4.586181 -2.413842 -1.197809 1.810453
20 -6893.0600585938 0.543885 5.000000 5.000000 2.993900 0.953460
21 216.9410705566 0.428836 5.000000 -5.000000 -5.000000 0.895863
22 -8032.9248046875 -5.000000 5.000000 -0.920539 3.158794 1.016455
23 -6560.7231445312 5.000000 5.000000 -2.149987 2.314144 0.956905
24 -8912.3916015625 -5.000000 3.172512 -0.614349 -1.186905 0.855139
25 -11110.3359375000 -5.000000 -5.000000 -1.244472 -0.440126 1.064373
26 -8167.0322265625 -5.000000 -5.000000 -0.455039 4.065115 4.469227
27 -8855.0839843750 -5.000000 -5.000000 -2.040066 0.102835 5.000000
28 -8533.4042968750 -5.000000 -5.000000 -5.000000 3.775887 5.000000
29 -4517.5737304688 5.000000 5.000000 -2.538758 2.674646 5.000000
30 -9469.3222656250 -5.000000 -5.000000 -1.803770 1.968164 1.819308
31 -8810.4140625000 -5.000000 -5.000000 -5.000000 5.000000 3.460153
32 4904.0693359375 -5.000000 5.000000 5.000000 5.000000 -5.000000
33 -8059.4189453125 -5.000000 -5.000000 5.000000 3.549122 5.000000
34 -8770.1464843750 -5.000000 -5.000000 0.711717 -5.000000 5.000000
35 -10360.8691406250 -5.000000 -5.000000 -0.117748 -5.000000 1.373545
36 -5677.5688476562 -5.000000 5.000000 3.181492 5.000000 5.000000
37 -10263.1953125000 -5.000000 -5.000000 -0.295298 5.000000 1.325075
38 -6259.8461914062 5.000000 -5.000000 -5.000000 -5.000000 4.669646
39 -5670.3442382812 5.000000 -5.000000 5.000000 5.000000 5.000000
40 -10290.1953125000 -5.000000 -5.000000 -0.871370 -5.000000 1.837730
41 -6518.9042968750 -5.000000 5.000000 -5.000000 -5.000000 4.313609
42 -9960.1367187500 -5.000000 -5.000000 5.000000 -5.000000 1.608418
43 -8451.8359375000 -5.000000 -5.000000 -3.056959 5.000000 3.942316
44 5031.5283203125 -5.000000 -5.000000 -1.381117 5.000000 -5.000000
45 -10146.5947265625 -5.000000 -5.000000 0.137828 5.000000 1.194827
46 -7565.8535156250 5.000000 -5.000000 5.000000 -5.000000 1.682602
47 -10919.4843750000 -5.000000 -5.000000 0.437809 -5.000000 1.146160
48 -10919.4843750000 -5.000000 -5.000000 0.284084 -5.000000 1.161544
49 -10982.4257812500 -5.000000 -5.000000 0.015024 -5.000000 1.176173
50 -10668.0292968750 -5.000000 -5.000000 2.373686 -5.000000 1.225226
