evaluations raw_y x0 x1 x2 x3 x4
1 -5118.7270507812 4.972058 2.993654 -0.980618 -2.061794 3.809681
2 -4950.4965820312 3.945506 2.978786 -2.532002 -3.128510 4.684898
3 -4847.9013671875 4.073887 2.761099 -2.494239 -1.075740 4.999999
4 -5041.5795898438 3.808084 3.837363 -3.177763 -2.654440 3.783290
5 -4942.3676757812 3.301836 3.275710 -1.332037 -3.088118 4.961841
6 -5261.6323242188 3.363276 2.848045 -3.498376 -0.291043 3.779223
7 -4761.9257812500 4.987192 4.240755 -3.864565 -1.606395 4.610741
8 -5034.7089843750 4.030788 1.938600 -2.803918 -1.646794 4.994479
9 -4895.3027343750 4.970712 3.092202 -1.076603 -0.737490 4.754798
10 -5006.9570312500 4.056884 3.966847 -3.068765 -1.514856 3.951789
11 -5052.4809570312 3.851073 2.766768 -1.263941 -1.278825 4.186791
12 -4929.0874023438 4.999977 4.315263 -2.693923 -4.202254 3.580470
13 -5664.3540039062 4.819950 1.696415 -2.899412 -0.944691 3.494475
14 -5365.4213867188 4.503092 3.266110 -3.362952 -0.644503 3.489592
15 -5114.7802734375 4.730276 2.898347 -1.768644 -2.805805 3.600818
16 -4846.3432617188 4.943730 2.749019 -3.243145 -1.213691 4.953281
17 -5237.0395507812 4.950666 4.596572 -2.063825 0.400814 3.254799
18 -5506.2041015625 4.896433 -0.163963 -2.504968 0.463319 3.654891
19 -5250.6635742188 4.839672 2.022366 -3.433273 -0.810185 3.889057
20 -5058.6821289062 4.634202 1.865081 -1.959114 -1.092360 4.989549
21 -6417.1621093750 4.423422 0.733340 -4.188367 -0.406761 2.165130
22 -5218.6372070312 4.581387 2.559402 -2.629424 0.472547 4.019981
23 -4972.7470703125 4.358116 2.961409 -2.605748 -0.910989 4.507996
24 -5136.7773437500 4.997828 3.008862 -3.323026 -0.418789 3.907287
25 -6185.2475585938 4.754880 0.275062 -3.521332 0.153375 2.562926
26 -8148.4399414062 4.795461 -0.648572 -3.474441 -2.390459 0.464471
27 -5500.1250000000 4.141044 0.194775 -4.996242 -1.074298 3.595308
28 -6213.0356445312 4.977679 0.114510 -2.736262 -0.553352 2.330503
29 -5456.8984375000 4.748919 -0.396752 -4.195010 -0.682070 4.213083
30 -5720.3369140625 4.986763 0.877909 -3.821887 -0.800067 3.431053
31 -5236.2226562500 4.955987 2.095027 -4.875830 -2.479118 3.890700
32 -5528.2138671875 4.065369 -0.330205 -2.912566 -0.792097 3.948044
