evaluations raw_y x0 x1 x2 x3 x4
1 4.9773936272 -4.146409 -2.941227 0.686228 -3.995411 -3.140655
2 3.9960410595 0.691478 0.752213 3.092801 4.038865 0.288492
3 3.9517788887 2.017628 -0.020874 3.724348 -2.666174 4.841342
4 3.6394267082 1.398799 -1.349916 -4.459460 2.796491 2.231571
5 3.5075867176 3.653186 -1.837742 -4.142111 0.332857 -0.399091
6 3.7278361320 -3.489152 2.727053 -0.405801 1.454939 2.379336
7 3.4738337994 4.304194 -4.747141 2.388904 -0.678936 -4.469706
8 3.9028828144 4.444053 1.074399 -3.400910 3.637275 0.973123
9 4.4094376564 -2.031211 -0.548488 -0.242161 2.002549 -2.510687
10 4.5474901199 2.606138 -4.192272 -1.548521 -1.133109 -3.722323
11 3.7407503128 -0.365182 -3.035430 -2.072172 4.951234 3.591383
12 3.6671459675 -1.159158 1.880859 1.475741 0.950930 -1.866280
13 3.5082292557 -4.928062 3.594154 1.975489 -1.751859 -1.290413
14 3.6673197746 -0.012381 4.833938 -2.732150 -4.992994 4.225988
15 3.7654747963 -2.879996 3.716274 4.956298 -3.240227 1.062024
16 3.6306576729 3.227937 -3.058535 3.058484 1.670374 -4.474153
17 3.4051742554 4.622251 -4.632231 2.541060 -3.112614 -4.209667
18 3.7143044472 4.013224 -4.574432 3.761078 0.390607 -1.216698
19 3.1298341751 -1.065403 -4.861741 3.199088 -3.601147 -4.962659
20 3.3961098194 3.692721 -4.888110 3.633306 -4.828424 -2.641853
21 3.6669731140 3.709432 -4.639079 3.846224 2.790916 -4.418291
22 3.0240027905 -4.583935 -4.043934 3.085105 -4.643664 -3.674067
23 3.0644724369 -4.273395 -4.886503 3.115860 -2.685195 -4.131026
24 3.0784721375 -3.653392 -4.772836 2.924663 -4.789917 -2.208431
25 3.2339420319 1.582131 -4.896543 2.802196 -3.990560 -4.319890
26 3.7067177296 -3.693951 -4.270830 3.116993 3.945486 3.096599
27 3.0491051674 -4.478104 -4.527727 3.747318 -3.124578 -4.956367
28 3.0352258682 -3.462057 -3.759177 2.890538 -4.911531 -4.308855
29 3.2228748798 -4.341521 -3.437252 3.098745 -0.183528 -4.182858
30 3.2300839424 -4.404741 -3.944840 3.177296 -3.872405 0.170644
31 2.9563064575 -4.929367 -4.689662 2.859197 -4.047813 -4.792285
32 3.0442931652 -3.974363 -3.431451 3.080847 -4.826977 -4.193623
33 3.0227820873 -4.893942 -3.332158 3.385441 -4.579747 -4.537221
34 3.0424745083 -4.080031 -4.424493 3.250010 -4.240128 -3.909617
35 3.0086050034 -3.496835 -4.981293 3.095566 -4.882263 -4.008045
36 2.9704985619 -4.327961 -4.663040 3.000654 -4.603914 -4.647245
37 2.9884855747 -3.842286 -4.784048 2.890208 -4.248429 -4.766177
38 3.0013780594 -4.944423 -4.461891 3.097933 -4.480716 -3.665052
39 2.9989700317 -3.641340 -4.740371 2.788120 -4.995621 -3.879183
40 2.9392848015 -4.836268 -4.592305 2.655454 -4.840690 -4.392936
41 2.9417796135 -4.978819 -4.894101 2.858255 -4.807425 -4.169211
42 2.9285287857 -4.386083 -4.859523 2.554656 -4.628992 -4.957048
43 3.0522012711 -3.051489 -4.933612 2.696424 -3.450256 -4.371157
44 2.9642546177 -4.652713 -3.338551 2.434550 -4.937718 -4.825051
45 3.0240530968 -4.222632 -4.020833 2.664274 -4.905283 -3.320510
46 3.0276284218 -4.483537 -4.609396 2.875628 -3.459965 -4.062460
47 3.0504364967 -4.441503 -3.941321 2.381505 -4.643823 -2.477957
48 3.0858917236 -4.361044 -4.894390 3.051122 -3.021088 -3.088698
49 3.0421366692 -3.991090 -2.810291 2.851051 -4.486599 -4.950802
50 4.3103094101 -3.904321 -3.558126 2.672237 -2.803143 -4.414465
51 2.9688630104 -4.626275 -4.464008 2.523677 -4.612321 -4.014169
52 4.3186645508 -4.156529 -4.858901 2.135418 -4.007983 -0.047482
53 4.3616633415 -1.219322 -4.939828 1.806921 -4.502012 0.891149
54 3.4396595955 2.629355 -4.594330 2.030138 -4.885560 0.791864
55 3.0026552677 -4.746536 -4.566272 2.641197 -4.906772 -2.790589
56 2.9667110443 -4.260657 -4.487367 2.583174 -4.486755 -4.606537
57 2.9225113392 -4.835216 -4.982634 2.698483 -4.819120 -4.536906
58 3.0558013916 -1.376015 -4.985451 2.642035 -4.898786 -4.458666
59 3.1114313602 0.000261 -4.924432 3.004894 -4.929654 -4.950659
60 2.9699530602 -4.595315 -4.575609 2.803724 -4.504454 -4.343445
61 2.9064660072 -4.988542 -4.771280 2.658990 -4.995784 -4.813005
62 2.9325881004 -4.711682 -4.939174 2.841298 -4.716332 -4.707112
63 2.9811408520 -4.864154 -4.692742 3.012454 -4.972705 -3.463877
64 2.9443497658 -4.601350 -4.648218 2.926867 -4.965676 -4.643958
65 2.9309346676 -4.893377 -4.469399 2.910800 -4.854061 -4.993097
66 2.9273915291 -4.624287 -4.958494 2.995032 -4.868122 -4.962463
67 2.9534411430 -3.997273 -4.738150 2.742252 -4.930302 -4.726701
68 2.9590766430 -3.951950 -4.503875 2.674125 -4.834622 -4.869092
69 2.9265866280 -4.674847 -4.421139 2.331280 -4.774982 -4.736027
70 2.9159655571 -4.836550 -4.453129 2.312756 -4.854692 -4.728140
71 2.9159607887 -4.830756 -4.911167 2.810344 -4.997918 -4.756271
72 2.9435939789 -4.800878 -4.853073 2.712623 -4.970507 -3.998723
73 2.9146163464 -4.632300 -4.753315 2.514357 -4.857356 -4.916550
74 2.8941605091 -4.812535 -4.950170 2.474943 -4.922470 -4.993223
75 2.9338431358 -3.818115 -4.976498 2.446897 -4.988683 -4.784620
