evaluations raw_y x0 x1 x2 x3 x4
1 3.9870443344 4.972058 2.993654 -0.980618 -2.061794 3.809681
2 3.8647556305 3.945506 2.978786 -2.532002 -3.128510 4.684898
3 3.9659764767 4.073887 2.761099 -2.494239 -1.075740 4.999999
4 3.8507015705 3.808084 3.837363 -3.177763 -2.654440 3.783290
5 3.9162192345 3.301836 3.275710 -1.332037 -3.088118 4.961841
6 3.8810994625 3.363276 2.848045 -3.498376 -0.291043 3.779223
7 3.9637181759 4.987192 4.240755 -3.864565 -1.606395 4.610741
8 3.8899314404 4.030788 1.938600 -2.803918 -1.646794 4.994479
9 3.8197026253 3.807378 3.783811 -3.381784 -1.664596 2.282816
10 3.7803955078 3.291274 2.999038 -3.707395 -2.872224 4.237594
11 3.8393528461 3.837200 3.157900 -2.361869 -2.205446 2.837558
12 3.6984031200 0.598150 3.208469 -3.235499 -2.750716 4.218814
13 3.9983389378 3.733227 4.789146 -2.936143 -1.023616 4.501672
14 3.8798401356 3.961494 3.443995 -3.758950 -2.051887 4.714034
15 3.8251368999 2.233658 3.441338 -2.290484 -2.037912 3.579696
16 3.8481512070 3.584108 4.992846 -3.976093 -2.662548 3.657678
17 3.6720635891 0.988955 4.370636 -3.798445 -3.890414 3.761036
18 4.0063419342 4.204618 3.217164 -1.383093 -1.403783 4.534282
19 3.7591414452 1.748381 2.863263 -3.405203 -2.615312 4.870371
20 3.8915948868 1.811876 3.793979 -3.121111 -0.233357 4.202202
21 3.7537529469 3.403998 1.693513 -2.462605 -4.219878 4.940397
22 3.8443109989 1.415381 4.572553 -2.706331 -2.766428 4.988219
23 3.7347261906 0.279530 3.779912 -3.222833 -2.283807 4.340478
24 3.7432866096 1.540116 3.901789 -4.108433 -2.918291 4.689973
25 3.8035161495 2.166884 4.953315 -3.236442 -3.630457 4.302498
26 3.7956559658 1.864580 3.030365 -4.964114 -0.640942 4.943038
27 3.7444691658 0.737124 4.806922 -3.283714 -1.354650 2.180028
28 3.7332558632 1.601428 4.640558 -4.568995 -3.416432 4.643179
29 3.6777765751 1.861285 4.549994 -3.342741 -3.436232 1.909038
30 3.7091202736 0.667124 4.752665 -3.137171 -3.344867 3.366423
31 3.6466784477 -1.341575 3.700420 -1.883203 -2.272019 2.641004
32 3.6219484806 0.894566 4.981915 -4.934499 -3.395177 2.682487
33 3.5130825043 -2.146275 3.771905 -4.795432 -3.105391 3.972211
34 3.5261449814 0.355520 4.663813 -2.939332 -4.682360 0.609545
35 3.5940897465 -1.263032 4.534223 -4.954671 -1.680603 2.924733
36 3.8045563698 0.764627 4.993802 -3.281062 -0.961666 2.964363
37 3.5061903000 0.939448 3.910386 -4.776179 -3.539419 0.975290
38 3.7267742157 -1.459809 4.953261 -1.300932 -0.117451 0.628663
39 3.6328930855 0.470610 4.612776 -4.964276 -1.281589 1.612805
40 4.8833065033 -2.492525 0.868893 -3.727845 -4.485422 -0.424735
41 3.4349069595 -1.462313 4.614540 -4.974083 -4.256129 1.902266
42 3.5750308037 -2.909613 4.957973 -0.434463 -1.838700 -0.554449
43 3.5432024002 -1.995576 3.714409 -2.361483 -3.366759 2.461661
44 3.7080316544 4.132102 2.810102 -4.189431 -4.692090 4.237459
45 3.7245469093 0.261665 4.013670 -2.780662 -3.778508 4.999537
46 3.6899399757 -0.043191 4.803087 -3.330355 -1.061141 1.462710
