evaluations raw_y x0 x1 x2 x3 x4
1 3.9069597888 4.972058 2.993654 -0.980618 -2.061794 3.809681
2 3.7792033056 3.945506 2.978786 -2.532002 -3.128510 4.684898
3 3.8532944678 4.073887 2.761099 -2.494239 -1.075740 4.999999
4 3.7918294560 3.808084 3.837363 -3.177763 -2.654440 3.783290
5 3.8594853389 3.301836 3.275710 -1.332037 -3.088118 4.961841
6 3.8515408416 3.363276 2.848045 -3.498376 -0.291043 3.779223
7 3.8771997754 4.987192 4.240755 -3.864565 -1.606395 4.610741
8 3.7757531981 4.030788 1.938600 -2.803918 -1.646794 4.994479
9 3.8647900915 3.949261 1.846440 -3.022074 -0.212940 4.716632
10 3.7342557101 3.786326 1.799258 -2.669423 -2.682967 4.315499
11 3.8125591661 3.726332 2.550090 -3.820834 -1.155083 4.773072
12 3.5706646368 2.193544 0.254317 -3.099479 -3.262358 4.589922
13 3.8895403219 3.902161 2.945734 -1.617140 -1.394775 4.305328
14 3.8389902566 3.936431 2.610834 -1.830260 -2.321097 4.548262
15 3.7231320384 2.790133 1.814640 -3.477402 -1.978133 4.626515
16 3.7861909402 4.997992 1.330411 -2.049154 -1.530111 4.915888
17 3.5736635290 0.413470 1.908108 -2.520186 -4.617644 3.112068
18 3.9846341318 3.279056 3.395168 -2.229607 0.429635 4.733852
19 3.6607165747 2.272250 0.604227 -2.646469 -2.132397 4.954745
20 3.7675052813 3.841767 0.868627 -1.667354 -1.462742 3.387509
21 3.7176975994 2.031671 1.967629 -3.959856 -1.507178 2.695494
22 3.6778710355 0.964542 1.564371 -2.231293 -1.926901 4.220025
23 3.5886961958 1.654575 -0.117120 -2.733316 -2.418210 3.673911
24 3.6312660288 1.772020 0.822076 -2.087519 -3.213326 4.890490
25 3.6923865120 1.249057 2.530947 -2.173439 -4.305607 4.093424
26 3.5652496723 -0.301778 2.432577 -4.123642 -4.057609 4.315850
27 3.5595803117 0.787243 -0.528167 -1.911104 -2.724306 4.396160
28 3.6576766771 0.521026 2.512803 -3.530058 -3.435977 3.654853
29 3.7238610643 -0.105559 1.972408 -0.598103 -2.870674 4.999612
30 3.5672689958 -0.065303 0.943615 -1.795340 -3.921999 4.084194
31 4.3325435400 -2.069835 -1.428146 -1.550910 -4.936703 4.866253
32 3.6586639008 0.138672 1.430695 -2.519927 -1.100078 3.747371
33 3.4860913229 -0.524044 1.049078 -4.236778 -4.892695 3.598677
34 3.4401579034 -0.364404 -1.890180 -0.952295 -4.977549 2.553484
35 3.5478713146 2.170795 -0.259277 -3.193602 -4.995620 4.432513
36 3.6159606317 2.518487 0.638945 -4.293483 -2.555403 4.959947
37 4.3696656200 -0.777101 -1.445474 -3.235375 -3.526134 3.373604
38 3.6460143187 2.175244 -1.089570 -2.901157 -0.805325 1.977103
39 3.4905475584 1.535894 -1.601715 -4.293146 -3.678990 4.673709
40 4.7242393400 -4.553866 -2.262682 -3.078585 -2.610300 3.288311
41 3.4526591021 -1.555731 0.354921 -1.710525 -3.920011 3.254422
42 5.2143492200 -2.389490 -3.821245 -4.697103 -4.999955 -0.700405
43 3.6362296224 -1.379531 3.521176 -0.322296 -4.979130 3.252992
44 4.5133547000 1.722410 -1.604459 -2.667414 -4.460738 -1.473894
45 3.6806881075 1.918941 2.775634 -2.833167 -4.941359 3.941701
46 3.6753621178 0.024323 1.074196 -1.736278 -1.924751 3.832494
47 4.6226144800 -4.735102 -4.913979 0.450023 -4.342306 4.970983
48 4.4405060800 -1.662171 -0.778892 -2.922637 -4.822402 2.903008
49 3.6699943450 -1.890732 2.584049 1.156330 -4.995412 3.232140
50 3.6012421152 -1.449198 -0.184904 1.887213 -4.521737 4.063386
51 3.5810436096 2.741331 -0.181574 -1.359032 -4.873363 1.745206
52 3.8615381165 -0.143681 2.541169 1.073082 -2.169459 4.732414
53 3.4629223853 -3.712163 2.457890 -3.804439 -4.078334 3.946345
54 3.5393879059 -1.055606 0.581717 -0.672457 -4.911717 4.319773
55 3.7050239117 -2.532809 3.795786 -0.917128 -1.227735 4.992654
56 3.4847759693 0.388838 -3.268121 -0.941182 -3.698029 2.659574
57 4.4379298800 -2.120153 -2.401335 -1.458637 -4.349976 4.512922
58 3.4148745504 -2.829713 -1.235048 -2.561868 -1.113243 4.074223
