evaluations raw_y x0 x1 x2 x3 x4
1 3.5356443322 -2.264954 -0.984215 -0.219201 3.748624 -0.685013
2 3.5726869498 -4.926621 -2.037102 0.688665 4.998356 -0.057586
3 4.5150752600 -4.403445 4.637950 -3.529909 -1.596635 -0.855758
4 3.6041186822 -3.936259 3.127018 -0.567283 2.952326 -1.704654
5 3.6356440896 -0.661747 -1.795611 3.346096 0.364299 0.379472
6 3.9036379680 -3.524130 1.730325 1.738779 1.419309 3.635619
7 3.8438001274 2.551450 -4.769231 0.808555 2.193622 2.533398
8 3.7657537114 3.978135 4.824188 -4.640018 -4.242460 3.763962
9 3.5003047795 -3.552041 -1.861105 2.364098 -2.286968 2.600839
10 3.5668014163 1.005329 1.251688 -1.356773 -1.774079 -0.201628
11 3.6571219027 -0.461265 -4.096277 3.800580 4.088494 -1.454730
12 3.5210781734 -4.793861 2.565131 3.203335 -1.950882 -2.342992
13 4.4291861800 -4.308383 0.474004 3.536309 -3.119117 -4.880372
14 3.8267343130 0.982398 2.295429 -3.884052 3.020056 1.501212
15 4.0436584992 2.172662 0.655748 3.781316 -0.099779 4.902880
16 4.8968105200 -4.144075 -2.753811 -1.511579 3.812106 -4.213439
17 4.7195283000 3.363029 -4.298313 -2.113898 -1.920850 -4.520917
18 3.8227621594 0.605508 0.859515 -2.318850 0.876569 4.377089
19 3.8107928390 1.807845 3.687947 0.557929 1.366535 -2.891937
20 3.4099666330 -1.181881 -2.369341 1.244828 0.587557 -3.962514
21 3.6897369696 4.998339 -4.972880 -0.964561 4.386217 -1.047900
22 3.9259878509 1.417304 0.382198 -0.842833 4.850690 2.168843
23 3.8695590605 4.842013 -0.086084 -2.974120 1.142970 4.801428
24 3.6757205395 -2.104888 1.948659 0.258239 2.640627 -0.978323
25 4.1181123859 2.232725 3.514953 1.035598 3.433391 1.250653
26 3.6100257466 -2.899262 1.869178 1.655459 0.798349 -2.327715
27 3.4749467770 2.699525 0.153196 -3.200376 -0.256413 -3.764207
28 3.6096515827 -1.855204 0.936175 4.176855 -0.902177 -1.152050
29 3.9104169293 4.134165 4.307944 -3.764801 -0.055955 4.476812
30 3.7281590323 3.507331 -3.133799 4.954990 -1.234439 -0.106666
31 3.4918173619 2.000522 -4.508191 2.254082 -0.570698 -3.369499
32 3.8651339290 4.544986 4.472428 1.479202 -4.603314 0.726388
33 4.6325928600 -2.561050 3.976898 -4.521493 -1.383813 -3.148242
34 3.4451619667 -2.857497 1.302560 -1.057989 -4.776994 2.956289
35 3.7479241382 3.728969 0.300686 -4.855102 4.530076 -0.597276
36 3.7016125978 0.202749 -2.246211 0.356550 1.097333 2.044823
37 4.4530135200 -1.737955 3.855744 -1.205723 -2.689495 -4.367614
38 5.1863537400 -3.191938 -3.454315 -4.021579 -0.390406 -2.751148
39 3.7662429427 2.752202 -0.574901 2.069613 -4.004831 3.074925
40 4.5263492800 -1.270009 -1.402973 -4.881607 2.456382 -2.485719
41 4.5188833800 1.636009 -3.007137 -0.106109 -4.463658 -1.941303
42 3.4261920000 2.944782 -3.751641 2.939280 -4.988188 -3.604085
43 4.4570314800 -3.843959 -1.165712 0.949714 -3.422370 -0.388317
44 5.1361832200 -4.709311 -4.702394 -3.348040 -4.509268 0.919998
45 3.7540957594 -1.634460 3.381233 -2.674120 2.565924 2.251872
46 4.3917036000 1.770471 -2.649598 -3.017019 0.690297 -4.171336
47 3.6273973133 -0.227491 2.735790 3.515513 -3.883716 -1.336642
48 3.8774665440 3.253435 -0.402126 -1.644576 1.802288 3.376938
49 4.0576014547 4.676390 2.443957 2.846264 4.331869 -1.899440
50 3.7043263872 -0.125861 -1.073421 2.711003 1.735526 0.217466
51 3.9551875085 4.449012 4.989942 -4.254485 1.639913 1.891807
52 3.3994189382 0.161446 -4.008468 -2.831093 -2.405577 3.990546
53 3.7897259616 -0.019974 2.079657 4.603291 0.331234 -2.617991
54 3.6680117587 0.562523 -0.852394 -4.183060 4.697959 1.287370
55 3.6339781766 3.559848 1.480154 -3.597794 -4.122517 1.780182
56 4.7019682800 -2.049668 -4.335850 -1.895139 3.283787 -3.131990
57 3.7012046342 1.242404 3.204938 -1.978205 -0.678142 0.774766
58 3.4956015437 -1.049264 -0.641961 -2.363593 4.066405 -1.632703
59 3.5082083750 -2.623364 -3.911859 -1.726494 2.765501 3.507752
60 3.7448192506 3.843310 -0.272307 -0.422728 -2.804009 3.810334
61 3.5138125210 0.767187 -2.943121 0.030765 -3.745766 3.237046
62 4.3032672000 -1.459418 -3.580193 3.061591 -3.292303 1.031856
63 4.6426351400 -4.559339 -2.094778 -2.472439 3.591556 -2.086067
64 3.8096891482 0.346271 1.630821 4.406587 2.202111 -4.813442
65 3.7617716390 -0.499724 3.609336 2.016939 3.241019 -4.628801
66 3.4203824467 -0.756109 -2.541798 0.129247 -1.511776 0.524742
67 4.0579311571 4.247045 4.097716 1.316907 -1.051643 4.722882
68 3.9368292192 1.381320 2.880329 4.029193 -2.869371 2.453457
