evaluations raw_y x0 x1 x2 x3 x4
1 4.2603505200 0.743250 -1.749515 -4.030637 1.490150 -2.359990
2 4.5644161400 -9.119885 1.533764 -6.432512 -8.881505 1.727831
3 4.7620946800 -9.756872 1.021120 -14.142477 0.398637 -11.098759
4 3.4362432749 2.713745 -8.499992 -9.360541 24.446925 -5.416215
5 3.5190612864 14.094344 -15.789065 -17.129191 29.530135 -3.149165
6 3.7253780410 -17.149122 -12.983538 3.806747 24.618218 5.033639
7 3.4709634605 -5.973471 -9.520388 15.043161 10.317034 -7.200774
8 4.2904453800 -4.598881 -27.792111 -11.257100 29.765377 10.572379
9 3.4928313178 2.900164 -20.489795 -2.109717 15.340207 -4.258812
10 3.6464438822 7.930592 -11.154776 -14.870887 32.286808 1.243043
11 4.2944144400 -7.395522 -17.261039 -6.324612 35.457171 5.766273
12 3.4362432749 2.714395 -14.678584 -15.577711 19.219843 -5.070733
13 3.7343649197 4.599031 -15.022625 0.285005 22.223260 0.022310
14 4.4582290200 0.672115 -18.001197 -19.422261 18.918942 -10.739488
15 3.7167771974 8.235536 -14.964789 -20.269774 18.565136 9.796094
16 5.0118919200 -7.915372 -2.707375 -13.107088 21.933392 -9.424657
17 3.7191658118 2.512784 -4.667601 -6.939709 33.964649 4.810950
18 3.5887015699 7.413362 -2.277326 -15.539187 28.359473 -2.292429
19 4.2703215034 0.794540 4.497506 2.374643 34.388335 3.935466
20 4.7669393800 -6.114441 -6.804870 -15.416993 23.006142 -0.945928
21 3.5016256627 -1.096870 -5.197394 -6.152894 23.506663 3.234888
22 4.7100012600 -0.838833 -7.139103 -14.862492 29.195390 -6.776635
23 5.1183810200 -4.979276 -13.145256 -6.693141 29.494565 -12.591210
24 3.7200772800 0.839471 -4.322634 -1.196161 27.452767 6.087113
25 4.9080571400 -2.011289 -9.266345 -9.522470 32.703293 -3.578936
26 4.4389328000 0.925715 -8.986424 -8.750180 35.657978 -7.619229
27 3.4654238899 2.300483 -11.743395 -1.993322 26.307402 -5.995444
28 4.3372744200 0.362512 -10.907998 -15.048080 24.133490 -2.544232
29 3.4862549818 13.556216 -8.811842 -9.275013 20.583933 -8.279106
30 3.4862549818 9.370469 -10.640723 -9.607069 27.300475 -11.099083
31 4.3167241800 2.050108 -8.481214 -4.109487 25.817667 -10.612404
32 4.5334048800 -0.216750 -8.128275 -15.096530 30.022999 -5.960555
33 4.2893675200 0.998572 -12.804108 -8.922083 25.070716 -2.895828
34 4.7895727000 -1.589289 -2.910659 -6.895397 18.546029 -10.309871
35 4.3119105200 1.192951 -14.761768 -12.093426 23.642793 -3.403301
36 3.4998930835 7.249678 -6.124749 -14.372530 24.848733 -3.629320
37 4.2739085200 2.304136 -15.486468 -9.748792 21.978004 -5.848858
38 3.4427091398 3.326866 -8.792538 -9.833903 20.179820 -7.363972
39 4.4372076600 0.803567 -8.371602 -5.556446 23.581623 -9.046283
40 3.5063018035 5.065050 -10.350951 -10.333214 20.880041 -3.233752
41 3.4360990042 2.728283 -12.095756 -10.004825 28.382990 -6.665902
42 4.3038404000 1.659902 -15.299485 -8.879464 30.960859 -4.119347
43 3.4804765152 4.340829 -12.876292 -9.648353 29.457359 -10.631664
44 3.4765206566 4.254673 -8.511896 -11.147042 30.376204 -4.609243
45 3.4515075802 3.696204 -12.450346 -12.146577 28.399102 -6.095900
46 4.3792541600 1.140657 -9.911191 -10.816156 30.902428 -7.669623
47 3.4455587674 2.505170 -12.060813 -11.135211 27.343126 -3.535009
48 4.8877075400 -1.205101 -12.203987 -9.843899 26.851707 -7.770907
49 4.4142504800 0.794268 -10.041830 -12.031876 30.712777 -4.125355
50 4.6052583400 -0.540309 -11.326202 -12.210554 30.867193 -7.291025
51 3.4335225734 2.535475 -9.929989 -9.265008 26.864792 -7.283671
52 3.4434381830 3.004853 -10.583385 -7.885330 26.166344 -5.893696
53 4.2896067000 2.130885 -9.788115 -9.187081 27.337231 -9.359234
54 3.4434804326 3.021979 -10.214316 -7.840838 25.791560 -7.452492
55 3.4431366643 3.145871 -9.563760 -10.463297 26.052710 -5.340611
56 4.3758381600 1.197753 -12.104318 -10.063864 26.566481 -7.891968
57 4.4555283600 0.443152 -8.852809 -8.974113 28.600360 -9.772604
58 3.4597756800 3.852528 -10.229567 -11.011614 27.510922 -6.712066
59 4.3210298800 1.752965 -9.454156 -7.704670 28.402586 -7.711538
60 4.3623810200 1.427418 -10.708915 -11.876648 27.218532 -9.414961
61 4.3210298800 1.702532 -9.880304 -8.695763 29.956092 -6.337589
62 3.4434804326 3.018825 -10.193595 -7.890899 26.027278 -7.477474
63 3.4335225734 2.537828 -8.261589 -8.120132 26.669268 -7.713319
64 3.4458630682 3.555949 -9.550158 -9.597898 25.773777 -7.463466
65 3.4332799450 2.660172 -10.565048 -8.076576 24.691509 -6.627592
66 3.4862549818 4.816365 -13.128520 -9.711669 27.604153 -8.112251
67 4.3098453400 2.096011 -12.119670 -7.990194 25.646012 -5.941878
68 3.4362432749 2.706473 -9.687949 -8.220331 22.985606 -6.497939
69 4.2804811800 2.147221 -12.021372 -5.958417 24.763847 -5.775387
70 4.3245520200 1.634020 -9.762727 -7.476861 26.009402 -6.716194
71 3.4427091398 3.246892 -11.269755 -7.837713 23.971047 -5.643072
72 3.4434381830 2.976341 -10.250343 -8.405920 25.159446 -7.623219
73 4.3152747600 1.816418 -10.385424 -8.264538 24.605880 -6.215480
74 4.4013239400 1.008132 -10.005832 -7.673204 24.780797 -6.993705
75 3.4330203821 2.426139 -10.567073 -6.979359 24.609184 -6.797826
76 4.3210298800 1.716871 -11.692392 -6.768975 24.760969 -7.450277
77 3.4434381830 2.985101 -10.704459 -7.530496 24.726273 -6.674923
78 3.4434381830 3.003062 -8.761405 -6.945728 24.410002 -6.621671
79 4.2741380400 2.213517 -10.860590 -6.388182 23.934059 -6.610293
80 4.3134605400 1.924627 -11.399856 -6.717079 25.041684 -6.595817
81 3.4330203821 2.443045 -10.309363 -7.508408 23.956103 -6.817909
82 3.4360990042 2.733289 -9.484987 -7.389966 23.948687 -6.948264
83 4.3152747600 1.783344 -11.417729 -7.012816 24.478918 -6.821046
84 3.4335225734 2.617734 -10.401275 -6.852876 24.913024 -6.555245
85 3.4362432749 2.665706 -10.559673 -6.953594 24.401351 -6.174974
86 3.4330203821 2.383148 -10.515180 -7.056975 24.905257 -7.130558
87 4.3098453400 1.995768 -10.517792 -7.220413 24.022022 -6.840164
88 3.4335225734 2.659830 -11.164035 -7.072439 24.366915 -6.601986
89 3.4435158394 2.895752 -10.556435 -7.208590 24.572359 -6.530844
90 3.4335225734 2.648638 -10.879049 -7.244737 24.081232 -7.329309
91 4.2740268400 2.293985 -10.150464 -6.372571 24.140081 -6.233621
92 3.4344391738 2.370139 -10.799546 -7.200796 24.539601 -7.179727
93 4.2693413800 2.322848 -10.962479 -6.372222 24.127521 -7.219077
94 3.4330203821 2.422198 -10.640804 -6.754053 24.890769 -6.893470
95 4.2691467400 2.275543 -10.372317 -7.602548 24.997084 -6.482924
96 3.4330203821 2.405688 -10.694327 -6.613264 24.671151 -6.627904
97 3.4330203821 2.519986 -10.867586 -7.270740 24.287202 -7.086971
98 4.2896067000 2.109946 -11.091573 -6.773134 24.872155 -7.246085
99 3.4362432749 2.664587 -10.423896 -7.286528 24.117194 -6.885467
100 4.3098453400 2.069896 -10.181677 -7.198763 24.418632 -7.126651
101 4.3098453400 2.021995 -10.785664 -6.849153 24.176749 -7.130218
102 3.4330203821 2.521527 -10.504804 -6.702268 24.412550 -6.937328
103 3.4330203821 2.499050 -10.375078 -7.139818 24.453578 -6.851154
104 3.4330203821 2.417094 -10.300866 -7.171662 24.787361 -7.131463
105 3.4330203821 2.493184 -10.690621 -7.363961 24.833651 -6.635556
106 4.2896067000 2.104891 -10.690763 -6.668129 24.722664 -6.599922
107 3.4330203821 2.490034 -10.574467 -6.796596 24.514339 -6.953037
108 3.4330203821 2.491277 -10.852367 -7.011782 25.122959 -6.995458
109 3.4335225734 2.588220 -10.491026 -6.993037 24.737093 -6.621755
110 4.3184750000 1.779933 -10.676680 -6.795030 24.544154 -6.369206
111 3.4344391738 2.368607 -10.670439 -6.998230 24.180479 -6.880086
112 3.4330203821 2.526787 -10.580430 -7.114772 24.456538 -6.400495
113 3.4330203821 2.501025 -10.613827 -6.811139 24.898816 -6.879526
114 3.4335225734 2.578806 -10.792560 -7.042987 24.297988 -6.890034
115 3.4360990042 2.740196 -10.518482 -7.068613 24.963946 -6.751988
116 3.4330203821 2.458514 -10.692797 -7.095743 24.759336 -6.901305
117 4.2693413800 2.318859 -10.569732 -7.009312 24.462609 -6.774576
118 3.4330203821 2.508766 -10.556380 -6.875077 24.600371 -6.813377
119 3.4330203821 2.476582 -10.609700 -7.104548 24.624430 -6.681767
120 4.2693413800 2.334763 -10.439384 -7.194956 24.693960 -6.783546
121 3.4330203821 2.457409 -10.603307 -6.895278 24.823210 -6.746914
122 3.4344391738 2.364263 -10.573300 -7.080730 24.567060 -6.911024
123 3.4335225734 2.642335 -10.401738 -6.903709 24.641639 -6.787104
124 3.4330203821 2.383406 -10.553461 -7.015678 24.633073 -6.771224
125 4.2740268400 2.287657 -10.617505 -7.053996 24.468452 -6.758059
126 3.4330203821 2.386868 -10.465451 -6.839975 24.593818 -6.813203
127 4.2740268400 2.293396 -10.628474 -6.970181 24.641063 -6.900665
128 4.2691467400 2.272215 -10.564625 -6.817834 24.573517 -6.733379
129 3.4330203821 2.529737 -10.581202 -6.939053 24.565783 -6.663487
130 3.4335225734 2.557827 -10.412830 -6.899294 24.586290 -6.755335
131 3.4344391738 2.376698 -10.660112 -7.016668 24.724364 -6.977634
132 3.4330203821 2.389063 -10.516710 -6.928428 24.614978 -6.714579
133 3.4330203821 2.405798 -10.462826 -6.897224 24.538179 -6.864966
134 3.4330203821 2.379705 -10.539430 -6.971750 24.652310 -6.743726
135 3.4330203821 2.482856 -10.546962 -6.981592 24.563112 -6.726508
136 3.4330203821 2.400110 -10.551674 -6.929869 24.596646 -6.805362
137 3.4330203821 2.392222 -10.581931 -6.970022 24.528703 -6.766643
138 3.4330203821 2.440050 -10.616201 -7.004013 24.587785 -6.764739
139 3.4330203821 2.473683 -10.550323 -6.972085 24.601486 -6.786081
140 3.4330203821 2.383110 -10.577639 -7.003322 24.617964 -6.799728
141 3.4330203821 2.460736 -10.517688 -6.977539 24.560270 -6.713652
142 3.4330203821 2.438794 -10.546200 -6.965019 24.563067 -6.763204
143 3.4330203821 2.455261 -10.577437 -6.960286 24.541859 -6.831494
144 3.4330203821 2.447930 -10.563763 -6.999653 24.598594 -6.824533
145 3.4330203821 2.402803 -10.554166 -6.999834 24.651960 -6.797825
146 3.4330203821 2.498256 -10.548857 -6.980001 24.604407 -6.848598
147 3.4330203821 2.421731 -10.593975 -7.003734 24.650092 -6.776887
148 3.4330203821 2.427394 -10.567755 -6.968966 24.604251 -6.864004
149 3.4330203821 2.401777 -10.501630 -7.029018 24.591665 -6.740148
150 3.4330203821 2.407776 -10.582825 -6.987065 24.593001 -6.779353
151 3.4330203821 2.435511 -10.552624 -7.032907 24.595733 -6.798867
