evaluations raw_y x0 x1 x2 x3 x4
1 3.9474444787 -0.611676 -0.065449 3.503843 4.996553 2.290795
2 4.2826875000 1.054082 -3.919692 -3.655156 2.161153 -2.267418
3 4.3421915400 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
4 3.4091930246 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
5 3.8523060864 3.644968 2.627505 2.332067 -2.606695 1.414534
6 3.6829630714 1.819174 -0.846976 -3.703254 1.112385 3.283452
7 3.5869560134 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 3.4746921734 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
9 3.7364592902 3.678345 1.779529 -0.285570 0.857664 -1.475784
10 3.8537669376 4.049697 -1.458714 3.594827 -1.333719 3.936445
11 3.8682413741 -3.420748 2.294169 4.923463 1.571053 3.231936
12 4.6612522000 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
13 4.6529968200 3.686591 1.507612 -4.994789 -4.128363 -3.334358
14 3.6637946093 4.786593 3.860523 -0.834856 -3.860440 -1.208003
15 3.5554060339 1.955925 -4.636282 3.905097 -3.138640 -1.274542
16 3.4663368960 3.398201 -5.000000 -2.290235 0.014903 0.132918
17 4.9886107800 -5.000000 -5.000000 -2.921096 -4.977815 0.745025
18 4.3243307800 0.871952 -4.401333 -1.654583 -1.655718 0.653017
19 3.6256603795 2.763408 -4.355325 0.206818 0.168537 0.912814
20 3.6308081088 3.571019 -4.893532 -2.700443 0.489093 4.375414
21 3.6488841293 3.344776 -5.000000 2.430972 0.836683 -2.556025
22 3.4321369594 -0.877386 0.148482 -1.733398 -2.868884 1.015320
23 3.5904544531 -0.827445 0.525806 0.136695 -4.974771 2.051162
24 3.4786554970 2.944845 -5.000000 -4.642349 1.572685 -0.498576
25 5.0046677400 -0.727101 -4.988494 -3.446944 -4.461126 -0.378239
26 3.4818834874 -0.856219 -0.916218 -2.863225 -1.054816 2.613771
27 3.4110386496 -0.025885 -0.916112 -2.245102 -1.887276 0.888567
28 4.3999462800 -2.261943 -0.987204 -2.013044 -5.000000 1.247965
29 5.1211500800 3.122247 -5.000000 -5.000000 -2.344439 -5.000000
30 3.5983057421 0.216230 -0.924444 0.719961 -3.436445 1.494750
31 3.7057001990 4.490196 -0.956525 -2.939304 1.692731 1.038404
32 3.6668911853 2.929568 -5.000000 3.816863 0.332743 -1.010768
33 3.6187190035 3.539245 -4.900141 -3.540816 3.029556 0.849606
34 3.4892354880 -0.426223 0.832506 -3.908687 -1.226683 1.451270
35 4.3253765400 3.124836 -3.278383 -5.000000 -0.808678 1.347772
36 3.6553984301 -0.765478 1.898979 -1.154042 -0.490849 2.739495
37 3.5817015629 -3.693819 -0.961653 -2.490405 3.229809 2.313641
38 3.7421570246 3.315255 3.129904 -1.730923 -3.113045 2.715229
39 3.6971171539 0.744998 -5.000000 -2.642238 5.000000 1.548228
40 3.6834634656 -0.453207 0.344102 -0.706796 0.490813 1.469868
41 3.6548362771 -5.000000 2.166908 -5.000000 3.638499 2.026458
42 3.6114391469 5.000000 -2.553882 3.021826 -5.000000 0.206326
43 3.6581083661 5.000000 -1.568136 5.000000 -3.101442 -3.617236
44 3.7097033184 5.000000 -1.480971 0.583822 -1.657388 0.933048
45 3.5812112774 -5.000000 3.791969 -2.164830 -1.544009 4.199061
46 3.5022705869 -4.204221 -2.746168 5.000000 -5.000000 2.420061
47 3.4655658624 -5.000000 -5.000000 5.000000 -1.962596 1.279902
48 4.4102250600 -5.000000 -5.000000 5.000000 -5.000000 0.124407
49 3.5580878726 -5.000000 -2.054618 2.932457 -1.868437 4.337734
50 3.6620667821 -0.886772 -0.953146 5.000000 -2.057055 1.173677
51 3.5881465882 -5.000000 -5.000000 2.040698 1.280172 3.124130
52 3.5944337606 -5.000000 0.767728 0.741815 -1.017446 2.636349
53 3.5260425965 -2.497220 -5.000000 5.000000 -3.162181 5.000000
54 3.6597939437 -3.659121 0.859003 3.397528 -5.000000 5.000000
55 3.6673009632 -0.550334 -5.000000 5.000000 -1.184058 2.746343
56 3.5289630547 -4.150270 -2.277695 0.280752 -1.356277 5.000000
57 3.5997716736 1.611667 -5.000000 3.373391 -5.000000 5.000000
58 4.5180821800 -5.000000 -5.000000 -5.000000 4.139955 3.418676
59 3.7823428915 0.169746 2.662967 -4.735891 5.000000 0.140546
60 3.5373904762 -5.000000 -4.754039 5.000000 -1.728666 5.000000
61 3.7433800339 5.000000 -5.000000 -0.597555 5.000000 -0.459839
62 3.5612849664 -1.643464 -1.900281 1.742465 -1.974161 3.593313
63 3.6101251584 -5.000000 1.789949 -0.624354 2.775993 0.542094
64 3.5782075469 -5.000000 -5.000000 5.000000 4.044855 -0.400316
65 3.6328307501 -1.532050 -2.345635 1.213059 1.949130 0.618345
66 3.6330306970 -5.000000 -5.000000 5.000000 1.305123 2.982900
67 3.6371059430 -0.699537 -0.802413 -0.031539 -4.060165 5.000000
68 3.5067700915 -5.000000 -3.916015 5.000000 -5.000000 5.000000
69 3.5505453427 -2.818084 5.000000 -5.000000 -0.943683 2.974318
70 3.6048719002 -5.000000 5.000000 -2.103189 -0.548983 1.969120
71 3.8244497933 5.000000 2.676033 5.000000 -5.000000 -1.872978
72 3.6013880966 -2.886994 -2.241385 5.000000 5.000000 -3.547771
73 3.7613692397 5.000000 -5.000000 5.000000 4.337736 -4.784917
74 3.5559941933 -5.000000 -2.551208 1.350563 5.000000 -1.212783
