evaluations raw_y x0 x1 x2 x3 x4
1 3.7235210502 -0.278294 2.821912 -3.180845 -1.119519 4.349367
2 4.5686815701 -4.600541 9.122602 -17.654799 -2.791644 12.243238
3 4.8365216952 -4.780127 14.381257 7.407489 7.681290 3.666444
4 3.6657210988 0.304830 -5.563685 -9.668639 21.129999 -4.947993
5 5.5606856538 -2.852052 -16.818633 -11.874624 19.449507 -2.699065
6 4.2792542091 10.330108 -2.249115 -8.122986 27.562134 -12.063779
7 5.1009559629 6.051732 2.628991 -8.936480 31.689750 3.043398
8 4.4947828702 -2.147636 1.375431 -13.048860 31.661593 2.605100
9 5.5794621125 -0.026496 -19.345499 -15.073959 30.387576 -7.794674
10 5.4780247872 -0.564540 -8.372705 -20.377847 22.059579 -3.350786
11 4.2682318163 11.150253 -14.935114 6.067790 40.378994 -3.368580
12 3.8938272646 -3.066080 -6.221680 1.040710 9.078694 5.703269
13 5.2619541880 7.729204 9.707455 -0.440763 23.431503 -2.223211
14 4.5868347124 -5.021511 0.485619 -10.254065 35.869231 1.497182
15 5.0635019224 -15.999671 -10.303419 9.443429 28.481699 21.988563
16 4.7317064515 10.797633 -10.610132 -1.149831 33.291820 -6.399367
17 4.3264287200 3.808130 -0.610863 -3.252947 23.810871 -7.206597
18 4.0984878362 15.562182 -13.900197 -2.664650 18.763209 -6.488146
19 5.6398953796 -5.990250 -12.548250 -6.291462 15.924465 -6.115072
20 4.1554070569 0.595515 0.465081 -3.437020 25.069616 -10.103488
21 3.9242354546 -0.813173 -2.866860 -8.227730 24.923809 -5.777452
22 4.0005281021 7.335646 -8.580508 -7.419927 20.751726 -3.082218
23 4.5288734960 5.116751 -4.839025 -19.082025 15.091410 -0.255574
24 3.7605503764 -3.837850 -4.938436 -5.553542 16.513369 1.266222
25 3.6581384897 -1.563539 -10.028892 -4.040279 22.593841 -5.882018
26 4.7962315300 -0.466984 -13.044660 -4.262431 18.238261 -8.456938
27 4.6819717312 4.016021 -1.742758 -4.243367 29.137027 -2.388153
28 4.0198200824 1.361858 -8.375365 5.507298 19.804507 -8.846932
29 4.0882475556 4.547365 -4.424923 -5.951525 20.188194 -3.323859
30 4.6347172153 -3.174761 -12.921831 -10.820948 24.436153 -3.461695
31 3.5337471695 -9.519271 -6.517595 -0.109766 19.684363 -5.338034
32 4.9120070704 -10.901873 -11.476902 1.836805 16.781840 -5.814240
33 5.9626536143 -14.959039 -12.178306 -2.445512 21.307477 -7.665523
34 4.5195611494 -15.986255 -4.565495 7.294977 16.011061 -7.212437
35 5.3254803941 -15.694409 -7.290438 2.399413 18.490632 -8.807857
36 4.7829560960 -11.917690 -8.027549 -5.069676 19.203526 -1.966655
37 3.7433400088 -9.692510 -2.115942 -1.668919 19.162926 -2.634211
