evaluations raw_y x0 x1 x2 x3 x4
1 3.5905744157 -1.628547 -4.543770 0.916356 0.469785 4.301324
2 3.6838507317 0.280666 -2.578464 -0.072430 4.010417 0.034136
3 3.9712113587 2.031648 2.075967 4.826516 0.254729 -0.862669
4 5.2473571096 -2.144460 -3.408443 -1.644985 -2.849556 -2.628037
5 3.9636249010 2.346823 1.029467 2.309785 -2.042913 4.507417
6 4.9496777732 -4.212780 -3.792419 1.462300 -0.808004 -3.090924
7 4.0550260873 1.380434 -1.788849 3.265586 4.685934 2.723245
8 3.9129535143 4.190786 -1.377924 3.883337 2.419429 -2.137997
9 3.6936473824 -2.357431 4.620760 -3.452612 1.360266 1.730119
10 3.6565014824 4.811503 2.846796 -4.763477 2.180125 -4.033727
11 3.5575803041 0.540190 3.811340 -4.138738 3.385837 -4.847243
12 3.5962946965 -0.362309 -0.612707 -1.824558 -1.038208 3.485344
13 3.5273103799 3.170744 0.781586 -0.549519 -3.816962 -1.535143
14 4.3690655238 -4.613928 0.017285 2.564807 -4.358613 0.766817
15 3.4155162041 -3.121814 3.515825 -2.783287 -3.359822 1.211978
16 3.4906937096 -1.760352 4.988993 -3.032166 -3.486632 0.493260
17 4.3948955785 -4.410784 1.315061 -0.878258 -1.174332 -0.747230
18 3.4511077370 1.235191 1.434013 -4.604791 -2.283663 0.505996
19 3.5868115708 2.233504 4.810002 -2.068213 -4.277443 -1.269797
20 3.8719554492 -4.255177 4.837185 1.299104 0.650730 3.496759
21 4.8252596200 -3.964727 1.739855 -4.888401 -4.223882 2.082271
22 4.3266998450 -1.454873 2.733345 -4.905092 -2.683156 1.033484
23 4.5045668129 -2.721712 4.101817 -4.828918 -4.079606 0.775611
24 4.7402634970 -3.708377 2.814218 -4.969649 -4.886024 2.153885
25 3.5525758216 -1.407169 2.579525 -2.188147 -1.254104 0.905449
26 3.4498748647 -3.851363 4.773525 -2.526477 -3.531170 1.393710
27 4.4508451362 -3.848640 4.041425 -3.066949 -4.075554 0.603711
28 3.4896128430 -2.827550 3.917601 -2.528987 -2.241651 0.858668
29 3.5163005114 -3.826866 3.602084 -2.442898 -0.690824 1.154355
30 3.5922896431 -3.124678 4.609232 -2.435066 -1.428638 1.934009
31 4.3683763608 -2.735954 1.840178 -2.587028 -3.676916 1.449190
32 4.4631112896 -3.192718 1.241103 -2.591029 -3.180890 1.225275
