evaluations raw_y x0 x1 x2 x3 x4
1 3.6054944992 -0.248928 0.248928 -0.248928 -0.248928 0.248928
2 3.6528658867 0.601231 -0.601231 0.601231 0.601231 -0.601231
3 3.6837768555 4.877833 -4.877833 4.877833 4.877833 -4.877833
4 4.5066480637 -4.605106 4.605106 -4.605106 -4.605106 4.605106
5 3.5329945087 -2.540968 2.540968 -2.540968 -2.540968 2.540968
6 3.7001824379 2.820915 -2.820915 2.820915 2.820915 -2.820915
7 3.6825790405 2.326088 -2.326088 2.326088 2.326088 -2.326088
8 3.5714175701 -1.981064 1.981064 -1.981064 -1.981064 1.981064
9 3.5822629929 -1.701131 1.701131 -1.701131 -1.701131 1.701131
10 3.6398439407 1.356181 -1.356181 1.356181 1.356181 -1.356181
11 3.7281556129 3.166006 -3.166006 3.166006 3.166006 -3.166006
12 4.3428664207 -3.446027 3.446027 -3.446027 -3.446027 3.446027
13 4.3962817192 -4.252870 4.252870 -4.252870 -4.252870 4.252870
14 3.6910426617 3.980218 -3.980218 3.980218 3.980218 -3.980218
15 3.6251292229 0.873970 -0.873970 0.873970 0.873970 -0.873970
16 3.5358965397 -2.441555 2.441555 -2.441555 -2.441555 2.441555
17 3.5299136639 -0.958727 0.958727 -0.958727 -0.958727 0.958727
18 3.5358965397 -2.410602 2.410602 -2.410602 -2.410602 2.410602
19 3.5792214870 -1.099191 1.099191 -1.099191 -1.099191 1.099191
20 3.5366966724 -0.622833 0.622833 -0.622833 -0.622833 0.622833
21 3.5619063377 -0.745438 0.745438 -0.745438 -0.745438 0.745438
22 3.5589132309 -0.833732 0.833732 -0.833732 -0.833732 0.833732
23 3.5299136639 -0.959475 0.959475 -0.959475 -0.959475 0.959475
24 3.4517889023 0.000000 1.577695 -3.840965 -3.840965 1.577695
25 4.5970063210 0.000000 -0.342661 -4.422716 -4.422716 -0.342661
26 3.6291348934 0.000000 1.139295 -2.287321 -2.287321 1.139295
27 3.4386789799 0.000000 1.812254 -4.591992 -4.591992 1.812254
28 3.4360716343 0.000000 1.279818 -4.653509 -4.653509 1.279818
29 3.4714629650 0.000000 1.072076 -3.175734 -3.175734 1.072076
30 3.4374060631 0.000000 1.547597 -4.966033 -4.966033 1.547597
31 3.4360716343 0.000000 1.519548 -4.766592 -4.766592 1.519548
32 3.4360716343 0.000000 1.206490 -4.693672 -4.693672 1.206490
33 3.4360716343 0.000000 1.420158 -4.784600 -4.784600 1.420158
34 3.4360716343 0.000000 1.375038 -4.551539 -4.551539 1.375038
35 3.4363310337 0.000000 1.190332 -4.506907 -4.506907 1.190332
36 3.4452424049 0.000000 1.296272 -4.342914 -4.342914 1.296272
37 3.4452424049 0.000000 1.359603 -4.335877 -4.335877 1.359603
38 3.4360716343 0.000000 1.382766 -4.560947 -4.560947 1.382766
39 3.4360716343 0.000000 1.384924 -4.683606 -4.683606 1.384924
40 3.4360716343 0.000000 1.264692 -4.562633 -4.562633 1.264692
41 3.4374060631 0.000000 1.236014 -4.822658 -4.822658 1.236014
42 3.4360716343 0.000000 1.268596 -4.687619 -4.687619 1.268596
43 3.4360716343 0.000000 1.304999 -4.568277 -4.568277 1.304999
44 3.4360716343 0.000000 1.262763 -4.740765 -4.740765 1.262763
45 3.4360716343 0.000000 1.276434 -4.686920 -4.686920 1.276434
46 3.4360716343 0.000000 1.281973 -4.670639 -4.670639 1.281973
47 3.4360716343 0.000000 1.281720 -4.668426 -4.668426 1.281720
48 3.4360716343 0.000000 1.291437 -4.646817 -4.646817 1.291437
49 3.4826490879 0.000000 0.815296 -4.163516 -4.812211 2.047076
50 3.5467157364 0.000000 4.371121 -4.998297 -4.812270 1.462896
51 3.5493702888 0.000000 4.858839 -3.838701 -4.988696 1.080760
52 3.4027667046 0.000000 1.367806 -4.028579 -4.852156 0.728059
53 4.3928041458 0.000000 -3.071608 -4.947336 -2.035285 0.859303
54 3.4959928989 0.000000 1.596683 -1.446404 -4.423716 0.749737
55 3.4459712505 0.000000 3.055543 -3.651456 -4.817030 0.600766
56 3.4087300301 0.000000 0.999524 -2.519717 -4.962884 0.321813
57 3.6142532825 0.000000 1.279256 1.614781 -4.440273 1.018100
58 3.4832093716 0.000000 1.268910 -2.787193 -4.966886 1.160576
59 4.3150572777 0.000000 2.030834 -4.697258 -4.410688 0.820217
60 4.3394665718 0.000000 1.254860 -4.966665 -4.697164 0.382074
61 3.4100248814 0.000000 1.395847 -3.109821 -4.792280 0.744319
62 4.3266277313 0.000000 1.372595 -4.723452 -4.464646 0.925178
63 3.4345262051 0.000000 -1.278117 -3.969949 -1.057674 0.686213
64 4.2732305527 0.000000 1.204539 -3.242282 -4.566942 0.593938
65 3.6408379078 0.000000 2.317439 -2.774099 -1.274693 0.801720
66 3.3703870773 0.000000 1.402921 -3.028986 -4.870791 0.617058
67 3.4241645336 0.000000 -0.463198 -1.664204 -3.315342 0.564899
68 3.4261581898 0.000000 -0.264961 -2.352192 -4.189192 0.732637
69 3.6153740883 0.000000 3.323080 -1.661082 -4.673179 0.713270
70 3.3952941895 0.000000 -0.130116 -1.748121 -4.170110 0.526195
71 3.5619850159 0.000000 0.870316 1.042112 -4.959016 0.731465
72 3.4318470955 0.000000 1.054712 -2.466327 -3.929673 0.675479
73 4.2952604294 0.000000 0.832781 -4.264592 -4.956493 0.656518
74 3.3960375786 0.000000 1.445598 -3.024512 -3.098286 0.655060
75 3.4126546383 0.000000 1.275554 -2.316158 -4.873142 0.618118
76 3.4031555653 0.000000 1.562152 -3.643633 -4.923066 0.727205
77 3.3813991547 0.000000 1.409619 -3.431980 -3.967087 0.623456
78 3.4236454964 0.000000 1.370492 -2.696085 -3.967276 0.676982
79 3.3904969692 0.000000 1.465599 -2.952154 -4.894410 0.681343
80 3.3675274849 0.000000 1.413112 -3.209039 -4.992985 0.658992
81 3.4164671898 0.000000 1.439151 -3.395191 -4.194058 0.709040
82 3.3675274849 0.000000 1.454816 -3.370956 -4.955154 0.627985
83 3.3675274849 0.000000 1.370546 -3.348489 -4.998354 0.685363
84 3.4031555653 0.000000 1.446088 -3.348103 -4.978108 0.702004
85 3.3703870773 0.000000 1.369945 -3.101947 -4.933406 0.622156
86 3.3675274849 0.000000 1.433349 -3.327826 -4.746877 0.625755
87 3.3675274849 0.000000 1.427927 -3.256209 -4.992342 0.639924
88 3.3675274849 0.000000 1.423083 -3.269497 -4.988798 0.641701
89 3.3675274849 0.000000 1.425852 -3.218699 -4.972754 0.640909
90 3.3675274849 0.000000 1.424226 -3.211340 -4.996856 0.642737
91 3.3675274849 0.000000 1.409747 -3.264624 -4.940218 0.641468
92 3.4044530392 0.000000 1.565625 -2.762555 -4.525336 0.564956
93 3.8010172844 0.000000 1.066569 -2.302111 3.543068 1.611920
94 3.6757037640 0.000000 1.279386 -1.283593 2.497774 0.216194
95 3.5751090050 0.000000 0.879273 -0.576715 -2.016173 0.293881
96 3.5827167034 0.000000 0.756287 -4.105401 1.811109 -0.320140
97 3.5489108562 0.000000 1.780404 -3.464994 0.220595 0.423758
98 3.4271121025 0.000000 1.174222 -3.243099 -3.440472 0.781089
99 3.5154035091 0.000000 1.639191 -4.601915 -1.025746 0.546804
100 3.5419127941 0.000000 1.128648 -2.437123 -2.032734 0.348238
101 3.6433236599 0.000000 1.185233 -1.946452 2.299775 0.389119
102 3.5775802135 0.000000 1.663346 -2.665231 -2.184066 0.714773
103 3.5446085930 0.000000 1.135754 -3.235503 -0.480317 0.699542
104 3.3770263195 0.000000 1.615259 -3.841699 -4.424686 0.653976
105 3.5933420658 0.000000 0.984945 -3.039098 1.037011 0.939107
106 3.6524295807 0.000000 1.382602 -2.832757 2.606786 0.374774
107 3.5282106400 0.000000 1.193160 -3.048078 -2.081460 0.752676
108 4.2739706039 0.000000 1.296981 -3.379493 -4.907068 0.542271
109 3.4044530392 0.000000 1.381518 -2.848193 -4.548128 0.628599
110 3.3909227848 0.000000 1.444801 -3.446415 -3.739701 0.626148
111 3.3799340725 0.000000 1.385187 -3.244884 -4.363229 0.681257
112 3.3703870773 0.000000 1.395879 -3.158908 -4.920670 0.642108
113 3.3675274849 0.000000 1.420898 -3.267082 -4.986158 0.644584
114 3.3675274849 0.000000 1.400563 -3.325411 -4.979883 0.671908
115 3.3675274849 0.000000 1.400850 -3.328542 -4.834717 0.647863
116 3.3675274849 0.000000 1.408394 -3.317604 -4.986749 0.647205
117 3.3675274849 0.000000 1.408950 -3.222842 -4.962192 0.652598
118 3.3703870773 0.000000 1.408960 -3.159974 -4.946194 0.652965
119 3.3675274849 0.000000 1.412833 -3.257096 -4.987589 0.657093
120 3.3675274849 0.000000 1.406792 -3.238872 -4.924668 0.652470
121 3.3675274849 0.000000 1.407531 -3.253018 -4.984152 0.653290
122 3.3675274849 0.000000 1.410203 -3.230385 -4.676369 0.655753
123 3.3675274849 0.000000 1.410497 -3.234935 -4.978354 0.655945
124 3.3675274849 0.000000 1.410871 -3.207616 -4.993132 0.655987
125 3.3675274849 0.000000 1.409896 -3.218542 -4.996912 0.656388
126 3.3675274849 0.000000 1.409918 -3.183133 -4.996744 0.655867
127 3.6975595951 0.000000 1.544648 -2.260202 4.803895 0.690392
128 3.6565783024 0.000000 1.466822 -3.635804 4.912488 0.432686
129 3.7263906002 0.000000 1.496037 -2.111732 4.520677 0.877942
130 3.4329774380 0.000000 1.492525 -2.066165 -4.283604 0.455494
