evaluations raw_y x0 x1 x2 x3 x4
1 3.6963791847 4.037296 -1.604811 0.564124 0.947105 -1.773343
2 4.3243865967 -16.722354 -2.104503 14.661306 -3.314189 0.412417
3 4.5820789337 -8.412659 1.659074 -9.654390 -20.760739 6.871542
4 3.9935853481 8.037670 1.726112 16.672569 -4.297167 9.207249
5 3.6908614635 4.276538 -14.988534 7.229614 6.353900 -10.956900
6 3.5893425941 -1.800152 -18.692503 19.424226 -7.537937 8.054697
7 4.2912473679 -24.694336 -12.330509 22.065189 14.147423 -4.795763
8 4.3470783234 -29.535321 -33.957514 11.569201 -9.744083 32.120091
9 5.0960988998 -4.665673 -20.986391 22.953020 -14.099189 -6.326609
10 3.5163023472 -0.956180 -25.900850 26.786178 -0.537445 -0.212846
11 3.8152451515 4.969042 -36.116612 10.733240 -3.407995 13.323700
12 3.7280538082 -18.868502 -33.038998 18.602401 22.717313 19.546248
13 3.5102622509 -3.408830 -12.712610 55.899409 18.908341 -16.758801
14 3.8681173325 3.331362 -16.102729 64.229524 19.777240 -0.316605
15 3.6907746792 14.660152 -40.508456 50.417670 26.072562 -16.092395
16 3.6444528103 -18.314736 -23.766945 51.337317 16.670332 0.992356
17 4.0718946457 14.447110 -6.351844 69.423401 23.210249 4.607880
18 3.6907746792 23.642764 -8.544057 49.265581 5.376419 -44.214867
19 3.7140743732 -19.704830 4.348664 53.583077 8.965034 -35.969868
20 3.5461368561 -1.264654 -18.827153 53.058606 29.790639 -4.756886
21 3.7123727798 12.218436 -3.028880 56.672620 22.415234 -9.607364
22 3.8704566956 -17.055669 11.234198 53.261029 38.713026 -1.906935
23 4.2912473679 -12.155818 -15.336536 54.604532 30.544075 -38.414838
24 4.2912473679 -6.770568 -9.283651 61.514480 19.687153 -30.991926
25 4.5562820435 -2.310932 -29.948216 89.251228 -0.194110 -14.586630
26 4.2912473679 -42.003820 -13.181678 77.567040 15.090897 -19.326402
27 4.2912473679 -13.230690 -13.254186 64.058351 30.111073 -19.625461
28 3.6632955074 1.634781 -11.309506 71.255421 26.001143 -32.091047
29 3.9476449490 1.860298 -13.051481 21.429587 12.260261 6.665895
30 3.5173385143 11.709322 -16.823191 63.960186 -2.667935 -2.441167
31 3.5098516941 -8.402637 -3.231405 25.107402 45.214258 -18.382137
32 4.2912473679 -11.935883 -25.277861 27.418736 47.721912 -17.630152
33 4.1735105515 -3.177473 8.426382 18.572760 58.283319 15.417576
34 3.7167339325 -23.707544 6.908847 34.302518 43.999217 -28.576127
35 3.6762084961 3.666574 -12.528576 16.850220 64.629347 -5.822362
36 3.7167339325 -9.268240 6.593888 32.982308 41.849296 -22.971792
37 3.7875711918 6.876388 -1.823665 36.539502 35.329301 -10.800730
38 3.6844770908 4.127518 -7.164631 34.604049 53.917915 -29.654973
39 3.7166831493 -4.838365 6.360616 16.595450 44.744323 -24.580310
40 3.8541207314 -1.441543 7.544361 43.476415 28.882018 -22.497696
41 4.0711784363 4.657797 -15.940139 35.127420 46.800021 7.786438
42 3.5201170444 -8.870040 -2.115134 28.361419 25.319695 -21.647019
43 3.5205681324 -8.070510 -2.337048 17.994332 49.562687 -12.570806
44 3.9478454590 2.761498 1.832516 32.052086 40.466222 -29.960592
45 3.5081431866 -3.753335 -15.036806 35.248773 53.683567 -30.516667
46 4.2912473679 -16.023840 -23.049956 41.539698 43.954719 -35.924208
47 3.5542190075 -0.864166 -18.014021 34.739782 57.413704 -40.919858
48 3.5317809582 -2.261930 -3.453148 37.974228 58.906378 -40.767346
49 4.2912473679 -7.422831 -14.516352 28.342408 52.455828 -29.097037
50 4.2912473679 -6.389119 -15.610398 38.685963 50.235149 -29.220129
51 3.5123112202 -3.143018 -26.174795 36.389592 60.739931 -26.656435
52 4.2912473679 -8.588014 -24.027445 33.346114 47.019895 -25.683633
53 3.5308749676 -2.116639 -14.101153 43.017261 54.428668 -30.882485
54 3.5577328205 -0.752174 -9.657117 32.420870 42.540649 -30.189750
55 4.2912473679 -7.290698 -11.718352 29.821399 57.658472 -35.716569
56 3.5102622509 -3.291205 -13.787141 27.718792 60.550051 -35.910367
57 4.2912473679 -8.787592 -7.468877 27.166824 48.012326 -25.155286
58 4.2912473679 -6.598485 -26.919234 37.859632 61.835660 -31.277900
59 3.5469565392 -1.698485 -8.501392 30.757885 62.192384 -28.826739
60 4.2912473679 -8.723117 -15.208658 32.976437 50.950836 -29.734315
61 4.2912473679 -12.084356 -9.830187 38.844221 52.102156 -32.041924
62 4.2950000763 -4.627008 -18.839595 37.451537 53.835845 -32.984924
63 4.2912473679 -8.519563 -13.675992 29.492077 57.787794 -33.983995
64 4.2912473679 -7.374726 -20.339397 35.851217 56.386185 -33.862113
65 4.2936139107 -4.902715 -16.447702 28.872825 48.765179 -27.798402
66 4.2924385071 -4.339776 -12.276035 36.902296 54.702753 -22.379710
67 3.5542190075 -0.936200 -16.133356 32.896934 52.012765 -28.713774
68 3.5469565392 -1.955964 -19.036147 34.130419 58.536978 -25.030003
69 3.5220329762 -2.637298 -12.276688 37.687558 54.872279 -32.312528
70 4.2912473679 -6.219344 -13.734796 32.015735 58.484245 -30.521750
71 4.2912473679 -5.179266 -11.551940 29.321629 52.088258 -29.347043
72 3.5175182819 -3.026061 -14.129618 34.719406 58.033906 -30.439921
73 4.2912473679 -6.949499 -14.984777 34.105593 54.582919 -25.695502
74 3.5577328205 -0.642499 -14.333664 35.129645 52.884922 -30.826792
75 3.5469565392 -1.859034 -14.399161 33.828796 53.279920 -27.633498
76 3.5111231804 -2.808793 -20.208554 34.239337 53.785249 -30.998041
77 4.2912473679 -5.627624 -12.496452 38.237563 52.182147 -28.554721
78 4.2912473679 -6.977948 -17.183351 33.775069 58.165358 -29.856652
79 3.6378529072 0.246537 -13.612728 33.934310 55.024125 -29.799380
80 4.2950000763 -4.588292 -15.537573 35.476291 54.174230 -29.590082
81 4.2912473679 -6.049430 -15.384232 33.820130 52.999675 -29.199319
82 3.5542190075 -0.913447 -16.045996 36.995614 54.307915 -31.995378
83 4.2932991982 -4.356867 -12.733849 37.048491 56.058208 -31.774368
84 4.2912473679 -5.172236 -17.142112 33.818009 56.306074 -33.314089
85 4.2912473679 -5.642522 -16.781195 36.804439 57.188193 -28.757254
86 4.2912473679 -7.353541 -17.194443 34.681984 51.494707 -31.430979
87 4.2912473679 -6.808964 -15.561285 34.184513 55.582843 -31.519841
88 4.2912473679 -5.120630 -15.798084 35.001912 52.765070 -31.348009
89 3.5007345676 -3.921559 -17.313439 33.752504 56.284630 -29.981207
90 4.2912473679 -6.113599 -16.149205 35.661061 55.669360 -29.925217
91 4.2950000763 -4.783716 -18.243226 33.544522 56.320853 -31.664854
92 4.2912473679 -6.337545 -18.446162 33.944824 56.714872 -30.678364
93 4.2650909424 -4.269918 -17.462935 33.678121 55.007698 -31.969385
94 4.2950000763 -4.718022 -19.040139 33.355410 54.926028 -28.703078
95 4.2912473679 -6.210073 -15.827520 34.366157 57.434929 -29.015603
96 3.5081431866 -3.778096 -17.524233 34.068487 55.451249 -29.295790
97 4.2950000763 -4.690121 -16.157142 33.523233 54.245083 -29.794633
98 4.2950000763 -4.698816 -17.106230 32.887505 56.509849 -29.352072
99 4.2650909424 -4.111722 -16.877629 33.311517 55.619705 -29.590639
100 3.5102622509 -3.151909 -18.008418 34.253409 56.460631 -29.864069
101 3.5111231804 -2.912189 -16.188931 33.130024 55.219396 -28.563099
102 4.2653803825 -4.074644 -17.853079 33.611336 56.601604 -30.182696
103 4.2644233704 -3.930827 -17.712706 34.478032 56.271012 -31.215806
104 3.5102622509 -3.534227 -17.650685 33.281058 56.602686 -29.826318
105 4.2950000763 -4.838819 -16.385821 33.039953 56.726227 -29.805802
106 3.5081431866 -3.876699 -16.278607 32.861948 55.929612 -30.213956
107 4.2644233704 -3.962159 -16.895294 32.297340 56.025610 -29.485571
108 4.2653803825 -3.982009 -16.679500 33.384988 56.297512 -30.345845
109 4.2644233704 -3.961354 -16.145708 33.493777 56.487755 -30.291710
110 4.2950000763 -4.561094 -16.524266 33.259548 56.751708 -29.444014
111 4.2650909424 -4.194993 -16.748088 32.102286 56.465871 -29.545226
112 3.5102622509 -3.602595 -17.433121 33.103425 56.605844 -30.732902
113 3.5102622509 -3.348620 -16.603183 32.968057 56.146563 -30.412312
114 4.2650909424 -4.169633 -16.791336 33.952366 56.412888 -30.432641
115 3.5102622509 -3.293835 -17.300986 34.179504 55.839961 -29.542663
116 4.2950000763 -4.437935 -17.850378 33.666260 56.142115 -29.267343
117 4.2932991982 -4.379417 -17.817673 33.526786 56.635061 -30.119407
118 4.2650909424 -4.202022 -17.154782 33.618925 55.911026 -29.752539
