evaluations raw_y x0 x1 x2 x3 x4
1 3.6811490059 2.644090 3.917944 -4.145450 3.385384 -4.823396
2 3.5039110184 3.023398 -1.233785 -3.524263 2.909117 -2.984985
3 4.4942121506 -0.444364 -2.128928 2.422191 -3.755949 -3.944932
4 3.9243128300 -3.527911 2.855088 4.451056 4.195925 -0.176171
5 4.3710308075 -4.063399 -3.619457 -2.763345 -0.851215 4.657637
6 4.7404150963 -4.884778 -2.819229 -0.192086 0.317927 -3.474973
7 3.4513843060 -0.117790 -0.670591 -2.238146 -2.584518 1.018661
8 4.0463590622 4.822593 2.295233 3.915306 -3.117568 3.610065
9 3.5777769089 -1.375597 -4.306956 0.647448 4.932846 -0.904146
10 3.5496063232 1.183756 0.449602 -4.724420 1.764757 -1.794777
11 3.4179430008 0.734883 -4.381175 3.132408 -2.282733 -1.293165
12 3.7720470428 -1.721631 0.056908 1.924623 0.652064 2.320008
13 3.5559680462 -2.583145 3.453767 -1.041140 -1.649100 0.669452
14 3.9679596424 1.676466 1.455434 1.221958 1.587352 2.935696
15 3.8957605362 4.198970 4.346512 -0.466268 -4.547762 3.730316
16 4.0241928101 3.214933 1.543030 3.130050 3.747436 -1.898561
17 3.7664899826 1.396483 -4.760807 3.612041 4.546873 -0.301001
18 3.8954169750 1.625470 1.918920 0.961407 4.333171 -1.373558
19 3.4521205425 1.185069 -2.618904 -3.826499 3.662592 -0.273453
20 3.4196262360 -0.072306 1.425783 -1.790566 -3.958550 -0.313096
21 4.5648794174 1.577716 -4.568965 0.593061 -4.435424 -0.874055
22 4.7231597900 -0.663434 -4.940084 0.418723 -2.745243 -0.722428
23 4.5086054802 -0.247743 -4.148310 1.602579 -4.932869 -0.753280
24 3.4821820259 1.838707 -3.050084 3.182948 -4.332069 -0.795105
25 4.3467035294 0.033564 -4.854787 2.417588 -3.896874 -0.815116
26 3.5936942101 2.176466 -3.555726 3.287522 -1.963900 -1.020195
27 4.3195371628 -1.948877 -4.947384 3.167158 -2.177664 -0.267233
28 3.5730392933 2.909825 -3.149756 3.051804 -2.940886 -0.105030
29 4.5294337273 -1.443125 -4.708372 3.275164 -2.197646 -2.249763
30 3.4826302528 -0.650795 -3.279290 3.111226 -1.303375 -0.270963
31 3.4502961636 1.097939 -3.630631 2.986915 -2.728142 -1.385470
32 4.2780179977 0.403137 -4.761290 3.366952 -2.815891 -1.027066
33 3.4663851261 0.800346 -4.319355 3.389343 -2.165678 -1.127728
34 3.5358688831 0.907942 -3.591914 2.916036 -2.086945 -0.625540
35 3.4994244576 0.934717 -3.812407 2.926181 -1.807478 -1.599361
36 3.4869554043 0.888071 -4.303030 2.956497 -2.136681 -1.774874
37 3.4984703064 0.702405 -4.475948 3.092187 -2.078006 -0.907856
38 3.4572649002 0.771951 -4.320233 3.221893 -2.172183 -1.397119
39 3.4525842667 0.665201 -4.241287 3.117477 -2.255954 -0.822746
40 3.4946255684 1.007585 -4.488186 3.058612 -2.100464 -1.579861
41 3.4358239174 0.718898 -4.352817 3.071475 -2.191298 -1.418249
42 3.4376571178 0.848691 -4.312533 3.119131 -2.266607 -1.252612
43 3.4581561089 0.794923 -4.392073 3.207941 -2.237068 -1.389356
44 3.4251792431 0.810948 -4.334162 3.155076 -2.278683 -1.383905
45 3.4506340027 0.790065 -4.361161 3.134235 -2.251825 -0.952543
46 3.4294784069 0.791232 -4.371779 3.141190 -2.250321 -1.279756
47 3.4124348164 0.769697 -4.342711 3.122653 -2.314651 -1.165039
48 3.4220142365 0.710627 -4.381351 3.119057 -2.240372 -1.460612
49 3.4285364151 0.714651 -4.374210 3.122342 -2.247707 -1.335819
50 3.4376571178 0.797480 -4.408350 3.100030 -2.258914 -1.160372
51 3.3992636204 0.708701 -4.342727 3.159734 -2.352371 -1.075547
52 3.3992636204 0.713616 -4.308024 3.145403 -2.343870 -1.272675
53 3.3992636204 0.712884 -4.363774 3.116646 -2.358225 -1.293431
54 3.4206130505 0.823892 -4.373198 3.081319 -2.327938 -1.186711
55 3.4179430008 0.762927 -4.307690 3.099277 -2.293426 -1.188511
56 3.4295842648 0.658024 -4.302611 3.187882 -2.355911 -1.123748
57 3.4639105797 0.788730 -4.350126 3.189925 -2.312079 -0.956171
58 3.3992636204 0.699198 -4.336553 3.127319 -2.364320 -1.109706
59 3.4295842648 0.757965 -4.326217 3.171509 -2.391938 -1.143778
60 3.4124348164 0.675279 -4.332877 3.164818 -2.320697 -1.164422
61 4.3733348846 1.792770 0.446120 -4.029363 -3.037001 -2.245961
62 3.9527680874 3.230657 -4.822579 4.433140 2.607782 1.554036
63 3.7625973225 -4.493564 1.800068 3.804446 1.889472 -0.562917
64 3.4541471004 0.121198 1.664833 -1.361575 -1.236426 -4.668365
65 3.9757328033 2.557759 3.447979 -0.486166 -0.934026 4.318199
66 3.5277292728 -0.437742 4.022399 -4.433977 0.484899 -2.999347
67 3.8153846264 0.427490 2.663159 3.137880 -4.289276 2.004055
68 3.8864567280 3.763128 0.209994 2.471020 -4.471091 2.995901
69 3.7793619633 4.481330 -2.094475 0.554145 -0.066533 0.417568
70 3.8503293991 1.402117 4.828791 -3.287310 4.470731 -1.263172
71 3.5697195530 -4.003187 -1.394383 -2.938767 3.689828 4.778395
72 4.5781784058 -3.356960 -2.770143 -2.142250 3.574038 -3.742384
73 4.9576015472 -1.611847 -3.950215 0.094279 -1.963479 -3.171721
74 3.4549376965 -2.328700 -3.036993 1.060917 1.572666 -0.266207
75 3.5892453194 -2.746112 -0.502087 2.105602 -2.346422 3.031853
76 3.6051464081 -4.149759 2.815104 1.540916 1.966407 -4.974931
77 3.6912651062 -3.740534 2.170313 3.428140 4.934316 -4.801975
78 3.9438374043 3.401054 2.875094 1.892484 3.866240 -4.179370
79 4.3060522079 4.644853 2.727165 -3.322315 -4.433175 -3.942822
80 3.5809078217 3.111307 1.096913 4.625014 -4.657870 -4.257363
81 3.7781827450 1.809269 0.691653 3.725130 1.808006 -4.842608
82 3.4930446148 0.552392 2.199201 1.616870 -4.704603 -4.675155
83 3.4058952332 -0.622023 2.580377 -1.809270 0.806537 -4.302245
84 3.4004745483 1.605577 0.715997 -1.025686 -3.593572 -4.567687
85 3.6928896904 -1.167421 2.519320 3.826834 0.610554 -4.473344
86 4.4765024185 1.235485 0.222709 -1.258274 -3.403146 -4.730174
87 3.6698091030 0.746394 1.808227 -1.113662 3.015915 -4.319428
88 4.4148006439 0.735694 2.052466 -3.849179 -2.016870 -4.244157
89 4.7315158844 0.177748 1.935462 -4.716428 -4.157262 -4.734911
90 3.3842895031 0.369208 1.613521 -0.751842 -3.962257 -4.261007
91 3.6311089993 0.162431 1.953502 -1.244966 3.568785 -2.712038
92 3.4538211823 -0.892970 2.415212 0.233949 1.373833 -4.825527
93 4.5387573242 1.079967 0.968459 -1.948085 -4.938853 -3.887710
94 3.4263956547 1.755672 2.057355 -0.082751 -4.904449 -4.833554
95 3.7480599880 1.359702 1.968974 0.141563 2.200368 -2.840152
96 3.4464159012 0.421167 1.712265 0.079971 -2.811784 -2.901284
97 3.3756322861 0.782244 1.119658 0.029649 -3.630814 -4.396129
98 3.4370019436 1.217188 1.135568 -0.479538 -2.960161 -3.246578
