evaluations raw_y x0 x1 x2 x3 x4
1 3.6127629280 -0.255001 2.744474 -1.584306 3.470654 -3.982926
2 3.8306012154 2.020852 3.473463 0.076998 0.054055 -0.559138
3 3.5232639313 -3.781928 2.955998 1.576310 -0.927726 -1.894724
4 3.6862902641 0.633239 1.518329 1.752809 2.119115 -4.742002
5 3.5545475483 -2.502976 2.568702 -0.667092 2.725839 -3.921449
6 3.8198435307 -1.866730 4.194839 4.729667 -3.198585 1.246481
7 4.3183069229 -2.888506 -3.164565 -3.248041 3.967349 0.387924
8 3.6920299530 -0.964174 3.659916 -2.602774 1.590003 -0.404735
9 3.9114425182 0.979657 -0.601392 0.409010 3.608685 2.880301
10 3.8035891056 2.403331 4.771821 2.092889 -1.945351 -1.992721
11 3.6550555229 3.778081 -3.512698 0.278370 -1.224031 1.518883
12 3.6330802441 -1.173977 3.255682 -2.892361 2.781332 -2.505943
13 3.6392414570 1.683006 0.338130 -1.919592 1.760889 -1.415521
14 3.4888746738 -4.272897 -1.421670 3.054998 -4.176837 3.193697
15 3.8045833111 2.697287 1.937157 3.244084 0.925793 -4.082835
16 3.8161225319 0.181716 4.320715 -3.341517 -0.275154 4.776971
17 3.9154000282 1.323866 0.493792 2.423779 -1.800948 4.318532
18 5.0370435715 0.335647 -1.878156 -2.295744 -3.878606 -3.262458
19 3.8441228867 2.143639 -2.814622 4.739758 0.429686 1.270984
20 3.5160593987 -1.496296 1.848301 4.046935 -4.374004 -2.450360
21 4.8329191208 -2.763821 3.001087 -3.434140 -4.917654 -2.246749
22 3.4733169079 2.254304 -2.003736 -0.173427 -4.778398 -0.212276
23 3.9219758511 0.770306 0.026058 4.265203 -0.125755 1.711244
24 3.5512254238 1.516601 -3.824568 -4.790391 4.500617 0.297333
25 4.7912473679 -0.021782 -1.358397 -2.036948 -1.576968 -4.240011
26 3.5439164639 -2.691321 -2.335836 3.723085 3.366535 -3.771040
27 3.9142305851 -2.213127 2.381512 0.473158 3.087589 4.564552
28 4.7463912964 -3.658355 -1.027969 -3.105336 -2.951690 0.760976
29 3.5874104500 2.733525 -3.774388 1.431424 -1.280394 0.104224
30 4.2974586487 -1.610504 -4.768166 -0.903129 0.127300 0.534652
31 3.6278970242 -4.131583 4.678845 -0.489931 -1.110201 2.491805
32 4.4134607315 4.114919 -3.949842 1.351796 -4.680843 -4.875148
33 3.8739459515 4.756212 3.364119 1.860570 0.468738 -4.360162
34 3.6305866241 -1.967428 -0.820464 -2.366970 2.527376 2.258261
35 3.6913485527 1.186775 -0.212502 -0.041759 0.831190 -0.667969
36 4.4562902451 4.945468 4.008254 4.120503 4.079900 4.373654
37 3.8525068760 4.238026 -0.344582 3.303968 -3.781290 2.376509
38 4.7652378082 3.028768 -4.349748 -1.720204 -4.538534 -3.294115
39 3.5814914703 2.989968 -1.783074 -0.317360 -2.654061 1.115631
40 3.6728224754 1.814792 0.299094 -2.198385 0.318287 0.895669
41 4.0676717758 0.596545 3.884560 1.060389 1.438524 4.184574
42 3.5090029240 -3.852515 2.302629 -2.744840 2.344994 -1.206045
43 4.4302229881 -4.599659 -0.101135 -4.674251 -0.438657 3.589593
44 4.5110645294 -1.099864 -3.624648 -3.612484 -0.634970 0.608208
45 4.7592086792 2.510205 -2.261587 -4.313887 -4.003142 -1.337231
46 3.5693902969 -4.608021 -0.878075 3.563687 -1.509145 2.180842
47 3.5874466896 -4.415875 4.390308 0.607650 2.323007 -4.656330
48 3.9355835915 4.728174 -2.501583 4.558383 4.421021 -1.688542
49 3.4688010216 4.368217 -4.543187 -1.471212 -1.740946 -0.156155
50 3.6303873062 -0.479744 -1.205674 -1.046803 4.634853 -0.906003
51 3.5218749046 3.874115 -3.086624 -3.879016 3.685483 -2.669389
52 3.9465112686 -1.767929 3.788400 3.462487 3.871631 -1.097722
53 3.5526385307 0.332107 0.818386 -4.199639 -2.421525 4.705586
