evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.1899626255 -1.672498 0.196102 3.568549 0.150817 -4.137226 -0.666764 1.921547 0.711020 -2.776693 -2.937350 4.501245 4.378052 2.527563 3.578463 2.809940
2 1.4256070852 -2.247197 -4.286961 8.380119 -9.397813 2.427579 -1.295910 -16.569061 -11.018466 5.730191 -4.246472 4.751731 -10.009132 -6.248762 5.389650 2.834369
3 1.3754136562 -13.154910 -21.641340 28.564814 -7.326034 1.410209 -14.300593 -6.068153 -4.844972 1.270574 4.366532 19.323243 -11.171167 -9.943187 -0.372479 10.541144
4 1.3753916025 -16.818722 -8.419988 34.307749 -3.550604 2.335111 -17.838590 -28.188795 -12.612581 -3.362224 -5.942465 21.772784 -25.077933 -19.834825 -5.879839 19.214697
5 1.3753916025 -13.438743 11.923725 38.441199 -18.235889 19.411453 -4.619208 -24.797186 -3.742638 -12.074363 -1.886310 29.412406 -19.249855 -42.162145 7.222742 20.286419
6 1.3753916025 -24.386115 -15.292284 36.308039 6.525578 7.305172 -11.977542 -29.870999 -18.528225 -14.725804 -1.696015 41.354044 -15.430191 -5.691217 0.057539 25.593254
7 1.3753916025 -29.618585 -18.787777 42.750090 -11.287629 -0.090534 -10.508209 -37.155626 -14.720872 -5.929452 20.791139 9.746201 -16.703864 3.629231 0.818482 17.612896
8 1.3753916025 -17.092541 -5.134529 39.898870 3.767059 -4.039633 -16.260221 -34.169950 -1.160441 -2.355463 15.378390 9.715672 -30.185358 -19.628088 -18.112329 13.735371
9 1.3753916025 -39.173297 -7.039481 31.158111 9.830129 -1.942340 -20.259088 -27.381923 -8.167978 11.415244 -10.959258 5.881865 -18.360507 -13.154488 2.047523 5.963782
10 1.3753916025 -40.582962 -21.708954 39.479575 14.537636 15.853719 -17.351891 -24.634732 -18.617295 -0.544852 -23.964621 50.510282 -21.952164 -18.487437 -14.277742 17.586546
11 1.3753916025 4.451711 -6.153290 39.039537 12.501783 -11.363949 -22.302782 -21.344950 -13.854230 -12.884730 -12.141170 15.054843 -32.524572 -31.015892 -0.566071 14.483320
12 1.3753916025 -41.683378 -21.153867 30.913311 2.941198 7.617736 -26.391580 -22.419741 -7.484969 7.175089 -13.319277 14.760920 -36.191149 -24.071269 -3.501732 -6.555784
13 1.3753916025 -18.766810 -15.506086 26.685454 5.619465 -2.114972 -38.645101 -8.380374 -24.714333 -8.513223 -7.703830 43.128430 -27.835642 -15.952871 -0.820752 30.021755
14 1.3753916025 -6.138503 -12.098582 49.797282 -11.459850 -17.048142 -21.599176 -51.451017 -14.281762 -4.650768 -31.097701 14.634829 -30.780124 3.591196 -4.872549 1.910229
15 1.3753916025 -13.809218 -0.920913 44.150678 -1.523527 9.179518 -11.858369 -52.923177 -20.617789 7.229606 -19.160312 37.375117 -24.770283 -1.551749 1.229835 21.352227
16 1.3753916025 -17.242861 -9.691385 46.591173 -13.120415 7.915136 -22.705193 -24.172595 -5.001618 12.040669 -2.559134 22.807434 -20.505972 -26.292405 6.451128 19.284804
17 1.3753916025 -14.002388 -7.170013 36.994212 11.724381 -12.877873 -27.503290 -20.492108 -16.312621 17.091808 -7.386230 15.587372 -29.422883 -15.205623 -12.855664 18.252692
18 1.3753916025 -25.161478 1.022887 30.450425 -30.350135 8.840751 -10.568686 -14.810782 -15.938401 -25.676249 1.642149 25.081661 -24.696981 -18.953005 4.294892 26.087416
19 1.3753916025 -0.805333 -7.940619 38.978574 -3.362999 6.730416 -31.824255 -28.251890 -22.574504 -13.892540 -11.379678 18.729729 -31.843595 -8.822443 -9.593532 20.833713
20 1.3753916025 -8.588048 8.628559 39.415923 -4.606581 18.214350 -3.257277 -28.950533 -31.382832 -6.825306 -9.311078 43.657730 -22.059070 -22.224517 -20.996412 20.225112
21 1.3753916025 -19.036236 -5.452527 29.922908 6.150833 -9.735800 -13.988695 -30.466278 -16.473200 3.342110 -3.705053 18.453588 -30.159138 -32.146624 -16.222833 28.237460
22 1.3753916025 -22.045721 -4.352362 22.941836 6.116072 -10.945983 -16.060448 -15.617837 -16.201684 14.024104 5.362122 35.194269 -13.536903 -12.680397 -4.594741 17.678207
23 1.3753916025 -6.318994 -15.286648 22.406831 6.613148 -8.323006 -22.967773 -28.182967 -24.621570 0.856236 -17.985440 24.241408 -17.222004 -19.801321 0.077466 30.036243
24 1.3753916025 -9.957710 -3.079334 47.406249 -10.999482 28.713998 0.568959 -25.617069 6.002689 -5.236933 7.813591 24.192126 -23.632096 -3.298106 -13.953455 21.865652
25 1.3753916025 -25.089570 -2.172280 22.768946 -0.062401 11.748688 -28.991326 -20.190339 -12.516976 -2.690678 -9.164776 17.045458 -38.879841 -20.979661 3.413755 20.825420
26 1.3753916025 -5.018324 -3.334475 35.045837 0.054139 0.691633 -28.683917 -19.853927 -5.330560 -7.721384 -1.485651 22.272706 -36.189376 -11.547626 -8.340677 32.389250
27 1.3753916025 -24.782003 -14.843620 31.553377 0.670630 -4.333409 -24.106137 -36.814138 -16.017274 6.582942 -13.129579 24.124133 -9.309165 -8.130106 -13.378517 27.262850
28 1.3753916025 -25.105443 0.782114 42.947756 -17.029168 5.390327 -14.982962 -29.599562 -32.141496 -2.177481 -7.782899 21.643929 -13.919834 -17.393615 -2.670013 11.538175
29 1.3753916025 -22.088318 -10.187580 34.339452 13.672656 5.423844 -12.203012 -25.892099 -5.710869 -10.701763 -6.745944 40.052789 -17.735655 -16.776573 -10.359769 7.465448
30 1.3753916025 -29.249522 -20.497014 42.725141 -23.377160 -0.440660 -20.403242 -28.637554 -10.712395 -12.719358 -11.894446 9.531462 -17.039349 -13.824137 18.675615 37.158266
31 1.3753857613 -5.778393 -10.561140 20.686387 -6.289227 12.715603 -2.968049 -18.451122 -13.202434 -1.803278 -14.068702 -2.808037 -15.620432 -19.610296 -3.368694 26.749063
32 1.3753914833 1.675231 -11.599966 17.587512 -4.082285 11.386763 -22.626567 -24.143570 -0.067320 -2.329672 -22.307143 -14.201620 -13.267085 -12.685931 -0.797716 29.036063
33 1.3753916025 -6.469391 -8.752163 12.350918 -1.369754 -4.467795 -11.292044 -28.090725 -24.988226 -4.588690 -31.220748 -0.566372 -19.365540 -31.107705 -1.559580 22.674907
34 1.3753916025 -1.032634 -11.205791 33.687308 -17.142892 8.803054 -2.008371 -15.790184 -6.453796 0.093465 -18.768596 -2.801928 -25.562628 -29.562556 8.336915 28.977003
35 1.3753916025 -6.538571 -8.213507 25.682490 -11.960371 17.486230 7.454840 -24.462909 -18.883247 -2.881657 -14.723754 -4.838070 -29.436910 -34.104143 -2.149339 26.683733
36 1.3753914833 0.106255 -0.252480 9.403273 -10.382999 11.326394 1.942517 -12.550454 -7.653414 8.350237 -18.824861 -2.878313 -24.147511 -32.511309 9.562912 31.720925
37 1.3753963709 -3.178909 -2.508942 9.093890 3.975361 20.942639 -2.948073 -12.469178 -16.266999 8.567062 -12.832270 -2.039615 -4.549897 -20.121219 -3.103686 31.865919
38 1.3753916025 -5.573629 -0.884907 24.754875 -11.063921 10.123301 -5.047484 -35.686329 -20.790254 -20.713407 -24.592369 14.231897 -11.458588 -2.450618 -9.274649 14.045299
39 1.3753916025 -11.779863 -23.699439 13.677286 -5.585150 0.902349 2.077057 -13.796328 -21.503759 -11.742362 -23.498218 2.242718 -17.826936 -23.507549 -1.295043 24.838916
40 1.3757367134 -2.029142 -11.435203 15.759378 -3.147607 1.141440 -1.884283 -25.744946 -15.684344 -9.228124 -7.575459 5.563057 -7.378716 -17.853512 8.210700 4.778923
41 1.3753918409 -13.106208 -7.186097 28.177721 0.421570 11.501999 17.318417 -16.346560 -18.827729 0.550655 -7.324990 10.138961 -11.278170 -11.259113 -10.625755 34.068010
42 1.3753907681 11.775215 -2.284892 17.477520 -7.808533 19.609064 15.347096 -22.187040 -16.842849 -2.957990 -21.808258 1.040332 -16.092536 -17.138625 7.204336 18.650734
