evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.5030059814 4.896402 -1.330006 1.166387 2.749905 4.630264 0.271002 4.205569 -2.576984 -4.106654 2.182668 -0.014323 -4.021932 -1.943341 4.918751 2.128462
2 2.5816583633 0.275960 2.253260 1.775839 1.720755 -0.390880 -1.929567 -1.192580 2.220068 0.903012 -4.042178 0.255137 -4.273719 -1.184722 -1.264497 3.865376
3 1.9804604053 -3.840115 0.464133 3.460938 1.926184 4.301044 2.369411 4.198494 -0.051966 0.285205 -1.083791 -3.126962 -0.451245 -3.244409 -0.437872 -2.624148
4 2.4836935997 2.484395 -4.483172 4.874820 2.845168 1.661830 -0.897591 2.233277 -2.878956 0.633773 -2.856062 -3.032706 -2.942035 -1.767589 -0.849296 1.407625
5 2.3182766438 -2.520468 3.445928 2.834844 1.073917 -2.001799 1.287310 -3.518201 -4.794589 -0.570314 -4.427598 -0.132008 -4.894266 1.280302 3.618072 -4.196564
6 2.2807390690 2.251080 3.329186 4.160409 -4.757509 0.211101 -1.362805 0.975536 2.669146 3.343888 0.371362 -0.547705 4.701968 0.606211 3.419172 -4.294643
7 1.7442784309 -4.324357 3.838424 0.877670 -3.293895 -4.624371 -0.052938 3.922562 -2.423906 0.115941 -0.698787 -4.607728 -4.319385 -2.152773 -1.394632 -3.849594
8 1.7975474596 -4.919057 -3.880287 -3.489609 3.524183 -2.428457 4.708789 -4.456543 -0.486526 1.536434 -3.443113 3.544596 4.897895 2.469723 3.453919 1.274516
9 2.6500415802 -0.117578 2.582442 -1.885003 -1.369691 3.833982 -3.852318 -3.284115 0.240365 4.583871 3.453240 1.297637 0.986488 -2.197321 -1.417559 0.555365
10 2.0366435051 3.442134 -0.122986 -0.054285 -1.983195 1.127694 0.176143 -3.013865 -4.136062 -1.865419 1.611462 -1.742881 1.566330 -4.759748 -4.598133 -2.815125
11 1.8252809048 4.005115 1.254972 3.147219 0.586606 4.097001 -4.016280 3.574367 -1.355763 -1.099239 0.089709 -2.575748 2.071123 1.434019 2.818783 2.612721
12 2.5354423523 -0.681882 1.964733 4.372033 0.474684 4.789678 -4.447942 0.463729 -0.694062 3.514799 -1.740865 -4.560664 -3.216645 -3.442768 -2.181196 -4.478784
13 2.5972704887 2.566500 -2.901694 -4.407894 -1.692733 -1.332962 2.572299 -4.297361 -0.094754 1.743858 1.393815 3.612464 -1.945937 -3.364047 0.917200 3.750342
14 2.7265191078 -0.530647 4.780853 -3.971366 -3.013003 -1.903123 -3.410390 -1.282676 -2.022835 -2.035491 2.077484 -3.451216 2.028237 0.770573 -2.363143 -0.255500
15 2.2182435989 -1.917979 2.919900 4.764705 1.799633 -4.047599 0.768335 -4.396769 -2.970934 -3.266059 4.570481 3.992453 2.777859 1.805937 -1.651114 -0.231007
16 2.2745480537 1.703432 -4.371490 1.526848 1.456824 -3.003122 -3.212783 -3.050887 3.433698 2.547969 -1.785326 -3.088563 -4.762938 3.565307 -4.266084 -0.173472
17 2.2404956818 -1.673287 4.742962 3.756576 -1.114892 -1.250136 -0.952286 2.763003 3.804876 4.800033 -4.338919 4.214393 1.589117 0.542370 0.460262 3.077998
18 2.4444291592 -1.976404 0.724778 -2.525172 -3.605498 -3.547087 1.387763 0.649176 0.712279 1.953290 2.284690 0.368709 -1.399607 -4.122193 -1.477607 -2.871428
19 1.7600347996 4.813625 -4.279089 -4.736626 0.340473 -1.533424 -2.352750 -1.815183 -4.084251 -1.307384 3.145842 -1.263219 4.439263 -2.502726 1.086315 -3.372918
20 1.6400110722 4.290388 4.398772 4.816090 1.043656 -2.707988 -1.820743 2.300961 -2.947941 4.003302 4.909137 4.770315 -3.442116 0.920939 -1.199443 -2.541752
21 1.4481852055 4.864335 2.768907 -0.502467 2.247424 -0.668810 2.205776 -2.992304 0.941269 2.658034 -4.141140 3.038562 -2.257227 -1.487408 1.360008 3.219832
22 1.7613952160 3.765267 3.739764 -2.280810 -4.224701 2.822562 2.295153 -1.779197 -1.337457 -1.499900 4.548757 -1.829722 -4.211929 -3.664419 0.208769 -2.047115
23 1.7146269083 -4.493209 4.540237 -1.547999 0.428236 4.235448 4.861219 -1.097208 0.776599 -3.548572 -4.754044 -1.451427 -4.125368 4.358001 1.907568 4.133368
24 2.3457202911 1.330680 2.440950 -1.532726 -4.562408 -0.165838 -3.522670 0.745260 -3.199342 1.760496 3.810596 -0.467594 -1.745538 -1.065473 4.143547 2.389453
25 2.7707383633 -0.764294 -4.651575 -2.631192 3.367602 -2.964663 0.153243 -3.534226 -3.103340 -2.199566 -0.934311 3.152125 -2.393990 -1.887460 -1.758386 -1.835657
