evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.1809060574 -2.920481 1.962311 -3.591662 -4.398277 -0.593163 -1.548892 -1.527290 -3.537625 -1.823399 2.383120 4.550856 4.870955 -3.326556 1.342151 -3.928247
2 1.9168236256 4.617799 1.689286 -4.990328 1.739263 2.095659 0.236977 -1.417402 -4.867676 -1.458181 3.689534 3.642164 4.753729 1.991578 4.552835 3.778078
3 2.5318014622 -0.351307 -0.747010 0.238317 4.234057 4.564429 -1.790894 1.860077 -0.683452 -3.658810 0.809882 -3.857309 -1.246832 3.895033 -3.756369 1.088736
4 1.6350610256 4.145930 3.276533 2.802153 -4.599190 3.776537 3.027211 -2.010563 3.312952 4.673655 -0.135697 -3.202556 -1.837190 -0.701331 -4.391879 1.489641
5 2.3095159531 1.597100 2.608714 4.472518 -4.936047 -3.767879 -0.252055 0.923379 1.043938 -2.764984 1.934856 -4.853276 2.536017 0.742176 0.459415 4.831675
6 2.7634983063 -1.690607 -1.504074 -4.285081 1.134346 2.848688 -0.468819 -1.874000 -3.278223 3.678457 -2.974834 1.331245 -2.306711 -1.397225 1.496087 -2.663568
7 2.3929312229 -1.249014 2.114077 -1.067620 -1.142619 2.206028 -0.978926 4.117139 -4.420805 4.105316 -1.252482 1.581534 -4.512757 1.384575 -1.450057 2.956461
8 2.9040093422 -0.233959 -4.948917 -3.247387 1.262135 -3.348524 2.968301 -0.223885 -0.945276 2.357484 -1.167544 -1.223102 1.169980 -0.882530 1.959596 0.146311
9 2.4002943039 -0.988985 3.085198 -0.228548 1.942019 1.092175 2.176468 4.823739 4.215651 2.129858 4.466238 -0.933506 0.889357 2.888030 -4.332317 3.403497
10 2.0340652466 3.123925 -3.546454 3.205586 -3.432136 1.638426 2.464087 -3.681031 2.277971 -0.165899 1.315178 -3.550802 -4.163022 -1.885227 -3.005363 1.743045
11 2.2260730267 2.262503 -4.593923 -0.873615 -3.552437 -0.986778 3.923697 1.494093 4.938329 0.798001 -3.686304 -4.127031 -0.246668 -2.175222 0.331927 -1.443671
12 2.7537014484 -1.138703 -0.553917 -4.600082 -0.592328 0.409048 4.359795 4.484583 1.497660 -2.864020 -0.883438 -1.608127 -4.557885 2.580861 2.834781 -0.470434
13 1.6822898388 -4.597411 -4.038736 -1.638847 4.842015 4.949486 0.960614 2.897165 0.019944 4.978591 3.435297 2.347141 -2.504761 -0.397876 -0.119102 3.136585
14 1.7967600822 -4.930969 -2.786982 -2.922097 3.846799 3.086672 -4.425354 -3.126790 1.920671 3.603230 -4.226801 0.816271 3.329786 0.461390 1.731310 1.239965
15 1.9837001562 3.693504 -4.343950 -0.609212 2.715268 3.658164 -4.121287 -3.515442 -1.238239 1.210402 -3.364260 1.801964 -4.027487 -4.788409 -0.715747 -1.579162
16 2.0296633244 -3.444273 4.529173 -2.086985 0.539584 1.339442 -1.238093 3.463715 -4.163851 1.345218 -4.481213 4.981792 1.614985 -1.216475 -0.823501 -3.471525
17 1.6595036983 -4.150246 0.194435 0.993571 0.262485 -1.621829 -1.952952 -4.690913 -3.856587 -4.492826 2.194793 -2.879194 -0.852665 1.171710 -2.614543 -4.148572
18 2.0074412823 -3.054409 1.512434 2.702524 2.181286 -1.873713 3.521430 -4.403006 4.742879 -1.315280 -3.197078 4.306217 1.848831 2.471312 -1.319070 -0.633765
19 2.2085638046 2.392694 -1.372481 -3.052099 -3.802936 -4.928979 2.573038 -4.253357 0.157349 0.465171 0.394696 -2.434824 -2.043528 3.096037 3.742459 -1.825265
20 1.9017745256 -3.637389 -0.240300 -0.373712 -1.884967 -3.162612 -3.350978 -0.095299 -3.904480 0.259685 0.240083 3.178865 0.623954 -4.634600 -3.276663 -1.016966
21 2.2181041241 -2.705176 -3.084710 -1.394081 -2.420590 -2.176267 -3.898161 4.558448 4.346158 1.960641 -4.743205 0.726107 -3.883210 -1.949651 3.233260 4.762722
22 2.5427439213 0.162367 -0.912603 4.113285 -0.096627 -1.399550 -4.904566 2.011499 -0.280086 -4.200938 4.737574 -0.690031 -2.577578 4.463437 3.483762 -0.945897
23 2.7069606781 0.957213 3.787008 -4.348014 2.948235 4.450037 1.739382 0.514726 -2.114403 -1.944112 2.614358 3.784829 2.007015 1.806891 2.485064 0.472348
24 2.3522825241 -2.001099 0.089335 -2.764813 -2.243959 3.940929 4.896683 -2.389312 -2.742426 3.145919 -0.505889 4.739861 -3.356444 0.136543 -2.373919 -2.293864
25 1.9131188393 -3.682932 -2.620663 2.508220 -0.485006 -3.609648 0.048838 -2.134717 3.635936 -3.944751 -0.559598 3.948613 2.145354 0.077081 0.667463 -0.064704
26 1.9556009769 3.587960 4.776802 -1.865794 -3.131679 0.640324 -0.776776 3.166551 -1.650228 1.603075 3.104763 1.121574 -0.632930 -3.536547 -1.780576 -0.248707
27 2.1834783554 -2.390323 0.964786 4.770926 3.390414 0.919769 1.014259 1.087316 2.962259 -3.120941 -2.738481 -4.517581 -3.495909 3.301794 -2.311915 0.745867
28 2.6420803070 0.466654 -1.190006 -2.271409 -0.297389 2.644011 -1.213124 1.318867 2.730890 -0.957361 2.917134 2.004363 -2.807360 -2.538431 4.659646 4.412488
29 2.5372724533 1.718607 -4.121553 -0.083801 2.366719 -2.965676 -3.049579 -0.575009 1.729569 -0.683213 1.583002 -3.322398 2.684826 -2.618407 3.906180 -3.848667
30 2.4006214142 1.993233 -1.686489 -3.874760 -2.805588 -4.093084 -2.606982 -2.768729 -1.741497 -3.855066 -2.173991 -1.046586 -0.025228 3.684900 -4.051334 -2.976593
31 2.7152957916 0.073801 4.840549 -2.522432 -0.850385 1.787351 2.042001 3.947781 -3.009984 -1.187633 1.088722 -2.074069 -1.526316 -2.854405 -2.912812 2.350967
32 2.2796058655 0.640478 -3.763587 2.226775 -4.039869 -0.539529 -2.235618 -4.782080 4.004042 0.593047 -1.794295 -4.104064 3.922611 2.148851 2.323313 3.915040
33 1.7160146236 4.030939 2.467895 1.106228 1.459387 2.360954 4.776156 3.868055 0.815371 -4.556415 -0.107777 2.185867 3.854504 -1.504729 3.024424 2.080763
34 1.5627213717 4.891803 -3.292902 3.640780 0.699904 -0.092731 0.560777 -2.893119 0.495798 2.597167 0.579488 2.951486 0.256962 3.554393 -3.637824 -2.109240
35 2.2911021709 1.376768 -2.126720 3.942188 -4.278339 4.239091 1.559440 -0.950784 2.404731 -4.921054 -2.514825 2.575704 3.060480 0.879504 4.243989 -2.509666
36 2.0100398064 3.396998 0.745049 -3.949554 4.433331 -4.684361 -3.489123 3.222505 -4.718195 -2.393971 -1.934829 -0.239332 3.558928 -4.389511 -2.097603 -3.197574
37 2.1143474579 2.560035 0.388168 1.361558 -2.667354 -0.156916 0.412553 2.774905 3.219677 -0.026910 1.681834 0.273583 4.339269 4.680933 2.565289 3.570934
38 2.4637861252 -0.750883 1.023818 0.724240 0.815411 -4.460351 -2.450615 -4.063293 -2.062724 -3.239764 4.067951 -0.078547 -0.339121 4.328859 0.826493 2.142435
39 1.9698972702 2.907398 3.993441 4.788381 3.631091 -2.499320 4.272805 2.437420 -2.927756 -0.520589 4.270279 -2.198613 -1.083272 -3.953742 -4.771171 2.761555
40 1.6123888493 4.394672 3.627081 2.007116 3.149903 -2.638716 3.701219 0.321848 0.682100 2.814298 -3.606052 3.247702 4.298904 4.917132 -0.426353 0.971035
41 2.3756256104 1.208056 2.863569 3.277556 -2.022529 3.321698 -3.747951 -0.458120 3.698755 4.111257 4.999918 -1.825327 1.399448 -3.809254 -1.112308 -4.956565
42 1.5621213913 -4.538856 -2.469664 0.338414 3.893653 -4.323316 3.336878 0.579713 -1.201619 4.487949 -3.942009 -4.657144 2.878930 -3.006534 -4.810537 4.141758
43 2.4422781467 -1.665480 -2.029110 1.559759 4.617759 -1.184377 1.393550 -1.085191 -0.366798 3.307310 -1.495762 -2.618972 0.554221 1.562066 0.011180 -3.253750
44 2.5071463585 -2.176396 1.383554 3.777507 -1.526686 -2.106356 -4.662949 -3.413766 -2.442482 -2.200913 -4.998084 -0.344607 -4.865278 -4.260064 1.052672 -4.487801
45 1.7826822996 -4.096161 4.152190 1.803942 -1.239722 0.269177 -2.947188 2.275995 1.356685 1.866660 3.644551 0.496327 -3.149266 -0.114228 4.938742 -4.567527
46 1.5881469250 -4.418469 0.297360 3.934305 3.272386 -2.437460 3.841384 4.860442 -4.064390 0.323018 0.301025 -3.926532 3.506083 1.110176 -0.480981 0.398515
