evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.7114650011 4.846248 -2.362605 -0.113989 4.501316 1.207797 -2.987693 -1.442909 -1.421524 -1.853240 -0.913422 -1.366483 4.202175 2.339268 0.737993 1.569923
2 2.2897100449 3.248813 -1.518902 -2.311104 3.908682 1.181407 -3.631373 -1.145982 -0.221555 -1.812848 -0.152985 -2.077118 4.289123 1.335111 1.522701 0.099985
3 1.7324520350 4.800997 -1.115513 -2.997897 4.913978 2.008835 -2.902409 -2.483105 -1.693441 -0.371529 -0.422625 -1.260133 4.729688 1.786465 -1.895736 -0.531692
4 1.6650816202 4.683894 -2.172246 -0.793067 4.641166 1.457652 -3.788146 -0.950399 -1.521954 -1.760552 -1.778446 -0.214581 2.736878 3.794639 0.311448 -1.984548
5 1.7451288700 4.828721 -2.726771 -3.836263 4.146375 1.130234 -1.134100 -1.347430 -1.700959 -0.947926 -0.963353 -1.585767 3.410911 2.344711 -0.583127 -0.981714
6 1.8498932123 4.958273 -0.773794 -2.700595 4.940298 0.378415 -3.427381 -1.683742 0.995267 0.272287 -0.335608 -1.094401 3.711806 1.431277 0.661839 -1.595377
7 1.9306848049 3.628091 -2.103300 -2.555671 4.891298 1.692236 -3.800721 0.489413 -1.605782 -1.888971 -1.501680 0.513639 4.038062 0.710913 1.413524 -0.667929
8 2.1152594090 3.099136 -1.190294 -1.329055 4.682183 1.946161 -2.954319 -0.543999 -1.508613 -0.653239 -0.145452 -2.033476 4.209973 2.324839 0.284474 0.919462
9 1.6835564375 4.011246 -2.497874 -1.786155 4.971276 1.104831 1.264533 -0.772881 -0.536678 -0.302953 -1.677249 -0.886586 4.094667 3.864522 -1.361873 0.504453
10 1.7171332836 4.740912 -1.509768 -1.742561 4.964731 1.470743 -3.417653 -1.402495 0.033485 -0.320936 -1.663877 -1.145349 4.192015 2.838936 -0.034426 0.895980
11 1.8302557468 4.126906 -3.830911 -0.160289 4.414736 3.182891 -2.828367 0.316257 -0.594930 -0.992924 -1.254840 -1.957617 3.970215 2.067622 0.543199 1.705576
12 1.7883577347 4.999975 -4.793759 -1.821216 3.383672 1.659298 -3.146260 -2.247646 -2.914830 -0.557891 -1.176049 -1.800359 4.973627 1.315133 -0.320331 0.097093
13 1.5975967646 4.997283 -0.703336 -0.544659 4.176515 2.072609 -0.341888 -1.710325 -1.823399 -1.062868 -2.195287 -1.645284 3.699039 2.766825 0.737412 -0.577744
14 1.5972554684 4.759527 -1.812472 -0.532787 4.990709 2.311226 -4.254001 -0.521864 -0.208521 0.778391 -1.133323 0.036822 4.049192 3.697343 -0.722231 -2.849549
15 1.8912829161 3.412315 -1.822406 -0.847826 3.284666 1.191438 -0.268172 -2.180756 -1.680515 -1.617474 -3.503438 -1.643310 4.964408 3.980122 -0.628016 0.551315
16 1.7242021561 3.407790 -1.271901 -1.466309 4.958887 3.443853 -2.824685 -0.437544 -0.527369 -2.046805 -0.340454 -0.142564 4.166412 4.864129 -0.778636 0.373454
17 1.7090164423 4.954824 -2.198917 -2.210132 4.491885 0.474941 -2.404176 -0.723050 -1.526764 -1.644316 -1.675008 -1.302939 2.250075 3.685278 0.851346 -1.123605
18 1.8740475178 3.790637 -1.043111 -1.244972 4.929738 0.793755 -3.415505 -0.871868 0.267171 -1.649197 -1.258413 -0.778506 4.680545 3.712059 -0.083744 -0.711113
19 1.6916180849 4.996867 -1.290982 -2.913634 2.351921 0.106761 -2.280600 -0.372543 -3.060321 -1.219676 -2.122129 0.116376 2.651968 4.391168 1.142851 -0.054943
20 1.5932878256 4.950617 -1.808887 1.223090 4.335444 1.861796 -2.146969 -1.993820 -0.570295 -2.046614 -1.548817 -0.916461 3.591476 4.235892 -0.705570 -0.019992
21 1.5723818541 4.999960 -3.152532 -1.112946 4.692143 0.128483 -2.187976 -0.509892 -1.247322 -0.935235 -1.381709 -0.873793 3.033868 4.346764 0.590576 1.013311
