evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.6703421579 -4.598856 -4.865141 1.342204 -4.178457 -2.968691 1.566523 -3.491373 -0.628529 1.510656 -3.697365 -2.518943 -2.154897 -0.863785 -1.203689 2.001050
2 2.3732504228 1.405389 3.035589 -0.099406 -2.120485 -2.061097 -0.239307 -0.870126 -1.861265 0.841786 1.340903 0.915581 -0.178905 4.666702 -1.638498 3.159220
3 1.7144938123 -3.782890 -2.237345 2.234357 -4.459150 0.404284 0.848398 4.166496 -4.482417 -2.595550 -3.217789 -1.356369 0.648431 2.153551 -1.244282 -0.487403
4 1.8041919012 -4.734040 2.420952 -1.727646 -1.650345 -2.069738 3.690640 3.985384 -1.464334 1.053252 1.071426 -4.641967 -0.266190 4.974227 0.982162 2.743017
5 3.1080850330 -0.405744 -4.362120 4.332472 1.005258 -4.099282 0.276573 -0.764517 3.622493 3.467200 -3.592993 0.984691 4.585624 3.991907 -3.438087 -1.360248
6 1.8171254116 -2.741517 0.257462 0.035041 -0.826262 4.594732 -1.232621 -3.219544 -3.902483 -3.752033 4.586498 -4.058358 0.613288 3.365571 2.055521 4.490097
7 1.9925199968 2.626410 1.190480 -4.020308 -4.613755 0.987417 -1.821094 3.947934 -0.110566 -1.634869 1.696824 -3.647265 1.839439 2.922851 -2.945870 -2.295118
8 2.0501924418 1.913532 -3.355190 0.104479 -4.071845 3.370931 1.792423 -0.300570 4.229727 -2.686529 0.372724 -0.854610 -4.034672 -1.652921 -0.909703 -3.586442
9 1.7834341214 2.977578 4.137330 4.744696 -4.739722 -1.995822 0.209384 1.898694 -2.128761 -2.074126 4.806728 2.744777 -4.091772 -2.949131 -2.616077 1.728619
10 1.8986312137 3.933762 2.766523 -4.542511 -0.920107 -1.547239 0.122148 -2.939327 -4.136851 0.430957 3.200701 -2.775975 2.450228 2.205609 4.833997 -1.556914
11 3.0267626110 0.420357 1.727711 3.980590 4.995566 2.749284 1.463938 2.186568 -4.527656 3.339675 -3.387594 0.686599 4.526624 -4.458034 -1.459936 2.591608
12 1.9415521745 2.153729 3.064198 -0.160841 -3.929675 -0.593997 2.210454 0.127068 4.049068 1.702186 0.312498 -4.212032 -0.421488 2.691096 0.471469 4.680493
13 1.8369100531 4.937241 -0.384387 -3.308782 -0.171018 -0.424642 4.172632 3.745375 1.572465 4.192187 4.756139 2.072511 3.558413 4.089208 -1.695314 -3.844271
14 1.9522764043 2.439705 4.416701 2.341440 -2.852237 -0.245094 0.793711 1.287932 -0.934808 -1.113721 2.751028 4.360022 3.166001 0.971998 -4.299368 2.485868
15 2.1614997312 -1.491778 -0.546421 -2.555812 2.246803 0.686034 -3.428395 2.761133 -0.443806 -3.415721 3.895183 -1.888095 -2.738069 -0.774027 -1.855698 -2.735947
16 1.8477335823 3.753715 2.122608 3.743541 -3.884636 0.104315 1.619575 2.479262 2.277213 0.924309 4.449364 -3.408509 3.944635 -2.996475 4.777831 3.910917
17 1.7763377435 -3.905303 -3.210442 -0.962158 -1.871994 4.196910 2.257663 -1.476566 4.573662 -4.606931 1.179884 -4.378966 -0.574630 0.734066 1.725515 -0.994998
18 2.3720541947 -1.903836 1.429705 -4.184707 -1.390310 0.640852 -3.447170 -2.340153 1.773419 -2.446756 1.493964 -0.794267 2.804289 -4.888013 2.678092 -0.264441
19 2.0577002039 -4.272219 -4.764783 -3.605023 -4.723794 -4.542832 -4.406485 -2.734106 2.658743 -2.765301 1.437952 3.151692 -4.992808 -1.234479 2.595085 -2.434634
20 1.8241071279 4.185251 2.780260 1.663997 3.947263 -4.979127 -0.518509 -3.020167 -1.917046 3.129590 4.289397 -3.269241 -3.681928 4.234536 -4.653385 -3.875619
21 2.2345883981 -1.602281 4.800540 -3.846804 3.439331 -2.515025 -4.462923 -3.346521 3.034690 -4.379146 2.411944 -0.062039 -1.409954 1.103404 0.807049 -1.349334
22 1.8839190922 3.263069 -3.366828 -0.118422 0.574466 -0.042720 0.764477 -2.976011 -3.176748 2.243124 1.619755 2.713119 -1.852524 -2.199817 3.944438 -2.413969
23 1.7281089892 -3.413011 4.281183 -0.003074 2.085223 1.770222 -2.991242 -4.524716 0.182305 3.753634 -3.022754 1.575964 -4.227395 2.303633 -3.874101 1.601870
24 1.8780263104 3.295963 1.448293 3.472622 1.991660 -0.547436 0.929066 -3.224903 2.015225 -0.182572 -2.578682 0.635167 0.104628 0.483914 -2.437415 -0.902332
25 3.0623311535 0.345391 -3.652155 -3.329183 -4.868695 2.699957 -0.763541 2.429746 4.816943 3.837838 3.361410 4.551027 1.895692 -4.496176 -0.986514 1.057317
26 2.0162799638 2.386400 -4.579530 1.832935 -0.152522 3.956106 1.317267 4.647407 -3.564659 4.429460 0.543814 2.559222 -4.572370 -1.982495 1.476307 -3.145130
27 1.8545313409 -4.962385 -3.845901 -2.005043 -3.086286 0.139851 3.451245 4.702417 -3.937216 -3.123514 1.488094 4.071631 1.130969 0.029021 2.854110 -2.782189
28 1.8316934340 -2.396774 -2.183795 2.858587 3.487244 0.921548 2.778266 -2.395662 -2.034610 -0.412445 -3.938208 -2.190970 4.928006 -0.728740 0.181441 -2.339612
29 1.8214819586 -2.956310 -1.214502 -2.607971 1.878838 -0.343074 0.869485 4.842352 -3.327511 1.834451 -2.320276 0.176052 4.472380 -0.552318 1.988634 2.388657
30 3.0046856888 0.492495 1.161464 0.960321 -3.027362 2.407618 4.420331 2.095880 1.631060 4.625985 -2.066229 -3.122677 -0.041064 2.491271 3.168954 4.991826
31 3.0692149035 -0.689762 -0.208760 3.640161 -3.456074 2.315709 -4.208349 3.017945 -1.241330 -0.217977 -3.561424 2.499332 -2.968693 -1.530681 -4.400915 0.404340
32 2.5709576407 1.127531 2.702691 -2.306525 -1.311565 -4.139531 -0.676622 -3.820971 0.821551 -0.683517 -4.725531 3.690390 -3.461596 0.641149 0.576117 -4.678606
33 1.7363287160 -4.113651 1.622106 0.236765 -2.910511 -3.813263 1.432058 4.608518 -4.227561 -4.922886 4.728987 2.860877 3.247956 3.593115 1.965910 4.543470
34 2.0561873913 4.502382 2.447287 -0.251365 3.160832 -3.407193 -1.272507 -4.848813 -1.342813 2.842544 -1.596876 -1.009178 0.439733 1.942084 2.792316 1.289665
35 3.0921869283 0.001551 -4.390930 -3.693373 -1.033913 1.709514 0.528968 1.754322 -3.739123 -1.370170 4.130647 -4.761885 1.049242 0.412167 0.406090 -2.032492
36 3.1564309876 0.199974 3.813459 3.292973 -4.952065 -2.653807 3.316714 -1.543824 -3.668592 -1.051302 -2.236340 4.901194 3.607980 1.514145 -2.518516 -4.618156
37 2.1747551269 3.122572 1.388298 -0.720987 0.877802 -1.486611 1.038932 -4.902364 1.126752 0.801778 0.234880 0.504600 -4.389435 1.927950 0.437145 2.342337
38 1.7316766979 -3.613581 -2.340427 -2.408547 -4.539349 3.606837 2.455186 0.308069 3.699885 4.015577 2.287652 -3.149453 -1.840315 4.508619 1.665700 3.415118
39 2.4925733610 1.778485 -1.772110 -4.629119 3.699415 0.332328 2.499024 1.589850 -3.024557 2.415436 -1.850119 1.371583 -4.869252 0.558671 -1.397070 -2.871734
40 2.8906802384 -0.929663 -0.109787 -4.125732 3.723336 3.675381 2.586510 -1.044368 1.885363 -2.493375 -4.321635 -1.698833 2.972953 4.552726 3.557422 -3.502691
41 2.5591885223 -0.995991 -4.104643 -2.136447 0.433106 -4.722277 -3.358248 2.970313 -3.058497 -4.125040 -4.259916 -4.498394 -3.846231 2.064544 -3.510661 0.589637
42 3.1833239919 -0.637303 3.357336 -1.878366 -0.987342 -2.555595 3.757335 1.531001 -0.412656 -4.675966 -1.359435 4.310611 4.711290 -3.259915 -0.843497 -3.235005
43 2.4225359724 1.314226 1.050217 0.401885 2.878094 -3.028491 -1.001804 -3.367445 -2.172485 -3.619734 4.887062 4.855592 -2.531807 -1.847158 2.243053 -2.834851
44 3.4364258882 0.114947 2.619700 0.275164 4.319719 -4.063058 0.470675 2.563466 3.750080 -3.944408 2.624961 -1.047432 -2.033998 0.006699 2.111524 -4.001732
45 2.1902833423 2.193027 -4.004756 -2.803753 -1.839644 -2.233472 -2.157125 0.232066 -2.500389 -4.961929 1.923681 0.740104 4.329927 -3.147113 -2.715307 4.611249
46 1.8537362370 -2.723272 0.893859 -1.228608 -3.569436 0.451622 -2.566999 2.033345 0.249107 -2.359385 -1.279818 0.569886 1.302979 -3.667055 -4.871195 4.421185
47 2.4303485956 1.368219 -0.584827 0.710012 -1.493947 -0.202418 2.961577 0.840497 -2.378147 -0.124273 -4.221059 2.637373 -3.298331 -4.742450 -4.638919 1.190023
48 2.2944664754 2.340430 2.311921 -4.670999 0.374089 -3.524323 4.574943 -4.712577 -0.845965 3.530408 3.978414 -4.463339 -2.611006 0.733130 -3.168869 -0.747687
49 3.0064043388 0.061914 0.859895 2.713214 1.228520 4.292871 0.712671 -3.686164 1.417926 -1.424640 4.194925 -0.436557 -1.338153 -1.044900 1.432489 2.816139
50 2.0896398650 3.083332 -2.716720 -4.471952 -2.748167 3.161752 3.264706 -4.769264 3.404797 -4.157627 4.629016 3.121487 4.431788 4.162169 0.279698 0.123109
51 2.0072908155 -1.980474 2.217763 -2.691586 -0.748968 1.297682 1.367877 -3.940904 1.688435 -0.296667 -1.100818 4.570154 0.882838 0.880638 4.114590 3.579635
52 1.9178473345 2.889181 -1.666469 4.550433 3.112194 4.346354 2.850511 -4.266515 3.050658 0.147828 1.024168 -2.251757 -2.589708 -4.373831 -0.044538 0.604773
53 1.9533603794 -4.856982 -1.752922 -0.415156 3.205846 -0.952739 -4.810124 0.898467 0.651129 -1.240728 3.517904 -2.090398 1.956191 4.431031 -1.407728 -4.275431
54 1.8693924677 3.136042 -3.073735 1.988485 1.627880 -1.951352 -1.791058 2.685765 -1.596264 4.802114 1.986495 -1.928281 1.329235 -0.633029 3.354823 -0.692059
55 1.8128428990 4.417920 3.681067 3.058668 -3.736255 -3.854424 4.706884 1.332781 -4.569203 -2.237348 -1.563863 4.189478 -3.387971 -4.317716 -2.579651 -4.310547
56 3.0309688805 -0.507148 -2.149859 -0.341612 -1.606081 -0.403519 1.089460 2.269766 -0.058420 -4.753678 -3.075362 3.802558 3.635672 -2.489839 2.162442 -0.367539
57 1.8551466468 4.622519 -4.256744 -0.568585 1.209166 -1.322607 3.576484 -4.233558 -1.192449 -3.194687 0.146522 4.778165 3.513068 -4.722116 -3.753073 3.238957
58 2.2971130216 -1.350483 1.913831 -2.953490 -0.359744 1.600444 -3.909645 -1.794119 -3.761094 -4.842551 -0.496223 -3.510985 -3.775461 1.435674 -3.291236 -0.926802
59 1.9781306255 2.020649 -2.991498 2.093559 2.178775 4.485652 -2.934068 -2.618971 -0.145025 -2.385037 -3.991063 -4.809987 -1.184324 1.082594 2.390080 3.048271
60 1.8000581527 -3.990046 3.438952 3.944056 1.750158 -0.298478 3.921557 4.524187 -3.452539 -3.381784 2.483668 3.543259 -0.682687 -4.956708 -1.317046 1.497866
61 1.9863241132 -2.031033 3.732839 -2.524615 -4.420596 -1.627671 0.556807 0.650996 3.619595 -3.816785 -2.714040 -0.497586 0.283540 0.203928 1.852477 3.795475
62 1.7654694274 -4.448867 1.828029 -2.959078 4.143239 1.914123 1.698518 -0.573665 -4.164573 4.418321 -2.491148 1.003116 -4.790765 -4.137704 -0.697825 0.333557
63 1.8226773339 3.355213 -0.341327 4.825120 -1.671735 -3.577347 -4.343615 -2.675325 -4.755445 2.275222 -3.127619 -0.390015 1.041058 -1.811909 -0.294823 0.443432
64 1.7796211924 -4.914299 4.608852 -0.055093 -3.525017 -3.905045 1.276584 3.637167 4.430179 3.399920 -4.979027 -2.667215 0.360754 -1.430156 2.606172 1.110950
65 1.7984338604 -4.626887 -0.274362 3.156122 2.794425 3.651244 2.165038 3.415078 1.350069 1.881621 -2.774606 1.735492 0.715826 0.176069 -0.393818 -3.641671
66 1.8352409187 -2.364666 -2.680603 -2.081474 0.672347 0.840044 2.350045 -4.010059 -3.390033 2.089747 -1.799641 1.911967 -3.114923 1.802310 1.152860 1.671318
67 1.8172293073 4.977434 -3.006757 -1.398002 0.520328 3.728245 4.900860 -0.929051 1.957433 3.049112 -2.949846 -2.326475 -4.192970 -3.027018 0.074531 2.862708
68 1.7814966616 -2.826166 4.694561 4.448950 -4.967656 4.460344 3.578396 1.941861 2.339979 -1.768956 3.004330 -1.584562 3.086821 1.361592 -4.213886 4.739471
69 1.8418852820 3.037904 3.638817 -2.237365 3.368775 -3.671941 -3.947953 2.009203 1.812739 1.451189 0.706176 0.076641 0.520287 3.770968 -3.966765 -0.215771
70 2.5829835996 0.701863 -3.837951 -0.517815 -2.724786 -4.749466 -1.488497 2.850203 3.792007 3.875288 3.752161 -3.563257 1.409954 1.784523 -3.117780 3.025575
71 1.8664056942 -3.161410 0.985010 -1.460873 0.097237 1.632306 -4.546685 -0.827962 -3.593871 4.048735 1.874394 -3.072543 2.484441 3.828844 2.361886 2.874833
72 1.8457022502 -4.338566 0.418264 2.253308 2.696221 4.253472 -3.874644 0.403937 -0.541075 -1.503724 0.758185 2.183431 2.204272 3.954259 -2.416659 -0.521689
73 3.1204093482 -0.440982 3.766336 3.023889 0.492579 4.869363 0.629528 1.650089 -4.035271 1.594429 4.388798 -0.342312 -1.039994 -1.551868 3.508882 3.300522
74 1.9586277152 -2.424941 -3.784437 1.027671 4.041379 -4.255699 -0.119133 1.464609 1.608616 -1.698534 0.278977 -2.729143 3.352993 -2.372961 -4.497418 -4.451110
75 2.4956467483 1.298790 -0.177042 1.880859 4.483146 -2.296576 -0.016667 1.764564 -2.799833 -3.173106 3.793931 -1.400180 2.341350 4.362774 -3.371151 -3.383976
76 2.8717767589 -0.653212 4.528748 4.416579 3.653876 4.131907 -2.627377 2.602440 -0.735398 -4.308545 2.570367 3.758593 -2.353920 -0.313998 4.882953 4.124390
77 1.9464891447 3.918736 -4.315163 3.498226 0.602863 1.072927 3.503253 1.544778 -1.001741 4.262080 -4.503015 -1.346765 -2.158557 -3.801268 3.712488 2.538639
78 2.4255317383 -1.388451 -2.448859 1.151104 3.893048 2.849639 3.173235 2.369620 2.039581 1.891627 4.275388 3.581716 -0.938141 -2.568770 -1.166068 -3.914995
79 1.9625579805 3.436753 -1.231026 3.240511 -2.269051 2.260058 -2.688157 3.928123 4.708537 -0.789890 1.126074 -4.896723 -4.926423 0.309565 0.707400 0.829670
80 2.6325145017 0.768495 3.587704 -1.699031 0.000284 -3.205611 -4.128784 -4.139278 -4.450505 0.560735 -2.868352 -1.792617 -0.090318 -2.890495 -0.070098 0.474220
81 2.5343197945 1.050287 4.315813 -3.042441 -1.723962 -3.387671 -0.247275 -1.882593 -3.826971 -2.042787 1.972221 -2.783486 -1.676901 -3.311938 -3.658871 2.138304
82 2.6620773622 0.839969 0.224800 0.148235 4.872835 1.564218 -0.916416 1.164759 0.694778 4.991869 -0.263746 -0.241261 2.018461 1.223064 0.635753 4.037344
83 2.2867696200 1.531337 2.100322 3.828651 3.020214 -1.294275 3.098970 -0.356715 -1.643653 0.499205 -2.674047 0.037214 0.413929 4.255290 -1.000985 3.341014
84 1.7065217453 -4.648532 -3.724382 0.943742 -0.243522 3.477364 4.754804 3.153646 4.289290 2.820766 -3.897487 -2.386259 -0.337657 3.140919 -2.035333 -1.256022
85 1.7564088757 -4.198862 -2.864661 0.545181 -2.446775 2.050620 0.441680 1.050859 0.773548 -4.213527 -1.037001 -1.469148 -0.232954 4.750262 4.645772 -2.082823
86 1.8136760360 -2.562239 -4.730111 -0.766390 -3.292693 -3.068025 2.671714 -3.862940 2.775004 1.104551 2.699397 1.867560 2.392649 4.854784 -4.137161 -0.836451
87 1.8976050838 -2.907689 -1.029039 2.629766 -3.186504 -1.072117 -4.764592 4.814376 2.439554 -3.272533 2.232495 1.090008 4.644299 -1.599972 -2.486522 -1.139536
88 1.6888500179 -3.851035 -0.453373 0.609642 -0.390848 1.262942 0.032260 -2.516400 -2.558236 4.668718 3.551371 -3.027237 -2.711281 3.895074 -3.911083 0.310047
89 2.9922477157 -0.597717 -1.524059 -2.262245 -1.273578 1.491636 -2.270601 -1.945268 -4.811875 3.957468 0.019129 -4.536729 -1.129361 3.436897 3.826547 2.610663
90 2.7046510575 1.188456 4.355605 2.805447 -1.419217 -1.518328 4.793049 3.447266 -0.254378 4.836760 0.440373 0.697585 4.358054 -3.559735 4.941020 -2.201869
91 1.7398278374 4.431031 -2.379940 2.982916 -4.801094 -0.076242 2.001590 4.324626 0.601271 -4.719144 3.252387 -0.719741 -0.785577 1.992764 -3.580362 4.562835
92 2.1283301519 -1.975359 1.981158 -0.939966 -0.436980 1.183662 3.753708 4.367254 4.624962 0.327966 -4.929027 -3.755932 0.804979 -4.201172 -3.707651 -3.974341
93 2.6430869219 1.230272 3.278151 1.252333 -4.276235 2.791062 -3.982790 -3.079653 1.048545 -1.168968 4.091129 -4.582510 -1.463221 4.061351 0.862057 -3.577479
94 2.2989278000 -1.309237 2.955875 -2.056736 2.935239 3.806781 2.928017 -0.786805 3.851883 -4.479997 3.877635 -4.162487 -4.250732 -1.293060 -1.750625 -1.891065
95 1.8712874930 -3.058084 1.849720 -2.441645 2.749003 -2.281530 -2.485486 2.923356 0.375712 -2.843699 -0.181016 -1.734819 -1.280674 -2.315162 2.270189 -0.036341
96 3.1156802791 0.235604 -0.707119 2.554126 -1.760688 4.680476 -2.087736 -2.254459 -3.201212 3.011978 -2.005500 1.491780 1.254849 0.072216 -2.229053 1.355832
97 1.7267558466 -4.498262 -4.894848 4.208498 0.313912 0.495125 0.394322 -4.436809 4.103670 -3.652345 -4.394720 3.391478 1.366027 4.560561 -0.436976 1.347553
98 1.8615305240 2.740450 0.558390 -3.941257 -4.562053 -1.414611 -2.344123 -1.387475 4.879992 -3.669989 -1.176334 3.401187 3.303953 -0.592471 1.668743 -3.093604
99 1.7481773515 -3.519026 -2.888474 -2.734503 2.557222 -1.124246 -0.891954 2.884993 1.199852 -0.619924 -1.344728 -0.329013 -3.834788 1.292802 -0.162493 3.881283
