evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.0771235031 -3.280642 -2.854825 -4.122595 2.865810 1.694468 -2.907094 -2.108871 1.129446 -0.218521 -1.050202 -0.042209 1.477288 3.899015 -3.379873 -1.229186
2 2.1978697011 -2.836513 0.490532 -8.805494 2.973992 7.281413 8.625012 2.036436 1.294235 -15.936838 -9.910050 -7.066709 6.445296 -26.718709 -5.659277 -9.456523
3 1.8890212319 6.816049 4.689847 14.227689 -9.820096 8.003603 -9.586691 0.974917 15.316303 -4.675736 -31.920617 5.320069 -2.841300 8.188236 -15.727327 1.167459
4 1.9369914909 16.208898 4.623350 19.967006 -18.472585 9.338665 -10.037942 10.760371 38.974283 1.833593 -35.911384 4.659464 -8.644495 8.900535 -28.216666 6.655390
5 1.8685897780 2.727070 0.249750 28.927816 -6.178032 -1.619250 -11.177316 9.372412 29.802028 -5.102786 -38.407253 14.230049 -17.895104 20.080516 -4.815368 1.793303
6 1.8957748151 7.482033 1.728324 23.445206 -16.871154 -4.920394 -16.848746 33.675615 20.851581 -16.588413 -35.047229 22.873864 -10.198695 24.286175 -9.529223 -1.640044
7 1.8495855018 5.083477 0.781912 20.267013 -7.876118 3.017977 -15.656190 -0.179661 27.660604 -5.810387 -37.650977 11.998275 -8.670253 16.777633 -14.586043 0.568929
8 2.1805779329 12.708225 9.739549 18.831617 -27.443333 -6.185460 -4.957913 -8.468841 25.618559 4.458303 -17.954353 37.698621 -12.180072 29.011870 -22.473175 -13.234272
9 1.7812283576 8.369359 6.237713 6.996388 5.112787 9.300473 -25.338063 -11.075089 19.445865 -8.318844 -24.581594 -25.794911 -1.962398 26.852353 -9.394760 6.226416
10 2.4865138229 -1.267139 -1.158349 8.831914 -0.828483 -0.691464 -14.341505 -21.324259 27.769993 -22.738591 -26.289926 -37.053858 -31.440129 37.295041 14.818928 -7.115992
