evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.1324053731 3.195694 -3.613591 2.691013 -1.239367 -0.336591 2.756016 1.266505 1.638934 -2.520015 -2.993457 -0.904294 -1.486018 2.680868 -4.248284 2.706552
2 2.1429773173 -2.722955 0.572818 3.217125 2.214777 -2.192074 -0.079300 0.645015 0.037065 -4.874275 0.688942 -4.526286 -3.188081 4.676206 -0.246035 3.223879
3 1.5912455195 -4.210463 1.264180 4.055729 -0.768935 -0.743443 -0.158512 2.048343 3.922737 -2.198122 3.481007 4.587027 3.371639 1.473919 1.442346 3.672651
4 2.8713789862 0.575110 4.251908 -2.972599 -1.940209 0.947941 -4.187737 4.864475 1.115977 -4.644406 3.706654 -2.433796 -3.544437 4.514426 -1.248246 -0.907742
5 1.9779919855 -2.504450 4.050217 0.951101 4.980228 -4.067923 1.848929 -2.436649 -1.988323 0.191641 -1.960199 3.296977 -1.855919 2.396162 -2.965438 -2.307601
6 2.5969327370 1.208661 2.173001 -3.926951 4.430674 2.742694 -4.738172 -2.053060 3.441470 3.433271 3.432035 2.944332 1.311381 0.282108 1.866256 2.885603
7 2.0432178107 -3.200989 4.590021 -0.179060 -3.626834 -4.181283 3.814324 -2.678841 0.887514 -0.271092 -0.903427 -2.946960 -1.973194 -1.457786 -1.767084 -4.325827
8 2.5172876863 0.251642 -2.884053 -1.833906 0.242716 3.995587 2.284888 -2.927683 4.238335 -0.018531 -3.586895 -2.268638 2.166319 3.816680 1.604163 1.028874
9 2.0539393578 -3.687044 3.025046 -3.477836 -1.647540 1.453399 3.543112 2.632836 -2.801696 3.070361 2.543478 4.785417 2.993889 1.085461 4.499891 4.905279
10 2.3065475771 2.501553 -2.603788 -3.243791 3.848579 -4.489850 -2.706499 4.273054 -2.765123 -4.145051 2.166414 1.250961 -4.018945 2.999108 4.962807 3.575841
11 2.5842574388 -1.166301 0.289784 -1.217824 -4.347680 -1.551036 3.184818 -3.527709 2.982939 -0.513640 1.960484 2.501224 -4.221375 3.061257 4.277932 -0.511691
