evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.5158248539 4.846248 -2.362605 -0.113989 4.501316 1.207797 -2.987693 -1.442909 -1.421524 -1.853240 -0.913422 -1.366483 4.202175 2.339268 0.737993 1.569923
2 2.3545811983 3.248813 -1.518902 -2.311104 3.908682 1.181407 -3.631373 -1.145982 -0.221555 -1.812848 -0.152985 -2.077118 4.289123 1.335111 1.522701 0.099985
3 1.9739855542 4.800997 -1.115513 -2.997897 4.913978 2.008835 -2.902409 -2.483105 -1.693441 -0.371529 -0.422625 -1.260133 4.729688 1.786465 -1.895736 -0.531692
4 1.6964685543 4.683894 -2.172246 -0.793067 4.641166 1.457652 -3.788146 -0.950399 -1.521954 -1.760552 -1.778446 -0.214581 2.736878 3.794639 0.311448 -1.984548
5 1.7722519527 4.828721 -2.726771 -3.836263 4.146375 1.130234 -1.134100 -1.347430 -1.700959 -0.947926 -0.963353 -1.585767 3.410911 2.344711 -0.583127 -0.981714
6 1.7143672844 4.958273 -0.773794 -2.700595 4.940298 0.378415 -3.427381 -1.683742 0.995267 0.272287 -0.335608 -1.094401 3.711806 1.431277 0.661839 -1.595377
7 1.9773176222 3.628091 -2.103300 -2.555671 4.891298 1.692236 -3.800721 0.489413 -1.605782 -1.888971 -1.501680 0.513639 4.038062 0.710913 1.413524 -0.667929
8 2.2809470480 3.099136 -1.190294 -1.329055 4.682183 1.946161 -2.954319 -0.543999 -1.508613 -0.653239 -0.145452 -2.033476 4.209973 2.324839 0.284474 0.919462
9 1.9690801013 4.011246 -2.497874 -1.786155 4.971276 1.104831 1.264533 -0.772881 -0.536678 -0.302953 -1.677249 -0.886586 4.094667 3.864522 -1.361873 0.504453
10 1.6548526923 4.740912 -1.509768 -1.742561 4.964731 1.470743 -3.417653 -1.402495 0.033485 -0.320936 -1.663877 -1.145349 4.192015 2.838936 -0.034426 0.895980
11 1.7395817572 4.126906 -3.830911 -0.160289 4.414736 3.182891 -2.828367 0.316257 -0.594930 -0.992924 -1.254840 -1.957617 3.970215 2.067622 0.543199 1.705576
12 1.7354437942 4.999975 -4.793759 -1.821216 3.383672 1.659298 -3.146260 -2.247646 -2.914830 -0.557891 -1.176049 -1.800359 4.973627 1.315133 -0.320331 0.097093
13 1.8197743554 4.446208 -1.563866 -1.267641 4.131237 2.814662 -3.174563 -1.894023 -1.143904 -0.253960 -3.288624 -1.887209 4.464186 2.962761 1.133072 -0.055727
14 1.4163078722 4.853379 -2.478783 1.488117 4.071647 0.761076 -4.269549 -1.727992 -1.635513 -0.658178 -1.118354 -0.161995 4.981378 3.094131 1.592697 2.639961
15 1.8929833206 3.986318 0.276036 -0.540831 4.670870 3.339453 -2.271894 0.240712 -0.380156 -0.526550 -2.080081 -1.854663 4.940908 1.814992 0.572792 -0.925465
16 1.7772485779 4.521893 -1.367131 0.105780 4.563975 0.816817 -2.775465 -1.298481 -1.221897 1.266987 0.233500 -1.773451 2.885445 1.448079 -0.432426 1.043952
17 1.7984190363 4.810034 -3.181032 -0.269762 4.633156 1.229788 -3.793490 -2.038710 -0.207668 -1.639129 -1.943080 -1.139996 4.886977 2.790116 -0.279162 -0.955979
18 1.5421040906 4.685143 -2.095587 0.001980 3.688639 0.917522 -2.383583 -0.401364 -1.490556 -0.544587 -1.747055 -0.344323 4.045816 2.819236 -0.219529 0.584419
19 1.6295932093 4.992677 -2.474554 -2.119427 4.264580 -1.594222 -3.781017 -2.001138 -1.614553 -2.735877 -1.577366 -0.683753 3.299235 1.163226 -0.048260 -0.740402
