evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.3450332302 0.823832 2.339804 0.794499 -4.839985 -3.228180 0.381227 -4.297760 -2.940062 0.629527 -2.779780 -1.904318 1.243392 -3.915459 -2.886201 0.899020
2 2.2515422776 2.003548 1.095865 2.886761 -2.773159 -2.146467 -0.500793 -1.696628 -2.308681 -3.378624 4.530783 -3.102606 3.914163 4.682157 -0.796902 -3.152656
3 1.9362102143 -3.454270 0.052471 2.798166 0.196940 -2.182251 4.121441 4.951089 4.879123 -0.009865 3.984453 -2.586498 0.442854 0.630501 -1.097231 0.947807
4 1.5278294687 -4.737970 3.917844 -1.867703 1.721473 1.148066 0.829497 -3.705940 -1.402360 -3.894037 -1.535547 -4.040577 2.093529 4.413156 3.264043 -4.022475
5 2.2289772671 -2.856800 -3.211792 -2.253427 4.251273 2.939481 3.109595 1.433198 1.955028 0.503302 3.760285 -4.599350 4.524672 -2.937571 -2.618919 3.934548
6 2.4667037626 1.162648 -2.568297 -1.271043 3.311891 -3.318836 -3.369978 -0.188795 2.066970 -4.767139 -3.504284 4.860118 4.961148 -1.495140 2.935528 -2.046941
7 1.4231735727 4.497933 -0.608481 0.246594 -4.754795 3.592150 -0.329288 -0.514670 -0.092754 4.898223 0.611049 -0.030869 1.590482 0.664168 1.983267 3.308473
8 1.1956972599 -4.905197 -2.844836 -0.954287 -3.223160 -2.984169 -1.042117 4.973940 2.382709 -4.458903 -3.639115 -4.344242 -3.698930 2.823658 -4.376192 -3.423461
9 2.4227167373 -2.085175 -4.292877 -1.705069 -0.389416 -2.731528 0.454984 -4.198390 -1.486123 2.160972 1.605478 0.658715 -2.832467 -4.874903 -1.358246 2.386468
10 1.6997105197 -4.390380 1.797700 -2.346300 -1.798556 1.033625 -2.871857 2.169594 -2.874605 4.375612 1.408964 2.817213 -2.354577 -3.844302 -4.191843 4.667202
11 1.7218499682 4.532361 -1.298398 -2.779006 0.238822 0.469958 3.662159 -2.110496 2.877204 1.373946 3.858804 3.142564 -0.985932 3.499446 -3.758046 -2.298823
12 2.0689230077 -2.556940 4.448476 -0.278632 3.931759 -1.627094 4.657540 3.643840 -4.683998 -1.318081 1.127936 -1.348718 1.480503 4.625624 -1.778194 0.100221
13 1.9769441723 -3.062559 -3.678176 3.870725 2.671644 0.695980 2.540546 -4.924052 2.505283 -0.705196 3.839260 4.749942 -0.783789 3.475927 3.985344 3.121590
14 2.4598469515 -0.319082 2.684174 0.123667 4.563592 2.906484 -3.154427 0.968151 -3.714496 -1.035073 -4.307141 0.488293 -0.031642 -3.863394 0.589201 2.992471
15 2.4213945053 1.708405 1.048063 0.346546 1.404781 -1.339909 -4.265041 4.653641 0.410693 -1.951106 -2.414976 -3.345282 4.022780 -3.225528 -0.571492 4.941604
16 2.2423748772 -2.211614 -4.720986 4.435582 -4.224547 3.717308 4.420236 -0.136395 -0.165809 4.640433 -3.880161 -0.537656 -4.082016 -4.502837 4.923917 -1.991629
17 1.5584331536 4.695499 -0.724798 -1.341643 -1.445950 4.851741 2.341844 -0.927260 -1.082336 2.036041 -2.145334 -2.334806 -4.802225 2.566408 3.166566 1.654729
18 1.5416152859 -4.428870 -2.030838 2.287835 3.942163 -4.754872 -4.394881 -1.129581 -4.629273 -2.759442 -3.837211 1.653156 -1.996595 0.526521 4.621544 1.095575
19 2.4150538201 1.098151 -3.089645 2.146738 -3.174039 2.008368 -2.180891 2.846703 0.921129 0.093849 3.926810 -4.379800 3.093068 2.496517 2.961368 -2.735261
20 1.9371398888 4.262397 -3.610640 -4.854401 -1.546681 0.432920 0.011173 3.674395 2.450654 -3.310804 -1.230556 4.995821 -4.483662 3.774596 2.748772 -2.190132
21 1.8140927832 3.589000 4.513543 -0.316962 4.405863 -4.991221 3.906855 -3.502282 -3.418448 -3.158510 4.674787 2.587385 2.677368 1.109032 -0.167954 0.354278
22 2.4713565506 2.043762 0.993072 -2.434058 2.795442 -4.593726 4.837228 -1.293177 -2.847782 -0.627261 -0.625168 -3.852233 -1.783177 0.130335 0.678230 2.539830
23 2.6838749040 -0.088511 -3.068472 4.196470 2.344382 4.513995 3.774661 2.977661 -1.228655 4.024990 -0.590866 2.457473 2.536207 -2.595830 -3.697048 -3.782790
24 2.4597363574 -1.457224 2.281370 3.936343 2.898161 -1.257786 -3.601941 1.470899 1.014573 -2.346313 -3.379453 3.974218 -1.390311 -2.098842 -1.723895 -1.354617
25 2.1318837647 2.334329 -0.796357 0.182111 -4.677517 4.379110 1.306230 0.447489 -1.957518 -3.850217 -0.543919 -3.547531 1.296113 -0.612668 -0.024632 -4.411061
26 1.8387884207 4.053630 -2.160111 3.216165 0.810793 3.192821 -1.239343 -1.531152 2.561964 3.204706 1.272708 -1.462055 1.024841 0.079705 0.189713 3.740266
27 2.5812704377 0.473769 -2.347644 1.095959 1.315669 -3.515083 3.359629 -2.868536 -4.723199 4.078357 -2.588164 1.059578 1.998411 -0.062530 4.647119 -4.148075
28 1.8335905070 -3.747808 -0.336102 0.846595 -0.485450 3.538093 1.756774 -4.273629 -0.513799 -0.260970 3.605944 -0.826454 -4.672260 3.366243 0.467337 -0.504652
29 1.7597886247 4.095397 0.175157 1.182126 2.023957 4.373733 4.529437 -3.554770 1.930917 0.452576 -4.423170 -2.309475 -0.476923 0.724870 3.485345 4.564285
30 1.8201976053 4.327105 -3.428211 -3.490138 -0.605799 -2.623517 3.841078 -1.880126 -2.032957 -2.489355 -3.719707 -0.327261 -1.460897 4.107605 0.987011 3.245443
31 2.4203099097 -1.640414 4.211261 -2.305308 3.643807 3.850822 -3.960879 4.718032 -4.873432 4.182219 4.938980 -0.453759 0.848271 -0.193845 0.769072 3.552828
32 2.1117355207 -2.783031 2.058593 3.775286 -0.148641 -0.427743 -3.799889 2.640796 4.819297 -1.367314 0.886394 1.902575 2.778919 3.044243 1.074120 4.608551
33 1.5636366109 -4.302230 1.283594 0.659918 -4.009471 -1.364632 -3.215373 -2.757910 -3.633532 -3.798517 4.866520 -2.483490 -3.489507 -0.309118 3.682672 -4.231945
34 2.5987105984 0.375031 -4.899720 4.917433 -3.398290 4.174352 2.311492 0.237283 0.587448 -2.671362 0.031678 -0.375633 4.590948 -4.695285 1.272926 3.016820
35 1.8487071343 3.489306 3.185542 2.575957 -3.513811 1.398593 -2.238999 -4.395098 4.561312 1.622258 2.357702 -0.563319 3.378680 1.852217 4.253702 3.082566
36 2.0907315956 2.988946 1.816523 -0.611669 3.612391 -0.127111 2.268441 4.212968 3.133449 -2.024909 -3.219566 -0.760279 3.171776 -2.877385 -1.490759 4.056635
37 2.3157350620 2.720618 4.734104 4.524004 -2.538737 -1.802173 -1.954205 -0.001754 4.280935 -3.746956 -2.841631 -2.986785 -1.183168 -2.231767 -4.890170 -1.736590
38 2.4529418956 0.191059 -1.010697 2.186086 1.942648 -2.502504 -3.319008 4.843938 -3.371812 0.312467 1.172866 0.287899 1.529936 -4.452754 -1.951190 1.322775
39 2.6952634624 -0.574984 0.923862 -4.416533 -2.860775 -0.840119 3.160233 2.646191 -3.831768 0.062273 2.819362 1.491696 4.606855 -1.861118 4.033341 -2.785151
40 2.2850396778 1.944687 1.600256 -0.743693 2.128589 -4.411681 -1.803447 2.910830 -4.121076 -2.319628 -2.208543 4.242334 -1.719515 4.592881 -2.023154 2.953275
41 1.9159502422 -4.054446 -1.322610 -2.957628 1.232828 4.301717 3.466101 -1.046358 -4.979144 4.508267 1.667000 0.229696 4.209537 -4.765797 3.573048 2.111134
42 2.0527317466 3.126972 2.810262 -1.633243 4.897314 -2.233751 -3.750704 3.487873 4.012152 3.233357 -1.075878 0.849254 2.599156 2.303046 3.177846 2.497435
