evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 3.2209790915 3.448391 3.853851 3.426731 -0.699972 2.618416 -4.247996 -0.544709 4.441173 -0.735691 4.972956 -3.436051 -3.853076 4.603172 -1.724403 3.248002
2 -22.9454399814 21.825482 -4.256086 -1.746457 4.635031 -5.767451 -8.043392 1.095282 -11.038629 4.755289 13.942995 -24.888020 -4.302588 -3.197945 -9.681385 23.730527
3 -19.3119422213 22.205613 5.772825 11.939374 8.819923 -3.961232 -10.890303 -0.999296 -15.379712 6.698721 -2.438965 -34.658358 -7.381886 6.741589 -5.055807 28.487637
4 -28.9440551878 23.212609 5.375455 -10.482005 -13.463230 -8.738029 -0.483412 6.026785 -4.602633 9.114452 -3.471245 -42.706466 1.656403 -2.999733 -12.155663 24.440034
5 -9.2504474241 18.166720 8.058220 5.050488 -4.076992 3.121619 -26.608180 1.446169 5.188296 -2.337704 -1.477460 -34.414371 2.189761 -20.141754 -5.730534 27.220388
6 -66.3153821337 37.522678 5.195580 -25.577995 -20.650283 1.528646 -1.430519 20.293307 -4.579029 24.508954 0.597401 -31.349213 -5.340102 -8.320322 -1.599506 23.583716
7 -56.8746518671 35.550674 11.323947 -24.195462 -16.809627 5.108936 4.502650 35.434646 9.897941 25.702364 -7.326797 -34.414450 -0.725177 -22.671240 4.406541 21.958987
8 -62.3169720010 38.551173 -2.229278 -35.553445 -15.178622 4.281917 -16.974880 36.537829 -13.517895 12.640063 -0.764471 -32.254440 5.112062 1.915614 3.275771 22.497831
9 -112.8615542684 47.554632 17.693456 -30.598769 -27.252661 -7.677643 -9.739064 20.992727 5.573843 20.450992 -1.722748 -24.109540 -20.859761 -22.499679 0.823509 20.694392
10 -129.5793706112 52.829088 28.040031 -38.386594 -29.373251 -5.942135 -9.052330 19.859387 8.460982 28.769998 9.565024 -24.273731 -30.510355 -22.846221 13.483838 30.217953
11 -96.8867736697 47.411733 19.389876 -54.893097 -30.594645 -13.532997 -19.700352 18.508408 20.977345 28.810902 -6.180141 -28.350838 -41.021889 -26.748197 18.055545 37.772291
12 -115.4058239943 51.065409 15.741744 -53.904983 -31.780472 -7.954585 -19.666683 42.010489 2.503486 29.725049 25.103160 -16.562716 -31.063265 -20.237366 20.468650 13.859420
13 -184.1940187888 62.952031 18.062968 -55.953145 -46.797844 2.069906 -0.187414 24.461247 4.750221 47.123675 23.274191 -8.432411 -16.759641 -33.933860 17.268997 45.716896
14 -210.8949080160 67.885401 25.192163 -50.188949 -48.851656 14.830676 -1.901319 26.295215 3.699088 55.512617 25.426215 -0.013630 -17.517915 -31.308593 10.169685 53.345630
15 -256.3204637310 72.807928 28.508419 -34.085306 -37.312652 -6.467997 22.461650 17.104366 5.189126 42.371040 21.328645 18.644007 -21.769374 -20.927894 -8.399529 59.382702
16 -273.7878231274 74.756201 26.159053 -4.287641 -42.769566 -17.285284 5.000832 21.192403 14.286198 44.095647 30.101276 22.760996 -34.049426 -13.350649 -13.723010 64.408959
17 -134.4162548002 52.379861 41.556001 -17.925046 -52.484870 -9.887723 -1.557710 20.533796 20.739967 36.722646 36.632225 15.621687 -42.000132 -11.553101 -16.938073 59.261781
18 -318.1459400154 82.463421 41.479633 -6.957614 -28.596246 -24.290005 22.834417 23.926096 24.797915 35.179103 27.579566 8.595036 -23.846348 -0.526300 -3.985632 54.971406
19 -456.7898907503 100.640256 34.784165 5.720132 -24.790674 -2.174534 11.579273 34.318634 17.952088 40.824427 33.733661 38.651025 -17.049462 4.874663 4.217842 35.347026
20 -520.8828003648 109.102789 43.710995 12.939182 -25.909166 11.150303 5.694312 22.410083 6.827690 27.959432 60.211039 64.525016 -14.578021 14.222902 4.315591 32.256743
21 -627.2211505856 118.062949 45.781551 21.638956 -18.231159 28.915723 6.583605 38.992292 -5.203651 23.269923 62.754764 53.431156 -21.243309 -17.006613 -6.910155 33.252068
22 -624.6113078347 115.592379 68.786870 4.462205 -7.376622 15.243603 12.934432 49.465931 -17.894439 19.877931 67.576064 55.460210 -15.855800 -27.339034 -9.306880 38.029553
23 -665.4038135518 121.564915 39.080985 6.696921 -6.758698 37.422095 -0.930687 52.024133 0.288062 16.046084 65.265035 48.382922 -0.590471 -22.493894 2.344988 56.031524
24 -602.3876590206 115.715038 35.196215 3.630552 -6.733332 31.431828 -7.784131 55.799947 5.032306 2.986101 60.315581 45.699299 -1.036231 2.624473 10.871651 44.791996
25 -792.1222864429 133.327511 49.368003 1.118992 -7.336458 51.578444 5.694117 66.044260 5.760825 3.419496 84.064284 39.056811 -2.473244 -7.630511 -7.173700 61.626990
26 -837.9256475235 134.512967 62.129013 -0.153180 5.649621 42.495964 12.389880 74.443759 19.530774 -14.893795 69.894265 44.383632 15.511778 18.178044 -23.037062 44.855547
27 -709.1354852899 121.851014 86.317572 -4.817794 24.178745 65.267697 0.175771 69.209901 11.399593 -6.287826 49.015774 58.841176 25.786997 24.099449 -40.492372 56.124634
28 -1058.6829656279 151.968238 91.915532 14.795666 15.523072 52.413980 -5.797644 84.077531 13.081595 -15.091765 71.043409 15.292144 9.776052 10.270358 -26.235932 33.979892
29 -1148.5692616168 162.103210 96.679706 5.326870 9.959565 77.107371 -12.900751 86.040910 36.339212 -23.966036 76.281718 29.314335 7.003625 -18.820683 -7.756362 41.576791
30 -1353.5877577671 175.018274 107.955118 -2.013833 -19.776175 69.640070 -23.871547 85.135294 44.630807 -15.355341 63.633275 25.426012 -10.693924 -37.090624 -4.833190 39.496354
31 -1466.0469583909 179.450972 81.770498 -13.190870 -13.802676 60.668763 -21.982861 72.746429 55.243476 0.927302 81.240455 12.952283 -11.053550 -53.188180 -29.500057 38.533183
32 -1597.2683826185 189.772862 92.210210 -0.132033 6.412080 42.936770 17.847547 99.140529 90.259193 4.576116 98.875961 -24.121286 -0.477492 -54.738014 -15.084512 27.392865
33 -1523.0072211324 185.874345 77.063856 -12.638567 19.362814 36.548522 17.173560 95.197515 69.427994 -7.913139 118.070718 -2.250458 13.603202 -33.942723 24.359075 15.699258
34 -1036.1159308913 158.626535 96.739264 20.024223 21.134327 66.783350 4.864519 100.702026 87.663556 21.579610 119.471846 -26.967534 -7.627185 -64.448008 -0.506435 5.980874
35 -1705.0892408902 195.627059 104.421447 11.904356 17.355854 21.534293 14.963037 99.036983 93.929796 19.265822 99.369958 24.159671 16.925151 -29.539109 -11.745952 10.193232
36 -1377.4173262653 177.420323 113.700925 -21.707035 29.676895 41.749302 9.167836 99.325591 112.647963 27.194514 86.701394 16.924980 26.203964 -73.487161 -21.882146 27.090828
37 -1527.3862728134 187.228694 118.583214 22.269525 4.815510 25.504693 9.332428 122.266767 87.568112 19.768349 103.166591 4.248314 34.830757 -21.542738 -0.901506 25.558152
38 -2172.4750893120 219.779107 106.086850 10.203678 18.910420 15.813675 19.817002 78.724562 112.611334 32.126443 93.945944 22.923080 -7.933304 -36.312007 -18.949670 2.568107
39 -2166.0814993330 218.326984 120.399230 -2.298891 2.075183 19.753794 -9.658905 68.579249 105.059133 17.456947 71.078626 14.422265 -16.405722 -35.319580 -26.734532 17.114806
40 -2459.0187141305 231.788461 84.438164 5.238001 32.079041 60.165601 23.670519 89.069277 117.498051 22.603866 87.172361 12.715612 12.365380 -34.536062 -33.670605 -4.578891
41 -2930.9759425418 253.532056 96.080579 24.740836 47.421842 59.132774 -4.952479 86.565751 136.356279 12.012527 84.726513 -3.785627 20.177210 -19.224935 -32.205802 12.931893
42 -2611.8674458311 239.631214 90.759612 8.766804 40.772923 83.320713 -13.866559 85.507751 138.593762 20.948739 73.364385 30.077173 -26.430020 -33.509802 -37.716382 18.546684
43 -3605.7573866701 279.031012 95.985661 23.505919 70.123386 81.995136 0.192600 84.548267 122.411044 13.374461 89.027855 -1.280091 11.604709 -22.324412 -38.296172 14.402771
44 -4087.0182186594 295.540046 77.831995 41.610381 57.889898 65.507859 10.964619 101.039845 98.717851 12.374798 92.689507 5.080318 22.859320 -28.384481 -46.747918 31.805978
45 -3785.0173953860 282.577110 74.382511 24.508496 96.574466 55.556425 0.945364 123.687646 110.945427 3.280733 101.577528 -12.970140 28.659254 -37.118680 -37.992047 31.306494
46 -4253.7133494268 302.397863 75.178918 47.536864 38.997673 57.672464 23.170457 90.570888 97.853087 -8.704921 105.959385 -6.883198 11.471575 -33.160034 -55.110141 31.615767
47 -3647.1559488199 279.928946 87.968420 45.176996 35.238679 58.547540 23.283527 99.631561 116.503191 -8.935271 75.820525 -39.679116 25.361064 -24.395514 -70.262213 -2.456751
48 -5009.0103845105 323.335883 73.638473 16.829379 63.676554 49.550609 27.871005 97.242371 102.295981 -21.312364 98.175295 -18.300665 41.231077 -35.652021 -93.047556 49.056020
49 -4732.9935293359 309.241343 44.769057 19.432138 83.703979 38.854708 46.835801 96.516165 56.448236 -36.713644 75.265354 13.754255 17.334708 -16.193507 -98.325348 30.949960
50 -4948.9860693956 322.613963 93.252589 6.931533 51.240147 58.341843 22.561709 100.477810 120.204358 5.676457 95.933601 -4.770867 46.172018 -29.069840 -88.949007 30.395301
51 -5848.3755215816 349.480505 75.452351 47.190424 82.543320 72.714247 44.682687 94.069569 116.464283 -28.164109 104.184173 8.218655 64.045222 -36.562074 -117.219530 42.899099
52 -5401.3658383474 336.328626 93.093526 35.662925 84.371017 57.805292 27.165879 117.671840 142.056742 -33.583362 129.447852 2.296258 61.665635 -30.391772 -133.401459 37.456733
53 -6514.7745396510 369.910452 82.506336 70.874637 66.972674 55.799469 58.804596 95.156145 116.132568 -37.300954 103.108807 14.214648 85.250090 -51.767761 -132.982821 53.100456
54 -6346.7051027210 367.261182 88.469577 80.733079 81.448056 41.792725 50.659716 103.351488 109.960063 -27.130172 113.810230 -27.081313 98.110985 -90.929463 -119.013379 54.986447
55 -6908.3096519798 379.068148 45.388296 51.925574 48.969519 43.329507 10.704395 83.280075 107.139805 -46.083783 78.544163 6.690279 83.610510 -91.854092 -131.514888 52.799473
56 -6760.2269903388 376.296893 28.775725 44.159323 28.923159 10.034444 23.660944 119.214431 88.464247 -47.531949 93.886200 -2.844656 102.599061 -95.642759 -107.569554 67.602689
57 -6375.5102124931 367.542844 62.423634 83.681038 21.468515 16.622938 3.371097 69.517331 101.599588 -68.044221 107.497242 6.560144 90.474729 -87.489003 -123.532184 39.013652
58 -7190.8437307495 386.977058 12.428973 52.607005 43.803771 63.377421 2.030036 82.560953 81.604975 -54.646952 97.489880 -19.039333 103.197923 -78.218750 -132.810241 75.650276
59 -7630.3971109637 398.384706 14.819188 26.249385 -8.440067 63.643000 15.862729 92.163088 104.375155 -74.803916 113.702049 -4.689442 78.152926 -70.696050 -143.847536 67.022154
60 -9215.7147539219 436.525477 44.582831 18.376562 -20.850135 61.737278 22.998910 80.809241 128.087565 -91.589614 94.454208 -2.942444 81.674278 -73.143076 -157.731570 54.597930
61 -8744.0161113728 424.299839 46.754945 2.367415 -50.983910 11.720976 21.500899 64.355542 116.288048 -70.581142 108.109180 -0.439748 111.582441 -54.256993 -150.748712 63.680212
62 -8968.2907252555 432.068030 64.531299 10.722839 -95.130542 56.082320 7.488291 106.260871 160.531119 -110.111858 141.820196 -23.936786 108.540881 -86.934323 -157.528557 64.860786
63 -9452.7737912666 440.430840 17.645321 -1.131467 -17.513372 19.571540 62.218982 94.775235 122.837470 -55.241250 81.196934 0.927817 78.877724 -80.344189 -183.844805 56.383914
64 -10959.3811421941 472.139898 64.485747 15.349725 10.964663 -0.290873 38.995999 85.485310 146.701873 -32.861881 79.294029 -19.589787 88.213769 -69.357916 -235.285246 83.231280
65 -11709.8258200911 487.556830 79.118204 15.054611 -3.749214 15.929045 27.995067 112.370977 142.364202 -24.554931 82.886626 -25.113169 80.220253 -86.008566 -241.854850 99.144767
66 -11269.8742879897 476.785764 85.483415 4.117190 1.490575 43.834314 65.496231 134.095661 144.861181 -23.411199 78.288969 -24.398065 91.176190 -53.737555 -266.314219 106.684670
67 -10582.6203914775 462.716283 66.355728 17.958065 14.879323 52.625732 22.840722 148.310388 161.105770 -19.171624 55.583289 -16.447707 78.950635 -78.977439 -238.136929 110.384953
68 -12442.4581221008 499.873846 95.822491 -6.800688 -1.508383 51.774124 24.169925 142.946452 134.457634 -1.939949 52.515143 -24.522796 83.460800 -83.969695 -265.841314 92.162656
69 -14245.0604399747 534.292399 96.397053 4.886437 -9.785572 30.579584 46.627674 155.056599 146.827565 -20.605128 46.826672 -3.461795 76.107751 -49.189610 -275.344434 33.070722
70 -14566.6460916719 539.916728 81.469416 6.312021 -33.620471 69.074000 83.503282 171.025214 120.798718 10.967087 9.058721 17.842837 105.190432 -71.596708 -271.030703 49.136307
71 -16022.0341435044 564.633616 86.291582 4.374837 -51.721512 49.223662 80.388355 220.322695 124.684703 28.372946 -3.488934 25.458114 58.512453 -36.364570 -261.160772 68.886795
