evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.4098365307 -1.113010 4.633738 0.510738 -0.297364 4.567624 3.093291 2.954160 4.126679 -2.851749 -2.611173 -0.080631 -4.100059 1.942771 2.948969 -4.495042
2 1.8064628839 3.465087 4.251718 -2.973579 2.921510 -0.122270 -2.275009 0.846353 -2.332956 -0.503055 -0.425498 -1.753011 4.619391 -4.955576 -3.090827 1.356762
3 3.3577132225 -0.203686 1.652123 -3.241597 1.123334 3.350765 -0.377416 -0.388247 1.540960 4.841378 1.039654 2.612833 -3.187547 -3.408189 3.340887 3.331649
4 2.0593402386 -1.844558 -1.355009 2.189888 4.812791 2.407838 2.091569 -0.838825 -2.790431 2.194732 -4.585168 0.755943 2.656707 -4.589637 0.668276 3.375224
5 2.8848769665 -0.359051 -2.627037 -1.895167 -2.462715 -4.220031 0.986568 -2.566331 3.015271 4.139412 4.563679 -0.492575 3.240572 -0.354230 -2.315948 0.481613
6 1.8207995892 4.834029 -3.235882 -2.732355 -4.565694 2.344829 -1.258623 -4.642009 -0.007040 -4.253480 -0.294205 4.410779 -2.054210 -2.866079 -3.290452 3.676594
7 2.0600886345 1.899719 4.871980 4.570923 -2.816194 -3.926553 1.422948 -0.464301 1.434631 1.125671 1.236467 4.446111 -0.971654 -2.121267 1.277460 4.573067
8 1.9006903172 -1.903200 4.990063 -2.631661 -4.797326 4.368858 -3.364510 2.150451 1.925711 -0.325583 -3.370580 1.043795 -4.315378 -4.451147 -3.178891 2.978059
9 1.9101897478 2.389155 -1.776143 2.573232 -2.762280 1.505189 2.493071 3.587053 -3.408158 -4.610055 -0.477284 -2.179497 4.187397 2.726712 -1.451842 -1.326474
10 1.6501221657 -4.480302 -3.407625 -3.399492 2.535838 1.604255 2.116576 -1.161830 4.959727 1.355816 2.860359 4.985020 3.211059 -0.063264 3.603924 -1.111053
11 2.0744664669 3.278017 3.347365 -2.838799 -1.096384 1.022352 -0.457266 -1.745789 -2.603568 4.060358 0.805503 -1.485125 -2.398206 -0.001738 0.491939 2.489019
12 2.4655425549 -1.049353 -2.590947 -2.235498 3.670603 -3.089205 -1.623856 1.017631 -1.529035 -2.585569 3.101331 3.080907 0.161213 -2.313782 -1.513319 4.783518
13 3.1536843777 -0.650788 -4.933866 -0.961853 -0.684695 1.098895 0.199705 -1.794108 4.555376 -3.193738 3.080579 -3.554838 -0.703433 4.368489 4.583957 -2.449414
14 1.8438092470 -2.438463 -1.418413 -1.041147 -1.175796 -3.817804 1.814242 3.348720 -1.488472 -0.196489 -3.424478 -1.889591 2.905782 -3.018962 -0.624279 4.627733
15 1.8367298841 -3.788324 2.768636 -2.735057 4.291550 0.978102 2.998559 -3.110112 -2.208818 -1.767951 3.583817 -3.451748 -3.232979 -3.347308 2.455739 -2.237502
16 3.0161359310 -0.186358 -0.251653 -0.882018 -2.492709 -0.910889 -4.814484 1.786023 -0.999739 0.754119 -4.032755 3.165429 0.374469 0.048670 -1.830958 -3.903834
17 1.7913959026 -2.476454 -4.080907 -3.549414 -4.440318 -3.570831 4.659624 -1.903602 2.901668 -0.083480 -2.927172 3.683392 -4.864262 4.554979 3.643143 -3.449952
18 1.9167959690 2.266165 1.950251 -0.194253 -1.380881 3.914697 -2.962372 2.200653 -0.648571 -0.765148 -1.364186 -4.976297 -1.609199 -3.732683 -0.334689 -0.467141
19 2.3364751339 -1.464990 1.140241 2.288149 -3.335320 3.845310 -3.855243 -0.255448 -0.139845 0.116936 -1.981725 0.973888 -3.468394 0.509873 -2.540185 1.143185
20 2.9950246811 -0.138749 -2.021206 -2.425956 -1.559879 -1.613062 1.530713 1.945098 -0.790943 -2.681376 0.984605 4.814734 2.355927 1.656058 -2.111872 1.788634
21 1.9627183676 4.458619 2.027742 -0.761360 4.236316 -2.905688 0.346245 -3.861297 1.033570 3.663547 1.338246 3.751541 -2.729669 -3.919392 0.010989 -4.060470
