evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.5682203770 -1.034516 1.044954 -1.708171 -0.170443 -3.296846 -0.411581 -4.571312 3.754923 -3.178226 -4.801044 3.565922 0.795902 -3.834766 3.238646 -0.189700
2 2.3686454296 -1.343116 1.398931 -0.709813 0.137357 -1.604254 2.389602 0.301777 -1.324406 -4.320080 -2.984919 -1.225147 2.840120 4.343319 0.242276 3.560051
3 2.1577248573 -4.450090 -4.922096 -3.924210 -0.876137 -0.961446 -4.935704 1.340669 -2.541006 0.097701 2.942053 -3.556590 2.240235 -2.442822 -0.537677 0.421732
4 1.9177809954 -3.484255 3.758297 2.726732 0.029638 -2.764017 -1.141888 -1.496363 4.918425 -4.752270 1.205812 -1.451057 -1.845899 -1.554360 0.717206 2.279425
5 1.8667399883 2.710707 3.159427 1.369140 1.384429 3.006921 -3.542869 2.152712 4.323499 4.731222 3.674489 4.555545 4.612328 -4.489172 -4.950993 -0.905638
6 1.9962741137 4.698195 -0.328926 -4.499029 1.062776 2.948266 -3.125602 -3.371401 3.610697 -2.099499 -2.549647 4.993052 -0.777485 4.251545 -3.350736 1.061445
7 1.7870309353 -2.194415 4.821903 4.336189 2.093025 -0.362236 3.116756 4.799030 1.847865 2.767699 1.927990 -4.134738 1.056919 -3.191616 4.357132 3.336290
8 2.2829477787 1.170875 -1.254796 2.122084 1.667816 -2.163420 4.576586 4.667112 2.035114 3.887729 4.103572 3.017191 -0.181471 -2.961916 -1.636183 0.715475
9 2.2578175068 1.608295 -0.531947 -2.208503 -1.685001 -3.667963 2.304063 0.752288 1.342189 4.246422 -4.206234 -1.065050 4.250949 -1.347420 1.713413 4.014636
10 3.2558109760 0.152527 1.938400 -1.971345 -2.869198 3.569074 -0.984119 -0.062071 4.719460 1.678722 -4.713111 3.330150 3.204151 0.277203 -4.776804 -4.676501
11 1.6485468149 -3.133441 -1.605443 4.125204 -4.395007 -0.243156 1.728816 1.034038 -3.265244 -0.488772 3.476208 -2.467011 1.728320 -1.874209 0.514685 4.408366
12 1.9070463181 -2.721996 2.598812 1.840029 -3.235148 -4.363427 0.271104 -0.395283 2.339157 -1.782515 4.685645 -3.063845 2.746209 1.347992 4.801723 -2.440746
13 1.7484807968 -4.902021 -2.981916 4.981489 1.566335 -3.459664 1.414890 -2.037787 -0.643426 3.982034 4.115908 0.333194 -3.897687 -0.255862 -0.808644 -3.513954
14 2.0361528397 -2.028195 3.926836 3.263293 -2.222481 4.381832 -3.921949 -2.126916 -2.173209 2.393937 0.421264 4.024116 -2.264292 -2.211785 -4.405118 -4.277212
15 1.9557713270 3.695442 0.815751 0.571561 0.575512 0.964757 3.982671 1.680067 -4.921412 -2.461758 -1.163672 1.376463 -1.049495 2.178265 1.653729 -1.736338
16 3.4079725742 0.065161 -1.090247 -0.130717 2.684491 3.724843 -2.229769 -0.821508 -3.566439 3.562191 1.588611 1.906312 4.963171 0.903431 -4.309120 2.092063
17 3.0708622932 -0.296569 0.133144 -3.649730 -1.299578 -1.695432 1.495651 -3.952432 -1.199559 -0.580177 -2.010561 -0.694772 -1.557805 3.304504 -1.770664 -4.854048
18 3.0088422298 -0.992206 4.463524 -4.744837 3.975809 2.061682 -2.047321 -4.188743 0.404712 -2.943520 -3.132880 1.583533 1.453265 -3.920537 -4.074684 -2.859726
19 1.9737778902 2.411565 -4.212327 -0.923054 2.870279 -1.025266 0.610532 4.063917 -1.890710 -1.446154 -3.535748 -4.007909 -4.513371 -3.633161 2.161531 0.798068
20 1.7658529282 4.349967 -3.566554 2.993566 2.269473 0.022078 -1.664942 4.127819 2.133678 -4.485672 2.611261 0.403616 -1.245884 4.738057 -0.117227 -2.744747
21 3.0467522144 0.523823 -3.244675 -4.904904 -3.508805 4.221707 -2.990823 2.590647 3.355592 -3.948593 -1.767067 -4.365364 -3.809357 -1.098842 2.846599 3.169834
22 3.2514836788 -0.748405 1.675100 -3.774554 -0.638217 -4.581350 4.844464 3.351787 4.454554 -2.328106 -1.288090 4.269666 -0.421149 3.783818 3.739176 -3.115430
23 1.7650494576 -3.302949 -0.758755 3.769539 -0.513515 -0.727488 2.823486 0.374428 -0.418796 3.405018 3.287981 -3.790950 -4.256993 4.050811 -2.520393 -0.499839
24 1.9852041006 3.305282 4.304811 -4.312696 3.816007 1.258570 0.942430 -4.471240 0.083426 4.822883 -2.167611 2.974810 -2.092822 3.658045 0.045255 4.829483
25 2.1739072800 1.901918 -3.893593 0.297166 -1.574412 1.187971 0.433800 3.790022 -3.695595 1.064344 0.817337 1.861717 -2.482315 0.650405 -1.360116 2.351899
26 1.9946187735 1.853031 -2.201180 -3.378880 -3.845188 -4.201470 -4.323266 -1.071754 2.659779 1.937018 -0.038084 3.679319 0.513750 3.060311 0.810480 2.648474
27 1.9403408766 3.655819 0.053470 -2.811268 -3.029641 1.701061 -3.709314 1.599392 0.571110 -3.736431 0.170053 -4.978990 -2.667299 2.991259 1.929014 1.801929
28 1.7142497301 4.239910 -4.421303 -2.703151 -2.406952 4.943057 -0.633563 -3.510257 -1.607723 4.379369 2.413259 0.962027 0.612361 2.447319 4.731044 2.989024
29 1.8122093678 -4.141684 2.199229 1.535665 -1.039871 -1.912889 3.251440 -3.672649 -2.673727 -0.907427 2.112281 -1.832843 3.711573 2.557714 3.540903 -1.582598
30 1.8384715319 4.095816 0.468962 2.338391 -4.696244 -1.433089 4.124607 -0.216214 -3.205782 1.609081 1.716682 -0.458984 2.365381 1.633173 -2.052483 -3.359081
31 2.4235105515 0.997795 -1.987531 -1.559409 4.212600 4.748169 2.022815 4.470807 -4.548770 1.275712 -0.614498 0.006199 0.268917 -4.909363 4.079631 -2.329886
32 2.0803165436 -1.767470 -3.047141 -0.033467 -4.230521 -3.141703 1.103952 -1.232686 2.955250 -4.926822 -1.541217 -4.766537 -4.899427 -0.439231 4.221019 3.777532
33 1.9494036436 4.893838 2.389571 3.060170 4.514174 2.238401 -0.243187 -4.818767 3.907629 0.184438 4.901854 -3.272297 1.983215 1.940576 -0.685139 -2.058855
34 2.7066426277 0.724148 2.827102 -1.307912 -2.597010 -2.483336 -2.527863 -0.592325 3.197213 0.883129 -4.010134 -0.956817 3.368310 0.450097 2.740467 -1.089778
35 1.8693835735 2.931195 0.555876 -0.345650 -4.106344 2.424803 4.554186 -3.181812 -4.077743 -3.338713 0.558420 -2.600814 -2.889272 -1.940703 2.344404 -3.733614
36 1.8219225407 3.112307 -2.522586 1.003179 3.485494 0.241238 3.886217 -2.482838 0.891735 2.835763 -0.434800 4.738852 -3.583299 1.138906 1.049516 0.273323
37 3.1502020359 -0.425830 -4.568723 3.562678 3.273846 -4.914547 -2.609577 0.974647 1.611838 -2.776150 -3.436266 1.161257 4.333650 -4.301302 -3.149910 4.592844
38 1.7141038179 -3.947192 -3.739216 0.883042 -4.990106 0.752116 -4.677865 -2.631119 -2.966532 -1.377559 -0.816582 2.569939 -3.067289 -3.395651 3.010557 -4.012297
39 1.7266201973 -4.579701 1.463022 3.932968 3.163241 0.386152 3.652753 -2.999959 -0.935502 0.730106 -4.398412 2.492381 0.020459 4.921532 -3.870874 1.576960
40 2.0821595192 -1.586531 3.614246 -2.392619 4.833402 3.997775 0.027676 2.554803 -0.297902 0.379042 -0.222144 0.715672 4.095415 1.860933 -2.916552 -0.704493
41 1.8208221197 -3.690245 -1.836925 4.667443 -1.968964 3.260035 2.617620 -1.852163 -1.802437 -3.650932 -3.858791 2.165627 -3.429019 -2.617241 -1.118966 0.059464
42 2.0304098129 2.285858 -2.598750 -3.035311 0.430307 -2.999122 -3.255856 3.189005 -4.642497 -1.154793 1.384998 -2.327408 1.371984 -0.961321 -3.469820 -4.467492
43 1.7466584444 -2.896706 -0.921108 0.474045 2.523123 2.680344 -4.335688 1.953269 0.241519 3.046293 -2.609910 -2.975506 3.464463 -0.628803 -2.280329 4.279410
44 1.9009648561 -2.368494 3.357995 1.973818 0.921640 -4.083700 -1.821269 3.560832 1.145226 2.213960 3.002362 -1.978929 -4.556964 -4.751788 -2.685517 -1.331386
45 2.3000507355 1.278571 4.655411 -1.186978 4.682035 1.525177 -1.279799 2.933168 -4.254354 -0.136453 4.464554 -0.288867 -0.988269 0.023658 1.394577 1.375968
46 1.7627006769 -3.310885 -1.021233 4.750931 -4.365482 -0.279679 1.653459 2.718580 -2.689446 -4.846012 0.592995 2.184820 0.481859 -4.926523 -4.500301 3.110869
47 1.8394435644 -3.177643 -3.749999 0.944605 -1.011913 2.116106 0.219745 -1.721306 1.683425 3.428706 1.923950 -2.067947 2.887254 -2.611623 2.979801 2.058597
48 1.7391291857 -3.017581 -4.319198 2.285193 -4.866429 -4.718274 0.031931 -1.827005 1.290049 -3.129313 4.110439 -4.081326 1.947061 -4.815618 -2.851937 2.456711
49 1.7746800184 -2.936843 2.363622 3.792320 -4.818753 -3.802351 -1.422126 2.106074 0.571274 -0.897482 -1.017749 -3.544021 2.500368 0.050053 -3.722524 4.932183
50 1.8540461063 -2.913719 -4.552905 3.821549 -0.391261 -1.349944 -2.445905 1.953463 1.274287 -4.092892 0.618701 -3.079462 0.844177 2.449357 1.831479 1.999635
51 1.8219686747 -2.974074 -2.075031 1.896372 -1.541287 -0.060868 0.896830 -2.950511 0.742158 -1.915626 1.305399 2.328931 -1.156785 -1.738262 -1.408910 3.372319
52 1.7501542568 -3.237293 0.721640 2.145718 -2.777416 4.271339 -2.544439 1.035127 -4.888720 -0.953211 -0.854306 -2.656962 -1.984663 -1.113951 2.683623 3.178877
53 1.8538855314 -3.077729 -1.643963 3.735295 -0.262336 -0.402670 3.666780 0.875837 -2.276087 0.932314 4.780491 -3.994696 -2.625368 -4.400572 -2.738323 4.068447
54 1.6783591509 -2.901628 0.949032 0.733912 -3.668127 3.676643 -2.629725 4.873500 -2.685864 -2.312859 4.136648 2.586785 -0.719962 -0.612707 3.075552 -0.146752
55 1.5807579756 -3.257094 2.632537 3.676651 -2.863199 1.169948 -1.813123 3.463121 -4.064714 4.492809 3.578159 -3.100567 2.793623 -2.973956 -0.721744 3.034228
56 1.8386365175 -3.050858 4.863202 4.839045 -1.418018 4.580981 1.918501 0.611247 -1.908657 1.749149 -1.156234 -0.257987 3.503745 -1.327826 1.858751 -1.098798
57 1.7081710100 -3.108519 -0.485858 -0.222912 -0.164803 3.738901 -2.315448 4.095720 -3.814737 4.979998 4.597130 1.505990 -2.254335 0.984089 -4.079650 1.068967
58 1.5393226147 -3.105566 -1.612026 0.597949 -3.796155 4.736053 -4.869442 0.951439 -4.624467 1.708507 4.080941 -0.737226 3.065834 -4.338768 -1.922879 4.140700
59 1.8294897079 -3.321395 4.276944 -0.245800 -2.340734 2.466166 -4.844729 -0.732609 -0.688373 1.386440 2.770995 1.467546 0.509786 -2.592106 -4.935638 -0.411114
60 1.6630357504 -3.060424 4.914023 3.354943 -3.925940 2.480241 0.942435 1.546230 0.469068 4.843373 4.217758 -3.917281 4.398584 0.477883 -3.867990 4.507351
61 1.5832326412 -3.143033 -1.518083 3.000058 -4.768151 4.191887 -4.884602 2.981217 -3.501833 0.926215 4.972763 -3.691410 3.444059 -3.841339 1.066110 4.963300
62 1.6065278053 -2.906815 -4.377565 -1.331981 -4.890068 1.268623 -3.202114 4.926758 -2.192039 0.393413 1.866453 -3.478468 3.202731 -2.328798 -4.402693 4.030103
63 1.6057618856 -3.228320 -2.082762 0.265512 -4.852157 3.845113 0.085614 2.100694 -4.449548 4.927390 1.676047 -2.449799 1.188907 -2.944012 -2.289741 -0.497725
64 1.8004831076 -2.958472 2.127029 -2.575543 0.122183 2.888100 -3.093139 1.646440 -4.043664 4.703267 4.045913 -4.682596 -0.160046 -2.792718 -0.079067 2.762451
65 1.8558292389 -3.104750 -3.796843 -2.560974 -3.180650 0.472978 -3.564971 3.263896 -1.891155 -2.645568 4.251429 4.123769 4.371555 -3.880192 -4.893642 4.054124
66 1.6922668219 -3.279585 -3.677706 3.518719 -4.826958 2.549636 -4.281846 2.587104 -4.564122 4.310150 4.970445 -4.741815 2.909282 -0.570150 -3.574815 2.995347
67 1.8189578056 -3.292474 0.760198 4.496244 -1.387293 2.544816 -0.749559 0.532689 -3.844229 0.209359 1.732710 0.278274 1.224365 -1.357992 -2.689468 1.510219
68 1.6566312313 -3.248340 0.010600 2.340910 -4.008510 4.855074 -4.450063 1.650879 -0.487714 3.629389 2.747241 2.558355 -1.773440 -1.468697 1.442874 0.022838
69 1.7946360111 -2.948845 -4.580101 3.194232 -1.910278 1.952490 -0.852550 2.543163 -4.449352 1.829942 3.447397 -0.491548 4.732821 -3.411156 -3.934160 1.839910
70 1.5829037428 -2.928933 -4.388774 1.914049 -4.479503 4.570253 -1.184342 0.599705 -4.498015 3.285872 4.329617 -3.129466 0.463428 -3.944783 -2.701735 3.579357
71 1.6606765985 -2.971920 2.516089 -1.326155 -1.782037 2.999163 -0.891838 4.193220 -1.461481 4.958659 2.544575 -2.103695 3.554275 -2.638314 -0.878141 4.598166
72 1.7901253700 -2.944438 -3.390883 -2.421064 -4.533779 4.133216 -4.347073 -3.424666 -1.996121 4.893753 0.096367 -0.792117 1.114488 -1.766458 1.323518 -0.436554
73 1.6544849873 -2.860564 2.818656 3.158995 -3.627080 0.298083 -2.131376 2.644075 0.034475 0.077728 2.006364 -0.618495 -0.986892 -4.899230 -0.918786 4.904178
74 1.7161642313 -2.973048 -2.210374 -1.632062 -2.578714 3.593235 -3.501012 2.412944 -2.610316 0.231582 4.539878 -1.395384 0.304625 -4.258246 2.015603 3.692565
75 1.5388169289 -3.157737 -1.992842 2.607189 -4.927861 4.672649 -1.633282 1.470972 -0.497730 2.197320 2.987781 -0.766005 -1.615518 -4.242910 2.256094 2.786159
76 1.5932207108 -3.291736 -2.738827 2.997586 -4.440921 4.567217 -0.698745 3.643249 -0.464646 2.746647 0.798354 1.220258 -2.999560 -4.688403 1.969188 2.099837
77 1.5153533220 -3.253994 -0.978434 2.344571 -4.588843 4.789974 -0.730582 3.737807 0.923837 1.754913 3.335911 -2.261419 0.218702 -4.900844 3.279356 4.998956
78 1.6119526625 -3.118683 -1.103450 3.225986 -4.976669 3.618732 -3.954364 2.794190 1.545697 1.147739 1.544371 -1.478486 -3.834166 -3.002297 1.646053 4.650169
79 1.6195343733 -3.080369 -2.649019 3.197220 -4.698798 4.478835 -2.604596 0.111231 0.126398 4.667069 4.915702 -2.816787 -0.775058 -2.109945 1.028142 1.171406
80 1.5065152645 -3.232371 -1.883729 2.323475 -4.643173 4.559772 -2.637606 2.974801 -1.920046 0.161121 2.400312 -0.387906 -1.781284 -3.700037 4.101254 4.906374
81 1.6366871595 -3.323993 -0.694358 2.157759 -4.945623 2.450832 -3.075494 4.897093 -1.599927 -0.061859 0.882230 1.647420 -1.112842 -3.135999 4.263150 3.001341
82 1.7154515982 -3.355378 -3.714152 2.512905 -4.969441 3.153253 -3.911048 1.703959 -3.284912 -0.701395 2.769510 -1.615905 -3.102042 -4.597812 4.624241 4.693474
83 1.6397597790 -3.334563 0.372569 3.649111 -4.766337 3.056570 -0.699484 3.985091 -3.575645 0.106858 2.085280 -0.835703 -1.164116 -3.719001 4.828731 4.550910
84 1.6806694269 -3.140606 -2.757378 1.974714 -4.953843 2.243663 -3.930938 0.930900 -0.633907 1.449339 1.109692 1.045949 -2.982136 -4.025503 1.789783 4.741683
85 1.5281643867 -3.340770 -0.220950 1.085055 -4.666077 4.587631 -3.757114 3.016037 -3.548749 1.164430 4.344208 0.682693 -3.420869 -4.670176 4.219680 4.281530
86 1.5595531464 -3.192169 -0.580620 2.512540 -4.859843 4.446221 -4.186408 4.835854 -0.193344 2.012007 3.810446 -2.802365 -0.287783 -1.536339 4.908662 4.968352
