evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.9351736307 2.154382 0.247983 3.850514 1.343646 0.701258 -3.176483 -4.781007 4.875697 -2.573207 1.092974 -1.862687 4.697769 -4.965693 -4.161636 -0.917098
2 1.9141227007 -4.058313 8.318301 4.609978 -3.211652 3.887013 6.086405 1.462175 22.166276 -1.327049 -10.333202 -8.731633 -10.779324 -8.190182 9.628718 -3.451907
3 1.9869265556 -15.107531 9.427590 2.691999 -14.362312 27.682095 3.551128 -1.483421 8.668507 0.657065 -13.422007 -17.819481 -6.857558 -17.849799 17.921209 6.299577
4 1.9461129904 -26.296965 6.335301 13.180110 -10.158916 -6.019139 -15.666611 -2.629073 25.919448 -10.407083 6.353771 -30.180866 -27.153659 -4.369989 12.091883 -9.344048
5 2.1104829311 -13.078691 4.606629 17.220015 2.952194 -6.641568 -5.131243 -4.196494 22.433976 -10.492127 -0.168275 -13.236752 5.320337 7.354857 13.397926 -12.615974
6 2.0362157822 -2.453568 16.410222 7.558332 14.686001 14.653713 29.369181 2.081455 40.175606 11.004933 -13.057247 6.061211 -7.117314 -0.944545 6.244092 -13.257197
7 2.5161428452 -11.659214 19.433605 3.051219 5.148794 2.386743 -4.837752 5.499020 21.200298 -0.839545 -13.731560 -0.544939 -19.399372 -22.370717 15.570045 -20.276476
8 2.0078537464 -5.005686 5.634582 1.754438 -8.900559 2.423874 -4.139993 4.409299 49.753578 -5.582200 -4.071451 -13.668991 -16.688498 -22.997699 -12.097182 3.303332
9 2.0210621357 -15.794242 7.877505 0.154798 -10.250988 -8.633530 9.488245 1.990318 23.219173 -8.120220 -22.631388 -12.850840 -9.256328 -15.273365 5.303803 -13.645053
10 1.8239244223 -3.138586 9.315691 2.268818 -5.512527 1.879044 18.172705 -11.761790 28.610624 -0.440908 -19.140895 -7.485090 -21.512281 12.152122 -4.503611 -2.086104
11 1.7767293453 9.400069 28.977260 17.680214 -0.488894 7.379350 4.046628 -4.292320 54.725227 10.876736 -25.424423 0.012775 -10.191383 -7.398660 -10.359158 -11.424478
12 3.2248430252 0.373737 43.794958 20.133538 -15.530756 -1.101463 25.141694 -1.102304 54.200546 8.144839 -22.187101 -12.617858 -4.455944 4.870610 -3.809193 -6.428812
13 1.9212660789 12.279472 41.345513 18.151380 -0.252660 -6.148032 5.524393 -2.249140 53.226420 18.456066 -17.199502 -9.270066 -5.197828 -6.980926 -7.686951 -24.054987
14 2.2368946075 3.060678 32.030107 12.590449 -4.954639 14.466023 -4.548976 -12.366608 60.028306 8.051489 -35.796096 20.085971 8.918693 -15.635095 -15.223426 -22.284604
15 1.6112118959 22.115125 21.217338 15.820978 2.321091 15.751697 -4.307426 9.340463 52.130491 11.050722 -36.815278 11.077589 -17.893561 -0.177631 -2.028950 -7.959932
16 1.8210507631 28.312880 2.311549 5.948884 4.034173 17.172848 -7.832895 12.815760 65.425648 21.673733 -17.952365 9.292077 -16.035790 4.537095 -6.461954 -6.411552
17 1.7656060457 30.048874 31.786957 -1.695550 11.197166 45.654329 -18.416024 10.918484 37.864888 2.086589 -32.943684 8.753954 -13.320472 1.545079 21.914151 -31.507867
18 1.8963383436 21.317216 29.165057 5.962318 -4.110684 26.998552 -9.878679 4.847156 57.366116 13.042102 -47.260304 18.643800 -40.108230 9.152707 -6.223881 -3.115566
19 1.8386609554 -3.314678 -17.881886 11.424615 11.992779 20.580827 -5.897097 28.117087 51.309092 14.151527 -43.940068 11.014079 -7.450765 8.202487 -16.514917 5.662384
20 1.7200518847 10.770734 15.730081 13.674664 1.031207 8.588512 3.042281 18.296859 43.976964 30.303141 -39.963799 23.779446 -13.062076 18.923960 -2.952256 -11.221371
21 1.9937332869 13.241497 31.683739 53.428404 -9.990018 22.626405 -10.486960 2.374917 57.284644 5.045449 -21.379285 -6.799993 -37.790135 3.735462 16.353477 -16.170311
22 1.7542661428 35.085804 54.895566 8.895664 -12.269951 5.807678 -4.225192 -3.918119 50.111007 9.807714 -37.637182 22.604598 -19.704692 7.172577 16.636577 -13.487187
23 1.8874762058 -8.143908 37.088749 31.950869 -34.123585 29.652181 -15.062595 12.635805 59.773739 36.426150 -33.825028 16.762446 0.995533 -22.435452 6.168103 6.623801
24 1.9351152182 13.570209 12.948689 27.334409 0.386950 10.455106 -0.759431 1.191134 69.886934 20.498045 -52.856318 -22.456512 -17.530579 -0.750534 -22.499111 -12.409076
25 1.8850992918 36.602500 12.503864 21.538061 -1.156225 16.608685 -9.638487 33.465904 50.780865 16.321942 -44.232865 19.637727 -29.743166 -4.384588 -15.766513 -37.136853
26 1.7252732515 27.187775 26.852939 12.020724 -21.729111 0.404954 7.240061 4.869772 39.982618 9.120243 -45.101280 7.453460 -30.942825 -5.957750 12.714582 1.022185
27 1.4943631887 30.008177 18.907101 11.755452 23.731969 5.932743 2.954977 11.606689 44.373867 28.837339 -30.949756 22.859099 -9.514021 -9.565766 -6.822053 9.429433
28 1.7088435888 25.136239 26.547996 7.704664 22.708966 21.682159 -16.282705 4.202361 31.636834 27.231364 -11.894169 6.803092 -2.514831 9.511439 -22.282510 -11.955655
29 1.5555305481 3.843795 16.778098 27.108606 22.488293 13.166031 -1.026669 20.432909 56.129673 26.696481 -34.765612 15.788404 -13.246995 -19.816766 6.224743 11.334686
30 1.6463773251 28.178400 46.922644 13.932067 20.778259 13.109224 -10.828251 19.918608 40.883980 14.610464 -50.961330 49.583602 -51.181258 -7.142952 14.675695 19.409802
31 1.3896632195 16.293272 6.094086 12.137300 30.884872 3.640482 15.253879 4.186447 65.060373 22.906450 -41.470231 18.172410 5.385145 -6.417810 15.308433 4.868446
32 1.5714163780 22.398296 21.306213 -1.300661 2.356992 5.497440 11.591122 -5.248091 65.492724 13.092095 -38.986271 43.745833 5.642148 -17.133996 29.597768 6.010957
33 2.6334397793 -1.093868 -9.479056 0.534720 59.027584 11.025105 22.652154 7.082930 63.633133 54.600109 -48.786064 10.162448 3.299644 2.858570 40.138116 -31.571399
34 1.5885703564 26.858028 13.200168 -3.139494 55.613529 2.851752 2.630216 9.961593 77.863906 30.554780 -27.709189 7.078766 6.335831 -12.744423 38.372675 -12.103580
35 2.1316115856 25.376789 22.374745 34.359568 38.156922 1.929232 15.718544 -9.429366 63.627854 20.108090 -37.936323 -4.183744 15.690282 -3.209502 2.330282 -6.207690
36 1.5194908381 27.995324 19.582698 24.833426 29.925058 15.905252 8.906786 13.996647 54.460576 23.397759 -54.265846 11.962918 27.911105 -5.095641 -10.860004 4.760336
37 2.8814775944 0.681315 3.655864 24.235000 42.882467 -6.373661 17.688244 -4.789738 62.220399 30.825830 -54.220284 22.146401 -10.626141 15.503007 25.324996 13.556635
38 1.6818394661 2.891796 15.085918 15.589264 15.166127 17.094314 17.920126 0.835130 77.837327 7.132240 -35.222962 28.985133 32.895584 -7.532478 13.594669 -23.284707
39 1.3884721994 16.079920 8.307491 31.995029 30.256581 14.480806 32.803896 24.548552 58.181476 6.277201 -62.802375 10.678320 5.159382 -2.483408 8.862266 13.871858
40 1.6530898809 9.858670 -24.547692 18.985167 11.497137 12.481732 32.669947 32.809972 50.975353 4.549714 -61.709902 -11.317332 0.678277 -2.186200 3.210484 31.672963
41 1.6103607416 -3.802057 13.050861 30.821980 18.416183 13.967243 47.805569 22.648558 80.822896 -6.770606 -57.808555 14.621490 3.772991 -1.803975 27.444365 4.865292
42 1.5361084938 23.521328 2.585236 23.813687 29.474652 29.149864 34.582111 18.633257 63.474191 23.414892 -63.699034 9.173663 6.347541 5.025903 1.467183 18.059491
43 1.5085510015 22.323391 6.822187 40.277701 50.104922 18.832599 11.223960 -0.366500 73.304263 -2.711868 -62.749778 -8.863807 5.070906 0.440469 11.481954 18.974940
