id,x0,x1,x2,x3,x4,SEA,Intrusion,Penalized SEA
1,4.33226099,-0.33533883,2.82958477,-3.20734793,-3.67039197,14773.13790566254,104.2497,4424.97
2,2.23100618,3.25274403,0.26383276,-1.60317904,-2.39721079,11275.565590129168,95.59174,3559.174
3,4.54946049,-3.05254241,-0.29460347,-0.75571701,-3.7182986,16418.556517310113,103.0192,4301.92
4,-3.49650264,-4.78875451,3.0705965,0.9410452,-0.8654706,12562.121956821977,72.55579,1255.5790000000002
5,-0.23250215,-4.66121317,-4.03614,-2.26412575,-2.05948638,15404.272648774784,101.1121,4111.21
6,-0.93258706,3.16198563,2.96901179,1.45497304,3.62921912,5651.092987420805,29.98556,-5651.092987420805
7,-1.18805485,4.11068964,1.65640076,-4.53737117,-4.81992155,21232.021973449835,111.2864,5128.64
8,-1.58599601,1.57998775,2.4535172,-1.578332,2.34151451,7017.582723539905,37.6605,-7017.582723539905
9,-0.40437041,-1.24070868,-4.76919848,-0.5567817,-2.68944363,15045.41584293962,103.874,4387.4
10,-2.94553293,-3.21381586,-2.02531345,-0.73258787,2.25811897,9115.15202929616,44.9409,-9115.15202929616
11,3.18319176,-0.72646925,-3.21145859,0.56828422,0.97971771,7736.925953017378,50.8928,-7736.925953017378
12,0.34815427,0.89160965,-1.96887576,0.39241189,-0.75785155,9870.105297046804,72.49793,1249.7929999999997
13,1.00924893,3.19141339,-2.55814661,1.01353988,1.28057577,7045.19391978574,45.34865,-7045.19391978574
14,-2.36832836,2.68431864,-1.64204022,-1.16200068,-3.01454149,14878.953348745606,101.7853,4178.530000000001
15,-3.88601148,-1.7831736,-3.91960789,2.9761312,-4.23099744,22781.98372458916,108.8531,4885.31
16,4.28783494,-0.58964674,2.44018145,4.62542828,-1.39369934,9258.903840523875,73.81537,1381.5370000000005
17,4.49616438,-2.26407372,0.56465466,0.21217799,-3.31404779,14461.703161675685,98.77048,3877.0480000000007
18,1.64476424,3.84189117,-1.42967608,0.12183574,3.95982438,5299.070926240224,32.75016,-5299.070926240224
19,2.54980926,1.83821183,2.86562315,4.47011818,-1.14938269,8752.374725568976,68.06335,806.335
20,-3.85522408,-4.10247478,-2.95193905,2.0067152,-0.97191754,13660.938217526127,83.50061,2350.061
21,1.97344816,0.39445044,-1.56072974,3.65754002,2.72567463,6212.074823634879,34.37128,-6212.074823634879
22,-2.26427511,1.76506641,0.2171759,-3.32256752,-3.54001996,17058.758565236345,102.2396,4223.959999999999
23,0.71428933,-3.43171311,3.72268206,2.02998698,-2.97758491,14533.285545802377,96.23409,3623.409
24,4.15757905,-2.41263454,2.26959146,-0.07194161,-2.15248837,11528.384174994057,85.03835,2503.835
25,-2.25218041,-3.54877401,-2.62382029,-4.6518116,-1.7174422,15147.840006367454,96.02773,3602.7730000000006
26,-4.51612689,-3.7659393,3.21282842,-2.65746474,1.29367337,10173.916114596406,54.94463,-10173.916114596406
27,-0.51579944,-1.82796118,4.64731614,-1.19703486,-2.38216238,13174.438880208789,97.57874,3757.874
28,-2.47804804,-2.02356309,-0.62673491,2.03558032,-1.16661395,12121.15977579227,76.81487,1681.487
29,-3.3990055,1.39845462,4.05308476,-2.27418541,3.10499624,6834.727758526312,34.48087,-6834.727758526312
30,-4.61262316,0.16980081,-0.58135609,1.38017845,-1.66276934,13094.565155226976,91.06703,3106.7030000000004
31,-2.44482056,-2.60813038,0.42930196,-0.45542953,0.86499494,9771.659200535714,58.83291,-9771.659200535714
32,0.9373884,0.23640939,-1.62834103,-4.84854865,0.47426097,8688.370274243469,64.77324,477.3240000000001
33,0.54917938,4.11519588,2.75997278,0.21754656,0.10921936,7707.072914696674,50.99634,-7707.072914696674
34,-1.24611066,2.24540727,-2.38641383,3.58108127,-1.48225969,10559.235001011772,81.82681,2182.681
35,-2.80706825,-4.0587312,-0.52092846,2.19670275,3.36977574,7894.803424384248,34.2192,-7894.803424384248
36,-2.70970008,1.90906663,4.54935213,0.97070539,-3.154085,14418.114535120983,98.22361,3822.361
37,3.38285367,1.34352281,4.77300499,3.92085273,4.87994752,4554.009492406525,25.68121,-4554.009492406525
38,1.74902753,0.50606701,-1.15234646,1.60587737,2.11156448,6755.356879883422,38.57236,-6755.356879883422
39,-2.791696,0.68025246,-0.29759371,-2.83628529,-1.52628003,12468.56321767196,88.32952,2832.952
40,4.21159684,-3.70000456,1.33193732,-2.95549302,-4.61322469,21076.49085843241,109.0735,4907.349999999999
41,4.39230924,1.2068955,-1.02569993,1.39079946,2.74988206,5809.676080029517,35.41861,-5809.676080029517
