id,x0,x1,x2,x3,x4,Intrusion,Mass,Penalized Mass
1,4.33226099,-0.33533883,2.82958477,-3.20734793,-3.67039197,47.63836,3.6093081600000048,3.6093081600000048
2,2.23100618,3.25274403,0.26383276,-1.60317904,-2.39721079,46.85249,3.6870007680000065,3.6870007680000065
3,4.54946049,-3.05254241,-0.29460347,-0.75571701,-3.7182986,49.14571,3.4701834240000036,3.4701834240000036
4,-3.49650264,-4.78875451,3.0705965,0.9410452,-0.8654706,50.13347,3.3895100160000053,4.286214000000001
5,-0.23250215,-4.66121317,-4.03614,-2.26412575,-2.05948638,55.20547,3.038971392000003,5.300614
6,-0.93258706,3.16198563,2.96901179,1.45497304,3.62921912,43.37332,4.055726592,4.055726592
7,-1.18805485,4.11068964,1.65640076,-4.53737117,-4.81992155,49.91939,3.405100032000008,3.405100032000008
8,-1.58599601,1.57998775,2.4535172,-1.578332,2.34151451,46.19027,3.750223104,3.750223104
9,-0.40437041,-1.24070868,-4.76919848,-0.5567817,-2.68944363,52.59975,3.1941855360000107,4.77947
10,-2.94553293,-3.21381586,-2.02531345,-0.73258787,2.25811897,50.7934,3.323846016000012,4.418200000000001
11,3.18319176,-0.72646925,-3.21145859,0.56828422,0.97971771,47.23571,3.645789696000004,3.645789696000004
12,0.34815427,0.89160965,-1.96887576,0.39241189,-0.75785155,48.05188,3.5642350080000025,3.5642350080000025
13,1.00924893,3.19141339,-2.55814661,1.01353988,1.28057577,45.90841,3.781579392000009,3.781579392000009
14,-2.36832836,2.68431864,-1.64204022,-1.16200068,-3.01454149,50.24344,3.373807680000007,4.308207999999999
15,-3.88601148,-1.7831736,-3.91960789,2.9761312,-4.23099744,53.59895,3.1430747520000137,4.97931
16,4.28783494,-0.58964674,2.44018145,4.62542828,-1.39369934,43.75965,4.016310912000012,4.016310912000012
17,4.49616438,-2.26407372,0.56465466,0.21217799,-3.31404779,47.72723,3.598337088000003,3.598337088000003
18,1.64476424,3.84189117,-1.42967608,0.12183574,3.95982438,44.21114,3.963109248000002,3.963109248000002
19,2.54980926,1.83821183,2.86562315,4.47011818,-1.14938269,43.30107,4.068332352000007,4.068332352000007
20,-3.85522408,-4.10247478,-2.95193905,2.0067152,-0.97191754,52.72246,3.184926912000008,4.804011999999998
21,1.97344816,0.39445044,-1.56072974,3.65754002,2.72567463,44.56502,3.922145280000011,3.922145280000011
22,-2.26427511,1.76506641,0.2171759,-3.32256752,-3.54001996,51.0899,3.302873280000007,4.4775
23,0.71428933,-3.43171311,3.72268206,2.02998698,-2.97758491,47.56739,3.6140100480000075,3.6140100480000075
24,4.15757905,-2.41263454,2.26959146,-0.07194161,-2.15248837,46.83811,3.6888514560000085,3.6888514560000085
25,-2.25218041,-3.54877401,-2.62382029,-4.6518116,-1.7174422,56.80685,2.9724174720000134,5.620889999999999
26,-4.51612689,-3.7659393,3.21282842,-2.65746474,1.29367337,50.88838,3.333614400000004,4.437196
27,-0.51579944,-1.82796118,4.64731614,-1.19703486,-2.38216238,48.18401,3.5564123520000073,3.5564123520000073
28,-2.47804804,-2.02356309,-0.62673491,2.03558032,-1.16661395,49.5638,3.427517376,3.427517376
29,-3.3990055,1.39845462,4.05308476,-2.27418541,3.10499624,46.34265,3.736079424000005,3.736079424000005
30,-4.61262316,0.16980081,-0.58135609,1.38017845,-1.66276934,50.09464,3.3822662400000008,4.278448000000001
31,-2.44482056,-2.60813038,0.42930196,-0.45542953,0.86499494,49.5606,3.4294717440000038,3.4294717440000038
