evaluations raw_y x0 x1 x2 x3 x4
1 -7467.6884765625 2.448569 -4.184861 2.409266 2.021161 1.434429
2 -3507.1357421875 -2.642790 9.300240 10.209617 -5.544642 -6.043406
3 -10.4441785812 10.287134 12.347681 -3.866219 15.611004 12.489782
4 -24.8072013855 -15.219173 12.280170 0.361543 17.792998 0.057734
5 -338.9485168457 -7.729069 -14.157855 -1.227034 1.455842 12.397175
6 -7.4590997696 15.475805 -4.618870 -0.205362 9.589034 18.364068
7 -288.9045410156 18.420462 -1.801428 -2.449523 -0.745864 4.527434
8 -11507.7128906250 -4.072618 -1.623552 1.846685 9.136856 -8.395975
9 -596.7393798828 0.429273 -9.714499 9.717314 14.695512 -6.562981
10 -218.5636138916 9.001971 14.455097 8.592881 -2.294136 -14.301508
11 -18.0285873413 15.971781 0.277944 12.115390 14.630548 -13.319205
12 -128.1628417969 5.880517 -6.372631 2.053114 21.010719 -8.014082
13 -1918.7668457031 -5.669655 -8.891223 4.864194 6.687230 -15.250160
14 -1755.1740722656 -10.983854 -7.918003 -7.142855 9.925205 -3.356164
15 2613.9511718750 3.698440 -4.781173 3.061571 3.405770 -7.648608
16 2098.0805664062 0.314934 2.643314 6.099850 5.136471 -7.793773
17 -105.8602523804 -7.166476 9.568467 9.489415 14.290227 -15.124085
18 -1874.2136230469 -1.596791 0.203250 -4.548273 14.314335 -12.107122
19 -7632.9057617188 -1.771381 -11.225889 3.210221 6.283001 -4.802906
20 768.9437866211 0.374840 -0.265795 2.278868 8.833602 -8.365922
21 -4718.4731445312 -7.471101 -0.162250 -5.594536 9.608674 -10.369017
22 -5616.9272460938 -7.459796 1.607236 2.008837 11.017584 -4.905379
23 685.6277465820 -7.289303 -3.135608 0.241981 6.743656 -6.049430
24 -2082.3171386719 -6.148256 -13.773534 2.023874 9.440987 -6.334017
25 -3227.6230468750 -4.803963 -1.946999 -4.590361 13.951880 -6.305940
26 -5877.2031250000 -11.268363 3.891099 -2.275191 6.375661 -6.203456
27 -8702.4482421875 -3.335238 -2.741929 -5.550972 7.221303 -11.842977
28 2033.0841064453 -0.982688 -4.786903 4.014160 5.997156 -7.104475
29 -4360.8999023438 -0.470735 4.289221 4.121741 12.532382 -7.063275
30 -6000.0776367188 -3.968362 -0.351896 -6.758288 10.202979 -9.374039
31 -4647.8427734375 0.464165 -1.669461 3.485215 12.562075 -10.066134
32 843.5668945312 -6.003250 -2.732569 0.679315 8.072321 -5.528918
33 -11221.9589843750 -6.208675 -7.450495 0.035315 6.940855 -6.768889
34 -2769.2053222656 -4.439514 0.527449 2.975688 14.677349 -6.961455
35 -9676.7646484375 -2.014862 -4.263241 1.747236 9.243004 -10.328587
36 -8460.2451171875 -4.262331 -3.987166 4.446591 9.024625 -9.445165
37 -6170.0004882812 -6.003238 2.509796 5.348565 8.207773 -11.039644
38 3027.4375000000 -3.658302 -0.725035 1.893788 7.107263 -5.570337
39 -9922.2763671875 -3.391729 0.605276 4.189597 9.474783 -7.312500
40 -8782.9599609375 -5.356501 0.168699 5.961487 8.512182 -7.678512
41 -8039.1958007812 -7.149605 -3.922585 -3.429024 9.065703 -7.851012
42 -15199.9794921875 -2.270388 -2.508246 1.756700 6.453491 -10.614239
43 -12631.3828125000 -0.339496 -0.846100 0.396275 4.657578 -13.240404
44 748.3474731445 -5.161591 -0.853796 0.443339 7.697294 -8.031575
45 -11867.6582031250 -2.472408 -3.522397 4.431933 8.048265 -8.723746
46 -16607.6367187500 -3.293592 -2.648629 1.242486 4.771572 -11.165177
47 -9606.7285156250 -5.358124 -2.346289 1.809994 5.529693 -12.919930
48 -16267.0332031250 -2.522629 -2.982418 1.901173 2.329490 -12.312135
49 -17326.2343750000 -1.041200 -2.194829 -0.157968 4.599424 -11.563539
