evaluations raw_y x0 x1 x2 x3 x4
1 -7280.8623046875 4.759748 3.769375 1.112979 0.221224 -0.002356
2 304.7504272461 -3.539481 -3.918849 -2.933138 2.938905 0.597038
3 -8077.3095703125 0.537927 -1.844438 -1.148117 -3.074489 1.212005
4 3467.7773437500 -4.911288 4.436041 -0.318831 -4.210929 -3.699456
5 1987.9882812500 -1.835957 -4.733189 -2.007563 0.804083 -0.904407
6 -6326.4936523438 1.197722 0.068027 2.075221 -2.413934 2.206366
7 2292.1569824219 3.695102 0.647120 -4.717314 1.996907 -1.487251
8 -5998.7651367188 1.697207 -1.247456 3.087747 -2.147725 4.330052
9 -6122.1538085938 0.003213 -2.869274 4.185678 3.620337 3.555850
10 -6709.0766601562 -3.899590 1.409326 4.616490 -1.102696 2.924426
11 2294.7517089844 -1.013185 2.626386 0.723894 -0.647222 -1.724171
12 4408.6669921875 2.437426 3.033795 -0.913040 -4.592626 -3.592172
13 -4902.2089843750 3.079706 2.141194 -3.476925 4.837383 4.428188
14 3803.5842285156 -0.459583 -3.594156 -3.740107 4.011461 -2.770816
15 4997.6523437500 -2.936477 -0.983857 2.908136 1.451437 -4.465123
16 -6324.3388671875 3.286996 1.933045 -3.402085 -4.973139 1.941984
17 -6113.3735351562 4.103717 4.301904 -0.377234 -4.809803 1.544922
18 -7940.6069335938 4.947640 -3.748587 0.194043 -3.762361 0.948492
19 -7240.9340820312 2.119315 4.360928 3.880799 -2.984903 0.376080
20 -6692.6494140625 0.902175 2.411217 4.217791 0.028089 1.052102
21 202.3990631104 -2.634511 -3.310697 -3.911093 -2.747979 1.391902
22 542.4453735352 2.295740 -2.850589 -4.949919 -4.020391 0.860986
23 -8685.7265625000 0.048778 -3.976949 -0.152668 -4.028792 1.555530
24 -8617.2636718750 0.868421 -4.909517 -4.697878 -2.981328 1.621189
25 -7265.2041015625 3.642828 -0.208468 -4.076286 -2.548421 1.202430
26 -7337.2973632812 4.052556 -4.653323 -2.095158 -1.975430 2.110759
27 -7982.3696289062 2.270574 -4.348092 -1.835086 -4.097894 1.786751
28 -8307.1386718750 0.604247 -3.997147 1.592995 -3.781945 1.520294
29 -6932.4624023438 3.172354 -3.721622 1.750829 -0.612023 2.139532
30 -7120.3740234375 3.731879 -4.339857 -0.079301 -0.710996 2.180807
31 -8871.3251953125 0.157617 -4.207602 0.170943 -3.655474 1.361797
32 -7839.1406250000 0.077150 -2.255843 0.419528 -4.025252 1.765402
33 -7871.3344726562 0.344417 -3.386240 1.201819 -1.283440 1.598786
34 -8818.1503906250 0.377683 -4.912311 -1.764677 -4.003300 1.655976
35 -8571.2285156250 0.257788 -4.029203 0.043660 -1.843113 1.396284
36 -8483.4638671875 0.346746 -4.465344 0.089964 -4.743611 1.668888
37 -9618.1201171875 -2.210922 -4.298447 0.736321 -4.172179 1.489707
38 -8344.3935546875 2.351855 -4.501154 1.078929 -1.222445 1.040961
39 -7887.5288085938 2.524777 -4.596055 0.980446 -4.296216 1.544565
40 -9151.5722656250 -1.552073 -4.361452 0.614473 -4.903743 1.602504
41 -10768.8378906250 -4.209146 -4.617356 0.707592 -4.011536 1.132033
42 -10247.5742187500 -3.456423 -4.190245 0.733081 -3.725739 1.367270
43 -10288.6044921875 -4.768176 -4.448210 1.590964 -1.432827 1.420713
44 -10222.8886718750 -4.427852 -4.520466 0.610387 -1.633535 1.609727
45 -10393.0830078125 -3.002319 -4.674405 1.438180 -2.268528 1.117758
46 -10536.2402343750 -2.745737 -4.783234 1.119560 1.038985 0.700976
47 157.9261779785 -3.356942 -4.667152 0.694831 -3.718272 0.941767
48 -10303.9277343750 -3.900030 -4.614957 1.149249 -0.367187 1.265793
49 -10317.6113281250 -4.902920 -4.858255 -0.676817 -3.692690 1.714327
50 -10863.4238281250 -3.847478 -4.287300 1.045411 -2.798333 1.016342
51 53.6922454834 -2.629884 -3.108129 3.870794 -2.201319 0.725440
52 -9044.2812500000 -2.921932 -4.157989 4.042550 -0.538813 1.459100
53 -9744.0234375000 -3.997733 -4.049418 4.058928 -3.264639 1.134522
54 -8760.3417968750 -4.899583 -4.344355 4.542393 -4.388157 1.549933
55 -9037.0341796875 -2.710448 -4.027434 2.895605 -2.403024 1.772597
56 -10292.6455078125 -4.616044 -3.701294 2.389528 -3.930064 1.122152
57 -9924.7177734375 -3.522916 -4.842170 1.867591 -1.439038 1.491242
58 -10381.5400390625 -4.588861 -3.880994 1.042705 -3.625958 1.371426
59 -9989.3154296875 -4.161306 -4.427998 2.639723 -2.040679 1.404371
60 -9963.6972656250 -3.193362 -3.805822 0.059219 -2.461148 1.519392
61 -10561.7773437500 -4.186599 -4.018996 1.753069 -2.348661 1.123742
62 -10512.5556640625 -3.601572 -4.338431 0.774820 -2.278637 1.234555
63 -10121.4697265625 -3.599951 -4.023160 2.143106 -2.174750 1.249244
64 187.9310607910 -4.147237 -4.443038 0.069687 -2.082038 0.786136
65 -10584.7490234375 -4.187207 -4.436249 1.621695 -2.841130 1.179804
66 -10833.4423828125 -4.058899 -4.188953 1.271816 -3.176288 1.018486
67 -10645.6328125000 -3.957064 -4.251261 1.161345 -3.121236 1.154997
68 -10664.2109375000 -4.026726 -4.129392 1.001799 -3.060327 1.165605
69 -10700.8945312500 -3.975648 -4.422355 0.943589 -2.425517 1.175465
