evaluations raw_y x0 x1 x2 x3 x4
1 -6626.7285156250 -0.611676 -0.065449 3.503843 4.996553 2.290795
2 2850.2333984375 1.054082 -3.919692 -3.655156 2.161153 -2.267418
3 3979.0573730469 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
4 519.8364257812 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
5 -6710.2006835938 3.644968 2.627505 2.332067 -2.606695 1.414534
6 -5928.2553710938 1.819174 -0.846976 -3.703254 1.112385 3.283452
7 -8245.3369140625 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 459.3978881836 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
9 2573.3391113281 3.678345 1.779529 -0.285570 0.857664 -1.475784
10 -4752.1562500000 4.049697 -1.458714 3.594827 -1.333719 3.936445
11 -5857.8271484375 -3.420748 2.294169 4.923463 1.571053 3.231936
12 2337.9096679688 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
13 2026.6181640625 3.686591 1.507612 -4.994789 -4.128363 -3.334358
14 616.6641235352 4.786593 3.860523 -0.834856 -3.860440 -1.208003
15 1395.2301025391 1.955925 -4.636282 3.905097 -3.138640 -1.274542
16 -4736.1347656250 2.966746 5.000000 -5.000000 5.000000 1.640444
17 -7326.8564453125 -5.000000 5.000000 -3.116984 -2.692249 1.434046
18 -7575.3134765625 -5.000000 3.690525 5.000000 2.377403 0.942547
19 -4101.3076171875 -5.000000 0.786569 -5.000000 5.000000 5.000000
20 -5011.5043945312 5.000000 4.770354 5.000000 -0.162273 1.333457
21 -8013.5810546875 -2.439370 3.375931 -5.000000 -1.123706 1.311115
22 -7276.6953125000 -5.000000 4.585280 -5.000000 -5.000000 0.682136
23 -4096.3247070312 5.000000 0.972901 -5.000000 5.000000 3.263155
24 -4155.9814453125 -5.000000 -3.681247 5.000000 5.000000 4.198970
25 -6472.9609375000 -5.000000 -0.526556 0.047801 -5.000000 3.970259
26 -5562.7802734375 -5.000000 0.378475 -5.000000 5.000000 2.886417
27 -7246.8925781250 -5.000000 4.083895 -5.000000 2.692114 0.794254
28 -7279.5224609375 -1.639152 4.095744 5.000000 -2.962031 1.212118
29 -3575.9919433594 -5.000000 4.806710 -5.000000 -5.000000 5.000000
30 -10409.5546875000 -5.000000 5.000000 5.000000 5.000000 -5.000000
31 1636.5051269531 -5.000000 5.000000 5.000000 -3.091870 -5.000000
32 1524.1424560547 2.004920 5.000000 -5.000000 5.000000 -5.000000
33 802.2819824219 -5.000000 2.736981 5.000000 5.000000 -5.000000
34 -6712.1933593750 -5.000000 2.436381 -1.163794 -5.000000 2.966734
35 -3886.5705566406 -5.000000 -0.715351 4.474685 5.000000 5.000000
36 -5328.3891601562 -5.000000 -2.662090 -5.000000 -4.789358 5.000000
37 -3173.1347656250 3.704273 1.001170 -5.000000 -5.000000 5.000000
38 -4133.4843750000 -5.000000 -3.077887 -5.000000 5.000000 5.000000
39 -9588.8144531250 -5.000000 5.000000 5.000000 5.000000 -3.411876
40 -3286.7207031250 3.693803 -4.966562 -5.000000 5.000000 5.000000
41 -2952.0122070312 5.000000 5.000000 -5.000000 -5.000000 3.880457
42 -8404.1494140625 -5.000000 3.503134 0.062304 -0.147791 1.655816
43 -4304.4814453125 -5.000000 -5.000000 5.000000 -5.000000 5.000000
44 -7422.8227539062 -5.000000 -5.000000 -5.000000 -0.401034 2.947966
45 -7533.0078125000 -5.000000 5.000000 5.000000 5.000000 -0.880354
46 -5913.3100585938 -0.263039 -5.000000 -5.000000 -1.378007 3.738817
47 -6031.8486328125 -5.000000 -5.000000 -5.000000 5.000000 1.994941
48 -7859.2402343750 -5.000000 1.196854 5.000000 -1.901618 1.881670
49 -5235.9580078125 5.000000 -5.000000 5.000000 5.000000 1.860930
50 -6966.8842773438 -5.000000 -5.000000 5.000000 -1.940074 2.425304
51 -6869.3330078125 -5.000000 -1.506425 5.000000 0.809058 2.829290
52 204.8732757568 5.000000 -5.000000 -5.000000 -5.000000 -5.000000
53 -4626.6166992188 5.000000 -3.131757 -5.000000 5.000000 2.698670
54 -3430.0241699219 -5.000000 5.000000 5.000000 -5.000000 5.000000
55 855.0895996094 -5.000000 -5.000000 5.000000 -5.000000 -5.000000
