evaluations raw_y x0 x1 x2 x3 x4
1 918.7774658203 -0.248928 -0.248928 -0.248928 -0.248928 0.248928
2 1752.4367675781 0.601231 0.601231 0.601231 0.601231 -0.601231
3 787.7861328125 4.877833 4.877833 4.877833 4.877833 -4.877833
4 -5807.8637695312 -4.605106 -4.605106 -4.605106 -4.605106 4.605106
5 -8764.0214843750 -2.540968 -2.540968 -2.540968 -2.540968 2.540968
6 2945.4514160156 2.820915 2.820915 2.820915 2.820915 -2.820915
7 2946.1044921875 2.326088 2.326088 2.326088 2.326088 -2.326088
8 -9324.2207031250 -1.981064 -1.981064 -1.981064 -1.981064 1.981064
9 -9578.3945312500 -1.701131 -1.701131 -1.701131 -1.701131 1.701131
10 2435.1303710938 1.356181 1.356181 1.356181 1.356181 -1.356181
11 2819.5578613281 3.166006 3.166006 3.166006 3.166006 -3.166006
12 -7643.2041015625 -3.446027 -3.446027 -3.446027 -3.446027 3.446027
13 -6401.9248046875 -4.252870 -4.252870 -4.252870 -4.252870 4.252870
14 2112.9562988281 3.980218 3.980218 3.980218 3.980218 -3.980218
15 2014.2653808594 0.873970 0.873970 0.873970 0.873970 -0.873970
16 -9433.2734375000 -1.862718 -1.862718 -1.862718 -1.862718 1.862718
17 -9328.2626953125 -1.976724 -1.976724 -1.976724 -1.976724 1.976724
18 -9577.0693359375 -1.702619 -1.702619 -1.702619 -1.702619 1.702619
19 -9686.5634765625 -1.578058 -1.578058 -1.578058 -1.578058 1.578058
20 -9623.9892578125 -1.649496 -1.649496 -1.649496 -1.649496 1.649496
21 -9872.3779296875 -1.362713 -1.362713 -1.362713 -1.362713 1.362713
22 56.0218811035 -1.225204 -1.225204 -1.225204 -1.225204 1.225204
23 -9823.5175781250 -1.419718 -1.419718 -1.419718 -1.419718 1.419718
24 -9853.8613281250 -1.384341 -1.384341 -1.384341 -1.384341 1.384341
25 -9843.9072265625 -1.395953 -1.395953 -1.395953 -1.395953 1.395953
26 277.8160095215 -3.443123 -3.443123 -0.905553 -4.971777 0.905553
27 3438.3583984375 3.314184 3.314184 3.448004 -0.993083 -3.448004
28 -9435.9638671875 -3.572130 -3.572130 -1.149287 3.906338 1.149287
29 -5673.5112304688 -4.535047 -4.535047 -4.966017 -1.680136 4.966017
30 -7910.4521484375 -1.158427 -1.158427 -2.523615 -0.657102 2.523615
31 -7161.4213867188 -0.981379 -0.981379 -2.635249 2.568351 2.635249
32 -7584.9052734375 -1.211352 -1.211352 -2.187846 3.573783 2.187846
33 -8977.7919921875 -2.523911 -2.523911 -1.374617 4.083489 1.374617
34 -9866.2373046875 -2.248270 -2.248270 -1.322968 1.608449 1.322968
35 163.9034271240 -1.673721 -1.673721 -1.416015 -4.797492 1.416015
36 -10483.8955078125 -2.663511 -2.663511 -1.392881 -0.749678 1.392881
37 -10448.4833984375 -4.351345 -4.351345 -1.357551 0.207639 1.357551
38 -7809.5351562500 1.166526 1.166526 -1.378438 -0.170973 1.378438
39 -10674.9755859375 -4.092871 -4.092871 -1.346887 -0.448311 1.346887
40 -10344.2871093750 -4.980870 -4.980870 -1.376535 -0.849614 1.376535
41 -10782.0732421875 -4.076040 -4.076040 -1.357825 -1.314987 1.357825
42 -10742.5058593750 -3.498006 -3.498006 -1.363462 -0.805602 1.363462
43 -10797.1728515625 -3.767310 -3.767310 -1.356276 -1.091523 1.356276
44 -10794.2490234375 -3.967109 -3.967109 -1.355443 -1.217517 1.355443
45 -10735.2773437500 -4.253458 -4.253458 -1.351058 -1.144137 1.351058
46 -10805.0742187500 -3.603423 -3.603423 -1.366622 -1.304162 1.366622
47 -10800.6943359375 -3.660951 -3.660951 -1.362353 -1.187520 1.362353
48 -10802.9619140625 -3.821508 -3.821508 -1.364428 -1.297922 1.364428
49 -10802.7539062500 -3.670548 -3.670548 -1.361951 -1.200497 1.361951
50 -10810.2480468750 -3.722621 -3.722621 -1.361201 -1.268554 1.361201
51 -10813.6123046875 -3.685299 -3.685299 -1.358601 -1.252705 1.358601
52 -10823.4130859375 -3.722696 -3.722696 -1.359936 -1.387931 1.359936
53 -10823.7265625000 -3.781334 -3.781334 -1.363869 -1.505264 1.363869
54 -10839.6591796875 -3.786359 -3.786359 -1.358151 -1.613155 1.358151
55 -10854.6943359375 -3.597578 -3.597578 -1.353448 -1.676672 1.353448
56 -10846.8876953125 -3.601718 -3.601718 -1.356417 -1.623101 1.356417
57 -10853.3232421875 -3.850514 -3.850514 -1.351742 -1.794214 1.351742
58 -10863.6748046875 -3.680332 -3.680332 -1.350876 -1.777657 1.350876
59 426.4144897461 1.673629 -3.636155 -1.545954 -2.362454 0.972159
60 -8829.9335937500 2.262835 -4.845365 -1.081337 -0.066426 1.463319
61 -5771.8779296875 4.218980 4.416898 -0.332969 -2.595570 1.571523
62 -7445.6933593750 1.113095 1.012958 3.218300 0.644999 1.316248
63 -8182.7763671875 -0.484715 -3.518755 4.806950 0.549992 1.327518
64 -7341.9848632812 -2.085124 4.555147 -1.137022 -2.097255 1.542417
65 -10111.8046875000 -2.321744 -4.975430 -4.155676 -1.142297 1.332416
66 -8223.7529296875 -4.682954 3.143427 -2.478431 -0.500863 1.335102
67 -10276.8535156250 -4.861284 -1.901300 -0.071100 -1.412528 1.409495
68 -8638.9267578125 -3.599797 -1.633050 4.236932 -2.950235 1.344776
69 -9941.1982421875 -4.720852 -1.930749 -4.886125 -1.722024 1.375168
70 -10189.7578125000 -3.988744 -4.703326 -4.375893 -2.471563 1.345397
71 -10125.4082031250 -1.182467 -4.602486 0.614199 -2.375555 1.319219
72 -10284.4248046875 -1.140158 -4.927459 -1.645378 -1.339887 1.382684
73 -10549.3750000000 -4.987387 -2.830763 -0.120381 -2.109871 1.335851
74 -10602.9033203125 -3.574140 -4.955928 -0.467554 -2.092887 1.333164
75 -10866.5097656250 -3.957935 -3.418574 -1.320666 -1.963491 1.350174
76 -10835.3076171875 -3.124854 -3.965542 -1.338619 -2.248285 1.345549
77 -10882.8095703125 -4.008587 -3.352162 -1.583356 -2.038207 1.348569
78 -10837.8583984375 -4.383283 -3.286349 -2.208146 -1.687778 1.346607
79 -10863.1142578125 -3.978691 -3.159515 -1.582263 -1.810960 1.351588
80 -10889.7109375000 -3.805997 -3.356868 -1.763844 -2.058510 1.349424
81 52.4494171143 -3.598886 -3.306752 -1.798908 -2.370602 1.338553
82 -10715.6503906250 -4.589765 -3.933203 -1.721441 -1.611613 1.389415
83 55.2528381348 -2.428613 -4.474280 -1.740186 -1.899485 1.316283
84 148.4111785889 -3.870720 -1.372606 -1.748691 -1.189774 1.138829
85 332.0945739746 -3.873465 -3.586984 -1.748076 -4.332700 0.902999
86 -10581.3173828125 -3.926646 -4.904478 -1.743608 -0.893175 1.373988
87 -10526.8564453125 -4.013899 -2.618733 -1.730118 -0.238590 1.376150
88 -10763.5087890625 -3.909618 -3.418818 -1.742823 -3.359908 1.367404
89 -10440.9980468750 -3.828051 -2.926281 -1.753997 0.280249 1.379804
90 -10097.3505859375 -3.820797 -2.560442 -1.783259 1.400962 1.342099
91 -10903.0332031250 -3.963769 -3.241550 -1.738589 -1.796714 1.332619
92 -10782.0566406250 -3.947966 -3.989180 -1.761714 -3.365393 1.323975
93 -10101.4667968750 -3.951758 -4.589166 -1.720657 -4.957331 1.341471
94 -10219.0957031250 -3.936912 -0.917457 -1.756395 -0.686836 1.333720
