evaluations raw_y x0 x1 x2 x3 x4
1 -5548.8833007812 2.554057 -1.224186 -4.068383 -4.941111 3.633934
2 -8083.4892578125 1.756210 -1.892490 2.336883 0.175193 1.481611
3 3419.8386230469 -2.936702 2.054920 3.961646 -1.834152 -3.060140
4 -6874.7553710938 -0.772707 -4.768925 3.282927 -1.146600 3.520030
5 3821.3989257812 0.935657 1.660647 -1.739053 -2.198166 -2.204334
6 -6765.9628906250 -1.401030 3.960016 -3.594110 -3.900111 1.928602
7 -6028.7539062500 -3.123554 3.209086 0.901033 -3.400660 3.680234
8 1301.5578613281 1.066951 2.555227 3.104083 -4.150340 -0.527145
9 -7827.9516601562 4.562696 0.392160 2.659687 2.743433 0.191256
10 -6949.9877929688 -3.960968 -0.283599 -4.585191 0.022676 3.180791
11 -5080.4892578125 0.379174 -4.930948 4.542370 4.606982 4.021115
12 1174.2957763672 -2.507016 -3.944155 1.917729 0.549461 -0.387224
13 -5435.9946289062 -0.377412 4.536958 0.589076 3.717362 2.795820
14 249.5567321777 3.415402 -1.494943 -4.924300 1.345978 0.377964
15 1203.7177734375 4.088442 4.076319 -0.299062 -4.304102 -1.430838
16 -7043.8637695312 -1.755828 2.882598 -0.501705 4.110747 1.559891
17 4572.4038085938 3.055859 -2.105860 -2.545744 1.717613 -3.763925
18 -8366.3691406250 4.231511 -2.345797 -0.979779 -0.191751 0.972042
19 2922.2504882812 -2.057205 -4.646879 -3.677206 1.933107 -2.150171
20 4206.0576171875 -0.716903 0.949691 4.414794 1.632713 -3.980973
21 3725.8217773438 1.297063 -3.790720 1.086243 -2.336193 -2.394403
22 3018.6347656250 1.414371 4.293258 -4.020069 2.538896 -3.592016
23 -7127.5170898438 -0.195461 -0.411913 4.655736 -0.393337 1.977369
24 3277.8830566406 4.710913 -0.491044 2.497745 -4.569935 -4.177905
25 -8944.5234375000 -4.284582 -3.663877 3.528813 1.442776 1.132394
26 1785.8665771484 1.585652 1.750320 -3.408425 3.400651 -1.111109
27 4187.6494140625 1.144594 -4.183811 2.116673 2.215162 -4.525214
28 -4736.1333007812 4.969900 3.582488 -3.826033 1.171695 3.042246
29 -7955.1689453125 -1.218284 1.149659 2.040802 -2.932646 1.772190
30 -8572.2265625000 -2.084683 1.423244 1.658044 2.995971 0.833185
31 4496.9194335938 3.940676 2.098793 0.270194 2.691780 -4.927710
32 3233.6655273438 -3.653077 0.238949 -3.202758 -3.943962 -1.974172
33 -4677.0439453125 0.603071 3.738640 -1.876100 4.895383 4.248230
34 -4845.5200195312 3.792711 -1.745347 2.227556 4.411958 4.152558
35 1240.8393554688 0.275094 -3.920875 1.276751 -3.371785 0.020127
36 -4520.8457031250 -4.193012 3.806155 -4.757476 3.105228 4.440968
37 4093.4426269531 -1.849812 -1.124927 3.798424 -1.303683 -3.316116
38 5676.7602539062 0.166276 1.837733 -1.586155 -0.822061 -4.243440
39 1803.0372314453 -3.774541 -2.487618 3.884290 -1.040235 -1.564642
40 -8172.5185546875 -0.489477 -4.252033 -1.514643 0.813854 2.596429
41 -4849.6845703125 4.379423 -0.022993 0.150157 -0.512044 4.662412
42 4245.6459960938 -4.539571 0.189168 -3.389226 2.425184 -4.853977
43 -6771.6645507812 3.893680 -1.952966 -2.970776 2.178910 2.131557
44 -5617.1738281250 -2.712178 1.398611 3.634750 -3.194236 4.515621
45 4883.1674804688 -3.307663 2.314177 1.188614 0.326804 -4.356021
46 -8982.2285156250 -4.959498 3.349282 4.097671 -2.291469 -0.158794
47 4120.0776367188 -1.059208 -3.061099 -4.431896 -2.541495 -2.725630
48 1282.6026611328 -3.215075 -4.411256 -4.677270 4.005343 -1.312589
49 1676.4885253906 -3.440512 4.652186 2.879126 3.806786 -2.516436
50 767.8024291992 2.747331 0.664398 -0.699702 -3.781927 0.311098
51 3178.9047851562 2.960885 2.670917 -2.356950 4.851123 -3.811225
52 -8962.5703125000 -2.841389 -2.654325 -2.293723 -4.407858 2.318579
53 -7127.3886718750 0.574194 0.584163 -1.086367 -3.630132 2.395077
