evaluations raw_y x0 x1 x2 x3 x4
1 578.7589100000 -0.248928 0.248928 0.248928 -0.248928 -0.248928
2 -8452.5361672988 0.601231 -0.601231 -0.601231 0.601231 0.601231
3 -6931.1135538089 4.877833 -4.877833 -4.877833 4.877833 4.877833
4 5085.0897000000 -4.605106 4.605106 4.605106 -4.605106 -4.605106
5 3785.7453300000 -2.540968 2.540968 2.540968 -2.540968 -2.540968
6 -7037.7083751689 2.820915 -2.820915 -2.820915 2.820915 2.820915
7 -6835.5927401513 2.326088 -2.326088 -2.326088 2.326088 2.326088
8 2428.0383400000 -1.981064 1.981064 1.981064 -1.981064 -1.981064
9 2293.4771300000 -1.701131 1.701131 1.701131 -1.701131 -1.701131
10 -7797.7476946247 1.356181 -1.356181 -1.356181 1.356181 1.356181
11 -7362.3298148263 3.166006 -3.166006 -3.166006 3.166006 3.166006
12 4415.5273300000 -3.446027 3.446027 3.446027 -3.446027 -3.446027
13 4929.8516000000 -4.252870 4.252870 4.252870 -4.252870 -4.252870
14 -7100.7726587992 3.980218 -3.980218 -3.980218 3.980218 3.980218
15 -8222.5621690459 0.873970 -0.873970 -0.873970 0.873970 0.873970
16 -8206.1011960196 0.886422 -0.886422 -0.886422 0.886422 0.886422
17 -8404.7390629789 0.649463 -0.649463 -0.649463 0.649463 0.649463
18 -8384.8695620526 0.663237 -0.663237 -0.663237 0.663237 0.663237
19 -8394.5284341071 0.655641 -0.655641 -0.655641 0.655641 0.655641
20 -8409.7491626784 0.676049 -0.676049 -0.676049 0.676049 0.676049
21 -8434.4901124377 0.632969 -0.632969 -0.632969 0.632969 0.632969
22 -8384.8695620526 0.658720 -0.658720 -0.658720 0.658720 0.658720
23 -8449.9128506671 0.624988 -0.624988 -0.624988 0.624988 0.624988
24 -8625.6896314361 0.526691 -0.526691 -0.526691 0.526691 0.526691
25 -8719.0245938873 0.417525 -0.417525 -0.417525 0.417525 0.417525
26 -8723.2034540969 0.415784 -0.415784 -0.415784 0.415784 0.415784
27 -8719.0245938873 0.427855 -0.427855 -0.427855 0.427855 0.427855
28 -8737.8594118602 0.410782 -0.410782 -0.410782 0.410782 0.410782
29 -8738.7627687892 0.406301 -0.406301 -0.406301 0.406301 0.406301
30 -6563.8143582718 3.259612 -1.837773 -3.105578 3.259612 3.105578
31 -7819.0086743520 4.064178 -2.340679 -1.629554 4.064178 1.629554
32 -9222.4003202903 -2.030411 -3.682323 -1.047231 -2.030411 1.047231
33 -9207.2732263614 0.404270 -4.993381 -1.117200 0.404270 1.117200
34 -9628.4689757645 -3.768464 -4.900996 -1.459750 -3.768464 1.459750
35 -9634.2446303930 -4.504356 -4.841738 -1.732923 -4.504356 1.732923
36 -8593.0386373037 4.567897 -4.991670 -1.769200 4.567897 1.769200
37 -9762.6760148310 -4.890552 -4.946662 -1.840228 -4.890552 1.840228
38 -8429.2783027157 -4.085566 -4.977983 -1.966686 -4.085566 1.966686
39 -7512.5442863160 -4.875459 -2.286254 -2.520883 -4.875459 2.520883
40 -10081.1723016922 -4.701115 -4.736691 -1.249001 -4.701115 1.249001
41 -7373.0569640005 4.969541 -4.444863 -3.312577 4.969541 3.312577
42 2201.2903200000 3.052841 -4.979222 1.595771 3.052841 -1.595771
43 -9887.5077197814 -4.973088 -4.633362 -1.545286 -4.973088 1.545286
44 -10136.3524826391 -4.497055 -4.972659 -0.985840 -4.497055 0.985840
45 -10179.9721740957 -4.837608 -4.889770 -1.147188 -4.837608 1.147188
46 -10203.7632768426 -4.667407 -4.976586 -1.064609 -4.667407 1.064609
47 -10067.5833462530 -4.318644 -4.970175 -1.022113 -4.318644 1.022113
48 -8365.3256234205 -3.555354 4.658114 -0.670636 -3.555354 0.670636
49 -9930.8612588548 -4.978310 -1.926375 -0.755231 -4.978310 0.755231
50 -10313.5822106398 -4.881618 -4.961619 -1.101726 -4.881618 1.101726
51 -9318.4408847365 -2.373211 -4.339801 -1.191365 -2.373211 1.191365
52 -10316.2801671275 -4.984605 -4.581190 -1.059855 -4.984605 1.059855
