evaluations raw_y x0 x1 x2 x3 x4
1 -6609.5746219159 2.275997 -1.751466 4.304914 -3.433470 2.638961
2 -6497.7923283068 3.392241 -1.350873 1.841933 -3.727590 2.825546
3 -5566.8947072528 0.261382 4.361435 -1.984970 -2.877538 4.921495
4 2341.4679900000 -2.293379 -0.538994 -2.844385 2.488045 -1.004578
5 4210.3541800000 -3.302096 4.064286 -3.615245 1.285124 -3.332270
6 3918.5654300000 -1.167680 0.689505 -1.024755 1.218605 -3.166658
7 -5318.1424386631 4.676065 2.288367 4.784056 -0.961814 3.719276
8 3812.6415000000 0.475525 0.583212 0.251743 0.759954 -2.529905
9 -5904.2196590134 -3.618322 2.153067 4.635100 -1.251180 4.410328
10 -7443.0977059456 4.024054 2.408954 2.146460 -3.140792 1.062902
11 2230.8929600000 -1.720937 -4.053762 3.291205 -4.061213 -0.822662
12 3025.9270900000 -2.478506 -4.601293 -3.937331 -0.688874 -2.183165
13 2161.6444800000 3.912787 0.898372 4.958951 4.788054 -1.241338
14 -8273.5233729130 4.189059 -3.253536 0.674892 -1.607356 1.357629
15 -7628.9659434517 -0.814948 -3.477540 2.848258 4.059831 2.509099
16 -5460.8086015531 1.716563 3.647707 4.174330 -1.774202 4.165020
17 -7703.3122825407 1.637891 1.287889 -1.738214 3.513722 0.857232
18 951.7949200000 3.493973 -4.584957 -2.995789 -2.025778 -0.150200
19 245.1071600000 -3.509692 -3.564520 -3.063307 -0.413000 0.490634
20 -6620.7071054578 -4.026941 -0.215815 3.537750 4.591947 3.077250
21 5013.3937000000 -2.120629 0.269795 -2.495728 -3.822971 -4.628288
22 -8557.9752934425 -1.128223 3.095902 -2.381094 -0.018643 0.409458
23 3973.2953800000 -1.663984 -2.692637 -0.772403 2.628572 -2.817471
24 4681.8732000000 -1.889773 -0.194697 0.091076 -0.265170 -4.129271
25 98.0533400000 -4.791075 0.837642 -4.358716 4.608282 0.332186
26 -5802.4389722338 -2.953001 2.702437 -0.126211 4.271873 4.649968
27 -6697.1721111060 1.322526 -2.368326 -0.714774 2.319862 3.149285
28 4955.9517000000 -4.361006 -4.813415 -1.168500 -0.525721 -4.586069
29 993.6325600000 4.424882 -3.276433 1.404563 -4.664380 -0.486563
30 -8203.3979765122 -3.071600 3.499940 -4.760300 -2.369023 1.158421
31 -8764.5802329335 -4.554550 -0.826715 0.477495 -2.538554 1.833699
32 -6720.3942587968 2.402959 -0.659808 -4.729115 -2.698642 2.995284
33 -7333.7293998975 -1.512706 -4.446040 -3.433780 -3.277161 4.800004
34 4160.0491000000 0.841126 -4.940525 -2.677110 -2.273260 -2.655363
35 -6540.0695078054 -1.334780 1.135785 -4.312502 -2.197102 2.223626
36 3706.7794200000 2.798261 3.772446 4.596335 0.099618 -2.952573
37 -7705.4921050520 2.573210 -1.603758 3.248142 -4.182547 1.769336
38 4924.7669000000 4.310849 1.051672 2.664729 2.016424 -4.431471
39 -6301.4531864849 -3.897891 2.590080 -3.791133 1.594598 3.538698
40 4345.4945900000 0.935870 -2.468376 -2.215652 -1.864611 -3.431679
41 3875.1582700000 1.448053 -2.063831 -1.900636 0.687695 -2.413969
42 -7620.5533971111 -2.384276 4.528720 1.676876 2.805429 1.467747
43 4551.7867000000 -1.948844 0.063291 -3.870972 -3.000137 -3.572091
44 3962.1860500000 3.209973 -4.138309 -0.590152 1.023756 -3.084400
45 -7974.8306610833 3.742841 1.977372 2.322093 3.806456 0.052525
46 2245.6687900000 1.114637 0.446405 3.725609 0.884943 -1.414626
47 5223.7239000000 -4.894963 -2.272569 -3.135086 1.908550 -4.849612
48 2331.8877600000 0.340452 -2.841054 0.410949 0.340996 -1.647549
49 2606.9048200000 -0.085650 -3.893362 -4.110201 2.127661 -1.963830
50 2496.7943100000 0.021054 -3.046293 -3.328592 -1.103524 -1.683112
51 -7125.5524569740 4.571363 -4.208451 1.225226 4.920932 3.912365
52 5187.0029000000 -3.246913 4.134950 -1.416560 -5.000000 -4.869807
53 4902.6925000000 2.694413 3.800189 3.472019 -4.770188 -4.245998
54 4589.8831500000 1.860023 3.287616 0.939760 3.733991 -4.017717
55 2353.2291700000 -4.097795 -0.423978 1.992897 -4.586325 -0.881897
56 -7075.3943346483 -3.782480 -2.150763 1.653728 -1.492973 3.477129
57 1221.8306000000 0.692321 -0.920252 -0.248728 -3.640433 -0.621756
58 2430.9276000000 1.960336 2.846784 1.079182 -1.300588 -1.810848
59 -5820.5075101886 2.172341 0.098983 -4.478521 -0.855030 4.012071
60 -8153.7955813405 1.234207 -1.899513 -1.637359 1.497137 0.992403
61 810.5112700000 -0.619754 -2.900011 -4.927745 3.274896 -0.250047
62 655.5306800000 -2.722171 1.691786 4.390371 -4.213902 -0.375942
63 -6515.0819881011 -2.833061 1.452598 0.794874 3.099590 2.010919
64 -8442.4930889110 -0.928813 -1.099730 3.129842 3.629863 0.685471
65 4423.3388900000 -0.355588 -1.517947 -0.927828 3.248905 -3.702535
66 -6123.0480564977 2.901745 2.888906 2.909805 1.744423 2.191332
67 2493.3753300000 4.935182 -3.774498 -0.449200 -0.099705 -1.286766
68 4537.3579000000 0.144584 4.666117 4.065692 -4.379104 -3.894054
69 3386.0270900000 -4.688186 4.310053 -1.353083 4.078629 -2.204016
70 -5783.9660144521 3.071994 4.844131 -2.076977 2.912447 3.266878
71 -5744.7244311038 4.747700 -1.211165 2.578945 0.295833 4.303557
72 -6550.9489575423 -4.301432 3.157829 1.277495 2.365680 2.337854
73 -5237.3849628791 3.614897 1.572100 3.904520 4.364806 4.547191
74 129.5411400000 -0.515110 4.986268 2.396001 -2.786809 0.118704
75 -7681.7143272935 -0.321139 1.890517 -0.038210 0.484989 1.577169
76 -6489.5696772688 -3.468804 -0.826715 0.477495 1.094168 4.535440
77 4585.0550000000 -2.325216 1.195180 1.471000 -3.727590 -3.881243
78 2491.4943300000 -1.597702 4.292818 -1.984970 -2.877538 -1.817137
79 571.1148000000 -4.469531 1.303411 0.025682 0.622448 -0.446725
80 -5817.1215823012 1.567854 -0.334941 1.538609 -3.961738 4.329940
81 3983.0884600000 -1.167680 -1.602914 0.633303 -2.596391 -3.166658
82 -8864.5770751142 -3.679698 -1.815210 4.784056 -0.961814 1.180910
83 3722.2053700000 0.475525 3.828690 3.339044 4.549711 -2.529905
84 4485.5491000000 0.019685 -0.609520 -1.348908 -3.508773 -3.748345
85 -5245.3309491118 1.974625 4.041322 3.291837 2.313026 4.976598
