evaluations raw_y x0 x1 x2 x3 x4
1 2065.9837700000 -0.495482 -1.128113 4.281228 -1.822786 -0.941893
2 -7331.3808712153 4.076270 2.170222 1.987493 -0.074411 1.082308
3 2296.9255600000 1.099974 -3.434631 -0.350938 4.227810 -1.075958
4 4613.2619000000 -4.181889 0.245382 2.993622 2.504063 -4.078634
5 5177.4176000000 4.921923 -2.092288 -2.013879 -4.796272 -4.890136
6 3720.6796100000 3.384047 4.503905 3.540313 -0.758824 -2.759496
7 3967.7448900000 2.713115 -4.716551 0.783605 0.590218 -3.191002
8 -5619.1758707193 0.301939 3.148639 -4.320205 1.402383 4.799390
9 5.9746000000 1.919886 -3.671082 4.553480 -1.157198 0.512831
10 -6401.0318215358 -2.170544 2.633678 -3.293940 -3.862087 2.504327
11 -6513.8916326257 -1.447430 0.768608 -1.289583 3.381384 2.037369
12 -8370.3122015581 0.525244 1.066065 -0.168966 2.054036 0.233301
13 2641.6223100000 -4.994014 3.669357 1.469952 4.460525 -2.065889
14 -7089.6411167008 -2.872186 -2.911706 -4.940762 -2.470109 3.933591
15 -7199.9040343582 -3.619850 -0.928876 -2.566661 -3.421662 3.333211
16 -9011.0112036622 -2.224226 0.135324 -2.136450 1.816959 0.634888
17 -8368.1506963540 -4.323514 3.932920 1.501908 0.349403 0.830651
18 -7710.7715342244 -1.712765 4.144266 3.383670 4.529435 0.710308
19 207.6384400000 -2.184292 0.743723 -4.461426 3.695956 0.062867
20 -8313.4868087283 1.661952 0.780304 -1.208733 2.751771 0.401117
21 -7297.8504853732 1.871199 4.111187 -0.456828 1.128021 1.046643
22 -8413.4448518728 -1.040022 -0.265492 0.267195 2.561700 0.766093
23 -7736.1526270738 -3.642220 4.200270 0.332236 2.492565 1.474493
24 -7178.9862612456 4.691586 3.974978 -3.027535 1.659804 1.555770
25 -9390.5563953955 -2.894577 -1.684642 -1.633495 0.295537 0.933256
26 -7836.7424532025 4.364748 2.886059 -3.114197 -4.154679 0.602717
27 -8277.1385507082 -4.740408 1.855178 -0.300923 -2.619567 1.448580
28 -7228.6313556882 3.816236 2.991621 0.139879 -3.682353 1.636129
29 -9670.1184435223 -3.899620 -1.889315 -1.359519 -2.073321 0.901714
30 -9421.9845436244 -4.442091 -4.189177 0.508729 -4.829992 1.869472
31 -8504.0917892614 -2.508920 1.263071 -2.558414 -4.259297 1.280020
32 -8737.1672283107 -4.610835 3.901396 -1.910985 -1.751226 0.698490
33 -7986.5416673265 -0.868004 -3.871445 -0.524742 -1.563086 1.962284
34 360.2542100000 0.874819 -4.314828 -0.695191 -4.691914 0.545629
35 -7891.1384473254 -1.389411 -3.439208 2.603003 -3.146182 2.174770
36 -9274.0319364925 -4.770772 0.668523 0.688955 3.356388 0.698175
37 -9192.3060400611 -4.504980 -3.381094 0.666610 -2.955533 1.884931
38 -8245.6307696176 4.595526 -0.801982 -2.817210 -4.910895 0.799137
39 436.9885000000 -4.934190 1.285827 0.011188 -3.564652 0.140745
40 -8188.1417788725 0.072985 1.259755 -0.725189 -4.093131 0.709472
41 -8608.5517730125 -0.905213 0.299313 -1.994646 -2.884063 0.890931
42 -9144.2572290673 -3.927979 -0.535851 0.628934 0.446709 1.127944
43 -9254.8453850945 -2.991882 -0.482540 -2.592374 -0.840976 0.859045
44 -9295.2745362122 -2.077650 -4.183953 -2.610227 1.212604 1.069670
45 -9858.5020547264 -4.933509 0.000036 -3.288824 -1.890463 0.817408
46 -9724.9568138128 -4.919079 -0.458373 -4.753962 -4.516120 1.022843
47 -9662.0484732890 -4.656185 -1.736908 -4.835341 -3.971065 0.967908
48 -9300.5155413761 -2.919058 -1.200901 -2.343051 2.594479 0.935769
49 -9622.4111265352 -4.181350 -1.339432 -4.992487 2.218458 0.917281
50 -9712.8706667206 -4.777663 -0.577530 -4.637577 2.043971 0.802388
51 -9303.2808514877 -4.418535 1.022911 -4.708159 -3.656862 0.911082
52 -9226.8453090418 -4.707848 0.979804 -1.797439 0.111411 0.757902
53 -9333.8108250917 -4.853974 1.032676 -1.768045 -1.523340 0.856430
54 -9761.7483180353 -4.928301 -0.349728 -1.520324 0.305980 0.848666
55 -9841.8843599193 -4.683882 -0.997481 -4.919426 -3.270307 0.780393
56 -9799.7955510423 -4.706691 0.101717 -4.115053 -1.835460 0.801955
57 -9846.1163377337 -4.993161 -0.360763 -3.158737 -1.517585 0.834504
58 -9701.4685322220 -4.722390 -0.339947 -3.727280 -1.027390 0.851856
59 -9838.9248488659 -4.861734 0.410250 -3.652606 -2.976612 0.825874
60 -9862.9113398207 -4.966052 -0.596660 -3.452164 -2.872463 0.843391
61 -9855.8939095331 -4.878885 -0.660601 -3.844465 -3.033343 0.838060
62 -9901.5063301577 -4.991505 -0.923140 -3.721094 -3.356190 0.842397
63 -9747.0522024109 -4.733634 -0.554182 -3.711836 -3.285644 0.833523
64 -9746.6469709178 -4.699581 -0.587727 -3.401584 -3.380330 0.854724
65 -9652.8616397077 -4.516925 -0.711813 -2.966607 -3.025582 0.836019
66 -9883.2012615208 -4.996955 -0.821688 -4.158104 -3.805319 0.833296
67 -9948.2584830254 -4.964102 -0.943200 -4.056364 -3.130871 0.852970
68 -9944.5975907705 -4.969904 -1.003830 -4.206993 -2.935484 0.842671
