evaluations raw_y x0 x1 x2 x3 x4
1 4893.0643000000 -0.643853 1.778095 2.198069 3.583091 -4.554645
2 5152.6143000000 -0.907562 -8.450996 -0.086984 28.562427 -6.028635
3 -5262.6948370633 14.441043 -5.153542 3.400285 5.865104 7.692257
4 -4580.3445239932 16.609884 9.361457 6.635199 7.689163 6.690234
5 -5532.1163102564 15.682701 -7.045609 1.806668 -1.142208 6.773346
6 -5286.5114026735 11.923240 -1.071805 6.094579 -1.241987 23.912415
7 -5365.7484544034 15.282642 15.356585 -26.692733 6.426903 2.780769
8 -4677.0703707320 29.668066 10.102772 10.074971 -7.406141 11.816225
9 5229.9790000000 24.585294 -25.202245 -16.011462 -0.584710 -11.744071
10 -5909.0496088035 16.183777 -15.938709 -0.890543 -4.562474 18.516246
11 -5291.0094327898 20.013821 -26.409918 7.854237 2.186389 27.368659
12 -5217.2185179852 14.602630 -29.701988 11.807255 6.111470 11.772866
13 -6546.9382234139 0.600049 -29.221518 -35.387484 -9.043132 34.129409
14 -6055.9759316881 5.464066 -33.983780 -63.121876 -14.487617 53.082276
15 -6055.9759316881 7.382372 -19.000894 -62.836182 -12.356140 25.906125
16 -6793.8245036484 -4.293596 -0.275849 -52.449322 -20.109618 37.827909
17 -8044.3396039564 -3.263406 -24.211802 -68.692535 -27.489267 31.491528
18 -6055.9759316881 7.930635 -43.700585 -40.474628 -87.497950 44.282862
19 -6055.9759316881 11.669699 -43.759430 -58.373900 -32.814628 27.050442
20 -6055.9759316881 7.365050 -40.117821 -76.765477 -38.201043 43.425763
21 2477.3973500000 -3.775109 -71.944956 -38.287882 -49.979471 -0.402385
22 2296.7565600000 60.779648 -31.128794 -59.053964 -70.626073 -0.569848
23 -6055.9759316881 18.837201 -28.415690 -51.379249 -37.137470 34.380591
24 -6055.9759316881 52.844857 -63.640520 -34.510700 -54.521541 38.955742
25 -8530.4673836136 -9.415042 -38.045204 -46.641474 -17.206156 34.194144
26 -8530.4673836136 -16.338758 -32.285007 -34.910376 -52.515372 29.841081
27 -7712.7395772058 -38.869240 -52.111515 -22.029041 8.096762 28.374887
28 -4649.7335020203 24.065249 3.833893 -50.560585 40.464102 32.537350
29 -7712.7395772058 -32.468610 -12.658360 -57.550133 6.091064 64.324384
30 -8530.4673836136 -52.125393 -42.776094 -91.825999 -25.756787 34.040061
31 -8530.4673836136 -6.748242 -71.719934 -46.504798 -9.826670 44.057949
32 5254.4561000000 -34.341976 -64.615580 -6.618045 5.192144 -10.588461
33 -8530.4673836136 -12.779457 -101.389368 -104.923592 -13.252714 58.037368
34 -8530.4673836136 -16.708200 -24.835696 -25.207336 -34.096565 57.253047
35 -7399.9487944348 -1.229295 -44.371576 -118.042018 -18.741973 82.924440
36 -7501.5237397351 -9.139949 -43.213000 8.951217 0.736033 12.667273
37 -7948.1233676500 -22.335043 -24.446655 -50.415369 2.272179 22.135552
38 -6055.9759316881 13.111900 -23.881229 -51.322659 -68.962731 73.340248
39 -5958.0215164602 -27.225358 34.872824 -7.256095 -38.715950 21.519820
40 -8530.4673836136 -10.310320 -35.229819 -8.922780 -64.780011 15.652795
41 -7200.9399304064 -7.394107 -41.865603 9.104470 8.563002 15.183964
42 -5830.7953598208 37.375114 -34.738773 -40.559703 10.208837 29.995321
43 -8530.4673836136 -34.112042 -88.100644 -64.359167 -8.605608 13.613441
44 -6055.9759316881 9.391771 -22.373431 -79.735852 -8.302582 87.995570
45 -7712.7395772058 -5.464569 -46.582797 -28.183213 18.112486 42.014765
46 -8530.4673836136 -29.050452 -62.800254 -66.280468 -70.023393 73.538284
47 -8530.4673836136 -39.068620 -45.722636 -40.834483 -6.470153 5.114273
48 -8530.4673836136 -45.591855 -41.596276 -59.776002 -5.344384 34.001499
49 5383.1576000000 5.545256 -69.551850 -79.078957 -14.710115 -16.006461
50 -6502.6399761110 -34.617050 1.377045 -59.374275 -59.358473 48.867964
51 -7959.8398962023 -7.799379 -80.740050 -57.153674 1.880141 29.186883
52 -8530.4673836136 -28.151459 -50.985558 -32.322309 -24.922217 7.753779
53 5412.8133000000 -31.664788 -25.261830 -5.380082 -29.361331 -9.921784
54 -6603.4994998809 0.457362 -53.502140 -30.622038 -45.699174 29.634242
55 -6055.9759316881 8.422946 -45.616133 -28.324931 -9.783205 21.380213
56 -7703.5052364095 -2.189595 -17.718637 -52.675034 -28.749826 26.409301
57 -8530.4673836136 -21.182269 -27.250918 -24.728204 -17.132625 47.148546
58 -8530.4673836136 -22.919547 -33.381593 -43.765107 -17.217991 8.377908
59 -7915.2351058315 -3.173858 -37.425633 -35.268925 -13.460427 45.905802
60 -8530.4673836136 -18.894207 -32.563947 -55.172833 -22.308793 35.174618
61 -6055.9759316881 13.409783 -32.314609 -56.525312 -30.945852 32.800332
62 -8717.3840788593 -27.168654 -50.856520 -38.908300 -32.075839 3.953812
63 -8530.4673836136 -17.667528 -58.326193 -51.008170 -29.512213 18.380396
64 4597.4596000000 -59.614703 -38.500241 -30.573926 -49.173965 -2.856172
65 5412.8133000000 -32.517348 -49.508632 -41.051946 -41.988935 -8.001963
66 -8530.4673836136 -35.849282 -44.891145 -46.249776 -41.326171 17.349944
67 5412.8133000000 -26.446353 -44.787945 -44.823745 -21.209115 -5.483783
68 3713.0852400000 -20.267071 -60.671877 -45.009627 -30.181149 -1.758810
69 -10191.0948875290 -24.736805 -55.555991 -30.934256 -30.095314 1.705502
70 5412.8133000000 -34.268975 -49.054402 -31.483885 -27.500310 -11.036856
71 5412.8133000000 -25.725061 -58.550173 -43.336225 -48.227646 -7.614090
72 41.1249100000 -33.523978 -52.070000 -32.454057 -17.697457 1.444047
73 2643.5548400000 -35.489297 -47.626984 -25.832910 -28.220911 -0.479545
74 3569.1935300000 -16.069845 -58.900467 -36.312432 -44.576709 -1.540751
75 -8530.4673836136 -28.118558 -64.523210 -30.868121 -17.736566 9.227878
76 2943.4448500000 -38.481373 -55.524127 -47.287011 -18.023423 -0.795404
77 4356.7726000000 -23.735309 -53.612098 -33.460047 -42.058523 -2.586424
78 -8550.4025116842 -26.746584 -54.961843 -31.750422 -27.017464 4.316701
79 -8530.4673836136 -24.384975 -53.553269 -22.284162 -21.307146 8.241729
80 -8530.4673836136 -30.254956 -51.472210 -31.503591 -31.968998 9.214785
81 -9191.6086353036 -20.349383 -50.568952 -11.742048 -27.486942 3.155331
82 -8530.4673836136 -23.676081 -59.102634 -29.734146 -32.679147 6.219234
83 -8530.4673836136 -20.817459 -55.793038 -32.638186 -28.546321 9.935660
84 2178.1136800000 -27.195952 -57.475495 -31.500799 -25.111962 0.101536
85 2812.4043500000 -34.479842 -58.872760 -33.782510 -31.331560 -0.646925
86 -8526.3734101535 -24.946880 -54.137975 -40.571531 -23.491173 4.769299
87 -8526.3734101535 -28.705845 -60.346383 -27.715781 -23.125730 4.924617
88 -9446.4705195964 -21.819337 -49.324603 -34.988365 -23.827571 2.432311
89 3024.4495600000 -26.599921 -55.100048 -32.960831 -32.616077 -0.906975
90 3929.4070800000 -25.704045 -47.361431 -27.464797 -34.374210 -1.972250
91 -8530.4673836136 -29.189423 -55.148579 -30.379698 -22.116789 8.045787
92 5412.8133000000 -23.711007 -61.704244 -27.835552 -31.233272 -7.160041
93 2319.7290200000 -23.003863 -58.307451 -35.032680 -26.667764 -0.169500
94 830.7967300000 -29.589687 -57.722623 -36.695188 -30.098373 0.747366
95 -8530.4673836136 -22.958056 -59.577999 -36.200122 -33.441504 5.724365
96 -8530.4673836136 -26.461291 -61.971865 -30.608818 -26.432282 6.438370
97 3031.6668000000 -26.924153 -55.593608 -29.942769 -27.014188 -0.913947
98 -8537.3153218672 -27.477962 -57.651752 -28.188504 -24.879235 4.611183
99 5248.5442000000 -27.038280 -55.790240 -33.340162 -28.660812 -4.432831
100 3508.4519700000 -31.687756 -57.054435 -27.779707 -25.627624 -1.505407
101 -10092.6303288686 -27.307595 -52.889740 -32.438958 -34.399061 1.896449
102 2381.0533300000 -23.231968 -53.552351 -32.036697 -28.820510 -0.229850
103 -8880.4183833688 -26.633209 -51.987163 -31.357211 -32.414489 3.429546
104 4525.0247000000 -21.593531 -56.187991 -29.987126 -31.894677 -2.722020
105 758.2710900000 -28.763636 -51.206123 -31.197386 -25.485556 1.011484
106 -8530.4673836136 -24.384311 -56.907489 -30.150316 -32.541472 5.029349
107 784.1150200000 -19.191392 -52.881466 -31.153958 -30.165890 0.838219
108 41.1249100000 -26.721223 -54.310904 -33.672416 -29.934422 1.450907
109 -8977.2065502256 -27.006868 -57.447869 -28.074168 -30.554416 3.381367
110 904.1983700000 -27.241654 -55.285951 -28.151140 -33.413716 0.609592
111 2217.2143500000 -23.909428 -56.230297 -29.895196 -30.747892 0.078519
112 734.5476000000 -24.521400 -53.997092 -30.684144 -28.610973 1.113260
113 784.1150200000 -22.934996 -57.080069 -30.996009 -31.489941 0.838033
114 -8751.6735794987 -26.568337 -53.136764 -31.720728 -33.213315 3.626360
115 2312.3947100000 -24.090700 -56.343191 -28.777837 -30.297803 -0.103820
116 117.4049500000 -25.747503 -54.620616 -28.375414 -30.216698 1.359194
117 1537.6578900000 -27.357768 -55.335243 -32.194215 -30.607230 0.411938
118 2388.3542200000 -22.579436 -55.467642 -30.319974 -30.842307 -0.260242
119 1465.1469200000 -25.896798 -55.537619 -29.976109 -29.190297 0.443038
120 -9501.3169200115 -26.806607 -53.327107 -30.330040 -30.139183 2.357679
121 -8977.2065502256 -24.692032 -56.922623 -32.460304 -32.367465 3.389355
122 803.8545900000 -23.971118 -54.259948 -33.583336 -29.941672 0.811963
123 455.3149200000 -23.434760 -54.726281 -29.995961 -28.728718 1.242130
124 758.2712800000 -24.649662 -57.447861 -29.434770 -29.676706 0.934819
125 1537.6578900000 -23.570534 -56.378979 -31.053224 -30.038566 0.409755
126 -10367.7682732629 -22.868077 -55.706416 -31.962831 -31.162929 1.491526
127 -8526.3734101535 -20.908399 -56.617854 -32.917220 -30.290163 4.716780
128 41.1249100000 -23.972627 -54.540991 -31.463232 -30.546969 1.434682
129 758.2712800000 -23.271538 -56.241145 -32.247569 -30.690738 0.907442
130 169.2337000000 -23.102020 -57.448677 -31.897850 -32.677435 1.325649
131 -10367.7682732629 -22.937249 -56.467603 -33.558734 -32.596265 1.489266
132 41.1249100000 -22.395996 -56.462147 -32.300893 -30.851405 1.467837
133 870.0484200000 -22.275517 -55.529331 -32.601758 -30.705635 0.662852
134 -10108.5820895004 -22.930188 -55.730168 -31.756116 -31.471587 1.850529
135 -10038.3448299662 -23.345782 -55.682059 -30.659470 -32.533847 2.057992
136 1449.1414200000 -23.394187 -55.094015 -30.752309 -29.987352 0.458373
137 -10108.5820895004 -22.385042 -56.864530 -31.644744 -31.925381 1.833864
138 -10292.5462610294 -22.362404 -55.596771 -31.996239 -30.505408 1.590435
139 105.3319000000 -22.198803 -56.087928 -32.292014 -31.482676 1.366177
140 278.1746900000 -23.128972 -56.238914 -31.869080 -31.322810 1.293273
141 534.0828600000 -22.190219 -54.969861 -32.131543 -30.136398 1.192877
142 -10124.6299525434 -22.416272 -55.461231 -32.069357 -30.977304 1.750815
143 -10126.2138381427 -22.194597 -55.429092 -31.576753 -30.450322 1.756603
144 -10272.4944756852 -23.225111 -56.444926 -32.509349 -31.880763 1.634160
145 -10108.5820895004 -21.681267 -55.797840 -32.238506 -31.119100 1.826655
146 -10292.5462610294 -22.805548 -55.827689 -31.797809 -30.472081 1.570376
147 41.1249100000 -22.891272 -55.713897 -31.428591 -31.097215 1.433122
148 -10272.4944756852 -22.890702 -55.333380 -31.904865 -30.518649 1.621663
149 48.9510500000 -23.426911 -56.307107 -32.274902 -30.929573 1.422191
150 -10279.1535911064 -22.798910 -55.917353 -31.816936 -31.948939 1.674282
151 356.5837000000 -22.799344 -55.904417 -31.450211 -31.333504 1.262281
