evaluations raw_y x0 x1 x2 x3 x4
1 5829.7329121762 -2.817156 1.148906 0.237457 -4.420498 -4.522419
2 3601.5381247623 1.352881 -3.305696 -2.400202 3.504921 -2.939688
3 1625.3030951967 3.724569 -2.643084 -3.127409 -0.910665 -0.877097
4 -6183.2078152673 -0.052283 3.916202 -4.952233 4.670363 1.045025
5 -8271.5509989640 -2.305581 0.961909 1.350388 -1.181909 0.820021
6 1614.6894806117 3.590489 2.000259 4.678242 -2.017782 -1.541735
7 4753.0021404722 1.735216 -1.682388 2.862796 -3.007145 -3.904609
8 781.5359541196 -3.263389 -0.599506 -4.029359 4.266564 0.016213
9 -6562.5850493442 2.451884 -4.526370 -0.401143 1.674418 3.024944
10 -6019.7764157864 4.642872 3.344055 2.099629 -2.880214 4.580538
11 -7103.1425698713 -4.531438 -1.181530 4.071350 2.809059 2.268084
12 2671.9247704431 -1.226891 4.661358 -1.234804 0.433393 -2.320732
13 3795.8249462677 0.659264 0.324966 0.381385 1.065363 -3.395784
14 -6090.6398904596 -0.751678 2.544709 -2.132622 0.134477 3.866134
15 -8461.0594680044 -4.296728 -3.942214 3.653651 -3.874734 2.788062
16 -5752.9098968819 1.268327 1.106048 4.011211 -1.106808 3.256929
17 -5982.3910419613 1.592183 1.149593 1.083019 -4.847315 2.389443
18 -5962.1582861107 1.165786 0.671194 1.797532 -4.158306 2.953032
19 -7058.7367034236 -2.514797 1.777530 -2.747323 -4.841164 2.452133
20 -7078.0900455227 -4.606116 1.527525 4.755075 -4.238079 2.176154
21 -9237.9106412786 -4.910288 -4.567800 2.289491 -2.599330 2.591046
22 -8848.0412647384 -3.536569 -4.938006 2.924365 -4.617352 2.595554
23 -9225.4101955264 -4.433281 -4.985514 0.655058 -3.234456 3.019806
24 -8846.8036702792 -4.818897 -4.905506 4.126567 -3.990544 2.851236
25 -8418.8227787345 -2.574801 -4.547505 0.812674 -4.675810 2.987399
26 -9080.4741883148 -4.752404 -4.719274 3.575277 -1.650285 2.327374
27 -9767.8821746899 -3.833135 -4.911278 -0.848740 -3.392518 2.341673
28 -9734.0857366729 -4.977017 -4.674266 0.503883 -3.753205 2.611112
29 -9552.8506454637 -4.795870 -4.557057 2.280992 -4.752156 2.390408
30 -9084.1531724863 -4.939789 -4.777537 0.053793 0.365966 2.877006
31 -9943.5272995953 -4.406288 -4.122066 -2.366203 -1.192193 2.064315
32 -9835.9917371089 -4.091231 -4.602076 -2.466837 -0.516358 2.134385
33 -9940.3616932739 -4.930384 -4.715308 -0.984846 -1.464761 2.371562
34 -10495.2086368368 -4.810362 -4.425563 -1.492576 -4.717452 2.084106
35 -10200.3033011372 -4.709348 -4.501155 -2.585829 -1.527994 2.165967
36 -9720.9683151008 -4.816763 -2.911714 -1.550966 -3.365530 2.116127
37 -9865.0800492667 -4.506382 -3.828974 -1.270455 -4.672193 2.264713
38 -10223.5472150274 -4.180670 -3.683751 -1.990146 -3.627209 1.776590
39 353.9364913686 -4.897804 -4.140065 -3.477107 -4.771767 1.625775
40 469.4390170021 -1.870515 -2.997385 -4.137550 -4.591625 1.503376
41 -8435.3925343847 -1.367309 -4.209236 -1.941148 -4.892647 2.604155
42 -8379.3620168296 -0.727299 -4.546116 -1.330321 -0.334519 2.079048
43 -11209.5282603630 -4.718193 -4.799996 -1.663840 -2.243953 1.436119
44 -9559.6519006985 -4.810911 -3.701534 -1.703675 -4.620958 2.736392
45 -10040.9964145865 -4.178464 -4.440871 -1.930935 -4.426643 2.267005
46 -9899.9358294050 -3.103246 -4.371210 -1.221280 2.150411 1.105437
47 -10284.7299206207 -4.809966 -3.115221 -1.618281 0.229744 1.306643
48 551.0603339714 -3.713196 -4.729348 -1.194301 -4.822289 1.022414
49 -8618.0045668524 -4.941272 -1.336570 -1.762183 2.350762 1.836335
50 656.4522368180 -4.739955 -2.757629 -1.344012 -4.930574 0.819292
51 -10679.9800226821 -3.510240 -4.856563 -2.384868 -2.253633 1.490604
52 -9668.5304840611 -3.084258 -3.888444 -0.852715 -1.451095 1.582822
53 -9526.2885605919 -3.756286 -1.855067 -1.272786 -1.650866 1.345275
54 -10374.8171247425 -2.946615 -4.899695 -1.910769 -1.572041 1.420846
55 -9754.8078922258 -3.369706 -2.878521 -2.181827 -2.587049 1.529355
56 -11182.4494338893 -4.727608 -4.862505 -1.420735 -2.449347 1.471645
57 -10714.2064302387 -4.332586 -4.017401 -1.675964 -2.311752 1.416958
58 -11027.1520200928 -4.551585 -4.776286 -1.835145 -2.267459 1.523182
59 -11014.3280456854 -4.922316 -4.556998 -1.456814 -2.000970 1.521730
60 -11029.7586075764 -4.819372 -4.484196 -1.917090 -2.107167 1.513372
61 -10976.4524241816 -4.209380 -4.945807 -1.467978 -2.222244 1.448068
