evaluations raw_y x0 x1 x2 x3 x4
1 -5781.6892994124 -0.611676 -0.065449 3.503843 4.996553 2.290795
2 2930.8287592063 1.054082 -3.919692 -3.655156 2.161153 -2.267418
3 3031.9353900673 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
4 106.3287775548 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
5 -5843.8192557452 3.644968 2.627505 2.332067 -2.606695 1.414534
6 -6184.1626370034 1.819174 -0.846976 -3.703254 1.112385 3.283452
7 -7219.9366131209 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 968.3926478836 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
9 1530.9968844048 3.678345 1.779529 -0.285570 0.857664 -1.475784
10 -5658.4320961842 4.049697 -1.458714 3.594827 -1.333719 3.936445
11 -5910.6337252221 -3.420748 2.294169 4.923463 1.571053 3.231936
12 3493.7536941157 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
13 4891.9468394076 3.686591 1.507612 -4.994789 -4.128363 -3.334358
14 1753.4730197005 4.786593 3.860523 -0.834856 -3.860440 -1.208003
15 1930.7731585290 1.955925 -4.636282 3.905097 -3.138640 -1.274542
16 -5122.1186139612 2.329087 5.000000 -5.000000 5.000000 1.780521
17 -6745.2596646854 -5.000000 5.000000 5.000000 -0.482956 1.480157
18 -5704.5148128575 5.000000 -2.274214 5.000000 5.000000 4.651561
19 -7572.5852822897 -5.000000 3.851254 -5.000000 0.015227 1.563364
20 -5146.4304812012 5.000000 5.000000 -5.000000 -1.901490 1.818795
21 -8133.2104170765 -5.000000 -5.000000 -5.000000 5.000000 4.154199
22 -9533.0807416450 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
23 -8022.5136229075 -5.000000 -5.000000 5.000000 -5.000000 5.000000
24 -8087.5034356474 -5.000000 -5.000000 -5.000000 5.000000 5.000000
25 -8807.7125728500 -5.000000 -3.077361 -5.000000 -5.000000 4.968975
26 -6594.3914067735 5.000000 -5.000000 -5.000000 -5.000000 5.000000
27 -6686.0754611137 -5.000000 0.247605 -5.000000 5.000000 5.000000
28 -9108.0432891348 -5.000000 -3.727056 -5.000000 -5.000000 4.419081
29 -9594.4646364433 -5.000000 -5.000000 -5.000000 -5.000000 4.558129
