evaluations raw_y x0 x1 x2 x3 x4
1 482.1140780260 0.248928 -0.248928 -0.248928 0.248928 -0.248928
2 -8217.4687202450 -0.601231 0.601231 0.601231 -0.601231 0.601231
3 -6096.0078268031 -4.877833 4.877833 4.877833 -4.877833 4.877833
4 5669.6018202875 4.605106 -4.605106 -4.605106 4.605106 -4.605106
5 2989.2427671229 2.540968 -2.540968 -2.540968 2.540968 -2.540968
6 -6264.5579314576 -2.820915 2.820915 2.820915 -2.820915 2.820915
7 -6540.6783206806 -2.326088 2.326088 2.326088 -2.326088 2.326088
8 2331.2252664540 1.981064 -1.981064 -1.981064 1.981064 -1.981064
9 2013.2847144581 1.701131 -1.701131 -1.701131 1.701131 -1.701131
10 -7346.9472574368 -1.356181 1.356181 1.356181 -1.356181 1.356181
11 -6126.0685148380 -3.166006 3.166006 3.166006 -3.166006 3.166006
12 4115.2010278257 3.446027 -3.446027 -3.446027 3.446027 -3.446027
13 5183.8758287680 4.252870 -4.252870 -4.252870 4.252870 -4.252870
14 -5975.4183217404 -3.980218 3.980218 3.980218 -3.980218 3.980218
15 -7878.4405204534 -0.873970 0.873970 0.873970 -0.873970 0.873970
16 -8033.5893460654 -0.746378 0.746378 0.746378 -0.746378 0.746378
17 -8134.1917276932 -0.666200 0.666200 0.666200 -0.666200 0.666200
18 -8184.6525127406 -0.626686 0.626686 0.626686 -0.626686 0.626686
19 -8175.6859209853 -0.633675 0.633675 0.633675 -0.633675 0.633675
20 -8412.3115945566 -0.453784 0.453784 0.453784 -0.453784 0.453784
21 -8538.4842907901 -0.361430 0.361430 0.361430 -0.361430 0.361430
22 -8659.7405503677 -0.274792 0.274792 0.274792 -0.274792 0.274792
23 50.2873279176 -0.198507 0.198507 0.198507 -0.198507 0.198507
24 -7498.1977251569 -1.210662 1.210662 1.210662 -1.210662 1.210662
25 -8613.8253025400 -0.307364 0.307364 0.307364 -0.307364 0.307364
26 -8615.9711218785 -0.305836 0.305836 0.305836 -0.305836 0.305836
27 -8610.7891207154 -0.309528 0.309528 0.309528 -0.309528 0.309528
28 -8602.9957992899 -0.315088 0.315088 0.315088 -0.315088 0.315088
29 -5444.0561495604 0.000000 4.212377 3.379721 -4.212377 3.379721
30 -6119.1188057269 0.000000 1.396535 2.616510 -1.396535 2.616510
31 -6270.2459540185 0.000000 -0.739265 2.986552 0.739265 2.986552
32 -6595.8077056679 0.000000 1.488848 1.802305 -1.488848 1.802305
33 -7530.1476596181 0.000000 -0.280897 1.154930 0.280897 1.154930
34 -7864.2256137130 0.000000 -0.448499 0.896587 0.448499 0.896587
35 -7848.0388079739 0.000000 0.934758 0.699945 -0.934758 0.699945
36 1018.5771459145 0.000000 0.418344 -0.720617 -0.418344 -0.720617
37 -8324.8063645293 0.000000 0.827341 0.366989 -0.827341 0.366989
38 148.9754583063 0.000000 -0.399493 0.077271 0.399493 0.077271
39 -8378.8676567602 0.000000 -0.189850 0.474219 0.189850 0.474219
40 79.3924462740 0.000000 2.841087 0.327233 -2.841087 0.327233
41 -8451.3509685287 0.000000 0.146610 0.377716 -0.146610 0.377716
42 -8473.2219362595 0.000000 0.340380 0.335644 -0.340380 0.335644
43 -8385.9911721614 0.000000 0.443472 0.380917 -0.443472 0.380917
44 33.9316572542 0.000000 0.919431 0.237235 -0.919431 0.237235
45 0.4523680288 0.000000 0.305398 0.243287 -0.305398 0.243287
46 -8493.2215624666 0.000000 0.347442 0.321041 -0.347442 0.321041
47 -8616.7808027398 0.000000 0.303711 0.244243 -0.303711 0.244243
48 0.3943744373 0.000000 0.305543 0.243350 -0.305543 0.243350
49 -8506.0149954772 0.000000 0.245217 0.326663 -0.245217 0.326663
50 -7072.5184735400 0.000000 -0.358720 -0.903188 4.173355 1.298049
51 -7122.9912408851 0.000000 -0.606882 0.002525 3.810658 1.322964
52 516.9225585465 0.000000 -3.340363 -0.591526 3.905638 -0.223583
53 -7619.5261378631 0.000000 1.308120 1.418480 1.273252 0.563156
54 672.0529778773 0.000000 -2.342536 0.831694 -0.127863 -0.361662
55 -7803.2762292517 0.000000 0.996739 -0.310343 -1.370776 0.840918
56 875.5411535096 0.000000 -4.992594 0.596220 -3.812255 0.131487
57 -7953.5051098000 0.000000 1.253291 0.302041 -2.378970 0.656968
58 -7304.8577853330 0.000000 0.771125 0.130648 3.393049 0.835157
59 453.6758388172 0.000000 -3.281711 0.138306 -3.500474 0.426417
60 45.8546151981 0.000000 2.851995 0.481452 -1.237236 0.153201
61 166.6445115891 0.000000 -0.991983 0.394024 -0.084794 0.105411
62 295.7201620300 0.000000 -2.201316 0.092912 -1.357942 0.202372
63 -7908.8264691159 0.000000 1.004605 0.241152 0.775217 0.533558
64 -7167.8035643179 0.000000 2.594787 0.406869 3.823619 0.461152
65 85.5672771939 0.000000 -0.840493 0.311626 -0.353809 0.213667
66 -8168.9374941362 0.000000 0.240300 0.294284 2.156058 0.360923
67 391.3850028632 0.000000 -0.167831 0.395721 -2.758353 0.130638
68 -8046.1931293727 0.000000 1.109787 0.396595 2.802319 0.184761
69 453.3729877368 0.000000 0.517030 0.357587 -3.771089 0.184131
70 -8643.3846078170 0.000000 0.079684 0.346644 0.172964 0.228834
71 -8444.1754813174 0.000000 -0.111389 0.198234 1.045314 0.352250
72 -8189.1706815859 0.000000 0.640492 0.246473 1.262417 0.349296
73 -8534.0902173572 0.000000 0.195767 0.333263 0.861118 0.222843
74 -8542.3782732858 0.000000 -0.256547 0.239102 1.531713 0.261466
75 -8496.7676384373 0.000000 0.445761 0.303028 0.132447 0.259128
76 -8429.7115431977 0.000000 0.205489 0.263565 0.846171 0.304260
77 82.5068840529 0.000000 -0.010344 0.282470 -1.325474 0.274926
78 -8357.9264203658 0.000000 0.813901 0.204943 -0.010751 0.297062
79 -8662.1114645773 0.000000 0.054484 -0.331022 -0.084731 0.297317
80 -8586.8034782969 0.000000 0.151557 -0.011479 0.010187 0.296430
81 -8630.9462675784 0.000000 0.205784 -0.432315 0.037827 0.281708
82 8.6885668804 0.000000 -0.126736 -0.376713 0.043930 0.281522
83 18.2689410648 0.000000 0.115588 -0.349086 -0.419585 0.297871
84 -8557.1038948642 0.000000 0.052781 0.374428 -0.043388 0.312922
85 -7641.0743290438 0.000000 -4.413983 0.248054 -0.432868 2.541464
86 5141.4629399853 0.000000 -1.562878 1.093042 -0.953452 -4.300168
87 3898.9201620024 0.000000 0.932625 0.531210 0.086259 -3.450999
88 -6929.2159373003 0.000000 -1.990990 -0.622608 -0.487531 2.927037
89 110.8860193661 0.000000 3.151228 1.566269 1.993224 -0.198477
90 1544.5188091385 0.000000 1.262725 -1.350423 -2.120300 -1.063102
91 -7782.5383769240 0.000000 -2.238187 -0.222185 0.956790 1.517204
92 -7324.1776097293 0.000000 2.768708 0.967031 2.002576 0.455241
93 552.8504304424 0.000000 2.105243 -1.818002 1.059337 -0.308476
94 2984.3812791890 0.000000 0.803489 0.193079 -0.978787 -2.594286
95 -8020.7885380764 0.000000 1.401775 -0.341862 0.278259 0.433287
96 -8314.4888910031 0.000000 -0.771038 -0.854307 1.207782 0.670913
97 -8364.6014313859 0.000000 -1.058778 -0.277694 -0.483468 0.824814
98 -8166.8885507673 0.000000 0.090879 1.201108 -0.529060 0.560313
99 -8385.5642498701 0.000000 0.003361 1.270134 -0.233974 0.381049
100 301.7036172137 0.000000 0.066981 -3.707838 -0.049223 0.423972
101 -8303.8294321541 0.000000 -0.643034 -0.098666 0.425406 0.670441
102 148.8179510927 0.000000 -0.339527 -0.696771 0.161018 0.165623
103 94.7524388492 0.000000 0.678911 -0.025339 -0.353499 0.151254
104 84.7198313082 0.000000 0.386207 -3.166628 -0.062334 0.553629
105 128.5278359595 0.000000 0.241332 -0.177209 -0.104739 0.128743
106 -8580.1882104078 0.000000 0.009541 -0.255702 -0.142978 0.366446
107 47.0881862885 0.000000 -0.125545 -0.258692 -0.071957 0.239173
108 -8614.4346418740 0.000000 0.157654 -0.370954 0.130764 0.292318
109 104.9032464879 0.000000 -0.039842 -0.138684 -0.019690 0.157538
110 -8689.2497562434 0.000000 -0.024298 -0.393618 -0.147681 0.306209
111 -8537.9436765300 0.000000 0.139088 -0.413286 -0.091457 0.374703
112 -8630.9987783439 0.000000 0.082371 -0.478454 -0.041810 0.320626
113 -8616.8602358247 0.000000 0.063287 -0.357585 -0.104065 0.331632
114 -8548.0169252240 0.000000 0.035561 0.225608 -0.110252 0.341894
115 -8608.5371974833 0.000000 0.023915 0.559468 -0.107970 0.270769
116 60.6258699531 0.000000 -0.018100 -1.040212 -0.115795 0.304079
117 -8608.8831335361 0.000000 0.052398 -0.319449 -0.137236 0.339873
118 -8651.6843982705 0.000000 -0.074354 -0.278726 -0.122314 0.334002
119 -8692.9740763848 0.000000 -0.083644 -0.502792 -0.173640 0.327837
120 -8661.8725545951 0.000000 -0.083864 -0.387298 -0.208394 0.344516
121 -7267.1071698062 0.000000 3.428598 -2.914191 -0.653484 0.707820
122 1649.5121043099 0.000000 1.722158 -0.736436 1.065927 -1.478623
123 -6508.8116563285 0.000000 0.719042 -4.583903 0.577015 2.283287
124 2310.1228203384 0.000000 3.731126 -4.300475 -0.487302 -1.696609
125 600.4427290340 0.000000 -2.944653 -4.009247 -1.381434 0.508923
126 1174.5486139339 0.000000 -2.626473 -4.095140 0.559814 -0.328159
127 582.5987348399 0.000000 0.504743 -4.308640 0.138366 0.183208
128 -7255.5724371979 0.000000 1.318648 -4.282893 0.554296 1.192207
129 -8816.0832845158 0.000000 -1.520027 0.864161 -0.088882 0.440206
130 414.7199517131 0.000000 -3.008987 3.285191 -0.171581 -0.148737
131 832.0449034365 0.000000 -2.546059 1.645490 0.787414 -0.619622
132 539.2403884194 0.000000 -2.320503 4.738958 -0.208399 -0.301493
