evaluations raw_y x0 x1 x2 x3 x4
1 -5349.7608530128 4.972058 2.993654 -0.980618 -2.061794 3.809681
2 -5635.3817823384 3.945506 2.978786 -2.532002 -3.128510 4.684898
3 -6013.8206955065 4.073887 2.761099 -2.494239 -1.075740 4.999999
4 -5133.4201470740 3.808084 3.837363 -3.177763 -2.654440 3.783290
5 -5968.8479570316 3.301836 3.275710 -1.332037 -3.088118 4.961841
6 -5339.0031864438 3.363276 2.848045 -3.498376 -0.291043 3.779223
7 -5366.2866449130 4.987192 4.240755 -3.864565 -1.606395 4.610741
8 -5985.6084635676 4.030788 1.938600 -2.803918 -1.646794 4.994479
9 -5794.3879032377 4.685266 4.638729 -2.664527 -2.215374 4.990350
10 -5897.7648839088 3.936947 2.266341 -1.607920 -2.125433 4.754282
11 -5782.2200251926 3.465094 3.928522 -2.998304 -1.692898 4.884117
12 -5652.0569212651 4.796385 2.089862 -1.741153 -1.639196 1.790901
13 -5823.4609851274 4.783606 2.711933 -3.172556 -0.608353 4.876879
14 -5892.2101143674 4.506351 2.223780 -1.751282 -1.417611 4.743332
15 -5183.2758979389 4.292516 3.141334 -2.866773 -1.094568 3.364518
16 -5766.0933225600 4.743676 2.607832 -3.014669 -2.972014 4.998833
17 -5656.1530990140 4.786606 1.613697 -4.038108 -1.990143 4.835387
18 -6116.7148831124 4.701095 1.233693 -0.076227 -0.067010 4.700572
19 -5987.6520428343 4.639660 2.913680 -1.506254 -1.411619 4.883344
20 -6064.2830324479 4.993658 1.612080 -0.633346 -2.622019 4.997784
21 -6053.1470232881 3.572324 3.165252 -1.501781 0.472295 4.790481
22 -5911.7885740191 4.680260 2.132351 -2.072237 -1.127894 4.800705
23 -5897.7760374270 4.911633 2.790185 -1.960575 -2.073370 4.918196
24 -5598.5290755930 4.902816 2.623049 -2.284630 -1.879858 4.499195
25 -6000.4402608315 4.271432 0.870132 -0.038143 -0.795097 4.525548
26 -5784.9854470702 3.251235 0.479766 -0.403804 0.510941 3.136136
27 -5840.7663455623 4.303333 1.894882 -2.169783 0.506187 4.539082
28 -6165.1874131306 4.790358 0.839138 -0.086337 -0.731483 4.823356
29 -5694.0190074382 4.750711 0.332085 -1.753630 -0.567155 4.065851
30 -5994.1651892023 4.363534 1.370247 -1.275209 -1.116761 4.724120
31 -5972.3375405120 3.205746 2.119241 -2.979586 -1.650115 4.930112
32 -6222.4923799046 4.357954 1.026711 -1.310655 -0.286059 4.966832
33 -6002.8342811416 4.303035 -0.493250 0.314151 -0.500291 4.344079
34 -5982.9620565073 4.553210 2.949876 1.538782 -0.590920 4.460283
35 -5818.4885086010 4.943783 0.743799 0.461594 -1.893719 4.383113
36 -5852.1850222450 4.569521 0.876605 -1.665101 -1.467170 4.550723
37 -6351.1002584976 4.665559 2.440148 -0.112958 0.256889 4.989217
38 -5985.0796513525 2.276686 0.213889 -1.133501 -0.293458 3.831219
39 -5622.9594380518 4.964379 2.061412 -0.441792 -0.949515 4.055776
40 -5978.9445170208 4.990003 0.639507 0.690201 3.148573 4.222250
41 -5993.0808032972 3.961683 0.642472 -0.173035 -0.520155 4.433982
42 -6366.5936320806 2.690054 1.191472 1.220660 2.550553 4.775057
43 -6021.2084798007 4.206787 -0.453377 -1.783793 -1.061347 4.589095
44 -5923.1331798809 2.711232 3.924704 -0.667728 -2.494895 4.760208
45 -6142.3358431452 4.148178 0.269025 -0.677337 -1.920335 4.854761
46 -6189.6775825028 4.989896 0.724381 -1.987307 0.375490 4.999245
47 -5412.6372927921 3.021308 4.458026 -1.200604 0.399915 3.638085
48 -6281.3867986260 3.862096 1.068841 0.033474 0.200746 4.851029
49 -5688.5778171923 3.644648 1.318287 0.404083 2.134610 3.448391
50 -5707.6121510215 3.242320 2.007348 -0.637958 0.573481 3.826779
51 -6093.9083297643 4.867338 1.054331 -1.686251 0.132638 4.849214
52 -5914.3955731542 3.136657 -0.425325 -0.222448 0.707156 3.501675
53 -6448.4921193514 2.533005 1.401126 2.067903 2.800555 4.846736
54 -6325.7331990284 3.126038 1.322437 -0.203321 1.065818 4.867844
55 -5876.6660483662 2.530620 0.575486 1.038888 4.275481 3.904530
