evaluations raw_y x0 x1 x2 x3 x4
1 -10485.5718615146 -3.328803 -4.003380 -1.684033 -4.341730 1.514191
2 3233.1482231494 -0.456682 3.440062 2.589241 3.802290 -3.024165
3 -6552.2953034394 4.703621 -2.956429 -0.053208 -2.932523 1.853931
4 626.2087584606 3.193178 -0.699606 4.226291 -4.148702 -0.034749
5 4461.4174909998 -4.296695 -3.103273 -4.782604 -4.269944 -2.760054
6 4515.7765672163 -0.718478 2.302849 1.826193 -1.756049 -3.910696
7 -6937.7676284671 3.517844 -1.521445 -0.102494 -0.809212 1.347890
8 2081.2152187530 -0.068958 4.996596 0.314397 -0.309994 -1.973619
9 -6889.8831595220 -2.088700 0.333876 -3.598979 -1.947020 3.395916
10 1890.2160838333 -1.637448 2.002685 0.387972 -3.345985 -1.398469
11 594.3016797769 -1.066732 0.614712 2.829596 4.846900 -0.574531
12 1765.8358135513 -2.754637 2.679519 -3.310354 2.189045 -1.236714
13 -6380.0052542771 -4.583324 -0.262248 2.168875 4.610469 3.810887
14 5287.6726369112 -3.599819 1.266103 -3.834182 0.124294 -4.177122
15 -6453.6296643774 2.402283 -3.157238 -0.715032 -0.140736 3.974906
16 -7398.2511065058 -2.580716 -4.227884 2.314222 2.720107 2.858737
17 6014.3606646982 2.197624 4.068563 -3.186684 -2.325002 -4.976420
18 4540.5332730338 -4.177213 -1.845401 1.631052 -1.347050 -3.703479
19 3056.3808441357 -2.298401 -2.437823 -2.320817 -1.452282 -2.176675
20 -5720.7136646220 3.311609 -0.496767 -4.904602 3.971482 4.678580
21 4905.7698600110 -1.986461 3.209765 1.769253 0.460870 -4.309347
22 -6971.4737229888 -1.405642 -3.622316 -0.251171 4.507381 2.919524
23 2037.6860939179 -0.751348 3.080118 -4.501890 3.533149 -1.448494
24 -5587.0709169431 2.617384 3.675757 -0.566881 2.042531 3.732308
25 694.1942873704 3.897740 4.062124 2.904725 2.783776 -1.037202
26 4875.8382023086 4.753888 -1.582972 -1.864916 -2.105183 -4.026795
27 3708.3169874044 0.758193 -4.385877 -2.860636 -2.469215 -2.574136
28 5636.6003121499 1.466117 -3.851705 1.484734 -3.174271 -4.419702
29 -7146.2720946052 -1.325472 0.549033 -2.933485 2.323050 1.655296
30 2547.8932815670 -4.890689 -1.341575 -3.083935 0.729621 -1.700470
31 -5414.7296171599 0.692186 4.843880 4.753888 2.886299 2.370653
32 -6058.8398223625 4.166047 4.248472 -0.867745 -0.529753 0.815573
33 725.0836063442 2.026984 -3.768536 2.397188 -4.950757 0.269561
34 752.5110198151 0.396483 1.768549 -1.541158 -0.406399 -0.450415
35 812.1412602503 4.029968 -1.953825 0.785793 3.716598 -0.972114
36 -6305.8104495072 1.343540 -1.136361 1.386463 1.446886 2.677890
37 3457.6059833181 -4.604572 -4.607306 3.782050 -1.603843 -2.625010
38 1885.5318637725 1.703241 -0.797386 -2.408968 3.111833 -1.600338
39 -8066.4534002585 -1.871512 0.085772 4.552485 -1.087127 0.616838
40 -5904.4819354205 -3.840302 3.931202 0.956340 2.401860 3.188891
41 -5991.4125293846 1.052699 1.598088 1.161154 -3.474141 4.250383
42 4645.9317012726 4.520689 1.095661 -4.171801 -3.571012 -3.583131
43 4169.9679607519 0.014248 0.305673 -2.513992 3.571805 -3.525949
44 2907.9233108461 0.989931 -4.764673 4.999265 1.718676 -2.456639
45 -6197.7752923826 3.742447 -2.728670 3.820667 3.151959 1.797207
46 1239.8882666599 -4.388275 -1.689601 3.190031 -2.398721 -0.733567
47 -6011.7038913480 4.943195 -2.292941 -4.718865 -0.666403 4.915827
48 -8707.1534444446 -1.262102 -1.047269 1.935922 1.133219 0.454672
49 372.1716509638 1.622273 1.822672 -4.402529 0.954149 0.198550
50 6096.1201373219 -3.073569 1.408097 -1.411622 -4.036517 -4.828770
51 -7966.1767314061 -1.741722 -4.899872 -1.159885 -3.016783 4.449597
52 -5398.2349056653 4.367884 0.973059 -2.641462 -4.600472 4.077319
53 -6543.3556356054 -2.889536 3.372229 -0.850580 -0.019252 2.210251
54 -6955.1439396920 -2.401552 -3.381999 -2.157369 4.882247 4.853143
55 -7953.7798030310 0.541069 -2.481583 4.030891 -2.731340 0.898232
56 1663.4697867436 2.576988 2.769020 3.613455 2.471133 -1.808059
57 -6907.8474748602 -3.762351 -2.815656 4.183179 1.892563 3.438876
58 -8212.6096252455 -3.420635 -4.100851 4.434335 -0.914469 2.036924
59 2878.3596398784 -0.257081 -0.922302 -3.432852 4.454534 -2.242678
60 -5990.9730274931 -3.969209 4.472732 0.486648 0.815352 3.092157
61 922.5496643368 -4.812623 0.782335 3.311796 -1.840265 -0.610517
62 629.6604713929 -2.624696 -4.582323 4.714383 3.310386 -0.307347
63 490.7900963832 -0.938091 -0.134361 0.658747 -1.241340 -0.153876
64 -7044.1938179812 0.209095 2.367667 -4.287434 0.495235 1.030197
65 5201.5095307522 0.110924 2.173873 1.052522 1.161795 -4.575684
66 4611.7214820616 -0.488742 -3.489506 3.466334 -4.800905 -3.395035
67 -6432.9833819397 2.995393 4.401778 -1.007015 0.201597 0.573765
68 6081.0121873499 2.206524 -2.089350 3.048352 -4.599434 -4.705827
69 3824.3677812251 3.031016 4.604974 -0.399907 -3.750131 -3.244701
70 -6909.8505597097 2.743405 -0.034370 0.160207 -3.814462 1.266253
71 -5565.8286908377 1.894341 3.622628 2.649786 4.268732 2.081119
72 -5343.0505534968 3.641767 2.537126 -3.967329 -2.819076 2.520013
73 -6902.6927653881 -3.247956 -0.418987 -2.035055 1.611619 4.575504
74 -5445.0149437007 4.282081 2.905893 -1.348734 4.071098 3.595978
75 3565.3563167394 1.154899 1.273585 -3.727601 1.393915 -2.972964
76 1847.8863682731 4.984766 -0.184631 -4.854391 -3.568034 -0.788332
77 -8067.7038586452 3.423132 -3.842391 2.589241 -1.569423 0.547285
78 -6045.1734551114 -2.787397 3.733904 -4.492112 -2.280285 3.812533
79 -6504.9853528776 0.710030 -1.572875 1.022207 -0.584841 4.272607
80 3638.6181834590 -4.296695 -1.137260 1.651268 -4.269944 -2.760054
81 4404.5747823204 -0.275462 2.302849 0.444915 0.387277 -3.910696
82 6029.8922586837 3.517844 -0.861240 -0.102494 -3.382845 -4.883935
83 3177.8753811677 -4.843263 4.996596 2.007357 -0.309994 -2.882901
84 -5904.5277234951 -3.062962 3.953541 -3.598979 0.488969 3.395916
85 3033.7751386716 -1.637448 -0.955139 0.387972 -3.345985 -2.304469
86 586.2223256583 -1.066732 0.614712 2.667605 4.425643 -0.574531
87 1094.2944517351 1.099206 -4.550724 -3.310354 -4.688871 0.501669
88 -7368.4744117950 -2.830018 -0.262248 1.935005 -1.004741 2.186745
89 -6919.2005170051 1.316610 -1.949050 4.477992 0.484558 1.332767
90 2405.2857773685 2.402283 -3.157238 -0.715032 -4.567472 -1.396888
91 1226.1522449341 1.659904 -3.029955 -0.171702 -1.965417 -0.670110
92 6125.2698675411 -4.769923 4.081471 -3.186684 -0.636320 -4.976420
93 205.3052312970 -3.767129 -1.845401 3.614649 -4.102332 0.545647
94 3123.1466834086 0.670348 -1.527281 -4.404363 -1.049526 -2.176675
95 6525.0776140591 -2.962268 -0.496767 -4.904602 0.645257 -4.987700
96 4969.7610882857 1.053052 3.209765 2.308014 -2.077550 -4.309347
97 -9371.8870664223 -4.769923 -3.622316 -1.561646 -3.959364 2.919524
98 -6418.6268498219 -0.372786 -1.798842 -4.566446 3.533149 3.194402
99 417.3263989442 2.617384 2.178994 -0.566881 -1.727287 -0.168205
100 -6052.8829940758 -3.168058 4.062124 2.673763 -4.296592 4.265043
101 -6519.8732701448 -4.636871 3.536436 -2.681300 -1.901022 3.598548
102 -7692.2825881629 3.926173 -3.739893 -2.860636 -0.830518 1.200086
103 3226.0544594806 1.466117 -3.325527 -0.746443 -3.174271 -2.343982
104 -10327.2035267617 -3.529102 -3.792832 -1.504897 2.323050 0.748157
105 2196.2745981797 -1.328944 -3.443171 -0.234266 0.989743 -1.700470
106 1110.9254597059 2.635818 3.214277 4.753888 -1.609833 -1.019749
107 -6010.1055426362 4.166047 4.248472 0.122557 -3.262440 0.815573
108 3984.7930728562 2.026984 -3.991610 2.397188 1.971138 -3.483818
109 765.6063594484 -2.866921 -4.156033 -2.815121 -0.406399 0.243558
110 -5945.8514161287 3.594018 3.368173 3.549856 0.610576 1.104969
111 146.4242701565 1.343540 -1.136361 -2.479250 -4.115355 1.025546
112 -6431.0104947247 2.433677 1.319967 -3.598128 -0.674266 1.538151
113 2003.4573666759 -4.269399 -0.797386 -0.824163 -4.597472 -1.062118
114 2640.6166573602 -2.982297 -1.315895 -2.254010 -4.417057 -1.532692
115 5020.6316235594 -0.519055 3.931202 -3.721121 -4.001158 -3.905387
116 1373.6559944037 -1.370806 -2.270346 -2.270679 -2.260635 -0.501685
117 580.8480158312 -0.154412 1.095661 -1.562287 -0.988356 -0.159890
118 -6491.0249529939 0.014248 0.305673 3.573418 0.712936 4.861293
119 3213.3915225218 -4.190344 0.803656 4.999265 -4.533912 -2.456639
120 -8547.4181900400 -3.240686 -2.728670 2.741732 2.452636 1.161959
121 -6753.5935714122 -4.940720 3.325824 -3.296984 -2.398721 3.343374
122 -6841.9775245695 3.889293 -4.950109 -4.809488 -0.666403 2.629006
123 4191.2035661016 2.750674 -4.120428 1.846320 1.133219 -3.639891
124 3771.0143699095 -1.676946 -1.161975 -4.402529 4.220423 -2.800784
125 -5445.2571958567 3.591220 2.144343 -1.411622 -3.020797 2.931238
126 -6074.0909660379 -1.741722 3.670212 1.799867 -3.016783 4.345148
127 -5930.0081826515 4.367884 0.402741 0.501746 3.111016 4.120189
128 -6844.0225976043 2.396856 -2.053941 -0.850580 -4.053425 2.210251
129 -6243.1505343781 -0.928996 1.616007 -3.511507 1.864499 4.853143
130 -8836.7345534444 -4.568024 1.344575 2.100371 -3.282810 0.898232
131 -5886.4086431421 1.182870 3.814991 -3.356953 2.471133 1.454924
132 1205.8946924110 -2.496594 -2.815656 1.823922 -1.288100 -0.724617
133 -7067.0324267372 -3.420635 1.504295 4.913313 4.482954 0.784383
134 -6936.4412304757 -1.275775 -3.622230 3.304524 1.410630 2.958157
135 -5875.8312221460 4.354622 4.472732 1.167695 -2.623808 0.879794
136 950.6856109817 -0.214399 -2.426774 -1.024619 -2.237505 -0.244276
137 2692.3245403749 -0.556311 1.190872 -0.022560 2.941516 -2.455711
138 -7296.9650864599 -3.029568 3.349816 -0.893150 -4.449112 1.708302
139 -5616.6238211477 4.757869 -1.007699 -3.837894 3.606952 4.213400
140 -6217.5927319719 2.000719 -2.178172 2.158465 -1.447054 3.643273
141 464.0384582123 -0.488742 -4.292993 1.775775 -4.247309 0.525974
142 -5746.3340930660 -3.994169 4.401778 -3.125871 3.332393 4.485394
143 -9431.5640639248 -4.547643 -3.126323 3.048352 3.169618 0.715131
144 3910.8235114946 -4.662087 4.604974 -0.399907 -3.750131 -3.244701
145 -8589.1497919891 -2.898575 -0.034370 -0.007498 -2.311778 1.266253
146 -7478.1973198320 -3.346171 -0.193638 -2.491827 4.268732 1.670216
147 -6508.0705992150 -1.567368 2.537126 -3.967329 -2.093003 2.520013
148 -6548.2928753535 -0.217765 -0.656114 -0.011113 1.611619 4.575504
149 -5827.2938905688 4.758212 -2.615768 -4.441033 -1.775558 3.595978
150 -6208.5067164374 2.026134 1.273585 -2.859756 0.650118 4.946968
151 -7798.4262842335 0.034507 -0.657736 0.992716 -4.341730 1.290907
152 -8982.8411491540 -2.549011 -3.842391 2.798179 4.874873 0.547285
153 3365.3135739283 -1.198010 -0.122707 -2.694217 -0.860842 -2.634247
154 -6451.0193036634 2.800622 -2.970666 1.022207 2.258151 2.347264
155 -6046.2330954898 -4.296695 4.347739 0.524854 4.377246 1.924842
156 -5849.9597105882 2.512848 2.302849 2.983279 -0.061145 1.863454
157 -9304.2076548431 -4.736050 -1.100128 -0.102494 -0.809212 1.347890
158 -5558.3392557110 -0.068958 4.996596 -3.933267 -0.234543 4.500977
159 -7610.4194543473 1.449717 1.904894 2.529335 0.878694 0.096295
160 2003.4091287587 0.104783 -3.237764 0.387972 -1.970954 -1.398469
161 -7853.4237498028 -1.066732 -1.907325 -4.212837 0.540274 1.986523
162 -7534.7478317953 -3.552722 -0.993766 -4.498246 -2.114113 3.989679
163 -7286.4623582306 -0.650788 -2.311554 -4.281643 -3.315006 3.589738
164 -6345.2963186445 1.546686 -1.949050 4.477992 0.484558 4.701291
165 -7929.5322046729 -1.563486 -3.157238 2.319372 -0.140736 1.864911
166 -6841.2074262731 -2.916566 1.147962 -1.186758 -0.193077 2.866550
