evaluations raw_y x0 x1 x2 x3 x4
1 -7457.0956696726 0.484088 0.588172 0.637634 2.865565 0.674572
2 6173.1961707054 7.718196 -1.154767 6.765249 15.887401 -4.529415
3 -6460.9410135064 -3.277234 -7.358217 9.199443 0.525626 4.940628
4 18044.4766954493 -11.957114 -8.495181 3.672203 -10.046354 -11.679946
5 -10813.9835641392 -5.222022 -5.806793 17.921561 2.300232 9.912543
6 7995.7085245787 -7.294796 -30.577712 37.074842 -5.358683 7.669886
7 -24739.6155023575 0.204185 -9.529255 21.760130 11.034935 13.771728
8 -35888.3297278154 17.285190 -4.108404 27.897199 9.278323 13.211755
9 -20612.8819740762 36.525852 -14.153058 36.696126 13.977699 9.075540
10 -17554.2900000989 6.074243 -15.192360 31.443579 4.374461 13.545954
11 -37463.8479357247 24.921684 -4.808871 24.587493 1.746044 13.294833
12 -27950.0917020185 9.944173 -28.344003 8.261537 -0.410700 15.757545
13 -43908.6674418833 12.531464 11.945489 25.663296 18.095000 11.793242
14 2517.6575890109 -9.854489 26.382070 31.259168 17.673230 13.202659
15 2918.0261283672 13.031938 3.890414 18.802251 24.057649 33.542358
16 13217.8712583371 1.972440 0.120172 48.907847 11.363143 8.342659
17 4120.4434057030 -1.381348 -14.308503 38.390249 23.855441 26.172361
18 2313.0264902713 -6.011068 -0.731782 33.566961 15.210668 27.577354
19 -20058.7041916839 4.682991 3.389948 7.094496 12.626880 10.229946
20 30682.0568993957 -3.173470 6.377655 13.446799 19.923424 -15.216199
21 -31156.2824240264 23.555470 3.740039 22.561449 9.602174 9.536080
22 12522.3870333883 18.804836 -14.485078 35.594976 -5.323357 33.626110
23 54608.2190151048 -11.536711 23.198105 -43.052627 44.537318 30.743216
24 42455.0403781271 12.186378 31.176900 34.518871 39.684143 -9.105299
25 6877.4821574867 44.043088 -19.699385 27.890203 38.710715 -1.982072
26 9406.5327179432 20.461903 8.652622 24.034659 44.027454 34.555635
27 1684.9714800369 12.899815 5.442538 3.912632 24.606612 31.350688
28 10374.2856986850 16.084975 21.393112 21.796723 24.060571 -2.358257
29 16215.1154107187 -16.382499 38.235922 51.819593 9.864765 20.675578
30 14043.3915218896 0.673898 25.661016 44.040177 -5.196286 29.063329
31 4515.6658764963 -2.976244 -14.234908 -9.685823 15.635401 26.960563
32 25210.2922781126 17.859090 20.980453 50.893358 23.885737 2.846205
33 7391.8666313459 25.623798 -1.568206 -5.824564 -14.938227 25.521988
34 -130985.7437066521 9.802311 21.828651 1.334716 26.243741 23.351980
35 5881.0350374085 -20.094422 6.388832 14.178507 33.979580 9.388568
36 13888.8556305400 -2.459642 32.323970 -10.505171 40.999201 8.774678
37 15194.0329946790 -5.744684 20.707966 5.867402 43.543788 30.188222
38 18009.4268643727 -0.077729 23.174098 -5.117108 10.267441 -11.667730
39 13050.8005284877 25.568165 37.429542 30.305228 -0.866357 33.324111
40 -62977.1582068634 24.961347 13.444860 5.523188 24.882795 13.312864
41 51326.3468250738 4.077181 41.456608 -2.378631 41.676378 49.131249
42 -43068.3298375085 13.988690 -0.224682 -3.614451 20.180948 15.194781
43 2628.1649033378 16.369210 50.759045 -2.186083 20.811318 6.035498
44 2226.9131700109 9.953978 36.220789 4.874432 30.598891 22.705775
45 9042.6731289683 7.085774 27.836988 -1.664736 37.663365 27.768976
46 -50548.5652066623 15.166858 16.658145 -6.932419 23.704210 14.407661
47 -73714.7362577641 17.563328 19.373688 1.112516 16.083849 16.307760
48 -62105.3244681472 3.078235 31.832384 0.443016 23.077359 15.353505
49 8961.5809381349 13.767281 24.784211 -10.349491 38.206245 26.715540
50 -202066.9434726693 23.639239 18.555154 7.133209 29.093947 27.177868
51 -128588.1786303504 20.461696 23.937359 1.553979 31.663501 20.750534
52 -122211.4948769367 18.305790 21.150023 20.362982 21.919259 19.656522
53 499.3090851921 21.107330 17.951995 7.947057 38.340554 26.951568
54 -244001.3620160616 24.772639 27.099937 12.628172 22.875132 28.819091
55 -242855.4882874425 31.651944 18.261513 2.330993 26.031991 29.732790
56 4531.5806026298 22.942337 25.795684 10.678171 16.144477 33.985028
57 2765.9256574760 18.821642 16.927121 9.951651 25.186154 32.880337
58 -212686.2731911709 34.192574 34.686775 14.208303 16.079215 23.938950
59 -181715.5326760596 22.008640 29.714189 23.039609 21.069701 23.178842
60 -90373.3713164009 23.742940 22.184999 5.206242 26.101708 15.877144
61 -234806.9307225787 26.024408 37.011536 5.281697 15.263086 27.685375
62 -210884.3571357912 16.825854 19.778284 10.429856 22.497173 28.835147
63 4407.4114544618 20.795871 29.780061 11.709359 25.597594 32.429452
64 1689.9618037709 29.418694 26.876664 17.381012 26.893877 32.004661
