evaluations raw_y x0 x1 x2 x3 x4
1 -6610.5395507812 -0.611676 -0.065449 3.503843 4.996553 2.290795
2 3916.3894042969 1.054082 -3.919692 -3.655156 2.161153 -2.267418
3 3515.9133300781 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
4 -9102.2460937500 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
5 -6491.9033203125 3.644968 2.627505 2.332067 -2.606695 1.414534
6 -6380.8076171875 1.819174 -0.846976 -3.703254 1.112385 3.283452
7 -7603.9941406250 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 1411.5135498047 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
9 1456.8786621094 3.678345 1.779529 -0.285570 0.857664 -1.475784
10 -5504.7583007812 4.049697 -1.458714 3.594827 -1.333719 3.936445
11 -6331.8237304688 -3.420748 2.294169 4.923463 1.571053 3.231936
12 4195.3222656250 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
13 4807.7626953125 3.686591 1.507612 -4.994789 -4.128363 -3.334358
14 1832.8002929688 4.786593 3.860523 -0.834856 -3.860440 -1.208003
15 2625.0405273438 1.955925 -4.636282 3.905097 -3.138640 -1.274542
16 -10909.0810546875 -5.000000 -5.000000 -5.000000 -5.000000 1.446250
17 -8712.0800781250 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
18 -5485.6699218750 -5.000000 5.000000 5.000000 5.000000 5.000000
19 -9975.4697265625 -5.000000 -5.000000 5.000000 -5.000000 1.364447
20 -10168.3222656250 -5.000000 -5.000000 -5.000000 5.000000 1.476962
21 -8716.0292968750 -5.000000 -5.000000 -5.000000 -5.000000 4.146962
22 -6493.7578125000 5.000000 -5.000000 -5.000000 -5.000000 5.000000
23 -8187.7314453125 -5.000000 5.000000 -5.000000 -5.000000 1.544321
24 324.5437622070 -5.000000 -5.000000 -5.000000 -5.000000 1.237591
25 -8699.8457031250 -5.000000 -5.000000 5.000000 -5.000000 2.569570
26 -8836.2070312500 -5.000000 -5.000000 -5.000000 5.000000 2.882354
27 -5752.7119140625 5.000000 5.000000 -5.000000 -5.000000 2.543864
28 -6743.3300781250 -5.000000 5.000000 5.000000 5.000000 1.901083
29 -8699.8457031250 -5.000000 -5.000000 5.000000 -5.000000 2.684001
30 -7211.7001953125 -5.000000 5.000000 -5.000000 -5.000000 2.925888
31 4939.3935546875 -5.000000 -5.000000 5.000000 5.000000 -5.000000
32 -6785.0434570312 5.000000 -5.000000 5.000000 -5.000000 2.363512
33 -8712.0800781250 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
34 -8051.5576171875 -5.000000 -5.000000 5.000000 -5.000000 5.000000
35 -7991.8798828125 -5.000000 -5.000000 2.099651 5.000000 3.018633
36 -8294.0585937500 -5.000000 -5.000000 -5.000000 5.000000 5.000000
37 -8836.2070312500 -5.000000 -5.000000 -5.000000 5.000000 2.794481
38 -7507.8193359375 -5.000000 -5.000000 5.000000 5.000000 5.000000
39 -9517.3564453125 -5.000000 -5.000000 -5.000000 -5.000000 2.848119
40 -9893.0292968750 -4.597436 -5.000000 5.000000 -5.000000 1.525155
41 -9570.8564453125 -5.000000 -5.000000 -5.000000 -5.000000 2.549167
42 -9011.6074218750 -5.000000 -5.000000 -5.000000 5.000000 2.298023
43 -7482.3754882812 5.000000 -5.000000 -5.000000 5.000000 1.877287
44 -8610.1982421875 -5.000000 -5.000000 5.000000 5.000000 2.000995
45 -9713.8593750000 -5.000000 -5.000000 -5.000000 -5.000000 2.475066
46 -6271.1230468750 -5.000000 5.000000 -5.000000 -5.000000 5.000000
47 -6160.5761718750 5.000000 -5.000000 -5.000000 5.000000 5.000000
48 -7280.2260742188 5.000000 -5.000000 5.000000 -5.000000 1.686768
49 -8881.6835937500 -5.000000 -5.000000 5.000000 -5.000000 2.277081
50 -7494.9028320312 -5.000000 5.000000 5.000000 -5.000000 1.795213
51 -8051.5576171875 -5.000000 -5.000000 5.000000 -5.000000 5.000000
52 -9456.2382812500 -5.000000 -5.000000 -5.000000 5.000000 2.262588
53 -8294.0585937500 -5.000000 -5.000000 -5.000000 5.000000 5.000000
54 -7218.1669921875 -5.000000 5.000000 -5.000000 5.000000 1.988885
55 -9713.8593750000 -5.000000 -5.000000 -5.000000 -5.000000 2.447861
56 -6077.3193359375 5.000000 -5.000000 5.000000 -5.000000 5.000000
57 -8169.3076171875 -5.000000 -5.000000 5.000000 -5.000000 3.692260
58 -8831.1611328125 -5.000000 -5.000000 -5.000000 -5.000000 3.749446
59 -10867.8183593750 -5.000000 -5.000000 -4.189898 -5.000000 1.598037
60 -8786.9853515625 -5.000000 -5.000000 -5.000000 -5.000000 3.785336
61 -9495.9160156250 -5.000000 -5.000000 -5.000000 5.000000 2.175293
62 -7576.0307617188 5.000000 -5.000000 5.000000 -5.000000 1.408868
63 -7709.0991210938 5.000000 -5.000000 -5.000000 0.974637 1.935584
64 -7180.2954101562 4.588817 -0.773911 5.000000 -4.586860 0.960015
65 -8703.2978515625 -0.596454 -3.675652 2.384867 2.746159 0.821178
66 -9518.1347656250 -3.985788 -5.000000 -5.000000 -5.000000 2.830125
67 -7339.9702148438 1.063016 5.000000 -5.000000 -5.000000 0.955423
68 -7959.6811523438 -2.298005 -4.986452 -3.537260 -2.449623 3.704313
69 -8365.5625000000 -3.479598 -4.320112 -5.000000 -4.414895 3.976863
70 -7747.8916015625 0.948568 -5.000000 5.000000 5.000000 1.123364
71 -8278.1103515625 -5.000000 -5.000000 2.201257 -5.000000 4.053154
72 -8204.2871093750 5.000000 -5.000000 -5.000000 -5.000000 1.431446
73 -9523.9580078125 -3.435211 -5.000000 -5.000000 -5.000000 2.359603
74 -9495.9160156250 -5.000000 -5.000000 -5.000000 5.000000 2.013610
75 -9399.0898437500 -5.000000 -5.000000 5.000000 -5.000000 1.915497
76 -10235.5224609375 -5.000000 -5.000000 -5.000000 -5.000000 2.139828
77 2960.0493164062 -0.739384 -4.274553 1.864386 -1.242330 -2.083306
78 -9495.9160156250 -5.000000 -5.000000 -5.000000 5.000000 1.984828
79 -9399.0898437500 -5.000000 -5.000000 5.000000 -5.000000 1.916179
80 -7511.3344726562 -5.000000 -5.000000 5.000000 5.000000 4.046853
81 -4823.3154296875 5.000000 5.000000 -5.000000 -5.000000 5.000000
82 -9495.9160156250 -5.000000 -5.000000 -5.000000 5.000000 1.986576
83 -10235.5224609375 -5.000000 -5.000000 -5.000000 -5.000000 2.149597
84 -10235.5224609375 -5.000000 -5.000000 -5.000000 -5.000000 2.148549
85 -9395.5927734375 -5.000000 -5.000000 -1.213203 -4.717510 2.891767
86 -10235.5224609375 -5.000000 -5.000000 -5.000000 -5.000000 2.141044
87 -9291.6826171875 -1.876458 -5.000000 -5.000000 -5.000000 2.028241
88 -9495.9160156250 -5.000000 -5.000000 -5.000000 5.000000 1.986490
89 -10235.5224609375 -5.000000 -5.000000 -5.000000 -5.000000 2.157661
90 -10235.5224609375 -5.000000 -5.000000 -5.000000 -5.000000 2.173230
91 -9492.4306640625 -5.000000 -5.000000 5.000000 -5.000000 1.890661
92 -5998.7744140625 5.000000 5.000000 5.000000 5.000000 0.996307
93 -8761.2246093750 -5.000000 -5.000000 5.000000 5.000000 1.759214
94 -8782.8066406250 -5.000000 -5.000000 -5.000000 -5.000000 4.245016
95 -8189.9492187500 -5.000000 5.000000 5.000000 -5.000000 1.228568
96 -9492.4306640625 -5.000000 -5.000000 5.000000 -5.000000 1.839039
97 -9492.4306640625 -5.000000 -5.000000 5.000000 -5.000000 1.775283
98 -10167.6953125000 -5.000000 -5.000000 -5.000000 -5.000000 2.235226
99 -8267.2080078125 -5.000000 -5.000000 -5.000000 5.000000 4.154359
100 -8788.6191406250 -5.000000 -5.000000 5.000000 5.000000 1.687739
101 -8568.5517578125 -2.086571 -5.000000 5.000000 -5.000000 1.866738
102 -9723.0644531250 -5.000000 -5.000000 -5.000000 -5.000000 2.269975
103 -7749.8999023438 -5.000000 5.000000 -5.000000 -5.000000 1.941623
104 -9495.9160156250 -5.000000 -5.000000 -5.000000 5.000000 2.003489
105 -8947.5009765625 -1.026913 -5.000000 -5.000000 -5.000000 2.168839
106 -9713.8593750000 -5.000000 -5.000000 -5.000000 -5.000000 2.418779
107 -8506.4921875000 -5.000000 5.000000 5.000000 -5.000000 0.848160
108 -10139.3251953125 -5.000000 -5.000000 -0.395599 -5.000000 1.982372
109 -10139.3251953125 -5.000000 -5.000000 -0.395607 -5.000000 1.990520
110 -10139.3251953125 -5.000000 -5.000000 -0.392323 -5.000000 1.989338
111 -10139.3251953125 -5.000000 -5.000000 -0.386195 -5.000000 1.990659
112 -10139.3251953125 -5.000000 -5.000000 -0.393224 -5.000000 1.991846
113 -9517.9501953125 -5.000000 -5.000000 0.048785 5.000000 1.872932
114 -10139.3251953125 -5.000000 -5.000000 -0.430371 -5.000000 2.002113
115 -10394.5947265625 -5.000000 -5.000000 5.000000 -5.000000 1.243435
116 -8294.0585937500 -5.000000 -5.000000 -5.000000 5.000000 5.000000
117 -10180.9794921875 -5.000000 -5.000000 -0.212342 -5.000000 1.928975
118 -10180.9794921875 -5.000000 -5.000000 -0.212299 -5.000000 1.928651
119 -9414.0000000000 -5.000000 -5.000000 0.297844 5.000000 1.785341
120 -8065.0839843750 -5.000000 5.000000 5.000000 5.000000 0.595083
121 -6519.8564453125 -5.000000 5.000000 -5.000000 -5.000000 4.001115
122 -9414.0000000000 -5.000000 -5.000000 0.366563 5.000000 1.762851
123 -8670.7656250000 -5.000000 -5.000000 -0.064027 -5.000000 4.494297
124 -10139.3251953125 -5.000000 -5.000000 -0.378061 -5.000000 1.977720
125 -10139.3251953125 -5.000000 -5.000000 -0.380818 -5.000000 1.978935
126 -10139.3251953125 -5.000000 -5.000000 -0.387523 -5.000000 1.981015
127 -9699.2949218750 -5.000000 -2.047732 -0.113542 -5.000000 1.784120
128 -9169.4042968750 -5.000000 5.000000 5.000000 -5.000000 0.506196
129 -9492.5136718750 -5.000000 -1.736990 0.177620 -5.000000 1.704611
130 -9169.4042968750 -5.000000 5.000000 5.000000 -5.000000 0.363343
131 -8634.8876953125 -5.000000 -5.000000 -0.504133 -5.000000 5.000000
132 -10139.3251953125 -5.000000 -5.000000 -0.826257 -5.000000 2.171617
133 -9862.4189453125 -5.000000 -5.000000 5.000000 5.000000 1.027790
134 -10754.6806640625 -5.000000 -5.000000 5.000000 -5.000000 1.082422
135 -9980.4345703125 -5.000000 -5.000000 5.000000 5.000000 0.986187
136 -10754.6806640625 -5.000000 -5.000000 5.000000 -5.000000 1.060419
137 -10754.6806640625 -5.000000 -5.000000 5.000000 -5.000000 1.048807
138 -10754.6806640625 -5.000000 -5.000000 5.000000 -5.000000 1.039201
139 90.1943206787 -5.000000 -3.674973 5.000000 -5.000000 0.804935
140 -10877.2402343750 -4.591895 -4.968562 -5.000000 -3.314647 1.516095
141 -9690.5644531250 -3.022027 -2.106978 -0.648415 -4.528356 1.520404
142 4865.4091796875 -3.731808 -4.339978 -3.472057 1.028692 -4.104488
143 -8261.6767578125 -5.000000 -0.822962 -2.332211 -1.315879 2.799264
144 -7231.8256835938 5.000000 -5.000000 -5.000000 -5.000000 2.808907
145 -9122.9003906250 -5.000000 -5.000000 1.092001 5.000000 1.734555
146 -7414.0117187500 -5.000000 5.000000 5.000000 5.000000 1.129481
147 -9286.7021484375 -5.000000 -5.000000 5.000000 5.000000 1.573762
148 -10780.4501953125 -5.000000 -4.695878 5.000000 -5.000000 1.090775
149 -5979.4213867188 -5.000000 5.000000 5.000000 -5.000000 5.000000
150 -10275.2070312500 -5.000000 -5.000000 0.062158 -5.000000 1.787612
