evaluations raw_y x0 x1 x2 x3 x4
1 1873.9746093750 2.829377 2.958589 3.709534 -1.053539 -1.112295
2 -6112.0048828125 -3.777127 1.609884 22.689607 -1.363589 12.407532
3 -8608.8759765625 -19.150170 -14.312290 23.321146 -9.517006 18.516148
4 -8608.8759765625 -18.084759 -5.589038 15.090510 -4.687322 18.375314
5 -8608.8759765625 -31.391986 -13.154146 22.206912 -14.354869 24.186355
6 -8608.8759765625 -24.618006 -13.075763 23.589089 -21.443202 19.443779
7 -8520.3535156250 -4.687786 -11.519747 21.312205 -22.919270 19.925374
8 -8609.2216796875 -37.113053 -13.104245 24.237049 -0.336762 10.090285
9 5251.0800781250 -38.941014 -28.747967 37.034796 -29.294802 -8.855422
10 -8291.0820312500 -33.853883 -11.463562 16.695287 23.210081 21.228146
11 -8291.0820312500 -64.512979 -11.423778 27.084833 11.352852 33.949007
12 -5782.0156250000 -34.389254 3.693668 56.639438 20.103163 11.501023
13 1823.4062500000 -22.912585 -29.812849 22.369756 10.927253 -1.877491
14 5065.4907226562 -57.212020 -16.504259 35.557805 9.211165 -19.395412
15 872.0169067383 -38.503693 3.471476 4.597142 -21.563928 -0.249382
16 -9234.6406250000 -42.324586 -6.148542 25.081126 -2.466445 3.376481
17 5099.7617187500 -57.784712 -35.243757 21.998261 0.146696 -27.709967
18 5196.7729492188 -39.651958 10.929643 8.569056 19.406576 -11.288712
19 5130.1572265625 -39.478743 -10.000188 18.372090 -2.069026 -10.960893
20 -8608.8759765625 -53.957575 -57.939347 8.146988 -4.863319 10.686661
21 5065.4907226562 -39.145035 -9.262368 48.099112 6.231261 -14.998978
22 5065.4907226562 -49.996305 -10.491028 6.123710 14.860328 -22.359511
23 3117.5917968750 -66.877730 0.153667 14.589674 -14.607645 -2.210408
24 -8608.8759765625 -19.090651 -13.995987 47.013611 -19.444840 16.982570
25 -8291.0820312500 -58.354427 -44.719679 39.279148 5.066533 4.591048
26 4982.5537109375 -4.388483 -29.144467 -3.049900 39.818188 -17.735398
27 5251.0800781250 -51.989999 -5.458163 17.315252 -6.602413 -15.756264
28 -5984.3041992188 -32.569044 21.950684 26.288851 -33.165426 34.877581
29 -8291.0820312500 -44.600704 -9.763781 6.259385 9.410291 25.927026
30 -8291.0820312500 -58.467181 -9.108372 40.921084 8.780103 12.062342
31 -10520.9970703125 -44.314838 -2.774668 12.329703 -7.804313 1.393405
32 -8608.8759765625 -51.200484 -7.269057 30.396559 -16.318544 21.150271
33 5240.5180664062 -20.747237 11.610831 16.767823 2.880724 -22.773528
34 -8608.8759765625 -39.952486 -14.379713 10.443545 -22.326710 21.895164
35 -5984.3041992188 -65.326602 7.850306 25.266019 -6.150143 8.318295
36 -8730.3847656250 -46.235696 -10.774729 -17.771546 -10.216876 17.227322
37 -8622.2636718750 -28.240642 -10.062279 13.961869 -1.195911 15.944295
38 -5984.3041992188 -44.838148 22.579019 7.807636 -11.049551 9.361217
39 -5984.3041992188 -36.947941 26.086771 13.563226 -11.515085 29.572429
40 5065.4907226562 -34.797792 -15.062500 18.362595 4.302415 -27.217334
41 5241.3071289062 -61.245874 1.436674 7.738174 -0.525553 -15.183825
42 -6277.2421875000 -46.108344 0.096442 7.915231 -13.400486 17.689399
43 -9224.0986328125 -35.639432 -12.362419 15.032851 -15.818994 2.945000
44 4312.7973632812 -55.228058 -13.890571 12.356788 -8.872970 -3.132051
45 -5984.3041992188 -39.455155 10.761224 7.811440 -11.891614 10.091859
46 -9225.7832031250 -50.887679 5.409155 22.522617 -11.778370 1.594626
47 -9513.8867187500 -35.902784 0.581969 7.898362 -1.524222 1.467917
48 4639.9238281250 -41.239328 4.879162 19.883590 -3.957709 -4.109394
49 -8608.8759765625 -43.912735 -6.319341 8.951733 -4.134512 9.910177
50 -8608.8759765625 -45.254029 -9.484768 15.004026 -10.713371 13.931513
51 -9240.6572265625 -55.919294 -7.055749 9.914253 -1.161295 3.555320
52 -9259.9951171875 -43.581304 3.445597 4.850958 -4.842179 1.366263
53 -7202.7827148438 -41.866658 -2.324512 9.216474 -4.820754 5.635705
54 2245.2553710938 -40.553464 -5.103032 6.728951 -6.413890 -1.966763
55 -9518.7636718750 -38.526965 -5.693621 23.155673 -8.317674 2.192813
56 4671.6215820312 -52.299318 1.704902 13.214707 -9.270343 -4.097341
57 -7066.7670898438 -46.595820 -0.224572 16.908908 -1.489966 3.429949
58 -6127.2514648438 -42.461128 1.755376 12.640475 -3.939823 8.893492
59 -6110.2099609375 -44.843976 2.654776 16.043655 -7.030183 9.331937
60 -8619.4179687500 -41.303806 -5.886535 7.029023 -2.217317 4.653896
61 -7299.7768554688 -40.522345 -2.634292 7.099665 -8.381891 6.245648
62 -8608.8759765625 -44.313790 -5.676848 9.089665 -3.219876 5.600337
63 -8391.0322265625 -47.333161 -3.795303 16.906258 -12.803307 4.068766
64 1024.8405761719 -44.401405 -3.946472 11.368712 -6.408557 0.115799
65 -10095.3457031250 -44.708922 -2.685162 15.968335 -9.594342 1.713377
66 1294.6411132812 -49.529070 -5.461024 19.626345 -5.812962 -0.327612
67 -7202.7827148438 -42.233208 -2.128342 12.198572 -8.631797 8.499522
68 -10862.0068359375 -51.149290 -4.980049 18.340010 -8.526982 1.697150
69 -8608.8759765625 -54.237815 -4.148932 23.818786 -11.253018 9.091676
70 1031.7047119141 -49.585823 -4.271767 15.940558 -8.027801 0.029284
71 -10891.0839843750 -50.138742 -4.922327 13.542004 -9.274385 1.914319
72 -8716.2353515625 -54.357741 -4.813468 13.700418 -10.558676 4.273482
73 -8899.6562500000 -50.209030 -3.976190 12.398799 -11.605975 3.336475
74 -9224.0986328125 -50.841696 -5.026327 15.001261 -11.479653 3.214047
75 1299.0539550781 -50.563129 -3.069380 12.556114 -10.193779 -0.139544
76 2117.3034667969 -47.191054 -2.913885 11.487501 -9.171920 -1.608377
