evaluations raw_y x0 x1 x2 x3 x4
1 429.7370910645 -0.248928 -0.248928 -0.248928 0.248928 -0.248928
2 -8000.5776367188 0.601231 0.601231 0.601231 -0.601231 0.601231
3 -4485.9296875000 4.877833 4.877833 4.877833 -4.877833 4.877833
4 5102.0761718750 -4.605106 -4.605106 -4.605106 4.605106 -4.605106
5 4035.2172851562 -2.540968 -2.540968 -2.540968 2.540968 -2.540968
6 -5653.4204101562 2.820915 2.820915 2.820915 -2.820915 2.820915
7 -6163.4101562500 2.326088 2.326088 2.326088 -2.326088 2.326088
8 3335.7138671875 -1.981064 -1.981064 -1.981064 1.981064 -1.981064
9 2930.7158203125 -1.701131 -1.701131 -1.701131 1.701131 -1.701131
10 -7095.7124023438 1.356181 1.356181 1.356181 -1.356181 1.356181
11 -5456.1708984375 3.166006 3.166006 3.166006 -3.166006 3.166006
12 4543.4824218750 -3.446027 -3.446027 -3.446027 3.446027 -3.446027
13 4929.2978515625 -4.252870 -4.252870 -4.252870 4.252870 -4.252870
14 -4879.7651367188 3.980218 3.980218 3.980218 -3.980218 3.980218
15 -7803.8237304688 0.873970 0.873970 0.873970 -0.873970 0.873970
16 -7795.9291992188 0.863663 0.863663 0.863663 -0.863663 0.863663
17 -8000.5776367188 0.663333 0.663333 0.663333 -0.663333 0.663333
18 -8000.5776367188 0.669711 0.669711 0.669711 -0.669711 0.669711
19 -8000.5776367188 0.678080 0.678080 0.678080 -0.678080 0.678080
20 -8000.5776367188 0.655200 0.655200 0.655200 -0.655200 0.655200
21 -8000.5776367188 0.651817 0.651817 0.651817 -0.651817 0.651817
22 -8000.5776367188 0.644691 0.644691 0.644691 -0.644691 0.644691
23 -8000.5776367188 0.647233 0.647233 0.647233 -0.647233 0.647233
24 1921.6010742188 -0.003200 -3.393799 -0.003200 3.393799 -1.490385
25 -9005.9306640625 -3.897514 -2.279957 -3.897514 2.279957 1.758534
26 -7869.1625976562 3.223553 -4.810323 3.223553 4.810323 1.012089
27 -9839.2441406250 -4.898306 -4.657986 -4.898306 4.657986 1.528378
28 -10394.6552734375 -4.996576 -4.383540 -4.996576 4.383540 1.181570
29 -10335.9140625000 -4.941807 -1.581955 -4.941807 1.581955 0.716986
30 -8721.1738281250 -4.996487 2.142975 -4.996487 -2.142975 1.351548
31 -10717.0742187500 -4.945996 -4.556346 -4.945996 4.556346 0.908843
32 1441.0270996094 -4.857582 -4.954615 -4.857582 4.954615 -0.098791
33 -10675.6914062500 -4.951136 -4.151447 -4.951136 4.151447 0.911983
34 -10752.7324218750 -4.999938 -4.931353 -4.999938 4.931353 0.909998
35 -10082.6962890625 -3.574322 -4.837165 -3.574322 4.837165 0.971225
36 -10677.1621093750 -4.774607 -4.683624 -4.774607 4.683624 0.871680
37 33.9744567871 -4.964372 -3.875512 -4.964372 3.875512 0.855757
38 -8348.0957031250 -0.761451 -4.998268 -0.761451 4.998268 1.844494
39 -6990.1704101562 4.957584 -4.667908 4.957584 4.667908 1.502639
40 -10475.7470703125 -4.846242 -4.969268 -4.846242 4.969268 1.125057
41 -10752.7324218750 -4.976550 -4.927346 -4.976550 4.927346 0.964962
42 -9150.5312500000 0.809731 -4.721625 0.809731 4.721625 0.593107
43 -10474.0488281250 -4.948496 -4.968256 -4.948496 4.968256 0.973470
44 -10550.2392578125 -3.859320 -4.995367 -3.859320 4.995367 0.797926
45 67.7310943604 -4.763797 -4.989944 -4.763797 4.989944 0.727117
46 -10316.2373046875 -3.517911 -4.765700 -3.517911 4.765700 0.860495
47 -10263.2744140625 -4.855586 -4.897208 -4.855586 4.897208 1.280066
48 -10418.0917968750 -4.757899 -4.718862 -4.757899 4.718862 1.143137
49 -10570.1152343750 -4.286811 -4.936519 -4.286811 4.936519 0.881706
50 -10477.3701171875 -4.988876 -4.995922 -4.988876 4.995922 1.057868
51 -10736.4404296875 -4.994645 -4.946522 -4.994645 4.946522 0.969560
52 -10492.0390625000 -4.905037 -4.902375 -4.905037 4.902375 1.058294
53 -10733.0517578125 -4.999920 -4.886926 -4.999920 4.886926 0.970481
54 -10733.0517578125 -4.996972 -4.873765 -4.996972 4.873765 0.895658
55 -10752.7324218750 -4.998301 -4.907940 -4.998301 4.907940 0.928665
56 -9922.8525390625 -4.581866 -3.990824 -4.318726 3.865740 1.710738
57 -8404.7333984375 -4.735333 2.029409 -4.884609 4.394518 0.823268
58 494.7608947754 -4.943982 -3.463667 -4.094123 -2.452388 0.887939
59 -8878.3544921875 -3.999227 -3.798891 -3.118595 3.800998 2.237517
60 3066.2238769531 3.248200 -4.914126 -3.979904 -0.321369 -1.589190
61 -9829.6806640625 -3.822614 -3.553221 -3.658212 4.806964 1.011883
62 -10733.0517578125 -4.978896 -4.767989 -4.493441 4.994094 0.886957
63 -7769.9990234375 -3.514561 2.629776 -3.888520 4.866934 1.198744
64 -9941.6074218750 -4.353003 -2.451036 -3.625187 4.378504 0.944500
65 -10362.4951171875 -4.660214 -4.383378 -4.792222 1.786460 1.533965
66 -10475.8740234375 -4.977232 -4.991437 2.542682 -1.068506 0.932214
67 -10883.0517578125 -4.873666 -4.982887 1.658043 -4.854363 1.111434
68 1066.8236083984 -4.784323 -4.900120 -4.166695 -4.962822 1.113384
69 -10261.7255859375 -4.789875 -4.746833 4.995696 -4.177460 0.985490
70 -10958.1484375000 -4.623645 -4.962164 1.805184 -4.874770 0.961414
71 -9597.0683593750 -1.120686 -4.685717 1.748089 -4.784062 1.010556
72 -10671.2333984375 -4.295176 -4.746804 1.799434 -4.736139 1.171562
73 -8369.2265625000 3.744394 -4.415512 1.543027 -4.974275 0.930694
74 -10995.3554687500 -4.469544 -4.661110 -0.921670 0.801846 1.109500
75 -10302.1718750000 -2.819944 -4.632585 -1.000012 0.900064 1.268724
76 -9111.8535156250 -0.035619 -4.509176 -0.861230 3.561780 0.911309
77 -10604.4316406250 -4.568717 -2.879605 -1.784582 0.897715 0.996125
78 -10456.9482421875 -4.710937 -4.803814 -1.174153 0.995634 1.512286
79 -7351.5507812500 0.268540 3.212357 -0.420544 1.023724 1.140067
80 -11006.5097656250 -4.407519 -4.726644 -1.005560 -0.515747 1.204504
81 -10990.7451171875 -4.512895 -4.661004 0.901076 -3.564398 1.143001
82 -8847.8525390625 1.349112 -4.734317 -0.847849 -1.080456 1.231793
83 -10039.6894531250 -4.568888 -1.360667 -1.992445 -0.595157 1.207501
84 -10483.2734375000 -4.556190 -4.748908 -0.946549 1.223675 1.393820
85 -10852.7998046875 -3.029579 -4.719916 -4.526019 -0.431631 1.197431
86 -11220.7070312500 -4.619705 -4.740515 -4.833437 -0.519569 1.209761
87 -8343.2041015625 4.452604 -4.915418 -4.823229 -0.553204 1.241315
88 -11181.1181640625 -4.585464 -4.615890 -4.961128 -0.493935 1.277669
89 -11182.9199218750 -4.562520 -4.800335 -3.845444 0.712760 1.116393
90 -10714.8154296875 -4.611104 -4.693498 -4.714689 1.030320 1.321307
91 -11097.6787109375 -3.987174 -4.694043 -4.782408 0.133773 1.165694
92 190.9370422363 -4.909386 -4.730540 -4.830222 -1.480166 1.170407
93 -11301.3232421875 -4.611167 -4.702446 -4.296012 -0.060386 1.169012
94 -10703.8408203125 -2.800431 -4.664166 -4.357055 -0.002713 1.139567
95 -10711.7236328125 -3.850465 -3.794617 -4.385664 -0.034955 1.177761
96 842.0242309570 -4.620954 -4.699480 -4.965536 -3.901905 1.182343
97 8.4926605225 -4.584338 -4.880779 -4.726490 -0.071725 1.119870
98 -11346.8310546875 -4.950917 -4.986129 -4.317339 -0.078814 1.147446
99 22.0149993896 -4.910454 -4.968440 -4.316084 -0.064892 1.105446
100 -11279.8242187500 -4.996069 -4.542536 -3.889177 -0.054305 1.162312
101 -11303.2978515625 -4.994215 -4.976831 -4.068641 -0.055614 1.169523
102 -11304.8867187500 -4.998253 -4.744200 -4.373938 -0.010715 1.189867
103 -11303.2978515625 -4.927812 -4.995415 -4.460202 -0.165812 1.172060
104 -11303.2978515625 -4.988676 -4.978484 -4.302535 -0.103389 1.166135
105 -11303.2978515625 -4.960428 -4.997843 -4.580976 0.022182 1.168122
106 -11303.2978515625 -4.952892 -4.998628 -4.806793 -0.061069 1.178309
107 -11279.6562500000 -4.947535 -4.548323 -4.244734 -0.061956 1.168681
108 -11303.2978515625 -4.966345 -4.999770 -4.294595 -0.052154 1.188983
109 611.8438720703 -4.922965 -3.041476 -4.872756 -0.708061 0.551648
110 189.6755218506 -4.546598 -4.464868 -3.155745 -1.062547 0.801655
111 -10126.3681640625 -4.038432 -0.220411 0.713446 0.163224 0.105155
112 -11301.8066406250 -4.921037 -4.958321 1.132933 3.600263 0.202198
113 -11452.3173828125 -4.369978 -4.202838 -2.026275 -1.294082 0.771780
