evaluations raw_y x0 x1 x2 x3 x4
1 2250.7446289062 3.467759 -3.623159 -4.492973 4.198193 -1.180618
2 3888.3903808594 -2.123415 3.762651 3.055262 -2.243031 -2.974288
3 2815.4389648438 3.822900 -1.130724 -4.081390 1.177042 -1.655562
4 916.3078613281 -1.347500 1.687697 -1.763863 0.173991 -0.376228
5 3310.2797851562 -0.985005 0.073256 1.832041 -1.575538 -1.927500
6 4049.4941406250 -3.846398 -1.872669 -2.009940 1.755909 -2.762556
7 -6416.7216796875 -2.917894 -3.053276 3.885406 4.712150 3.915970
8 -5536.8027343750 1.847185 0.702004 -2.945358 1.059256 4.655229
9 -8772.9082031250 -3.556269 -4.718797 -0.750317 -1.216425 3.132027
10 -9561.1718750000 -3.724564 -3.455203 2.713404 2.264585 0.907077
11 1933.6289062500 -0.805545 3.964466 3.246799 3.518635 -1.756247
12 -8093.7622070312 0.641489 0.271128 -4.893333 -4.942744 1.240077
13 4875.3554687500 -1.446271 -1.578079 -4.713836 -3.498485 -3.141144
14 -5890.0751953125 -2.378572 4.082817 -1.128008 2.549318 3.698887
15 -6926.7138671875 -0.411117 -2.830747 0.136679 1.590852 3.527318
16 3492.2812500000 4.883274 -2.220822 3.606384 -4.058054 -2.020010
17 4514.8803710938 1.667674 2.995320 -2.566712 2.832949 -3.782579
18 4253.0126953125 2.001935 -4.503060 4.022012 -0.007987 -3.416549
19 1378.9016113281 -3.940518 0.507064 0.794356 -1.445766 -0.995389
20 -7813.9599609375 -1.237982 -4.025869 0.683943 -2.592688 3.332251
21 -7589.2539062500 -0.003814 3.459144 3.389957 0.431727 0.477405
22 -9680.2421875000 -4.498662 -1.344698 0.533002 -0.422317 1.308636
23 -9064.2998046875 -4.688690 -2.454867 -3.246002 3.827502 1.826157
24 1105.6312255859 -3.459887 -3.273097 1.391039 4.839492 -0.842002
25 -6381.2114257812 3.586273 1.864420 -1.650777 -0.972579 2.112180
26 3236.2434082031 -4.949285 1.541437 -3.668302 2.137470 -1.485545
27 -7595.7797851562 4.607743 -4.391282 2.355132 -4.722028 1.521670
28 3613.2004394531 3.291376 -3.926765 -2.198877 -0.468441 -2.246108
29 -7085.5014648438 0.145147 -0.547737 1.639001 4.923358 2.010055
30 -9450.6015625000 -4.835583 -0.323693 -0.479187 -2.682274 1.619314
31 2030.8258056641 1.369461 -0.000609 3.412494 -3.179388 -1.009034
32 4443.2241210938 1.061522 1.201514 -3.349860 -2.114825 -3.016659
33 5062.5639648438 2.071031 1.318462 -3.023012 -3.690060 -4.241737
34 3881.2805175781 -1.891456 4.360909 4.517102 4.045719 -3.296768
35 173.2772827148 0.962437 -3.765443 -1.496554 -3.357705 0.679527
36 3722.0642089844 -2.247597 2.467720 -3.834635 3.093332 -2.183909
37 -9397.2080078125 -4.180506 -4.172069 -4.743667 -1.128612 2.928588
38 1182.6354980469 -4.216467 -1.251820 0.871094 -3.841983 -0.104938
39 -5283.3793945312 0.599282 2.316503 4.873882 -0.114088 4.157493
40 795.3575439453 4.787285 -4.880132 -0.122240 -1.965134 0.054071
41 -5522.2524414062 -0.194927 3.583637 2.856137 0.248324 3.628201
42 -7576.0283203125 -1.594073 -1.984076 -1.872081 2.722117 2.343754
43 5124.2324218750 -2.749352 -2.968591 -4.025784 -3.111212 -3.980252
44 -6972.6308593750 -2.009314 -0.861164 0.000582 -4.368823 3.965025
45 590.2755737305 2.741186 3.046308 2.295989 -4.310440 -0.235277
