evaluations raw_y x0 x1 x2 x3 x4
1 4643.2768554688 3.945118 4.204120 -0.966927 -4.126301 -4.177710
2 -6740.0166015625 2.262555 -3.793754 1.937700 -1.423729 2.600666
3 4.4555664062 -4.872154 -1.565026 -2.342341 -2.320819 0.568588
4 4963.8427734375 -1.454290 1.870186 0.008023 4.172434 -4.657961
5 1069.7890625000 0.243120 3.068523 -4.777707 -0.499444 -0.498453
6 -8132.5200195312 -3.554044 0.234863 0.366105 3.272485 1.911587
7 1802.2995605469 3.622535 -2.172260 -1.130584 -0.054794 -1.211310
8 -5797.9760742188 -1.923653 4.750415 3.594760 -3.380979 4.615293
9 -6692.6933593750 1.038395 -4.400634 -4.031236 0.502714 3.795819
10 -8965.8085937500 0.349606 0.566367 1.298139 1.207903 -0.189107
11 -5661.9384765625 2.804404 2.891123 -3.072539 2.150097 3.049891
12 2097.1184082031 4.773664 -0.703650 2.463461 2.423470 -1.804551
13 -8684.3125000000 -0.957187 -3.326461 4.157811 -2.506141 1.015258
14 3912.6511230469 -2.773201 1.141145 4.611061 -4.541985 -2.596830
15 4506.3691406250 -3.762028 -2.736704 -2.200591 4.421484 -3.547432
16 -8478.7500000000 0.611740 -4.025811 3.000670 1.691534 0.883188
17 -6443.9243164062 0.562692 3.693402 2.246453 4.798860 1.192842
18 -8670.9257812500 -0.419000 -4.418667 2.805051 2.550104 1.060527
19 -8216.1347656250 -1.278992 -2.759673 1.647286 4.947050 1.119179
20 -8507.9960937500 0.214240 -4.093499 0.712017 -0.527767 1.365074
21 1275.0122070312 0.233059 -3.752615 2.741917 -2.235684 -0.367965
22 -8332.7392578125 1.556103 -1.708874 1.198860 2.243040 0.200531
23 -7613.2763671875 0.995257 4.938171 2.293965 -0.693345 0.242292
24 442.0059204102 0.651154 4.535472 2.991177 -2.214285 -0.299759
25 51.3553619385 -1.178621 -0.139674 2.767054 -0.840047 0.319863
26 -8010.0361328125 0.977767 3.359444 1.730014 1.807512 -0.044895
27 -7870.7714843750 0.153432 2.391494 2.602731 1.779495 0.087211
28 58.8195800781 0.136054 -1.407343 3.182631 0.975473 -0.333905
29 578.4896850586 0.026227 -1.298002 1.590001 1.668594 -0.419366
30 -8071.0883789062 -0.262008 2.730307 1.096482 1.790177 -0.163380
31 -8877.5009765625 0.463682 0.647906 0.656996 2.233699 -0.153706
32 53.7555694580 0.966323 0.985673 1.194319 0.474932 -0.229552
33 -8744.9599609375 -0.189410 0.921757 1.996593 2.005298 -0.174377
34 -8806.0683593750 -0.319327 0.809803 0.284264 2.142911 -0.125776
35 -8865.0273437500 0.070746 0.624881 0.867117 2.129170 -0.190523
36 -8976.3906250000 0.654730 0.547339 0.692958 1.276570 -0.125386
37 -8976.3906250000 0.017998 0.703179 0.442315 1.277180 -0.117509
38 -8868.0097656250 0.608874 0.593326 2.339312 1.313227 -0.161202
39 -8875.4238281250 0.080259 0.595056 1.961438 1.335741 -0.121408
40 9.3902587891 0.061105 0.674287 0.173913 1.329477 -0.188137
41 -8852.0830078125 0.503870 0.864483 0.655188 1.440458 -0.106505
42 -8449.3701171875 0.108632 0.599461 0.730438 1.468188 0.019111
43 2.3807525635 0.176841 0.925281 0.799507 1.224777 -0.220324
44 -8274.6640625000 0.328040 0.934533 0.620617 1.436841 -0.005289
45 -8892.8164062500 0.104536 0.762611 0.794309 1.421556 -0.136190
46 -8976.3906250000 0.273978 0.577284 0.646056 1.315019 -0.092714
47 -8976.3906250000 0.430575 0.566569 0.675136 1.172483 -0.125754
48 -8838.0703125000 0.935665 0.619944 0.726398 1.391222 -0.139852
49 -8835.0253906250 0.703895 0.500691 0.724689 1.386494 -0.215883
50 -8869.0859375000 1.056789 0.488867 0.645064 1.202169 -0.211103
51 -8976.3906250000 0.557333 0.576169 0.670111 1.331501 -0.097771
52 -8866.0410156250 0.860264 0.590853 0.678642 1.283132 -0.089103
53 -8866.0410156250 0.818176 0.594125 0.682018 1.213119 -0.098705
54 -8976.3906250000 0.606443 0.590949 0.705366 1.343481 -0.136731
55 -8866.0410156250 0.715722 0.537451 0.672077 1.325569 -0.147864
56 3478.8847656250 4.764832 2.685885 3.427369 3.692865 -2.918662
57 2492.7939453125 -1.534061 0.495079 -2.992390 -3.366131 -0.988178
58 -7003.1142578125 0.934894 -3.840957 0.739862 -0.862500 3.124337
59 249.2187500000 -4.844318 -1.358103 2.210473 1.307708 -0.293491
60 5174.6728515625 -3.037011 -3.394713 -1.969522 -1.920014 -4.759512
61 -6343.5454101562 -2.361312 -0.193936 -4.857257 1.899604 4.445320
62 3206.8100585938 2.859617 -2.515456 -3.427828 0.573510 -1.623107
63 4778.3837890625 3.400866 3.732627 1.338489 -1.184078 -4.305369
64 -6106.1811523438 1.502585 1.230489 -3.700810 3.472861 2.655169
65 -9893.1289062500 -2.139286 -4.565659 4.249000 -4.140130 0.878895
66 -6687.7172851562 -4.198193 -2.097059 2.662701 2.984913 3.926076
67 2650.7705078125 3.832312 -0.516230 -1.496111 4.833481 -1.744303
68 -7228.5922851562 0.071820 3.590903 4.493336 -4.596398 1.333670
69 -6186.7656250000 2.205613 4.921040 -0.027733 -2.550245 2.013025
70 4256.7304687500 -0.334598 2.154292 -0.712343 -0.158697 -3.207882
71 -9259.7148437500 -3.723454 -4.672882 4.697668 -4.845966 1.426764
72 -8649.6689453125 -1.682653 -4.932831 2.918736 -2.632402 1.570116
73 -7849.2905273438 1.308593 -3.893512 2.261805 -4.331873 1.245818
74 -8476.4619140625 -2.135259 -2.537309 4.540373 0.632889 1.552461
75 -8423.6962890625 -0.639656 -2.855180 3.693176 -4.930293 1.353686
76 -10967.8984375000 -4.759087 -4.975507 1.509427 -4.069901 0.876581
77 -10719.8232421875 -4.778423 -3.887598 2.200155 -4.876870 0.904317
78 -9261.1289062500 -4.567837 -2.220071 3.445708 -4.868696 1.012543
79 -9601.8300781250 -4.659945 -2.966197 4.359361 -4.803803 0.828353
80 -10142.8466796875 -3.532975 -4.424907 4.783545 -4.360671 0.926177
81 1.2359619141 -4.931719 -4.779100 -1.748172 -2.979858 0.800844
82 -10293.4951171875 -4.300218 -4.796068 4.807303 -4.274824 0.657540
83 -10373.4912109375 -3.932606 -4.750796 2.190881 -4.482730 0.911923
84 -10412.0449218750 -3.539548 -4.891182 1.526095 -4.396705 0.861347
85 -10466.8642578125 -4.803180 -4.993870 2.373114 -1.853573 1.041042
86 -10118.8632812500 -4.775849 -3.151133 1.433259 -3.690607 0.988135
87 -11053.8642578125 -4.954183 -4.960306 1.089820 -3.267089 1.060704
88 -10333.9775390625 -4.747612 -3.448898 1.347812 -4.716174 1.087555
89 -11136.7841796875 -4.984507 -4.747763 1.488830 -4.887101 0.966151
90 -10001.9433593750 -4.553346 -4.205249 1.261192 -4.948177 1.102425
91 -10864.7021484375 -4.872354 -4.687438 1.750298 -3.822809 0.980708
92 -9448.9980468750 -4.672962 -4.974751 1.629433 -3.930208 1.185896
93 -10146.5537109375 -4.563016 -4.915149 1.802651 -4.801920 1.093889
94 -11402.4375000000 -4.986478 -4.890194 1.577318 -3.484641 0.782691
95 -10013.8388671875 -3.811532 -4.994005 1.501586 -3.805410 1.028834
96 -11295.5009765625 -4.994642 -4.321368 1.367343 -4.929105 0.823906
97 -10313.7041015625 -4.587709 -4.712713 1.734964 -4.395048 0.758225
98 -9954.7080078125 -4.600982 -3.782379 1.745533 -4.747897 0.713900
99 -10539.7636718750 -4.914449 -2.990227 1.890387 -3.289491 0.692352
100 -11363.6083984375 -4.871541 -4.919621 1.807295 -4.577021 0.889149
101 -11269.6005859375 -4.873962 -4.083994 1.447133 -2.402788 0.823916
102 -11402.4375000000 -4.972199 -4.743000 1.629946 -3.397895 0.808552
103 -11005.9121093750 -4.814470 -4.721191 1.452274 -2.672674 0.844936
104 -10791.9902343750 -4.808056 -4.220409 1.493883 -3.363224 0.837084
105 -11372.8701171875 -4.891287 -4.836772 1.682319 -2.822887 0.837484
106 -11453.7246093750 -4.932223 -4.913753 1.477056 -2.890210 0.787937
107 -11375.4921875000 -4.923010 -4.978375 1.577284 -4.047351 0.812291
108 -10985.9101562500 -4.823008 -4.933212 1.485210 -3.561854 0.774489
109 -10846.3183593750 -4.847408 -4.488568 1.650065 -3.052885 0.799876
110 -10512.3769531250 -4.679494 -4.900934 1.664348 -3.445589 0.767960
111 -11000.3183593750 -4.865554 -4.919450 1.360949 -3.333093 0.798343
112 -11285.9130859375 -4.900484 -4.500674 1.569945 -3.315365 0.793459
113 -11415.7089843750 -4.929316 -4.932440 1.519773 -3.121956 0.814418
114 -10921.1035156250 -4.724551 -4.587837 1.394363 -2.321512 0.808294
115 -10398.7343750000 -4.564508 -4.935271 1.601783 -3.405718 0.800404
116 -11361.2910156250 -4.963611 -4.645040 1.537515 -3.212228 0.788256
117 -10924.5488281250 -4.748310 -4.601581 1.451703 -2.611016 0.801363
118 -11005.9121093750 -4.830335 -4.977508 1.414329 -2.856232 0.782983
119 -11480.6699218750 -4.967256 -4.812428 1.414281 -2.929248 0.795196
120 -11475.0761718750 -4.970433 -4.791130 1.421072 -3.074862 0.791584
121 -11442.6542968750 -4.991631 -4.832882 1.492056 -3.212222 0.816289
122 -11480.6699218750 -4.986118 -4.965542 1.470658 -2.611897 0.819572
123 -11480.6699218750 -4.989306 -4.800901 1.372958 -2.620898 0.782427
124 -11480.6699218750 -4.994550 -4.972776 1.383561 -2.849741 0.796972
125 -11480.6699218750 -4.999605 -4.761244 1.407077 -2.641614 0.817850
126 -11480.6699218750 -4.999580 -4.993991 1.451358 -2.720416 0.782514
127 -11399.3066406250 -4.985951 -4.719364 1.410005 -2.804539 0.796364
128 -11480.6699218750 -4.989578 -4.779871 1.376496 -2.799898 0.791178
129 -11480.6699218750 -4.989837 -4.963275 1.444234 -2.815524 0.800055
130 -11399.3066406250 -4.982601 -4.653811 1.438403 -2.791223 0.805546
131 -5368.6445312500 0.788739 1.358094 4.345568 -2.889734 4.873834
132 4228.8095703125 1.450017 0.704197 -4.619922 -0.781579 -2.497141
133 1909.8923339844 4.914567 3.442056 -4.105887 2.279995 -1.145538
134 -8074.6206054688 -2.029271 -2.433026 2.511238 -4.040022 2.402976
135 3374.8352050781 -3.090259 -3.919567 -0.957376 4.116095 -2.251093
136 -8099.3237304688 -1.039727 -0.773179 4.318155 -1.378764 1.304204
137 -8145.2324218750 -0.430597 -1.056489 2.165286 -1.909974 1.675414
138 -5253.9462890625 3.411949 2.738667 -1.112493 1.201112 3.978827
139 5155.6098632812 3.725088 -3.529856 0.772004 -3.603223 -4.651283
140 321.8715820312 -4.222169 -2.090708 3.159900 3.616424 -0.296194
141 4576.9379882812 -2.362491 4.237821 -2.220325 4.945234 -3.760410
142 4071.1174316406 2.163154 2.158760 0.139415 0.852691 -3.458793
143 -7100.4111328125 2.946406 -4.842847 -2.989184 -0.067386 3.122142
144 -8296.8515625000 0.175562 -0.171232 1.512938 2.976045 0.468036
145 763.5513305664 -4.877756 4.598593 -3.135086 -4.523766 -0.528029
146 -9941.5595703125 -0.350710 -4.411454 0.348374 2.126387 0.378742
147 -7315.9497070312 1.182398 -0.103568 0.375516 -0.357311 1.602430
148 -7312.5122070312 1.460731 4.328585 -2.673201 -4.081718 0.791630
149 -7778.2465820312 -1.543636 2.287287 -3.343246 -2.907901 1.393163
150 -7614.3989257812 -0.378724 4.251825 -4.342970 -2.811485 1.077270
