evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.7431221004 -4.048527 -4.641450 -2.065944 -3.775077 4.449231 -4.465931 3.917611 -0.875307 4.303698 3.016537 -1.426748 2.410110 -0.553669 -2.702048 -1.935889
2 1.7947486549 -2.734459 -3.000850 4.135917 2.387463 -3.687149 -4.893613 -2.400382 4.102908 -1.588160 -4.924216 -3.649190 -4.719640 -0.787400 1.860653 -0.896438
3 1.7807204494 -4.337591 2.846683 1.532504 1.358300 2.045714 -0.043204 -1.990534 4.491253 -2.216745 2.765584 3.813766 2.605069 -3.731345 2.405120 1.264890
4 1.7464943480 4.592619 2.031268 4.675361 -4.082062 2.662142 3.738074 -1.572897 -2.563480 1.725333 -4.174085 2.449784 -4.988596 -2.214973 0.520860 0.850706
5 3.0960931053 0.104163 4.112313 -0.787304 -1.394805 1.152412 -0.302949 -0.729081 3.594154 0.335910 -4.667571 -4.141468 4.545170 -0.292322 -4.984040 -2.596279
6 2.1398508339 -1.205312 2.151263 1.352710 0.792792 4.027747 4.775894 -2.790285 -3.590744 3.806858 -3.536062 0.654796 0.552297 4.738047 3.519589 2.355282
7 1.9831309158 -2.002371 -2.308680 -1.361099 -1.941554 -4.852144 1.432221 3.269813 3.415952 -2.340084 0.196778 -2.940375 -1.130946 -3.146127 3.874008 -3.173111
8 2.4307774127 1.040067 4.826898 1.771163 -0.160015 -0.640689 -1.466493 -4.894013 -0.650470 4.030867 1.959001 -4.539370 -3.563697 4.147258 -1.230789 4.711385
9 1.7617602352 3.432310 -0.004308 2.175998 4.366711 -4.165958 -1.781287 4.957084 -1.564637 -0.727494 -1.419444 2.680942 3.930164 4.381668 3.161868 -4.811442
10 1.7877555028 3.582668 -3.542717 -3.223658 -0.656934 2.383309 0.163868 4.327715 0.425371 4.654126 0.008949 -3.045958 1.892942 1.681324 -3.585465 2.098112
11 2.0293172003 1.958514 -2.773126 -0.686494 -1.184523 -1.720559 0.908824 3.848168 -4.330366 0.143513 -0.482123 3.939637 1.761379 4.066436 4.377060 3.021569
12 1.9355686626 2.963142 1.397451 -3.188944 4.818044 3.125005 -2.737302 -2.624841 -2.314119 1.983141 -1.193892 -0.798588 -4.338383 -1.894931 3.274683 -4.054838
13 1.6595050442 -4.692701 -3.707330 0.325762 2.605820 4.274189 0.697683 -4.079361 4.676176 2.696219 -4.391825 4.958641 -0.970906 -4.998245 -0.272311 -1.015651
14 2.8867744369 0.565592 3.729780 -3.532771 2.317269 -2.569998 1.896813 -0.168590 1.219015 -1.982795 -0.876329 2.156252 1.416422 0.982087 0.661771 1.209119
15 2.8618176608 0.543041 3.905329 3.649981 -4.201472 -1.337883 1.623330 4.732878 1.509051 -0.077784 -2.602892 1.271991 -1.955088 3.048475 -3.135776 -0.460727
16 2.1584103468 2.223618 -4.875829 0.487931 1.578339 -2.402654 3.431121 -4.247175 -4.018940 4.390021 -3.230922 1.749508 -0.613934 3.567369 -3.988516 2.639200
17 1.7759841995 -2.926541 -4.044140 -0.372982 4.692985 -3.381790 -2.962305 -0.901363 -0.390288 -4.161336 -1.511143 4.642696 -0.160276 -3.482358 -4.735412 -2.971549
18 2.3222893214 2.558050 -2.856840 -4.377654 1.748252 -0.945758 -3.829919 -3.783190 -3.876357 -1.108175 -1.868065 4.353625 0.094506 -3.299894 0.168075 0.339298
19 2.9687386577 0.144709 -0.685328 2.370193 -3.370631 3.285159 -2.156289 -1.336069 -0.223248 3.160936 -0.136693 1.130430 -1.377325 3.311959 2.097876 -1.287788
20 1.7845280233 -2.246529 -1.834820 0.064270 -4.702054 2.277176 4.819451 2.122913 -3.018740 -0.882612 1.005535 -2.577129 0.873808 -1.881098 -1.963975 1.578249
