evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 3.2183113098 -0.182895 3.684223 2.335618 -1.546341 -3.824784 -0.867096 2.165267 -3.581664 -1.649330 -4.199992 -3.985896 -0.322776 2.241810 -4.327321 -2.740706
2 1.7521082163 4.802659 -0.187532 0.450735 2.792023 -2.183891 -4.819455 2.444287 0.948852 -1.898403 0.492253 -0.902978 2.412893 3.532044 -1.276469 1.658460
3 1.8762853146 -2.159496 1.740881 -3.663571 -4.972258 -1.568279 2.084038 1.501003 2.360867 3.923277 -1.928360 -0.565714 0.496569 0.148973 -1.097078 1.901320
4 1.8084510565 -3.275622 -2.302771 3.762274 0.100404 4.989161 4.873660 -2.764192 3.136937 0.631682 -1.517415 1.163974 3.901779 -1.719486 0.130702 -4.433612
5 2.0154891014 1.631360 4.083686 -0.111855 3.268117 -3.105528 3.789103 3.740449 1.388535 0.079257 -0.127970 1.813285 -0.538317 -2.592407 1.014030 4.595557
6 1.7159603834 -3.475102 4.839553 1.570026 2.550415 -4.884890 -0.695717 4.450211 -0.809292 -4.388142 1.649479 -3.478134 2.937870 -4.062540 -4.760334 1.067983
7 2.9549105167 0.469676 -3.794865 -1.471459 -4.037978 -0.917020 3.024538 1.199033 -2.617279 -0.993612 -4.964995 0.887151 4.876556 -4.361012 4.602672 -0.323338
8 2.0158505440 2.327882 1.632716 -1.287403 -1.728173 4.487385 -2.669938 1.227672 -3.720280 1.362294 4.543347 -3.225237 2.101879 -3.629279 1.821871 -4.828653
9 2.4323732853 1.171770 2.627604 1.338170 1.308681 4.037419 0.164091 -0.670442 -1.755191 2.853767 -0.649262 1.940817 -2.185253 1.169970 -1.777994 1.309972
10 2.3521828651 -2.656638 -3.609786 -4.189764 -3.409400 -4.046565 -1.799007 -1.862928 -3.152684 2.223339 1.019606 2.884123 -2.431571 0.826849 3.648925 3.772862
11 2.1470625401 -4.396437 -1.472937 -3.958955 0.740240 -1.970864 -4.011042 -4.474597 2.885503 -2.506102 0.075821 0.470632 -3.310766 -1.566240 -0.768779 -0.635500
12 1.7039295435 -4.668064 1.908185 -2.884875 -3.746838 1.414072 -0.275606 0.198684 1.922751 1.587118 -2.137582 0.668382 0.787814 4.737494 -3.319168 -2.386071
13 1.8811830282 3.306132 -4.359441 0.211800 1.040914 4.195807 -2.273486 0.494154 -1.288032 3.112560 4.807975 -0.165081 -3.620829 1.820399 3.304934 -0.012960
14 1.7229288816 2.824845 1.122577 2.108126 4.573969 4.704822 -2.487647 -0.250713 4.426499 -0.282164 0.776197 1.480802 2.724953 4.126626 2.473226 3.969849
15 2.7002961636 -1.019124 -3.237047 2.126991 -1.091243 -4.447083 1.047279 -4.176096 -2.422761 3.723109 1.345769 -2.261286 -1.182688 0.450792 -0.810219 -3.582034
16 1.8523628712 4.615720 -0.711574 -4.768408 -0.959927 1.693225 -0.357759 3.986784 4.050418 4.955156 3.248489 -1.742758 3.184012 -2.290049 0.617888 -0.366784
17 2.8712162971 0.666033 4.730386 -1.123374 4.224051 2.809039 -2.839038 -4.986033 -0.127717 1.031327 0.915226 2.692182 0.024253 -3.322415 2.327589 0.528237
18 1.7652257681 -4.202295 -2.798135 -2.441524 -1.985347 -0.505028 0.533614 -2.926056 -3.911782 3.553803 -4.085960 3.609357 -2.861801 2.420561 2.871440 4.494156
19 1.5964238644 -3.833216 -2.709099 3.044315 3.538894 0.526902 2.698421 -2.275486 -4.585401 4.300552 2.359390 -3.055913 -1.664280 4.363025 2.625168 -2.186056
