evaluations raw_y x0 x1 x2 x3 x4
1 3.6369802310 -2.277630 0.534567 1.184196 -3.897193 3.908128
2 3.4662595853 4.101413 -1.958249 -4.398047 -3.547469 2.757759
3 3.4889768582 -3.258569 2.469118 -0.860627 -2.618239 1.178011
4 3.4463730182 -2.831396 -0.134727 -3.800861 3.139198 -2.238074
5 3.8327556326 1.687908 -3.078903 0.685239 2.285560 1.942816
6 3.6224239219 4.374980 -4.451972 -0.178396 0.299807 0.644649
7 3.4942085338 1.142680 -2.424530 -1.662730 -2.301557 3.567791
8 3.5951724979 0.061870 -1.312593 2.032350 1.343587 -4.436006
9 4.6202473600 -4.952721 -3.739055 -2.697194 0.524401 -0.876387
10 3.9807265536 3.658088 1.316245 -3.202034 4.639642 4.673068
11 3.7177725600 2.334355 2.228725 4.054261 -4.815172 -2.744338
12 3.7829038349 -0.362689 4.056595 -2.088907 3.751678 -0.054689
13 3.8676634618 0.813492 3.032376 4.436239 2.536053 -4.075548
14 3.4677162893 -1.574666 -0.972945 2.457645 -0.537286 -3.201083
15 3.6181458605 -3.945359 4.410622 3.390247 -1.440793 -1.576102
16 3.8126090189 -2.783857 -0.353065 4.026030 4.636528 2.263387
17 3.7844663098 -1.220942 0.284046 -2.145869 4.211108 4.968014
18 3.4574963789 -0.434262 -0.673153 -4.668530 1.247695 -0.906608
19 3.4548327014 -4.333622 -0.041595 0.189484 1.542179 -4.801783
20 3.4653316493 -4.887268 0.381411 -4.796108 1.081058 1.581444
21 4.3949515600 -2.524755 -0.585530 -3.151703 1.092091 -3.146229
22 4.6878592800 -3.835532 -0.525476 -4.975916 2.715653 -4.605334
23 4.4196646400 -3.618098 0.452657 -4.509294 1.205433 -4.431527
24 4.2913064800 -1.706281 0.089485 -3.132440 1.699307 -4.692737
25 4.4300878400 -2.653230 0.358989 -4.873835 4.743750 -4.955761
26 3.4896893990 -1.143999 -0.072673 -3.576339 4.734474 -2.459034
27 3.5680590893 1.232595 -0.584779 -3.336468 3.952854 -1.958425
28 3.4247542003 -3.471154 -0.641372 -4.417492 3.389328 -2.125990
29 3.4522791149 -3.231160 0.155307 -4.406634 3.275650 -1.894590
30 4.4258659400 -4.458150 -0.379601 -4.377606 2.551957 -1.906273
31 4.2874916000 -2.845972 -0.956819 -3.894856 3.820417 -2.248801
32 4.2627932200 -3.821238 1.105239 -4.911718 4.098071 -1.816093
33 3.5445986381 -3.601561 1.541674 -3.982358 3.946209 -1.677912
34 4.7267139400 -2.919698 -3.569902 -4.959126 4.054605 -2.187621
35 3.5612161574 -2.912471 1.737083 -4.205226 3.992431 -1.668153
36 4.3875261400 -3.106775 -0.932867 -4.869029 2.985750 -2.180160
37 4.3794772800 -3.453719 -0.358737 -4.917831 3.648358 -1.827146
38 4.3010777400 -3.929808 -1.018329 -4.356634 3.321455 -1.729177
39 4.3321761200 -3.819020 -0.556206 -4.857640 3.809179 -2.055039
40 4.2667950600 -3.513733 -0.433339 -4.639242 3.105636 -1.879791
41 4.2818746600 -3.560599 -0.710217 -4.296927 3.326660 -2.267564
42 3.4411904698 -3.486340 -0.261054 -4.439460 3.575642 -2.273566
43 4.2852035600 -3.351649 -0.977078 -4.268586 3.158315 -1.926053
44 4.2735265200 -3.691093 -0.553551 -4.254521 3.204098 -2.299862
45 3.4519735526 -3.326120 -0.215779 -4.289153 3.612076 -2.255355
46 3.4238698272 -3.596969 -0.454807 -4.490216 3.482113 -2.120641
47 3.4256666016 -3.526393 -0.486567 -4.492653 3.423340 -2.203787
48 4.2599280000 -3.461124 -0.756201 -4.434767 3.452776 -2.054484
49 3.4230437568 -3.635535 -0.546511 -4.392544 3.405550 -2.044494
50 3.4275096518 -3.346353 -0.535190 -4.435422 3.491115 -2.088123
51 4.2625582600 -3.565637 -0.482320 -4.362415 3.366274 -2.067321
52 4.2625582600 -3.630551 -0.478361 -4.360974 3.398938 -2.061821
53 4.2625582600 -3.646480 -0.494108 -4.368159 3.380949 -2.077689
54 3.4237064794 -3.559322 -0.479455 -4.397247 3.360186 -2.027511
55 3.4243473773 -3.744460 -0.531925 -4.344126 3.456129 -2.074438
56 3.7886372525 4.708067 0.211944 3.693004 0.457413 -4.263396
57 3.6980455392 -0.158339 -2.075143 2.936944 3.433143 -1.679797
