evaluations raw_y x0 x1 x2 x3 x4
1 3.6777069569 -0.248928 -0.248928 -0.248928 0.248928 0.248928
2 3.7778780460 0.601231 0.601231 0.601231 -0.601231 -0.601231
3 3.5954160690 4.877833 4.877833 4.877833 -4.877833 -4.877833
4 3.4930117130 -4.605106 -4.605106 -4.605106 4.605106 4.605106
5 3.5411748886 -2.540968 -2.540968 -2.540968 2.540968 2.540968
6 3.6086006165 2.820915 2.820915 2.820915 -2.820915 -2.820915
7 3.5934267044 2.326088 2.326088 2.326088 -2.326088 -2.326088
8 3.4498920441 -1.981064 -1.981064 -1.981064 1.981064 1.981064
9 3.4581875801 -1.701131 -1.701131 -1.701131 1.701131 1.701131
10 3.5354878902 1.356181 1.356181 1.356181 -1.356181 -1.356181
11 3.6482865810 3.166006 3.166006 3.166006 -3.166006 -3.166006
12 3.4867341518 -3.446027 -3.446027 -3.446027 3.446027 3.446027
13 3.4883458614 -4.252870 -4.252870 -4.252870 4.252870 4.252870
14 3.6531097889 3.980218 3.980218 3.980218 -3.980218 -3.980218
15 3.5094230175 0.873970 0.873970 0.873970 -0.873970 -0.873970
16 3.5221240520 -2.154142 -2.154142 -2.154142 2.154142 2.154142
17 3.4654662609 -1.856726 -1.856726 -1.856726 1.856726 1.856726
18 3.4895274639 -1.557396 -1.557396 -1.557396 1.557396 1.557396
19 3.4498920441 -1.968666 -1.968666 -1.968666 1.968666 1.968666
20 3.4498920441 -1.975153 -1.975153 -1.975153 1.975153 1.975153
21 3.4498920441 -1.972478 -1.972478 -1.972478 1.972478 1.972478
22 3.4498920441 -1.980385 -1.980385 -1.980385 1.980385 1.980385
23 3.4498920441 -1.973343 -1.973343 -1.973343 1.973343 1.973343
24 3.4498920441 -1.976129 -1.976129 -1.976129 1.976129 1.976129
25 3.5732524395 -1.164687 2.051262 -0.693620 -2.051262 1.164687
26 3.5267093182 -1.404243 4.559172 -1.945536 -4.559172 1.404243
27 3.5646157265 -1.865913 -4.564088 1.490781 4.564088 1.865913
28 3.7176308632 -2.359061 4.587948 -1.804775 -4.587948 2.359061
29 3.5545787811 -0.339907 -0.582860 -1.929862 0.582860 0.339907
30 4.3485622406 -1.777387 1.860399 -4.385353 -1.860399 1.777387
31 3.6703841686 -2.781305 -0.098702 -1.989147 0.098702 2.781305
32 3.5599458218 -1.936675 -3.001696 0.269709 3.001696 1.936675
33 3.4238328934 -1.929639 -0.996710 -3.649959 0.996710 1.929639
34 3.4812681675 -1.830584 0.165523 -3.618939 -0.165523 1.830584
35 3.4848778248 -1.610754 -3.360429 -3.828526 3.360429 1.610754
36 3.5085039139 -2.522678 -2.356556 -3.566933 2.356556 2.522678
37 3.6295964718 -2.038819 -0.870975 -1.446465 0.870975 2.038819
38 3.6133012772 -2.903208 -1.828490 -3.689605 1.828490 2.903208
39 3.4175138474 -1.948273 -1.826066 -3.778334 1.826066 1.948273
40 3.4245612621 -1.821786 -1.359509 -4.147380 1.359509 1.821786
41 3.4560611248 -1.999809 -2.248019 -4.923583 2.248019 1.999809
42 4.2861371040 -1.977956 -1.561120 -4.872658 1.561120 1.977956
43 3.6175720692 -2.197012 -1.869885 -3.947206 1.869885 2.197012
44 3.4264671803 -1.585995 -1.675691 -3.674470 1.675691 1.585995
45 3.4478073120 -1.745174 -2.030233 -3.590575 2.030233 1.745174
46 3.5863423347 -2.093492 -1.721076 -3.668886 1.721076 2.093492
47 3.4264645576 -1.843383 -1.714530 -3.906509 1.714530 1.843383
48 3.4478073120 -1.824191 -1.922944 -3.902353 1.922944 1.824191
49 3.4175138474 -1.980728 -1.765578 -3.865522 1.765578 1.980728
50 3.4354341030 -1.976744 -1.897437 -3.852674 1.897437 1.976744
51 3.4175138474 -1.897612 -1.761169 -3.753004 1.761169 1.897612
52 3.5715022087 -0.535857 -2.344241 -2.096145 0.097959 1.654632
53 3.5349376202 -1.744661 0.206795 -1.980487 4.421169 1.126022
54 3.5155069828 -4.435641 -1.667897 -1.453143 1.839609 2.743338
55 4.4398097992 -3.352067 -1.993060 -3.204082 1.001188 -2.314985
56 3.5208742619 -4.339583 -1.651191 -3.424951 3.278729 2.224288
57 3.6612153053 2.852637 -1.036929 -3.661563 3.076067 1.004142
58 3.5283179283 -1.643546 -2.704574 -3.931953 1.054403 3.906976
59 3.8090441227 2.591037 2.712968 -4.386276 1.425210 1.956464
60 3.6832909584 3.325021 -0.825796 -3.412599 2.634603 1.320427
61 3.8163104057 -2.443683 1.675195 -3.253500 2.490175 2.684043
62 4.3548827171 -4.309670 -1.405490 -3.747851 -0.755359 1.573481
63 3.4092664719 -1.373675 -2.659816 -3.950318 2.269055 0.895734
64 3.5545475483 -2.240979 -2.228533 -4.008044 2.731935 4.264689
65 3.7406539917 -0.455696 -1.485440 -3.862087 2.274891 4.068601
66 3.4360072613 -1.464134 -0.683223 -3.770426 2.143738 0.556730
67 3.5676393509 -1.438798 -0.755035 -4.085589 2.735432 1.356450
68 3.5421004295 -1.720954 -4.711638 -3.803543 1.924244 4.393919
69 4.4387569427 -1.541391 -3.534203 -3.990044 2.443305 -1.364939
70 4.3114905357 -2.399792 -2.840066 -4.235110 2.008741 1.024936
71 3.5485885143 -0.618258 -4.367631 -3.911009 2.375796 1.596012
72 3.3850173950 -1.386969 -3.242882 -3.835109 2.290842 0.223434
73 4.2985944748 -1.701393 -4.271561 -3.853575 2.564778 1.024529
74 3.5088968277 -1.004260 -3.230238 -3.731085 2.307253 0.564669
75 4.4126276970 -1.051087 -2.884289 -3.821109 1.424365 -0.015541
76 3.4384374619 -1.378079 -2.153361 -4.010035 2.456927 0.033042
77 4.5491380692 -1.647621 -3.411656 -4.210589 2.161853 -0.002895
78 4.4150047302 -1.331456 -3.034503 -3.783820 2.179982 -0.608868
79 3.4242124557 -1.190551 -3.267412 -3.866704 3.064437 -1.655402
