evaluations raw_y x0 x1 x2 x3 x4
1 3.4321150780 -4.988759 0.015004 2.183077 0.509187 -2.380608
2 3.8483860493 0.862912 4.479389 -0.191988 4.142899 -3.386261
3 4.6593656540 -3.314285 -4.406414 -4.981686 -1.612514 3.991284
4 4.3918209076 -2.010107 -3.287632 -2.762359 2.422170 -1.456886
5 3.8062424660 -4.225802 1.541377 2.826343 -4.288560 4.515523
6 3.4005749226 -1.650684 3.452782 -2.283807 -1.836361 -0.381843
7 3.7269208431 3.286072 1.793048 3.192277 -2.350420 0.136528
8 4.1624612808 3.964047 2.775692 4.312690 4.910426 3.305133
9 3.6184468269 1.133419 -0.824237 -3.464842 -0.888186 2.949204
10 4.3410606384 2.867852 -3.989313 -3.778692 -0.001336 -4.524026
11 3.4830324650 1.682930 0.607776 4.905971 -4.856808 -3.813576
12 3.8385589123 -0.414046 -1.820696 0.858450 1.987395 2.212858
13 3.7215323448 0.190259 3.950591 1.388787 -3.495750 1.039492
14 3.6656858921 4.993928 -1.649428 -0.336271 1.595233 -2.295051
15 3.4941449165 -2.900868 -2.590234 -1.175311 3.163199 0.422931
16 3.7797174454 3.646744 4.439355 -2.918727 0.013078 -1.505505
17 3.3521401882 -2.831458 2.450899 -1.123717 -1.926948 -0.493283
18 4.3182044029 -3.202911 4.731983 -2.360041 -3.174580 -1.288729
19 3.6157019138 -3.471349 1.970796 -0.078548 1.262555 0.074548
20 3.5860738754 -4.125789 4.778386 -3.603202 4.482212 0.066847
21 3.4744172096 -0.983651 4.102522 -3.331176 -3.955153 0.481394
22 3.7648849487 3.429574 0.526394 -1.599943 1.752083 -0.875484
23 3.6105601788 4.161722 -0.237729 -3.421704 0.493887 -0.998580
24 3.7221629620 4.002776 2.094701 -4.255372 1.884513 -1.104693
25 3.3600792885 -4.394392 -0.632702 -0.433828 -0.481800 -0.669741
26 3.3805546761 -2.232593 1.367138 -0.003917 -3.357558 -0.759544
27 4.4576158524 -4.803968 3.635792 -3.738816 -0.832525 -0.244244
28 3.5309634209 -4.968337 1.337144 -1.406354 0.163096 -0.109569
29 5.0403804779 -3.568089 2.286731 -4.805904 -3.973548 -0.606863
30 3.4686856270 -1.787310 1.299159 0.908212 -1.410148 -0.214726
31 4.5947160721 -1.847982 -0.485156 -1.548880 -3.228532 -0.314409
32 3.4190051556 -2.098118 4.654144 -0.669886 -1.891506 -0.430121
33 4.6110048294 -2.572972 0.199886 -1.396147 -3.310120 -0.254119
34 3.4022002220 -2.079930 0.232024 -1.037886 -0.962620 -0.371051
35 4.6102766991 -2.386535 -1.015580 -1.417071 -3.800723 -0.294087
36 3.3903572559 -2.201269 2.731600 -0.892026 -1.547716 -0.677010
37 3.3544871807 -3.461987 2.979026 -0.700452 -1.407254 -0.711689
38 3.3709704876 -2.749662 2.212876 -0.879054 -1.382910 -0.678328
39 3.3525865078 -3.311197 2.928585 -1.409758 -1.467417 -0.408966
40 3.3848421574 -2.228682 1.808003 -1.351428 -1.477490 -0.723861
41 3.3905637264 -2.434337 2.604164 -0.970176 -1.741274 -0.437221
42 3.3375828266 -3.273062 2.502169 -0.999615 -2.185833 -0.571334
43 3.3514273167 -3.091833 2.725319 -0.921058 -1.802125 -0.436625
44 3.3709075451 -2.707944 2.671182 -1.293221 -1.954048 -0.533255
45 3.3730936050 -2.577672 2.527251 -1.200447 -2.112577 -0.564202
46 3.3327739239 -3.914186 2.479505 -0.878964 -2.011459 -0.603358
47 4.2688245773 -3.867214 2.668214 -1.080707 -1.987217 -0.578725
48 3.3393676281 -3.342519 2.733513 -0.802426 -2.403530 -0.562964
49 3.3767430782 -2.608061 2.501191 -0.966752 -2.120879 -0.631204
50 3.3523073196 -3.028861 2.713032 -0.805394 -2.098889 -0.630492
51 4.2618041039 -3.729181 2.442347 -0.780189 -2.271093 -0.919366
52 3.3235974312 -3.731409 2.358755 -0.801139 -2.060041 -0.970068
53 4.2745404243 -3.968741 2.381477 -0.796134 -2.261006 -1.204713
54 3.4019794464 -4.052077 2.309752 -0.790464 -2.239683 0.090050
55 3.3465635777 -4.125637 2.377292 -0.779804 -1.754280 -0.448116
56 3.3227493763 -3.655364 2.257089 -0.128412 -1.925793 -0.948401
57 3.3319258690 -3.981503 2.262674 -0.217446 -2.016410 -0.647218
58 3.3334918022 -4.233700 2.295455 -0.613032 -2.125672 -0.423089
59 4.2728109360 -3.527778 2.128596 -1.346074 -1.735502 -0.545578
60 3.3304908276 -4.129684 2.090838 -0.910265 -1.953416 -0.750106
61 3.3273739815 -3.346081 2.210997 -0.323132 -1.939119 -0.909070
62 3.3594467640 -3.919981 2.437934 0.096838 -2.031031 -0.705826
63 3.3461220264 -3.966350 2.485500 -0.297407 -1.765376 -0.725505
64 4.2737488747 -3.882461 2.179841 0.017695 -2.077021 -1.211061
65 4.2598266602 -3.683044 2.019384 -0.349008 -1.900433 -0.972240
66 3.3227493763 -3.587394 2.328496 -0.192392 -1.864939 -1.001195
67 3.3615314960 -3.586151 2.229043 0.002752 -1.872010 -0.799712
68 3.3615314960 -3.653044 2.274345 0.011992 -1.949714 -0.781055
69 4.2610998154 -3.734095 2.304647 -0.245236 -1.904110 -1.140724
70 3.3340106010 -3.557755 2.312262 -0.097446 -2.008688 -0.846597
71 3.3340106010 -3.632131 2.283172 -0.177463 -1.875223 -0.875829
72 3.3227493763 -3.595000 2.290091 -0.151030 -1.876765 -0.925410
73 3.3227493763 -3.600882 2.299550 -0.179490 -1.901060 -0.909170
74 3.3227493763 -3.627091 2.303072 -0.136735 -1.873834 -0.964192
75 3.3340106010 -3.602956 2.307363 -0.154847 -1.945077 -0.895813
76 3.5891702175 4.841046 -3.909095 0.952332 -2.070462 1.647944
77 3.8969261646 3.321303 2.946687 -0.131855 1.121399 2.572691
78 3.6236681938 1.217441 -1.889145 4.840958 4.714301 -3.925574
79 4.4394307137 -2.535364 -0.346509 -4.774972 0.916274 -2.431041
80 3.8561427593 -0.307975 0.622832 3.374692 3.360807 -3.548397
81 3.7080426216 -1.091656 3.890566 -1.897554 -3.651301 3.050943
82 3.7626376152 -0.338017 -3.402571 1.685123 4.180339 2.179074
83 3.9196846485 -3.139552 1.866897 3.839352 2.671236 4.476094
84 3.4797132015 -2.007075 1.558558 1.422562 -4.842653 -0.329656
85 3.5452361107 -3.801574 -1.568488 -3.562396 2.128570 3.937111
86 4.3031110764 2.685235 -2.460009 -2.495612 -1.325313 -4.545250
87 3.8177626133 0.889087 3.328876 -1.171135 -0.792949 0.633044
88 3.8579857349 2.233063 4.694057 -0.706128 -0.290339 -1.282659
89 4.5914440155 3.846301 -4.843929 -4.265572 -2.946315 -1.853115
90 4.5274534225 -4.685173 -0.252121 2.825344 -3.744522 -0.827392
91 3.5947091579 -1.060464 3.629470 2.060616 -3.940071 -0.461037
92 3.4213333130 -2.652135 0.326364 -0.277136 -4.100553 0.640124
93 3.6810469627 -2.464615 -2.198977 3.128083 -2.378587 2.520257
94 3.7727108002 -2.968101 1.411676 0.774243 0.223064 1.568241
95 3.7192375660 -1.734205 4.501283 1.772977 -4.278829 1.975746
96 3.5842623711 -0.869467 -2.246870 0.561561 -1.340067 3.565858
97 3.5978190899 -1.353809 -2.331808 1.567090 2.453169 0.474220
98 4.8662309647 -2.010563 -4.950351 0.664329 -4.809799 -1.393887
99 3.4093842506 -1.178650 2.741070 -0.570149 -4.659557 -1.674828
100 3.7503466606 -3.439924 2.097021 -1.875961 0.236191 2.217024
101 4.3452711105 -2.715725 4.556736 -3.104834 -3.817326 -2.969644
