evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.6215934753 2.340631 -1.065760 -2.907920 1.930672 2.481910 1.687742 -0.032434 3.033189 -2.040336 1.677026 -1.002253 3.544720 -0.518955 -0.662466 4.904586
2 2.2904748917 2.026321 2.319268 1.703938 0.667982 -1.446556 0.159865 0.266078 -4.463261 2.349871 -1.962423 -1.886180 -3.181776 2.066623 -3.359780 -2.495164
3 2.4702053070 1.289526 0.594380 -2.530724 -0.006160 -3.522663 1.387868 -4.076577 4.602371 -0.777637 -1.179392 -1.058940 -2.545186 -0.383179 3.289611 -4.890158
4 2.4709873199 -2.036242 2.083993 -1.777881 2.123568 2.011484 -0.808215 -3.829167 0.067366 2.696418 0.331767 4.191448 3.912291 0.353382 -0.879294 1.215402
5 2.2034287453 -1.794256 -1.525036 2.879210 -3.084254 3.477914 0.523640 2.272564 -3.928948 -4.815178 -2.109299 -0.923581 2.851164 2.191194 4.907681 -4.408317
6 1.9903476238 3.403662 -1.389074 4.480725 -1.759497 1.948095 3.259842 4.657738 1.197792 -4.643454 -4.998608 -1.691309 -4.967051 0.416460 1.399505 4.855928
7 1.9912774563 -3.043159 -3.172490 -0.164190 -3.449997 -4.662828 3.141214 4.758099 3.145432 -3.365410 -1.892509 1.049746 1.880987 2.867259 -0.623437 -2.457882
8 2.8429808617 0.372227 2.145685 -4.307283 2.650846 -0.631456 3.538731 0.678853 2.392586 -2.634307 -2.977608 2.600503 2.172767 -0.141899 -2.190594 -0.271644
9 2.2531914711 -2.762382 -0.949667 -2.224639 -2.598763 -2.960816 3.379919 0.222816 0.942230 1.113518 -4.718737 -4.843352 -2.661661 -1.893664 0.261730 3.977833
10 2.7559702396 2.382090 1.296911 -4.900437 2.598477 2.772460 -2.233365 -1.736129 2.081500 1.650955 -4.205075 -2.130608 -1.487967 -2.345180 -1.397136 -1.716997
11 2.7015194893 1.223033 0.753878 -2.628583 -2.497464 -2.568134 -3.571709 -0.133027 -0.736371 -0.197959 1.259944 2.556529 -0.970415 0.551564 -4.117893 2.503456
12 2.3547677994 2.760615 1.637084 0.666507 -0.296812 -0.360369 -2.151059 2.617976 -0.948978 2.066806 -3.988120 -2.317891 -1.918967 0.639324 4.789558 -2.943460
13 2.0817570686 -2.861651 -0.317796 4.594280 -3.389846 3.961378 -4.647582 1.719793 -3.439289 4.245920 3.623441 -0.892256 -0.625112 -3.529501 -3.726140 0.575740
14 2.4118275642 0.426166 -0.147355 1.070102 -4.147523 -0.234439 -4.606049 3.584716 4.777405 -1.292222 0.592932 0.725532 -2.601705 4.712397 2.708400 4.278017
15 2.4668393135 -2.390228 -2.493708 -4.281721 -4.221554 -3.169702 2.448671 0.701696 3.937152 -3.271217 2.046915 -2.345966 -0.898274 -3.459800 -1.605690 0.614025
16 2.1243889332 2.680185 -0.705304 3.523649 -4.374667 2.548772 -0.022689 -4.754554 -3.338344 1.766310 -1.162090 -2.168283 3.630268 0.801330 4.955920 -4.849488
17 2.0542502403 -2.985297 3.453898 0.348744 -3.178473 -0.653926 -0.252282 2.408773 0.799925 1.234983 0.880461 -4.184043 -1.672537 3.457048 -3.782739 3.202458
18 2.3941726685 -0.422411 2.894551 -0.519855 3.671920 -0.411460 -3.025575 4.563576 4.535276 -1.580169 0.287642 3.283274 -3.874022 4.539154 -4.854539 1.473147
19 1.7524248362 4.267849 -3.982908 -0.808301 2.847801 -1.165801 3.024026 3.824250 -2.245691 2.187993 1.074718 2.802503 -1.554508 3.158748 -3.111850 0.133383
20 1.7638752460 -4.101913 2.513076 4.732298 2.396614 -1.571918 1.162399 -1.000150 0.356458 -1.468951 3.329416 0.884918 -4.920992 2.971151 1.441389 -2.368234
21 1.9005556107 -3.542607 -3.033985 1.310043 4.327188 0.781787 -1.059588 -3.103203 -2.843964 -3.638496 4.329356 1.003088 -0.589879 -0.599012 0.445565 -3.778796
22 1.3663212061 -4.810282 -1.616593 -0.285790 3.789744 -2.455515 2.911441 2.933724 -4.076498 0.901138 2.912692 -1.451786 -3.985311 -2.479480 -1.106423 -0.351858
23 2.2650744915 2.203726 4.718393 1.788328 -4.052931 0.306561 4.519515 -2.523988 -1.993282 3.647473 -1.287541 0.102583 -4.419274 -4.942103 -4.903635 -2.265303
24 2.0400369167 3.737020 0.333809 4.117570 -0.378529 0.957155 2.262867 1.214981 3.883593 1.939872 1.834229 3.251965 3.713466 -0.633537 -0.161384 -4.305584
25 2.0380501747 3.321060 -4.054691 -0.621380 -1.506342 -0.747991 -4.843374 -1.664871 3.711058 2.442076 4.645225 1.318524 -2.132991 4.776717 -3.838854 3.734353
