evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.1346523543 -3.107287 -3.678619 -4.528195 -3.983994 0.568304 1.067737 1.190717 -0.331621 -4.363064 0.351446 -4.591590 -3.343144 -0.332973 -3.998556 -2.084318
2 -1.9680844274 6.266473 -17.828694 1.243754 4.221295 3.063714 17.810352 -21.465311 2.768125 0.327803 24.395689 -7.988951 -4.674401 20.993419 -4.207317 -3.631889
3 -1.9509019201 4.919495 -18.612528 14.393387 4.423411 15.791359 20.475590 -9.744728 22.691123 -12.664805 30.943419 -4.331536 -16.314364 28.955201 2.656543 -13.459002
4 -21.8928960638 20.510578 -29.366264 -2.918921 11.941491 10.922292 18.329340 -28.311384 -1.182574 3.938570 28.796319 -4.981711 -1.315816 27.301962 -0.346963 -14.077859
5 -18.9865789966 19.721949 -30.295155 -7.572646 12.523474 20.992190 23.596364 -30.148894 0.631832 6.122039 25.624644 -12.613112 -0.654934 13.108239 3.045572 -23.288744
6 -22.6940106021 18.339450 -43.689477 -1.498469 9.592613 5.612095 12.475791 -17.641252 2.503351 -3.694615 29.682045 -23.859549 11.760736 49.892321 -14.678927 1.269792
7 -7.4039251048 8.451285 -36.148798 21.095144 8.421786 6.023308 5.901135 3.284540 -17.477791 -17.364229 39.338102 -36.057277 9.737371 37.186500 -15.405441 -8.402587
8 -55.0423322429 28.164755 -38.522666 -7.274662 8.163782 2.049958 7.581364 -24.730767 4.146001 -6.837815 29.053537 -30.926442 9.273110 75.568272 -10.546627 1.109969
9 -89.0296427381 39.389574 -19.668421 -31.118136 9.668375 -7.231398 4.620052 -19.396626 5.387201 4.404404 36.226994 -37.312548 5.528537 86.264807 4.799538 3.999506
10 -120.1438557322 45.499125 -25.919459 -40.022850 8.262006 -3.147255 21.737896 -27.860828 6.207421 -3.797351 29.437193 -25.585663 1.568243 107.253062 5.960862 9.644932
11 -78.0404016193 34.937805 -18.363381 -41.669674 12.018374 -8.018309 37.582562 -38.154727 9.691567 6.082744 33.334684 -31.288122 -5.814319 106.605199 14.628919 3.722792
12 -189.8533248721 58.885957 -12.389440 -36.712520 7.738340 -25.990250 23.702133 -20.249469 11.779147 6.480942 35.488924 -26.270350 -6.405062 112.425195 -6.758971 5.657326
13 -246.3781197267 68.950651 -16.735692 -42.403925 12.678442 -25.352158 19.848245 -10.811384 -12.903995 19.180792 33.264329 -23.157425 -10.496250 105.977381 -0.099268 12.055494
14 -278.8140659314 72.958320 -11.330634 -28.232984 14.906931 -25.052653 11.487499 -11.754225 -15.045899 24.230410 32.734773 -28.573600 -1.704167 102.924913 -0.831932 28.219445
15 -213.2459901154 61.949245 -19.644356 -34.319362 19.457576 -33.821392 11.838007 -14.080601 -13.939595 22.876434 15.653870 -24.582929 -0.313568 113.685203 -7.840139 16.819633
16 -180.7219816342 57.148642 -1.685434 -26.058229 14.876784 -4.186478 3.326535 11.335559 -8.590609 9.521585 21.424656 -29.947904 0.829150 106.844077 13.596505 12.874887
17 -217.8470398201 61.857411 -26.432519 -12.217010 4.685663 -5.278448 17.288051 2.191196 -13.614215 27.162728 29.267388 -20.453186 16.864826 116.596544 -5.594518 23.912555
18 -241.8862895711 66.922926 -12.705257 -40.728081 25.755532 -30.162522 7.130172 -12.360309 -9.549572 27.340098 22.154335 -24.029233 -0.650819 113.099829 -19.085893 14.952032
19 -280.3258092916 70.727202 -25.315972 -47.151998 22.992768 -7.659376 6.826884 -31.955590 -26.964474 26.044907 51.840812 -24.504627 -16.069274 133.644268 14.493480 23.748280
20 -345.3432421822 80.996463 -20.204985 -58.076705 18.945966 -28.557128 -15.971406 -23.686703 -21.593886 29.664521 36.688973 -42.587138 -28.889730 127.368323 9.108881 -12.244316
21 -453.4767982169 93.372440 -23.112999 -46.365390 -12.422941 -48.394845 -21.003902 -44.137188 0.978367 43.784434 35.539288 -56.218405 -13.813660 122.396136 3.564329 -27.190119
22 -503.2854090353 99.298010 -14.710331 -56.589144 -30.656624 -66.223550 -46.558981 -33.536390 -7.864507 35.304223 37.421915 -39.054064 -38.962734 127.952974 7.688554 -40.799880
23 -634.2183820393 113.522622 -18.522039 -54.795857 -28.270767 -73.432035 -73.889114 -10.211495 9.015358 29.915438 14.199366 -37.710841 -40.675086 119.727820 0.252972 -38.918319
24 -847.9138205756 129.583264 -28.994021 -55.296503 -56.189733 -56.282081 -71.368166 -23.001944 20.248850 29.785685 4.311876 -42.722123 -32.711345 129.944621 -12.434963 -14.075269
