evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 3.1125051975 -0.850905 -0.637836 -4.708898 -0.826965 -1.134937 -1.245768 -4.169838 0.664457 0.106042 4.597422 -3.451680 3.531174 4.817157 0.009815 -3.050485
2 2.7554929256 -1.014188 -1.192011 -4.884000 -1.755258 -1.326091 -1.998495 -4.482783 2.534448 -1.303254 2.497974 -2.175768 2.806247 4.480900 0.799402 -2.513722
3 2.0156123638 -4.599980 -0.579419 -4.976546 -2.091214 -0.754495 -2.554049 -4.549153 0.945465 0.055086 4.861650 -3.995957 3.874249 4.777032 0.322826 -3.055590
4 3.3040609360 -0.530181 -1.088564 -4.979031 -0.683174 -2.328826 -0.386597 -2.819731 1.939758 -0.317112 4.779772 -3.955995 4.909834 4.638136 1.555744 -2.269557
5 3.1832869053 -0.510641 -1.111720 -4.967386 0.934982 -2.074946 -0.788078 -2.917927 1.872941 0.869611 3.820409 -1.727669 3.792840 4.662088 0.239683 -4.039677
6 2.4743852615 -2.039407 -2.015703 -4.434767 -2.356811 -1.151727 -1.027708 -4.945311 2.120913 0.455178 4.637832 -4.246022 3.913175 4.978055 -0.333401 -4.285033
7 2.7644433975 -1.156303 -1.581064 -4.010160 -3.083905 -4.184469 -1.918136 -4.148218 1.878258 -0.418424 3.573068 -4.946289 3.582330 4.507799 1.727142 -1.510639
8 2.4924857616 -2.577030 -2.446337 -4.999962 -1.912900 -3.059870 -2.188897 -3.876369 1.086659 -1.763116 3.499197 -2.876166 1.792913 4.790642 0.772951 -3.869506
9 2.5766253471 -1.755263 0.731390 -4.328274 -2.081240 -2.266701 -1.871122 -4.883411 0.547564 -1.452792 3.697240 -2.413112 4.122578 4.787323 0.858786 -1.096394
10 2.9042782784 -0.595892 -0.713715 -4.342137 -1.430131 -1.225571 0.201114 -4.722311 2.595675 -2.234916 4.201757 -4.484229 4.993393 4.877424 0.003290 -2.696894
11 1.9650729895 -3.151300 -1.936135 -4.616274 -3.082836 -1.929673 -0.390040 -4.990446 0.328062 0.642832 4.354170 -2.629212 2.542125 2.969565 -1.415472 -2.876666
12 2.8072679043 -1.142451 -0.277418 -4.777579 -1.654481 -1.726482 -2.498659 -4.179511 0.692883 -1.161791 1.845269 -4.318208 4.441354 4.717642 -0.766425 -3.410320
13 2.1218230724 -3.178712 -2.940563 -4.212455 -0.636073 -1.828376 -0.000441 -3.008591 0.792033 0.524085 3.109189 -1.660789 3.338540 4.572704 -0.746577 -4.197154
14 2.4453947544 -2.649789 -0.481075 -4.500691 -1.925600 -1.952653 -0.069319 -4.141051 1.500758 0.522936 4.939196 -2.102537 1.492965 4.485879 -0.679706 -4.121949
15 2.0938920975 -4.006369 -1.718535 -4.000539 -2.374339 -2.602055 -0.421584 -4.908125 -0.385697 0.878498 3.598776 -4.126724 1.034591 4.959493 -1.393388 -2.913486
16 2.4977598190 -1.976792 -3.714824 -4.661514 -2.669965 -2.199576 -1.832700 -4.637448 0.277235 -0.383321 4.808708 -2.805242 3.635817 4.911303 0.747848 -4.996102
17 2.3996920586 -2.158964 -1.802617 -4.646775 -1.985776 -3.572276 -2.004511 -4.930958 1.092662 2.707909 4.886439 -0.997833 4.130872 4.636586 -0.904235 -3.209968
18 1.8638397455 -3.021111 -0.912544 -3.129227 -0.343166 -0.441726 -0.598562 -4.315043 1.428798 -0.666697 4.635383 -1.689916 2.845675 3.540003 -0.968804 -3.733931
19 1.9037530422 -4.963114 -1.571369 -4.801211 -3.533058 0.160107 0.375407 -4.356171 0.433405 0.924047 4.621889 -2.485059 3.110973 4.987114 -0.617931 -4.008258
20 2.6077516079 -1.826795 -0.677931 -4.561896 -1.891281 -0.452568 -1.141506 -4.955267 1.122330 0.295822 3.739160 -3.454049 4.145855 3.671155 -0.674893 -3.779600
21 2.2350573540 -1.955244 -1.163420 -3.698894 -2.314772 -1.723828 -0.357394 -4.988991 3.258065 0.164714 4.903441 -4.998328 3.567098 4.991291 -0.996507 -3.183264
22 2.7076501846 -1.402390 -1.493963 -4.757677 -1.543183 -1.538823 0.787162 -4.805934 0.016573 1.261393 4.958585 -2.529087 3.866102 4.988239 -1.452315 -3.801117
23 2.1524338722 -3.115168 -1.299116 -4.994257 -1.015054 -0.997134 -0.849991 -4.821488 -0.977435 0.576061 3.209412 -3.719666 2.786532 4.850466 -0.951075 -2.975818
24 2.4800996780 -2.206493 -2.736149 -4.999578 -3.657405 -1.069057 0.036357 -4.492391 0.177843 1.410586 4.754195 -3.884452 2.367943 3.328311 -0.925591 -4.886560
25 2.2719612122 -2.070531 0.081373 -3.821568 0.297307 0.905970 0.369583 -3.711643 -0.048651 -0.634531 4.572699 -0.480214 1.960695 4.223129 0.754805 -3.757711
26 1.7199174166 -4.862016 -1.131219 -2.880802 -2.052516 -0.517449 0.283136 -4.518700 1.752860 -0.217995 3.252332 -3.024806 2.131296 3.958625 -1.402466 -2.389859
27 1.8535310030 -3.681192 -2.208432 -4.060670 -0.933052 -1.606651 0.382565 -4.350901 1.637960 1.277708 4.510003 -2.278163 3.538779 4.722568 -1.985041 -1.774278
28 2.0017893314 -3.378607 -1.787517 -4.351447 -1.687052 0.588632 -0.297965 -4.973970 0.300105 0.357891 3.859913 -4.775855 3.122939 4.646378 -0.220146 -2.181122
29 1.9361977577 -3.526142 -1.020600 -4.651389 -2.134223 -1.639793 -1.507731 -4.973304 1.030209 -0.073422 4.015580 -2.928793 3.362094 3.803795 0.005005 -2.252101
30 1.9594520330 -4.241389 -2.873701 -4.845965 -1.623708 -2.221768 -0.607955 -2.146270 0.014347 0.198828 4.999903 -1.679442 0.285630 4.971408 -1.466273 -3.225142
31 1.8904054165 -3.932876 -3.878606 -4.260800 -2.975018 -0.921916 -1.572480 -4.887042 0.906157 -0.120126 4.303173 -2.466108 3.777598 2.572030 -1.578466 -4.550071
32 2.3493580818 -2.713808 -1.085161 -4.655419 -0.740531 1.542663 0.185331 -3.234384 0.572322 0.219503 4.606770 -3.465878 2.848396 4.689686 -1.241500 -3.798241
