evaluations raw_y x0 x1 x2 x3 x4
1 1850.2640646445 1.105385 2.410739 -2.062821 -4.806564 -0.730458
2 1247.5262371556 1.688451 1.638363 -2.448620 -2.440932 -0.257458
3 1859.9193298321 0.345372 2.303480 -4.404765 -4.637431 -0.520019
4 718.4927619042 1.650737 2.517159 -2.170256 -4.152665 0.382341
5 1153.0605359791 0.252205 2.821186 -1.991079 -4.849240 0.009958
6 1765.8488610965 -0.210408 2.204145 -2.075511 -3.619186 -0.686068
7 718.6427073967 1.289701 2.887079 -3.395617 -3.284525 0.407000
8 1575.6644412838 -0.456860 2.568814 -3.231973 -4.951382 -0.278440
9 882.0249976065 2.624596 1.228046 -2.927871 -4.918215 0.369749
10 380.4043137688 1.583691 2.729579 -2.786847 -3.461992 0.721412
11 821.0765641780 0.792572 2.767259 -2.993962 -4.714553 0.415054
12 -7358.0058580112 2.209269 2.407978 -2.033188 -4.149291 1.940330
13 -7643.9848588097 2.175057 1.503198 -4.290585 -4.053101 2.173430
14 2010.0879145834 1.779239 1.560758 -2.275602 -3.883759 -0.944641
15 -8403.9012619894 1.541632 1.332375 -3.895162 -3.619444 1.738716
16 -7105.2050278949 2.847239 3.115284 -3.705175 -4.413515 2.041041
17 -8436.9213419929 2.150326 2.527719 -3.557104 -4.406335 1.385456
18 -8442.4762625005 0.593438 0.262343 -4.615833 -4.822492 2.307486
19 -6197.9452312027 2.297697 3.669257 -4.646794 -3.764043 2.685156
20 -6217.7242649057 1.663482 0.998959 -1.438497 -4.998048 3.123007
21 535.9303951955 1.187711 3.504666 -4.991711 -4.992525 0.860035
22 -6131.2945146448 2.758254 3.912638 -4.607280 -4.994524 2.698326
23 767.6942652491 2.934085 3.228799 -4.203670 -2.472511 0.275869
24 -7109.6361511298 4.955622 1.819227 -2.699322 -4.012597 1.751652
25 -5169.1956321257 1.867954 1.261699 -1.923493 -3.977176 3.692855
26 -5188.3905476225 3.248471 0.619181 -3.363052 -4.836426 3.775626
27 1562.4379142768 -0.642000 2.804892 -2.170247 -3.434922 -0.493918
28 -4109.7613390603 1.197389 0.369306 -3.634915 -4.684208 4.970180
29 -9421.1636704738 1.294875 -0.630959 -3.170853 -4.973279 1.556756
30 -5150.7688678270 1.600271 -0.037431 -4.255268 -3.919928 4.270159
31 1523.6363389313 2.378349 3.076975 -1.549141 -3.883492 -0.593308
32 2558.7055881051 0.245642 2.423496 -2.519888 -4.001987 -1.473027
33 -5619.8441461085 1.737285 0.312272 -2.281070 -3.516127 3.607651
34 -8056.7732942526 2.203557 1.721343 -2.749716 -4.195107 1.693597
35 -7404.7764607433 1.120429 -0.178659 -2.879669 -1.595877 2.514548
36 549.3060247044 1.248472 0.216265 -2.855369 -2.096842 0.564874
37 -7494.1892738285 4.128376 -0.993000 -0.771479 -4.206120 2.051420
38 122.5466940029 2.683937 0.777749 -4.485067 -4.988837 1.326055
39 534.8584194440 2.275749 -0.035656 -3.461727 -4.940754 0.856120
40 206.3350804417 0.898130 1.707262 -2.386396 -4.769098 1.059526
41 -7138.3839628950 2.508126 -0.820449 -3.416266 -4.919922 2.918655
42 -5868.1741306124 2.577098 2.410367 -4.650082 -4.683874 3.199256
43 -6518.0692320528 2.584219 1.112319 -1.993880 -4.904100 2.767525
44 -7960.7659673477 1.766794 -1.795360 -1.904389 -4.831488 2.543068
45 -5724.9981600119 2.355709 -0.524528 -0.933273 -4.835497 3.567766
46 -5821.1344748444 0.228419 1.655528 -2.200628 -4.949079 3.610770
47 -6416.7933969758 3.835333 1.286179 -2.789320 -4.805973 2.630706
48 615.4900067770 3.715320 2.592236 -2.362334 -4.895157 0.491425
49 -7394.1983924128 0.579125 -1.196181 -1.673610 -1.871566 2.736033
50 -5423.9403783938 2.478724 -3.822930 -2.106804 -2.442433 4.336995
51 353.4112332788 1.283726 -2.495972 -2.889646 -4.162786 1.085221
52 -6839.0284073539 4.557060 -1.738594 -1.704131 -4.899146 2.726920
53 -9327.2154716519 -0.571518 -1.537874 -1.677748 -3.407753 1.870735
54 -7301.2431434044 3.444690 -2.716338 -2.631607 -2.219487 2.688421
55 -8175.2769325453 2.036914 -0.276109 -1.511548 -4.937863 1.998012
56 -6688.3207623149 2.871662 1.558085 -2.914889 -4.922125 2.603539
57 -6175.4726232705 2.612899 -2.047308 -3.198483 -4.355773 3.727097
58 -9182.8167785093 -0.671239 -1.894959 -2.914708 -3.474113 2.199321
59 560.7658193429 0.659420 -0.919477 -2.659337 -4.623895 0.835226
60 -8700.7217051155 -0.790667 -1.465645 -2.144208 -3.896488 2.415232
61 -7156.0292075875 2.033580 0.029450 -2.519625 -3.892247 2.633165
62 -8227.2459613179 1.200232 -0.652737 -4.079649 -3.558908 2.351065
63 -10093.6299423679 -1.207244 -2.220150 -2.231916 -4.542810 1.783413
64 -8417.3132577820 0.148910 -1.402252 -0.733151 -2.745705 2.153755
65 6.4621278847 -3.130452 -2.024414 -2.322486 -4.621150 1.582226
66 1061.0343652160 0.173978 -3.750614 -1.460355 -2.665993 0.190995
67 -10003.8938675063 0.138293 -3.493743 -2.965037 -2.997186 1.781581
68 -9408.6499185759 1.825167 -3.359795 -4.170976 -3.838514 2.030731
69 -8756.5143300228 -0.466501 -2.997526 -4.490309 -4.982515 2.981775
70 -8985.5179217875 1.353371 -0.324899 -4.357261 -4.989843 1.902945
71 -10759.5070234470 -2.935250 -3.193508 -0.804388 -3.447558 1.622263
72 -8155.9665815801 1.873721 0.629154 -3.826308 -2.967197 1.919819
73 -9920.5866026537 -0.541855 -4.430757 -1.693151 -4.337321 2.153260
74 279.4401226756 3.300453 -0.491209 -3.372266 -3.754520 0.995812
75 -8470.9251584284 -1.364210 -0.796066 -0.423722 -4.334016 2.400334
76 102.3106873897 -2.201520 -3.262446 -1.746907 -1.760084 1.206146
77 -10764.7993132761 -1.231656 -4.262038 0.151672 -2.539723 1.322839
78 -9021.6414654464 0.690146 -4.594356 -4.151334 -3.202309 2.709369
79 -9212.4975262772 -3.100290 -2.096276 -0.717178 -2.942268 2.413372
80 -7886.9494864044 -0.927329 -3.959985 -2.593451 -2.518883 3.429926
81 -6314.3002530880 -0.059171 -3.998108 2.475943 -3.110991 3.843579
82 1413.3883132008 0.456008 -2.650809 -1.819726 -3.996277 -0.094475
83 -9310.1335437086 -1.762741 -2.701934 3.312155 -0.267366 1.538059
84 -9801.6747846805 -1.373025 -2.953605 -0.629100 -1.768155 1.739742
85 -10605.2683685828 -2.949720 -4.979051 2.802266 1.149912 1.294415
86 -8488.6896392236 1.818238 -2.649600 -0.397819 -3.836936 2.103261
87 -9900.5834889886 -0.978797 -4.934253 0.052071 -2.441394 1.997093
88 -9916.7938391938 -4.237214 -3.772631 2.690019 -1.718844 2.034716
89 484.8312302988 -4.866350 -3.492310 4.006972 1.832468 0.104102
90 -9957.8546332652 -4.212986 -2.633701 4.860731 -2.036412 1.564057
91 -9971.4968491460 -4.995221 0.301553 2.403589 2.928830 0.902823
92 366.0232901274 -3.835693 -3.775028 4.415980 1.362129 0.210008
93 -8178.3911562862 -4.261800 1.367800 1.555357 4.916764 1.653896
94 -7152.6246660528 -1.300160 -1.172150 1.725678 1.204628 2.617170
95 88.4308791318 -2.920349 0.559280 1.072416 -2.578691 0.890826
96 -6130.5362213540 -2.125434 -1.286246 0.086629 3.002225 3.500057
97 -8828.7711846903 -1.725212 -3.199010 2.353412 4.981546 1.578187
98 389.0857526822 -4.810880 -4.758263 3.077878 -1.600903 0.645741
99 -4024.9061131606 -1.245544 -1.684368 1.630014 1.455038 4.807948
100 -5310.4274563347 -4.674869 -0.223344 3.233827 3.940588 3.909313
101 -8390.1459224994 -4.167870 1.841416 4.926648 -0.384652 1.523028
102 -6189.2606359293 -4.232058 -2.608585 3.280804 1.181110 3.974690
103 -9678.3567968152 -2.208586 -1.169075 4.784101 4.503305 0.463796
104 -6644.6031530518 -4.978519 2.526740 4.977247 3.592097 2.344705
105 1072.0025938784 -1.425150 3.203899 4.452079 2.770581 -1.086053
106 667.5033702091 -4.674962 -4.799535 0.943152 2.045557 0.214286
107 -8970.7973000274 -2.950973 0.352496 -4.275635 4.086849 1.770768
108 -9053.9443214557 -0.773167 -0.403041 1.759714 4.014160 0.811326
109 2624.1269432395 -3.980951 -2.854121 2.766892 3.907870 -2.278292
110 663.4535118428 -3.028530 -1.348030 3.954690 -1.160134 0.011585
111 1280.5284206808 -4.812807 0.476871 3.924880 2.332607 -0.961803
112 -8465.1317076768 -2.881693 4.016258 4.793106 -2.807035 1.005907
113 326.9182085412 0.493900 3.673099 3.170243 1.940219 -0.215887
114 28.9372025853 -4.655219 -0.531884 -1.078618 3.128382 0.754771
115 -7397.8515902094 -2.230506 -4.992406 4.549162 1.204456 3.127500
116 604.8735312651 -4.033327 -2.018982 -1.237789 4.552471 0.088553
117 -3492.2605820182 -2.930220 0.519811 1.100044 2.771278 4.973478
118 -4658.6295118264 1.367900 -4.888605 -2.455972 2.537416 4.870964
119 1181.1336689074 -0.244215 4.358234 -0.113327 -3.530868 -0.353321
120 -6098.6292351914 -1.370247 3.677877 -0.092685 1.438688 2.505055
121 -7725.3975203418 -4.467381 -1.897512 4.999331 0.610336 2.707424
122 -11066.5792361258 -3.269980 -2.942780 -2.756785 3.982430 0.953661
123 -7735.8454721202 -4.992380 -3.978926 4.906259 3.886772 2.944450
124 -2482.1215708179 -0.735419 -1.178421 4.968395 4.653500 4.994181
125 -5889.9524642583 -4.436184 -0.210794 -0.838107 -3.628811 4.597640
126 -7450.4474963061 0.147787 -0.952820 4.433692 -1.460608 2.044909
127 -3806.7981991198 -2.051752 0.739336 3.529900 3.181116 4.248293
128 -6311.7878009535 -0.627942 -0.588874 2.292541 2.882379 2.716890
129 -9733.0101805226 -3.796890 -4.802729 4.256810 2.223668 1.757908
130 -9792.5952024846 -4.513030 1.759820 -3.021687 0.104554 1.462229
131 338.0627299261 -1.565236 -1.918162 -4.290555 4.208303 0.564605
132 -10584.1243401973 -1.815944 -4.121512 3.159049 1.125154 0.873256
133 -6289.6319331923 -4.326869 -2.410724 3.548845 4.999118 3.505254
134 -9205.5309236468 -3.696550 0.893996 2.573041 2.431616 1.069795
135 -10344.7018663756 -3.151004 -4.797333 -2.594453 2.271804 1.942181
136 -9647.7000106985 -2.653414 -4.966079 -1.778769 0.031602 2.468814
137 2113.0875471526 2.299667 -4.487931 2.457449 -1.764002 -1.372433
138 271.0517119416 -1.590263 -2.620774 -1.297397 4.254928 0.407857
139 2845.8247213536 2.913463 3.528789 -2.446272 3.841287 -2.623000
140 -7744.7089001586 -3.954034 1.414944 -1.134873 3.888223 2.256665
141 460.0835422741 1.299485 -1.951722 3.946214 2.646667 -0.241277
142 -6562.3490222501 -3.955239 -0.766393 -0.386499 2.152067 3.586960
143 -10646.0252789445 -4.886247 -3.054053 -0.700609 2.192089 1.521931
144 -8322.3702476100 -0.573540 0.344419 0.292043 1.223253 1.522379
145 -8614.7445774777 3.794106 -0.078420 -0.493061 3.529816 0.431317
146 -6533.1047176016 -3.457998 -1.418638 -0.413122 4.347118 3.446249
147 -6829.6775833692 -4.724417 0.082955 -0.731969 1.845572 3.445475
148 -8071.9006961381 -3.752058 -4.005304 -2.890501 4.696953 3.235430
149 -8982.1207977666 -4.221744 -4.080617 -1.146892 -1.801948 3.141075
150 -10038.7925292397 -3.674662 -4.423059 1.127116 -0.445150 2.026872
151 -7019.6998843665 -4.997482 3.640215 0.675955 1.888973 2.477881
152 1149.1269989241 -2.451266 -1.368297 1.097939 1.317305 -0.489677
153 -10281.5060603997 -4.949118 -4.563661 0.079221 0.485817 2.167432
