evaluations raw_y x0 x1 x2 x3 x4
1 3.9090565748 -1.777524 4.770843 3.431161 0.348738 0.114205
2 3.8308384928 3.827091 4.070796 -2.548605 -4.237955 3.965491
3 3.4240927408 -2.842077 0.983962 -3.346589 3.409462 -2.543353
4 4.4756225317 0.345173 -2.962398 -4.044570 -4.453698 4.484591
5 3.5850845764 -0.154775 -1.073664 1.364504 2.477568 -3.225563
6 3.8468586327 3.572282 -0.696101 -1.107246 1.517214 2.161507
7 3.4981598648 4.405992 -1.790136 -4.896186 3.844012 -4.187759
8 3.6069643498 1.241294 2.420380 -1.757082 -2.392655 0.382609
9 4.5395666412 -4.552190 -4.567743 1.872144 -3.352632 3.252279
10 3.7901629185 2.222257 -4.040022 4.779489 -1.669132 2.842664
11 4.4241959829 2.589688 -3.277840 -0.148104 -0.717664 -4.657411
12 3.6710122940 -3.454830 0.050883 0.681944 4.998703 -0.899562
13 3.7320062592 -1.637500 1.703258 2.429979 1.988481 -1.695182
14 3.9350936045 -0.814064 3.350280 3.682486 -0.192275 1.463706
15 4.3944173680 -3.785885 1.614472 -0.984734 -1.206948 -1.495627
16 3.7309256123 -0.337891 3.839590 0.933997 3.172103 -4.843777
17 3.7878932400 1.544655 3.467177 -3.027391 3.841872 -1.743598
18 4.7507961758 -1.364428 -3.212732 -4.423396 4.300917 -4.973293
19 3.7193224202 1.457328 -3.651727 2.813613 3.979751 -2.103535
20 4.5804077402 -3.531924 -4.143780 -4.851378 4.059506 0.626317
21 3.5424578882 -3.473414 0.406715 -2.103968 3.912017 -0.340010
22 4.4285090591 -1.958767 1.810536 -4.852178 3.237752 -4.503841
23 3.6197446704 -2.000514 1.416693 -4.093665 3.766317 1.101554
24 3.6547159973 -1.418095 0.174794 -1.487925 3.049648 0.681486
25 3.6618671414 -1.734782 1.170182 -2.819651 3.272572 1.277121
26 3.4886295207 -1.917212 0.333921 -2.865011 3.624567 -2.020951
27 3.4441548724 -3.400952 2.013903 -2.721336 2.732241 -2.498050
28 4.5335869483 -3.732690 0.351286 -4.677831 2.927098 -2.220399
29 3.4832984263 -2.176888 2.153157 -3.413214 2.982781 -2.513929
30 3.5444074299 -3.529521 2.136656 -1.517156 3.685099 -2.328609
31 3.4394027576 -3.387487 1.891990 -3.408998 3.350705 -2.430407
32 3.4332737955 -2.327968 0.791545 -3.441467 3.052316 -2.200497
33 3.4657299008 -2.482212 0.978904 -3.274512 3.495667 -2.092619
34 3.4428291765 -2.573701 1.173122 -3.475986 3.378258 -2.406575
35 4.3582148260 -2.842958 0.728860 -3.447954 3.493034 -3.462169
36 3.4493800200 -2.933247 1.324013 -3.315583 3.652694 -2.481118
37 3.4309247539 -3.005177 1.347992 -3.173596 3.111878 -2.461544
38 3.4440466447 -3.067472 1.334918 -3.205222 3.524967 -2.463890
39 3.4406641935 -2.775948 0.939078 -3.330457 3.649434 -2.437104
40 3.4530092562 -2.743257 1.175164 -3.177049 3.570570 -2.494658
41 3.4386016175 -2.676130 1.000195 -3.284832 3.535928 -2.577902
42 3.4228084507 -2.777388 0.910664 -3.314036 3.330346 -2.517909
43 3.4213963089 -2.891933 1.194047 -3.405040 3.276034 -2.574120
44 4.2622828100 -2.854349 0.766947 -3.353705 3.448060 -2.524428
45 4.2666793697 -2.971920 1.143914 -3.401157 3.239463 -2.571354
46 3.4346974474 -2.869463 1.251574 -3.401517 3.300699 -2.374409
47 4.2641026632 -2.864264 1.242089 -3.437019 3.288685 -2.765101
48 3.4291106970 -2.861847 1.235782 -3.352150 3.307681 -2.551906
49 3.4237317987 -2.875365 1.239799 -3.344797 3.298856 -2.665444
50 3.4285743526 -2.868146 1.177379 -3.438528 3.308260 -2.413818
51 3.5822222752 0.734021 3.113328 -3.152253 0.091388 -1.464672
52 3.5300984675 1.914924 -4.495710 1.179877 3.752389 -4.236235
53 4.3028414135 -4.975819 2.201054 2.705817 -1.740674 -3.108427
54 3.6089574578 4.586902 -2.014229 -2.266176 2.491750 -2.857564
55 3.5055454049 3.353573 -3.912558 3.442096 -0.766621 -4.569603
56 3.6090965681 -0.721155 2.773409 0.690224 -4.264826 1.466250
57 3.5332751236 -3.651827 -2.988891 0.055311 1.650016 3.124166
58 4.0828671210 1.519996 4.152296 4.732827 -3.540139 4.045836
59 3.6591185259 3.784067 -1.410448 -2.639260 -1.181528 2.548987
60 3.4552564597 -2.591533 -0.624801 1.796667 -2.462962 0.265417
61 4.4246841499 -1.816966 -3.083039 -4.235934 2.015725 0.934788
62 3.8795008837 -1.528810 1.391587 -0.867271 4.986985 2.220772
63 4.4972745491 0.241063 4.602669 -4.919005 -4.641764 -2.171388
64 3.9322366346 2.627341 0.857229 3.927346 0.911929 -0.899845
65 3.6945773232 -4.226338 -0.200310 -1.608080 3.029439 4.927912
66 3.4711217960 -1.968640 -3.595256 4.320188 -3.901522 1.895272
67 4.5819171547 -3.896924 0.241249 1.295928 -4.798974 -0.637494
68 3.4955749215 -2.693013 3.007045 -0.285516 -1.290550 -1.421880
69 3.5469907280 -1.500845 3.308606 -0.816786 -4.471551 1.986842
70 4.3890248096 -2.701342 -0.389752 0.729657 -3.031779 -0.393277
71 3.7352272429 0.414709 0.825460 3.210248 -2.870113 1.283291
