evaluations raw_y x0 x1 x2 x3 x4
1 5.2343206406 -4.843298 -4.634772 -3.048769 0.743689 -2.862266
2 3.5622506142 1.109233 2.230034 -0.978838 0.481081 -3.987728
3 3.5551259518 -0.830516 -2.988414 4.585718 -0.067521 -1.979424
4 4.5061879158 -1.552094 0.642788 -1.983523 0.612696 -4.539063
5 3.5922155380 -2.902880 -0.691481 0.255260 -1.560444 4.472342
6 3.9523599148 4.387302 1.039886 3.133816 -3.642955 2.962139
7 3.3845436573 -1.067658 4.929338 -4.904780 -4.406069 0.180095
8 3.8108742237 -0.984383 4.115549 -3.992653 2.949757 2.511261
9 3.9078574181 -4.358632 4.482700 2.251725 -0.255873 4.755749
10 3.6932611465 4.298073 -4.193391 4.718877 -4.889385 1.955874
11 3.2998182774 -2.831362 -4.238472 4.505683 0.053964 -4.727495
12 5.4070954323 -0.028687 -3.899192 -4.686149 -1.571717 -3.656811
13 4.2685594559 -4.128322 -1.327971 -2.137516 2.105091 1.404876
14 3.9353587627 -0.577638 4.396097 2.077981 -0.728638 2.322455
15 4.0952281952 0.133018 4.380333 1.570754 0.317975 4.781477
16 3.6930694580 5.000000 5.000000 -0.646637 -2.620827 -4.799980
17 3.5125758648 -2.856090 0.302729 0.263356 5.000000 -5.000000
18 2.9280152321 -5.000000 -5.000000 3.668515 -5.000000 -5.000000
19 3.2132780552 -5.000000 -5.000000 3.012355 2.590339 -5.000000
20 3.3380568027 5.000000 -5.000000 3.464031 -5.000000 -5.000000
21 3.9594225883 -5.000000 4.130995 -0.951502 5.000000 5.000000
22 4.3873329163 -5.000000 -2.637815 2.669840 -5.000000 -5.000000
23 3.7677268982 5.000000 4.471041 4.272342 -5.000000 -5.000000
24 3.6491451263 -5.000000 0.876084 5.000000 5.000000 -5.000000
25 3.2977874279 -5.000000 2.474598 -5.000000 -5.000000 5.000000
26 3.7343142033 5.000000 2.921608 -5.000000 5.000000 -5.000000
27 3.6691834927 5.000000 -3.165140 -0.476402 5.000000 -5.000000
28 3.5582218170 -5.000000 -5.000000 3.786535 5.000000 -0.044671
29 2.8968238831 -5.000000 -5.000000 2.985182 -5.000000 -5.000000
30 4.4132142067 -5.000000 -5.000000 1.390281 -5.000000 -5.000000
31 3.4820489883 5.000000 1.807070 0.159652 -5.000000 -5.000000
32 4.2968316078 5.000000 1.195662 -0.188098 5.000000 5.000000
33 3.0906693935 -5.000000 2.987960 -0.212225 -5.000000 -5.000000
34 3.7624130249 5.000000 3.597045 -5.000000 -5.000000 5.000000
35 4.2687597275 -5.000000 1.826388 0.698511 -5.000000 -5.000000
36 3.0870137215 -5.000000 3.443763 -0.771159 -5.000000 -5.000000
37 3.4587931633 3.626254 3.210958 -0.412520 -5.000000 -5.000000
38 4.1980633736 3.898160 1.340431 -1.595378 5.000000 5.000000
39 4.6759119034 -5.000000 1.112822 -0.492747 -5.000000 -5.000000
40 3.5426666737 -2.676656 -0.324236 1.407150 5.000000 -5.000000
41 3.6742296219 -5.000000 1.781831 -5.000000 4.679047 5.000000
42 3.8124878407 5.000000 -0.512594 0.204295 5.000000 -5.000000
43 2.9487459660 -4.416961 -4.614316 3.344439 -5.000000 -5.000000
44 4.6494617462 -5.000000 2.666080 -3.337209 -5.000000 -1.640285
45 3.4003231525 -5.000000 3.128435 -0.474661 -5.000000 2.407621
46 2.9804773331 -3.169273 -5.000000 3.294957 -5.000000 -5.000000
47 3.1366009712 -5.000000 3.760319 0.053608 -5.000000 -5.000000
48 3.8172054291 5.000000 -3.867704 3.728177 5.000000 -5.000000
