evaluations raw_y x0 x1 x2 x3 x4
1 -5636.2856445312 -4.749013 2.483774 4.470981 3.078836 3.866162
2 -5214.1650390625 -2.576232 2.310118 4.659696 4.627135 4.069827
3 -5176.7690429688 -1.442903 2.740698 4.278734 4.564949 4.036624
4 -4848.9785156250 -1.733114 0.478457 4.999030 4.998197 4.999612
5 -5720.4750976562 -3.493224 1.953333 3.720234 3.750278 4.075117
6 -5158.7885742188 -4.038292 4.291705 4.575158 3.824691 3.689565
7 -5794.9624023438 -3.694842 2.240765 4.713916 3.698498 3.362389
8 -4836.1274414062 -2.296053 2.475080 4.953560 4.103131 4.912033
9 -6211.8242187500 -2.840168 2.239802 4.373884 3.367816 2.714528
10 -5023.8203125000 -2.061525 3.880589 4.277044 4.226378 4.122342
11 -4980.4897460938 -4.616789 3.990999 4.895392 2.437071 4.458320
12 -5760.4516601562 -3.542314 0.863833 4.550895 3.576579 4.088194
13 -4687.5717773438 -3.369122 4.098465 4.362278 3.613188 4.999684
14 -6794.6469726562 -4.983711 1.200770 3.424208 4.124741 2.253301
15 -6478.4169921875 -2.703543 1.891144 4.991658 3.769515 2.035355
16 -6114.2416992188 -4.056159 3.386343 4.574722 3.291103 2.574200
17 1139.6141357422 -3.180412 2.228289 3.675968 2.990385 -0.932328
18 -6358.5712890625 -3.660330 1.261720 4.797667 2.999626 2.831144
19 -5764.2709960938 -3.838440 2.823278 3.440309 4.829219 3.168649
20 -5292.0234375000 -3.160501 3.286694 4.271371 4.921180 3.553911
21 -5770.1333007812 -3.377496 1.651718 3.850610 3.043380 4.362156
22 -6075.2592773438 -4.057817 1.018571 4.606617 3.662843 3.314397
23 -6718.9838867188 -4.668312 1.459991 4.877724 3.972541 1.930353
24 -7775.5258789062 -4.126755 2.089315 4.625700 3.847638 0.733061
25 1540.6097412109 -4.925607 0.535122 3.493499 3.142981 -1.266512
26 -8268.6923828125 -2.682990 0.395749 4.821837 4.915168 0.155822
27 -6999.5375976562 -1.950052 -0.419123 4.836739 2.991707 1.817422
28 -7645.7260742188 -3.955069 2.197000 4.019581 0.105186 1.402037
29 368.1205749512 -3.796861 1.109752 4.887945 2.536655 -0.307728
30 -7842.3076171875 -3.369200 1.739691 4.851393 4.599224 0.462314
31 -4759.9321289062 -0.754594 3.778581 4.315615 4.921724 4.155114
32 -7182.8735351562 -4.849346 2.836687 3.619159 3.363034 1.486990
33 -7287.2114257812 -3.334227 1.460280 4.663403 4.995005 0.964491
34 -7488.3828125000 -0.290543 0.547316 4.222079 2.664585 0.612332
35 613.5116577148 -4.249067 0.808391 4.365493 2.732350 -0.480878
36 -7549.7543945312 -4.714165 -1.151493 4.167137 4.865209 1.429929
37 -7091.2587890625 -3.786649 -0.193434 4.487333 4.655589 1.706482
38 -8043.4506835938 -1.688872 -0.312627 4.513440 3.842306 0.512694
39 2873.1926269531 -2.504605 4.792377 0.958998 4.575198 -2.618186
40 -7941.6328125000 -4.219041 0.581905 0.129447 4.396417 1.247320
41 -5809.3125000000 -0.431914 -1.310204 4.894751 4.804103 3.214626
42 -7284.5048828125 -2.195891 -2.277403 1.313556 3.936699 2.633520
43 301.0120239258 -1.839908 0.014292 1.922328 2.307211 -0.343487
44 -7859.8457031250 -3.570589 0.123785 4.308667 2.532718 1.237034
45 -7298.4360351562 -1.143161 -2.103501 2.088484 4.270853 1.872207
46 -8186.8745117188 -1.587975 -0.360671 3.107814 2.737203 0.469102
47 1462.9600830078 -4.553495 2.318245 4.100711 4.819090 -1.558811
48 -6871.6044921875 -4.979045 2.047542 4.946164 2.901473 1.837733
49 1401.7387695312 -4.286128 0.182775 1.025873 3.370832 -0.916474
