evaluations raw_y x0 x1 x2 x3 x4
1 4056.4532391750 1.626901 2.612041 -0.299790 -4.836821 -3.054382
2 -6508.7947265690 0.149283 -0.763962 4.633009 -1.873339 1.929592
3 2888.1782848627 0.452382 2.479146 -0.579043 0.764952 -2.583000
4 -7881.9009778989 -4.169211 1.604006 -1.865539 0.225263 1.639211
5 -6911.7936638802 -1.142799 -3.549946 3.094255 -0.116613 4.815687
6 -6045.0704868237 0.970464 2.194148 3.171709 1.874143 4.533195
7 1112.2258441667 -2.710462 1.899772 -4.508307 -4.799500 0.610259
8 -6783.7874520202 -4.717875 -0.071216 -0.962646 3.392147 3.738331
9 3516.7466081922 -1.496361 -1.534126 1.274860 -1.637437 -2.885872
10 -6429.3568441551 -0.878179 -2.040016 4.596838 -3.982995 3.161240
11 4480.0053813726 0.166373 3.805648 -0.942795 2.368653 -3.990642
12 2876.0910951915 4.394062 -4.151476 1.939950 4.955507 -2.744165
13 -7369.4002076550 -0.955164 -3.009857 -2.111611 -4.183505 4.669665
14 -7128.2676939919 -4.300877 -0.731434 -3.519372 3.570054 3.145286
15 -5636.1072846443 1.592331 4.531366 -4.703734 -0.960204 4.237489
16 -8166.2714653649 -5.000000 -4.202118 5.000000 1.617714 2.293720
17 -6153.6494491514 -5.000000 4.052831 5.000000 2.033454 2.208215
18 -9821.7267670970 -5.000000 -5.000000 -2.708708 0.303927 2.646846
19 -6786.4324679344 5.000000 -5.000000 -5.000000 0.569810 2.548815
20 196.0395188253 -5.000000 -5.000000 -5.000000 -5.000000 2.186388
21 -9268.3536893336 -5.000000 -5.000000 0.123496 0.731740 2.696593
22 -5734.0948765036 5.000000 -5.000000 5.000000 -5.000000 5.000000
23 -9058.7809887562 -2.815824 -5.000000 -5.000000 0.868538 2.721317
24 -6437.4062557099 -5.000000 5.000000 5.000000 -4.162718 5.000000
25 -9093.5418326904 -5.000000 -5.000000 -0.111651 -0.274100 3.220187
26 -5227.7728560981 5.000000 -5.000000 5.000000 5.000000 3.430208
27 -10799.5170532992 -5.000000 -5.000000 -5.000000 1.718991 1.740408
28 121.7787717702 -5.000000 -5.000000 -5.000000 2.671165 1.094377
29 -10381.1173016162 -5.000000 -5.000000 -5.000000 1.777423 2.070090
30 -8118.0405035335 -5.000000 -5.000000 5.000000 -5.000000 4.015339
31 -8087.5034356474 -5.000000 -5.000000 -5.000000 5.000000 5.000000
32 -5602.7655499189 5.000000 0.580774 -0.509840 4.569421 1.788661
33 -6212.8525953589 5.000000 5.000000 -5.000000 5.000000 5.000000
34 -6905.6398802838 -5.000000 1.372542 -4.612910 1.278477 4.200397
35 1915.5656305062 5.000000 -5.000000 5.000000 -5.000000 -0.954319
36 -8051.4312362032 -5.000000 -5.000000 5.000000 -0.806859 3.384820
37 7320.1279998643 -3.155744 -5.000000 -5.000000 -5.000000 -5.000000
38 -9006.7983230332 -5.000000 -5.000000 -5.000000 0.457330 5.000000
39 -8985.1476087145 -5.000000 -5.000000 -5.000000 0.596366 5.000000
40 -6429.9567580401 5.000000 -5.000000 -5.000000 1.712284 4.164466
41 -7845.3778171747 -5.000000 -5.000000 5.000000 -1.335738 5.000000
42 -6110.1944996658 -5.000000 5.000000 -5.000000 0.735816 3.472128
43 -5570.9237078309 5.000000 -5.000000 5.000000 -0.221274 3.236988
44 -6867.9356711865 -5.000000 -5.000000 5.000000 5.000000 5.000000
45 -9480.4699470342 -5.000000 -5.000000 -5.000000 -0.530216 3.669249
46 -6436.8378616281 5.000000 -5.000000 -5.000000 5.000000 5.000000
47 -9385.0189802707 -5.000000 -5.000000 -5.000000 -2.663685 5.000000
48 -10736.3448268478 -5.000000 -5.000000 -5.000000 1.240042 1.876593
49 -7625.0950584586 3.840258 -5.000000 -5.000000 0.964849 1.765417
50 1883.5623669072 -5.000000 5.000000 -5.000000 5.000000 -0.950833
51 3195.2954979471 5.000000 5.000000 -5.000000 -5.000000 -1.813950
52 -8663.4621808133 -5.000000 -5.000000 -5.000000 2.418948 5.000000
53 -9950.8632506192 -5.000000 -5.000000 -5.000000 -5.000000 3.693767
54 -6776.6028066248 -5.000000 -5.000000 5.000000 5.000000 4.255477
55 5363.3631795487 5.000000 5.000000 5.000000 5.000000 -5.000000
56 -10435.4268168326 -5.000000 -5.000000 -5.000000 2.550978 1.867954
57 -6211.4538503987 -5.000000 5.000000 5.000000 3.383527 5.000000
58 -6407.2661413148 5.000000 -5.000000 -5.000000 -5.000000 3.751726
59 487.8228992833 5.000000 5.000000 5.000000 -5.000000 -0.136561
60 -9275.3441803251 -5.000000 -5.000000 3.956308 1.229623 1.793303
61 -10467.9765077491 -5.000000 -5.000000 -5.000000 1.723363 2.006663
62 -9533.0807416450 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
63 -10549.3442681574 -5.000000 -5.000000 -5.000000 1.964007 1.892382
64 1745.7684250911 5.000000 -5.000000 5.000000 5.000000 -1.680421
65 -10432.9759203002 -5.000000 -5.000000 5.000000 -5.000000 1.335871
66 -6340.8271754083 5.000000 5.000000 5.000000 5.000000 -0.189253
67 1252.9004599087 -5.000000 -5.000000 -5.000000 5.000000 -0.162733
68 -9598.5056557099 -5.000000 -5.000000 -5.000000 4.125468 2.236018
69 -5597.7938282937 5.000000 5.000000 -5.000000 -5.000000 5.000000
70 -6503.8815237569 5.000000 -5.000000 5.000000 -5.000000 1.298864
71 -6335.0491598284 -5.000000 5.000000 -5.000000 -5.000000 3.864907
72 563.8886259619 5.000000 -5.000000 5.000000 5.000000 -0.567601
73 -10058.0618086879 -5.000000 -5.000000 5.000000 -3.233434 1.494020
74 -6388.1314400865 -5.000000 5.000000 -5.000000 -0.089115 2.763838
75 -7360.9444827061 -5.000000 3.678240 5.000000 -5.000000 1.366818
76 -10259.3524616449 -5.000000 -5.000000 5.000000 -5.000000 1.459993
77 -7223.5584464301 -5.000000 5.000000 5.000000 5.000000 0.189978
78 -10119.1736964040 -5.000000 -5.000000 -5.000000 -4.252781 3.356498
79 -9428.5582052266 -5.000000 -5.000000 -0.401436 -5.000000 3.542132
80 -8162.8153949364 -5.000000 -5.000000 1.120957 5.000000 2.643723
81 -5947.8610818211 5.000000 5.000000 5.000000 5.000000 0.264493
82 -6013.9959102572 5.000000 5.000000 5.000000 5.000000 4.032251
83 -7765.0384873447 -5.000000 -5.000000 5.000000 -0.387439 4.046178
84 6047.3068950640 -5.000000 -5.000000 -5.000000 -5.000000 -3.905337
85 4435.0548199533 -5.000000 5.000000 -5.000000 5.000000 -3.265863
86 3108.8867069895 -5.000000 -5.000000 -5.000000 5.000000 -1.993247
87 -5316.0076785325 5.000000 5.000000 5.000000 5.000000 2.718021
88 -10994.5239067718 -5.000000 -5.000000 -5.000000 0.674188 1.771144
89 828.5898613453 -5.000000 -5.000000 -5.000000 -5.000000 1.384474
90 -10252.1483949296 -5.000000 -5.000000 -2.142750 1.498722 1.925913
91 2157.2805896273 -5.000000 5.000000 -5.000000 -5.000000 -0.460148
92 249.1648718419 -5.000000 -5.000000 5.000000 -5.000000 0.983405
93 -10051.3244557972 -5.000000 -5.000000 -5.000000 -2.153433 3.148717
94 -8176.0952522300 -5.000000 -5.000000 5.000000 0.785690 2.791797
95 -5687.7771231636 -5.000000 5.000000 -5.000000 5.000000 4.633099
96 -9061.6965439142 -5.000000 -5.000000 -0.691049 -5.000000 5.000000
97 -10326.2527108004 -5.000000 -5.000000 -5.000000 -5.000000 3.161101
98 -5450.2761457169 5.000000 5.000000 5.000000 -5.000000 4.290468
99 -10109.2886649644 -5.000000 -5.000000 5.000000 -5.000000 1.571188
100 -9854.4639029434 -5.000000 -5.000000 5.000000 -2.270796 1.564460
101 4651.6254281229 5.000000 5.000000 5.000000 5.000000 -4.459785
102 8.3276201405 5.000000 5.000000 -5.000000 5.000000 0.309219
103 -9705.9284198376 -5.000000 -5.000000 -5.000000 -5.000000 4.195435
104 -8991.5516541089 -5.000000 -5.000000 -1.030445 5.000000 2.111355
105 -9298.3516393127 -5.000000 -5.000000 -1.751541 -3.173957 3.974976
106 3275.5964362778 -5.000000 -5.000000 5.000000 -5.000000 -2.129421
107 -6577.0088637681 5.000000 -5.000000 -5.000000 -5.000000 3.078754
108 -5981.7744573238 -5.000000 5.000000 5.000000 -5.000000 3.685533
109 -9953.2549764239 -5.000000 -5.000000 -1.944442 -5.000000 3.134476
110 -8017.6234108935 -5.000000 -5.000000 5.000000 -5.000000 4.528377
111 374.9869444117 -5.000000 -5.000000 5.000000 5.000000 0.062147
112 -10325.6182776117 -5.000000 -5.000000 -5.000000 3.118105 1.838329
113 -8783.2850135505 -5.000000 -1.560841 -5.000000 2.781864 1.909467
114 -4883.0844867420 5.000000 5.000000 -5.000000 5.000000 2.565725
115 -6529.7466369098 -5.000000 5.000000 -5.000000 -0.846195 5.000000
116 -6131.7189778657 -5.000000 5.000000 5.000000 5.000000 1.239644
117 -10099.7843378529 -5.000000 -5.000000 5.000000 -5.000000 1.578362
118 -5332.3229371426 -5.000000 5.000000 5.000000 5.000000 3.348542
119 -9845.9168786503 -5.000000 -5.000000 5.000000 -2.255489 1.569628
120 1915.4026476691 -5.000000 5.000000 5.000000 -5.000000 -1.383436
121 -8086.4077187548 -5.000000 0.078146 -5.000000 -5.000000 3.231120
122 -6594.3914067735 5.000000 -5.000000 -5.000000 -5.000000 5.000000
123 -8431.3020212880 -5.000000 -5.000000 5.000000 5.000000 1.521909
124 -8857.8474588391 -5.000000 -5.000000 5.000000 -5.000000 2.724773
125 170.9473620610 -5.000000 5.000000 5.000000 -4.544567 0.298356
126 -10364.8821223848 -5.000000 -5.000000 -1.993513 1.958707 1.728915
127 -8242.1442257867 -5.000000 5.000000 5.000000 1.730304 -0.096599
128 -6175.9304886720 -5.000000 5.000000 5.000000 -5.000000 2.637773
129 -8129.4802241426 -5.000000 -5.000000 5.000000 5.000000 1.791119
130 -10136.6190459452 -5.000000 -5.000000 -2.848637 -3.520538 2.925162
131 1639.4986386139 5.000000 -5.000000 -5.000000 -5.000000 0.059634
132 -5710.1317314124 5.000000 -5.000000 5.000000 -2.798839 2.578367
133 -5418.4559813755 5.000000 -5.000000 5.000000 5.000000 2.268615
134 -6402.6784458215 -5.000000 5.000000 -5.000000 5.000000 1.439559
135 284.2298892817 -5.000000 5.000000 5.000000 5.000000 -0.321363
136 -5861.1436632034 -5.000000 5.000000 5.000000 5.000000 1.603130
137 2425.4051292257 -5.000000 -5.000000 -5.000000 5.000000 -1.343707
138 -8426.1784808669 -5.000000 -5.000000 -5.000000 5.000000 3.400671
139 -9631.8371737944 -5.000000 -5.000000 -5.000000 -5.000000 4.415124
140 -6254.6134439389 5.000000 5.000000 5.000000 3.737892 0.023625
141 -6423.5987470020 5.000000 -5.000000 -5.000000 -5.000000 4.403520
142 -5709.4320286404 5.000000 5.000000 5.000000 5.000000 0.605223
143 6680.2067325170 -5.000000 -5.000000 -5.000000 -5.000000 -4.443626
144 -9073.7678276458 -5.000000 -5.000000 -5.000000 0.249628 4.474906
145 -7014.8124379765 2.185071 -5.000000 5.000000 -0.788397 1.646907
146 -6389.4743411014 -5.000000 5.000000 -4.902182 -5.000000 4.475720
147 -8018.7105935858 -5.000000 -5.000000 5.000000 -1.874159 3.736311
148 -6465.7023278367 5.000000 -5.000000 -5.000000 -5.000000 3.426189
149 -4964.7047921256 5.000000 5.000000 5.000000 -5.000000 1.591350
150 -8619.3767029054 -5.000000 -5.000000 2.363609 -4.999506 4.292852
