evaluations raw_y x0 x1 x2 x3 x4
1 4.3288936615 2.952094 -4.014310 -2.916265 -2.242351 -4.537540
2 3.8212027550 0.122426 1.437150 -0.106718 2.659451 0.727190
3 3.5751802921 -2.520710 -1.033794 0.766326 -2.759662 4.746671
4 4.6137657166 -2.281421 -4.607212 -1.260443 -1.463332 2.805373
5 3.8633770943 4.085806 -2.852654 3.152660 4.073992 -2.609429
6 3.5188152790 2.107155 0.050276 2.126147 -4.329030 -2.112298
7 3.7763729095 -3.780009 4.779290 -0.772339 4.496471 -0.852827
8 3.5628499985 -3.111686 3.779988 -4.841644 0.762871 2.258772
9 4.9056439400 0.970770 -1.779805 -1.950160 -4.444298 -4.083111
10 3.4247541428 -4.404518 3.295711 -3.221985 1.109015 -1.107639
11 4.3720273972 -0.468840 -0.609730 1.388005 -3.029110 -0.332754
12 4.0700392723 4.822042 -3.396759 2.837360 3.352890 3.004032
13 3.7731449604 -1.535397 2.224590 3.755362 2.297866 -3.016543
14 4.0200953484 1.159990 2.537701 4.965380 -0.543827 1.327888
15 3.7721242905 3.007676 0.669941 -3.777589 -0.255376 4.045056
16 3.1449663639 -4.199634 2.207447 -4.214171 0.143018 -4.810118
17 4.4284014702 -4.930313 2.461895 -2.797384 0.354276 -1.183402
18 4.4220609665 -3.619025 1.640406 -4.815403 1.036160 -0.504447
19 3.5826561451 -4.973856 3.224507 -2.090542 4.785697 -1.610891
20 3.5053994656 -2.875298 2.793959 -2.944052 -3.362338 3.948432
21 4.5034160614 -4.496045 0.681197 1.707879 -1.384598 -3.611889
22 4.7065811157 -3.880177 2.023364 -4.174557 -0.605619 -3.734329
23 4.8525943756 -2.973025 -0.438460 -1.826354 1.287743 -4.103271
24 4.5681791306 -3.344686 0.041837 -0.698302 1.788734 -4.563864
25 4.3079500198 -3.958398 3.753902 -2.545275 -0.036640 -2.332512
26 3.1589756012 -4.272367 2.448038 -4.047094 0.151958 -4.832340
27 4.2913990021 -4.438233 1.837565 -4.016239 1.356990 -3.987265
28 3.3604657650 -4.909679 2.575831 -1.028493 1.281475 -3.768592
29 3.0615508556 -4.998041 3.003429 -4.926393 -1.297633 -4.692968
30 4.3403358459 -2.338229 2.260056 -3.935572 0.914245 -4.869352
31 3.1580824852 -3.978586 3.485342 -3.272565 -1.857965 -4.922107
32 4.4503087997 -4.928362 1.479499 -1.597338 -0.194491 -4.916355
33 4.7260265350 -4.385103 1.971106 -2.896563 -2.529419 -4.422813
34 3.2122154236 -4.684334 3.637230 -1.908950 -1.381952 -4.972324
35 4.5281486511 -4.757625 1.592123 -1.237254 0.250006 -4.169249
36 3.1035583019 -4.955820 2.864608 -4.352526 -0.852392 -4.581941
37 3.1787788868 -4.688248 3.561459 -3.680687 -0.356241 -4.967858
38 3.2004671097 -4.924863 2.966001 -3.080645 -0.216132 -4.317165
39 3.2024972439 -4.529563 3.477317 -4.073025 -0.197235 -4.220197
40 3.1065089703 -4.775325 3.628190 -3.962413 -2.121695 -4.571330
41 3.1244091988 -4.824461 2.925323 -3.807188 -0.813199 -4.857235
42 3.0701317787 -4.612618 2.776126 -4.963417 -0.956827 -4.938298
43 3.0469353199 -4.949935 2.992538 -4.966360 -1.868607 -4.440806
44 3.1105837822 -4.853968 2.864021 -3.789490 -0.990123 -4.931378
45 3.0912799835 -4.929152 3.251799 -4.876084 -1.069687 -4.588418
46 3.0576438904 -4.937281 3.211456 -4.453954 -2.208215 -4.579124
47 3.0775117874 -4.975352 2.960570 -4.431898 -1.781059 -4.240746
48 3.0647482872 -4.843595 3.159959 -4.061827 -2.342359 -4.690013
49 3.0093405247 -4.868637 2.747894 -4.865276 -2.395496 -4.732354
50 3.0751099586 -4.562464 3.024302 -4.670688 -1.635420 -4.697655
51 3.0162179470 -4.672991 2.964890 -3.978589 -3.320921 -4.922947
52 3.0210695267 -4.946817 2.530631 -4.964152 -1.920404 -4.521319
53 2.9778411388 -4.958385 2.736207 -4.850430 -2.902008 -4.913656
54 3.0586853027 -4.683281 2.973465 -4.313050 -2.083818 -4.812507
55 2.9981160164 -4.776871 2.992461 -4.832890 -3.058460 -4.721493
56 2.9220273495 -4.962119 2.879230 -4.486914 -4.859387 -4.890910
57 3.0426225662 -4.968963 2.341353 -4.897905 -0.892397 -4.924697
58 3.0550856590 -4.921849 2.697419 -4.942554 -1.033028 -4.858880
59 2.9649052620 -4.883609 3.019591 -4.507945 -3.862002 -4.997248
60 2.9419069290 -4.915037 2.660671 -4.275123 -4.543920 -4.683648
61 3.0360527039 -4.926228 3.252062 -3.495259 -3.822258 -4.475619
62 2.9162192345 -4.987900 2.773233 -4.908159 -4.464433 -4.861506
63 3.0034041405 -4.981585 3.212010 -3.331213 -4.588583 -4.604195
64 2.9721374512 -4.891371 3.320340 -3.945145 -4.630836 -4.952795
65 2.9617941380 -4.814602 2.941645 -4.936431 -4.065668 -4.414839
66 2.9137606621 -4.156616 2.290290 -4.943472 -4.832520 -4.786960
67 2.9134852886 -4.900559 2.626665 -4.858846 -4.381357 -4.978695
68 2.9496583939 -4.450991 2.537476 -4.880095 -3.844606 -4.904218
69 2.9923281670 -4.142247 3.220457 -4.900890 -4.065558 -4.664528
70 3.0614380836 -4.193724 2.647667 -4.468437 -1.828720 -4.987571
71 2.9431996346 -4.699044 2.426140 -4.430161 -3.995875 -4.989884
72 2.8943729401 -4.653628 2.482529 -4.992511 -4.991470 -4.816829
73 2.9102163315 -4.852293 2.666589 -4.826567 -4.874581 -4.698540
74 2.9066393375 -4.784181 2.525224 -4.838019 -4.851509 -4.703222
75 2.9008591175 -4.469752 2.357961 -4.858665 -4.894128 -4.911310
76 2.9412674904 -4.188815 2.640264 -4.952658 -4.314548 -4.958099
77 2.8971669674 -4.929422 2.410721 -4.706835 -4.931168 -4.724854
78 2.9086217880 -4.397444 2.289626 -4.730303 -4.884120 -4.837076
79 2.9319949150 -4.676659 2.616420 -4.660366 -4.366238 -4.917511
80 2.8932311535 -4.860267 2.308583 -4.992009 -4.428507 -4.993566
81 2.8847222328 -4.907684 2.413860 -4.800771 -4.940607 -4.979712
82 2.8966698647 -4.706326 2.181124 -4.987531 -4.429594 -4.907574
83 2.8712396622 -4.915659 2.269407 -4.993512 -4.991425 -4.914420
84 2.9085321426 -4.803963 2.456963 -4.802540 -4.563032 -4.875455
85 2.8887798786 -4.852660 2.442480 -4.978391 -4.730100 -4.991947
86 2.9064180851 -4.688145 2.346155 -4.913633 -4.592963 -4.773862
87 2.8801326752 -4.826416 2.388621 -4.987337 -4.994494 -4.912999
88 2.8768620491 -4.926861 2.164531 -4.843594 -4.776877 -4.988573
89 2.8923788071 -4.936993 2.322344 -4.798042 -4.698574 -4.878026
90 2.8661839962 -4.865324 2.120513 -4.973059 -4.997534 -4.934450
91 2.8832662106 -4.789240 2.225439 -4.978464 -4.758084 -4.912107
92 2.8677353859 -4.942506 2.111945 -4.918259 -4.913540 -4.943025
93 2.8663306236 -4.996499 2.039834 -4.986204 -4.759735 -4.924303
94 2.8687832355 -4.705012 1.962478 -4.938940 -4.882112 -4.983979
95 2.8816897869 -4.802027 2.152684 -4.981976 -4.662375 -4.946060
96 2.8663680553 -4.887729 2.052715 -4.919605 -4.959926 -4.915457
97 2.8752403259 -4.871918 2.159630 -4.986790 -4.849788 -4.864394
98 2.8722305298 -4.850769 2.148634 -4.897139 -4.896614 -4.996899
99 2.8608283997 -4.941987 2.074641 -4.956245 -4.996089 -4.964630
100 2.8679313660 -4.952167 2.168590 -4.936168 -4.916200 -4.976499
101 2.8758821487 -4.854852 2.090251 -4.860458 -4.843355 -4.913810
102 2.8702850342 -4.855549 2.155266 -4.964077 -4.929291 -4.952772
103 2.8663496971 -4.934675 2.016836 -4.903808 -4.863736 -4.936809
104 2.8663063049 -4.946485 2.025657 -4.912241 -4.898488 -4.893701
105 2.8732671738 -4.833860 2.052548 -4.891205 -4.802847 -4.969066
106 2.8682391644 -4.910792 2.098182 -4.960280 -4.821656 -4.994054
107 2.8657536507 -4.892248 2.073446 -4.917605 -4.968442 -4.946228
108 2.8600893021 -4.940088 2.083926 -4.976625 -4.998076 -4.975457
109 2.8633999825 -4.989620 2.089367 -4.959945 -4.903566 -4.953325
110 2.8660178185 -4.997464 2.090727 -4.930283 -4.824430 -4.985195
111 3.9044182301 3.654227 -3.145376 4.071358 1.581510 0.583957
112 3.4757006168 2.315305 -4.545461 1.651031 -3.758174 1.167500
113 3.4634888172 -4.855988 4.571556 -0.989935 1.963201 -4.174393
114 3.5514764786 4.259547 -3.772864 -3.695635 3.723538 -1.853645
115 5.1289229393 -4.007518 0.662913 -4.666417 -3.090731 -2.355744
116 4.6429877281 -2.012525 -2.787165 -1.767743 -0.959198 2.583536
117 3.8844058514 -2.631608 -1.593087 1.972812 4.545500 4.032222
118 4.0020222664 1.519612 -0.149954 4.462719 -1.518680 4.749259
119 3.9581356049 4.712947 3.098848 -1.309239 2.472324 -0.953353
120 3.6196742058 2.975194 1.320210 0.595138 -0.019526 -4.725315
121 5.1323976517 -0.718675 -2.219839 -3.428428 -4.949326 -3.062838
122 4.0308723450 0.902124 -0.695722 3.197721 3.188799 3.056731
123 3.6416218281 0.077581 2.999173 0.066472 -2.354737 -0.091375
124 3.5355696678 -3.562330 2.330153 2.570293 -1.792995 -1.291452
125 3.7207937241 -1.013841 3.813417 -2.944749 0.691897 1.977446
126 3.5708746910 -4.662531 0.589683 -2.505037 3.978673 1.655613
127 3.4100658894 -4.624617 3.980575 -1.863664 1.661412 -3.859733
128 3.4794845581 -4.700864 4.821569 0.407186 0.159671 -3.768359
129 3.9787037373 -1.151226 2.827867 0.425959 1.859005 4.502407
130 3.5756433010 -3.026708 4.703497 -2.517067 2.697641 -2.667890
131 3.4498550892 -3.295765 2.791937 -0.430205 1.035405 -3.848539
132 3.7055637836 2.178858 4.805385 -2.880510 1.103300 -3.007763
133 4.2622737885 -4.603742 0.548320 -3.600804 2.969156 -2.609370
134 3.7347815037 3.681631 4.589204 -1.448098 0.902362 -4.858651
135 3.4456138611 -2.250472 3.324183 -3.582001 3.575147 -4.957351
136 3.3517827988 -4.550315 3.520392 -0.465146 -0.008953 -4.552342
137 3.3916182518 -4.793490 3.297795 -2.900993 3.849903 -4.658505
138 3.4889180660 -3.980824 3.677049 -0.779430 3.163713 -4.981915
139 4.4472875595 -4.293334 3.289436 -2.293223 -0.479684 -1.960818
140 3.5236680508 -4.639061 3.578414 -2.055388 3.802106 -2.738466
141 3.5850329399 -0.452892 2.887824 0.406423 0.664021 -4.140946
142 4.3325462341 -4.880759 2.534958 -2.461376 -0.170626 -4.385545
143 3.4574749470 -4.964358 2.597927 1.241902 2.261818 -4.790182
144 3.4442934990 -4.090198 3.414679 1.175805 0.001385 -4.406506
145 3.2518916130 -4.010879 4.932204 -2.394234 -2.127732 -4.778821
146 3.2462258339 -4.167755 4.708863 -1.937577 -2.231681 -4.888652
147 3.1918144226 -4.067147 4.966572 -2.789955 -3.294843 -4.623062
148 3.1855027676 -4.728500 4.763320 -3.433874 -3.198020 -3.337103
149 3.3034322262 -4.472896 4.492535 -1.365976 -0.929616 -4.917070
150 3.1966521740 -4.822899 4.935756 -3.404427 -1.487729 -4.977498
